# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 23:36:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2570f0eba.json
# init = /tmp/RtmpC8O1hA/init-b41c22ea93982_4.json
# random
#   seed = 3352003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0322_rep033_accurate_moderate/prior_sensitivity_obspair_FAST-202605310036-4-447a48.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0322_rep033_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605310036-4-7cd373.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.110154
# Diagonal elements of inverse mass matrix:
# 0.10939, 0.0818297, 0.0327381, 0.0159011, 0.0264404, 0.0250674, 0.0435509
-533.325,0.940369,0.110154,5,31,0,539.101,-2.42869,-1.2609,-1.33163,-0.399609,3.02126,0.213559,-1.36423,4.79037,2.29208,1.89826e-05,2.65724e-05,3.72122e-05,5.21423e-05,7.31206e-05,0.000102651,0.000144321,0.000203315,0.000287187,0.000407053,0.000579394,0.000828704,0.00119107,0.00171846,0.00248289,0.00357939,0.00512644,0.00726259,0.0101383,0.0139021,0.0186819,0.0244545,0.0310917,0.0383378,0.0457996,0.0529552,0.0591948,0.0639063,0.0666027,0.0670488,0.065313,0.0617181,0.0567344,0.0508742,0.0446167,0.0383628,0.0324148,0.0269741,0.0221517,0.0179856,0.0144614,0.0115311,0.00912901,0.00718277,0.00562119,0.00437846,0.00339631,0.00262472,0.00202167,0.00155248,0.0011889,0.000908178,0.000692124,0.000526331,0.000399444,0.000302568,0.000228769,0.000172662,0.000130082,9.78217e-05,7.34145e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.99833,-0,-10.5467,-4.92502,-4.59144,-21.3786,-15.9208,-25.9766,-20.8249,-26.0905,-33.9183,-20.5682,-19.7885,-27.5034,-35.2171,-27.0233,-40.9285,-25.0666,-14.3469,-38.7192,-27.9868,-35.8673,-20.5748,-21.6773,-34.2886,-28.1273,-16.9451,-8.92541,-0,-9.87214,-20.7248,-5.43106,-5.68507,-0,-6.20383,-0,-6.73472,-0,-7.27574,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,8,3,9,8,13,7,19,15,15,12,10,9,11,13,7,7,7,3,4,5,3,0,2,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-530.868,0.998056,0.110154,5,31,0,536.161,-2.16005,-2.43182,-1.71299,-0.155483,3.91599,0.0106387,-0.840636,5.16803,2.18518,1.55885e-05,2.39076e-05,3.66562e-05,5.61758e-05,8.60184e-05,0.000131531,0.000200663,0.000305019,0.000461094,0.000691532,0.00102615,0.00150244,0.00216536,0.00306618,0.00426043,0.00580463,0.00775185,0.0101462,0.0130169,0.016372,0.0201937,0.0244093,0.0289113,0.0335604,0.0381903,0.0426156,0.0466404,0.0500688,0.0527172,0.0544302,0.0550983,0.0546772,0.0531979,0.0507642,0.0475342,0.0436975,0.039453,0.0349938,0.0304977,0.0261196,0.0219871,0.018197,0.0148136,0.0118695,0.00936842,0.00729108,0.00560116,0.00425222,0.00319371,0.00237569,0.00175203,0.00128218,0.000931899,0.000673166,0.000483598,0.000345698,0.000246018,0.000174371,0.000123133,8.66559e-05,6.07931e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.45839,-0,-9.71965,-4.59065,-4.34151,-20.5609,-15.6095,-25.9895,-21.2611,-27.1553,-35.9169,-22.0887,-21.457,-29.9436,-38.2566,-29.1084,-43.4795,-26.1568,-14.6687,-38.7473,-27.4167,-34.4351,-19.3959,-20.1155,-31.4109,-25.5155,-15.2692,-8.01299,-0,-8.86757,-18.6816,-4.9211,-5.18478,-0,-5.74657,-0,-6.34698,-0,-6.97829,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,3,5,3,0,7,9,8,11,4,12,14,8,5,13,7,9,12,5,11,9,2,10,7,3,5,0,2,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
-532.232,0.997338,0.110154,5,31,0,533.77,-2.82945,-2.19704,-1.74147,-0.12396,4.15029,0.421883,-0.721168,5.17758,2.0359,7.59915e-06,1.18231e-05,1.83979e-05,2.8635e-05,4.45812e-05,6.94313e-05,0.000108167,0.000168516,0.000262317,0.000407226,0.000628477,0.00096026,0.00144651,0.0021411,0.00310736,0.00441642,0.00614364,0.00836251,0.0111357,0.0145037,0.0184742,0.0229876,0.0279347,0.0331603,0.038472,0.0436503,0.0484577,0.0526466,0.0559683,0.0581893,0.0591233,0.0586794,0.0568998,0.0539495,0.0500652,0.0455066,0.0405282,0.0353672,0.0302377,0.0253259,0.0207831,0.0167194,0.0131989,0.0102396,0.00781979,0.00588921,0.00438154,0.00322549,0.00235268,0.00170231,0.00122307,0.0008733,0.00062011,0.000438147,0.000308199,0.000215915,0.000150705,0.000104834,7.26968e-05,5.02648e-05,3.46599e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.77398,-0,-10.1847,-4.784,-4.4976,-21.1667,-15.9655,-26.4096,-21.4673,-27.2512,-35.8361,-21.9208,-21.1894,-29.4415,-37.4786,-28.4405,-42.422,-25.521,-14.3323,-37.9562,-26.9499,-33.9889,-19.2345,-20.0518,-31.488,-25.7315,-15.4945,-8.18237,-0,-9.16298,-19.4044,-5.13463,-5.43035,-0,-6.0522,-0,-6.70639,-0,-7.38561,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,4,3,9,8,8,13,10,14,5,4,2,15,7,8,15,13,12,4,8,6,4,5,3,6,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
-531.832,0.990738,0.110154,5,31,0,538.114,-3.063,-3.11859,-0.836191,-0.210766,3.33465,-0.0583345,-1.12715,4.98572,2.07853,1.28213e-05,1.92209e-05,2.88127e-05,4.31861e-05,6.47172e-05,9.69515e-05,0.000145163,0.000217159,0.000324408,0.000483559,0.000718367,0.00106191,0.00155882,0.0022669,0.00325747,0.00461354,0.00642489,0.00877962,0.011752,0.0153881,0.0196902,0.0245991,0.0299886,0.0356652,0.0413757,0.046823,0.0516898,0.055668,0.0584924,0.0599744,0.0600266,0.0586716,0.056034,0.0523198,0.0477902,0.0427327,0.0374336,0.0321534,0.0271083,0.0224589,0.0183076,0.0147029,0.0116488,0.0091165,0.00705633,0.00540792,0.00410803,0.00309595,0.0023167,0.00172258,0.0012735,0.000936638,0.000685657,0.000499793,0.000362896,0.000262557,0.000189337,0.00013612,9.75826e-05,6.97687e-05,4.9756e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.7268,-0,-10.0952,-4.73532,-4.44373,-20.8708,-15.7105,-25.9353,-21.0416,-26.6686,-35.0357,-21.4297,-20.7375,-28.8835,-36.9052,-28.1384,-42.1945,-25.5222,-14.409,-38.3549,-27.3684,-34.6807,-19.7111,-20.6234,-32.4712,-26.5725,-16.0017,-8.43941,-0,-9.39534,-19.8153,-5.21989,-5.49481,-0,-6.06761,-0,-6.66598,-0,-7.28513,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,3,4,6,3,3,3,10,12,10,15,8,14,11,9,8,10,13,9,11,8,8,4,4,3,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
-529.865,0.999879,0.110154,4,31,0,532.28,-2.16103,-2.47416,-1.12083,-0.359725,3.61359,-0.0771493,-0.919941,5.16423,2.30639,3.38801e-05,4.804e-05,6.81221e-05,9.66045e-05,0.000137,0.00019428,0.000275465,0.000390416,0.000552876,0.000781754,0.00110257,0.00154886,0.0021632,0.0029974,0.00411137,0.00557037,0.00744024,0.00978071,0.0126372,0.0160318,0.0199548,0.0243437,0.0290884,0.0340315,0.0389742,0.0436864,0.0479221,0.0514398,0.0540271,0.0555258,0.0558535,0.0550128,0.0530875,0.0502264,0.0466222,0.0424902,0.0380491,0.0335045,0.029036,0.0247887,0.0208686,0.0173427,0.0142429,0.0115722,0.00931147,0.00742745,0.00587863,0.00462047,0.00360902,0.00280331,0.00216659,0.00166696,0.00127733,0.000975158,0.000741958,0.000562779,0.000425651,0.000321079,0.000241592,0.000181352,0.000135821,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.494,-0,-9.80171,-4.62734,-4.37111,-20.6659,-15.6571,-26.0084,-21.2245,-27.0437,-35.6934,-21.915,-21.2673,-29.6734,-37.9375,-28.9091,-43.2754,-26.1017,-14.6791,-38.8858,-27.5911,-34.7433,-19.6133,-20.3765,-31.853,-25.8816,-15.478,-8.10917,-0,-8.9183,-18.706,-4.90257,-5.13643,-0,-5.62432,-0,-6.1346,-0,-6.66298,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,3,3,5,2,4,8,7,9,8,7,11,10,11,13,6,7,12,6,12,9,6,6,7,4,8,0,4,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-531.018,0.99235,0.110154,4,31,0,532.482,-1.65656,-2.61187,-1.1522,-0.399809,3.39773,-0.00353524,-1.01523,4.7699,2.27234,4.88733e-05,6.83605e-05,9.56273e-05,0.000133785,0.000187193,0.00026195,0.000366581,0.000512958,0.000717514,0.00100273,0.00139883,0.00194534,0.00269203,0.00369867,0.00503284,0.00676557,0.00896467,0.0116861,0.0149639,0.0188007,0.0231596,0.0279373,0.0329789,0.0380822,0.0430086,0.0474993,0.051296,0.054166,0.0559298,0.0564847,0.0558184,0.0540073,0.0512006,0.0475975,0.0434239,0.0389109,0.0342766,0.0297119,0.0253705,0.0213644,0.0177637,0.0146009,0.0118779,0.00957417,0.00765441,0.00607544,0.00479135,0.00375723,0.00293144,0.00227686,0.0017613,0.00135754,0.00104289,0.000798767,0.000610112,0.000464834,0.000353315,0.000267956,0.000202791,0.000153162,0.000115448,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.29177,-0,-9.42893,-4.44936,-4.20212,-19.8693,-15.0614,-25.0445,-20.4713,-26.1441,-34.6099,-21.3293,-20.791,-29.157,-37.4875,-28.7379,-43.2848,-26.2677,-14.86,-39.5847,-28.2307,-35.7113,-20.2398,-21.0973,-33.0675,-26.9222,-16.1224,-8.45335,-0,-9.29737,-19.4899,-5.1035,-5.34094,-0,-5.83226,-0,-6.3417,-0,-6.86576,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,3,0,4,3,6,4,6,7,9,6,9,15,10,13,13,5,7,9,7,9,6,7,10,4,4,1,4,4,2,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0
