# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 23:43:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c22689df45.json
# init = /tmp/RtmpC8O1hA/init-b41c24da518d9_1.json
# random
#   seed = 3352004
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0323_rep033_accurate_strong/prior_sensitivity_obspair_FAST-202605310043-1-9418c1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0323_rep033_accurate_strong/prior_sensitivity_obspair_FAST-profile-202605310043-1-7ebafb.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.171163
# Diagonal elements of inverse mass matrix:
# 0.0609451, 0.0315487, 0.00575833, 0.00416307, 0.0122296, 0.00599091, 0.00697731
-534.471,0.967864,0.171163,4,15,0,536.824,-2.93261,-0.955795,-1.30154,-0.506778,3.53442,0.0261965,-1.17535,5.63337,2.58843,1.37453e-05,1.86315e-05,2.52802e-05,3.4348e-05,4.67528e-05,6.37904e-05,8.73131e-05,0.000120007,0.000165826,0.000230685,0.000323541,0.000458026,0.000654812,0.000944739,0.00137263,0.0020014,0.00291596,0.00422599,0.00606667,0.00859611,0.0119886,0.0163146,0.0215887,0.027741,0.0345893,0.0418162,0.0489655,0.0554697,0.0607256,0.064211,0.0656081,0.0648749,0.0622307,0.0580736,0.0528795,0.0471164,0.0411896,0.0354149,0.030014,0.0251223,0.0208043,0.0170717,0.0138997,0.0112416,0.00903986,0.00723346,0.00576323,0.00457462,0.00361915,0.00285483,0.00224599,0.00176278,0.00138053,0.00107901,0.000841773,0.000655541,0.00050964,0.000395536,0.000306429,0.000236927,0.000182765,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.59103,-0,-11.6751,-5.4665,-5.10495,-23.7822,-17.6952,-28.8098,-23.0135,-28.6787,-37.0063,-22.2213,-21.1165,-28.9192,-36.4181,-27.4558,-40.8608,-24.6176,-13.8845,-36.9986,-26.4577,-33.6065,-19.1374,-20.0437,-31.5548,-25.788,-15.4904,-8.14066,-0,-8.97626,-18.8244,-4.92904,-5.15626,-0,-5.62152,-0,-6.09861,-0,-6.58529,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,4,4,3,8,6,8,15,12,9,16,12,14,11,13,13,13,7,8,2,3,3,2,0,3,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
-532.946,0.996018,0.171163,5,31,0,538.441,-2.64252,-3.39232,-1.35894,-0.25279,3.63289,-0.0809405,-0.946471,5.27228,2.2496,2.382e-05,3.51099e-05,5.17389e-05,7.62159e-05,0.000112207,0.00016504,0.000242396,0.000355216,0.000518815,0.000754116,0.00108885,0.0015584,0.00220604,0.00308214,0.00424229,0.0057439,0.00764137,0.00997995,0.0127887,0.0160736,0.0198116,0.0239374,0.028349,0.0329101,0.0374557,0.0418002,0.0457488,0.049109,0.0517064,0.0533997,0.0540969,0.0537668,0.0524417,0.0502117,0.0472118,0.0436072,0.0395789,0.0353103,0.030976,0.0267314,0.0227053,0.0189945,0.0156628,0.012742,0.0102366,0.00812933,0.00638809,0.00497196,0.00383639,0.00293716,0.00223293,0.00168683,0.00126702,0.000946773,0.00070416,0.000521485,0.000384695,0.00028277,0.000207162,0.000151304,0.000110189,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.46265,-0,-9.74836,-4.60718,-4.35919,-20.6529,-15.6859,-26.1262,-21.379,-27.3118,-36.1306,-22.224,-21.5921,-30.1371,-38.5083,-29.2995,-43.7547,-26.3079,-14.7403,-38.8896,-27.478,-34.4579,-19.3768,-20.0615,-31.2709,-25.3534,-15.1406,-7.92721,-0,-8.7257,-18.3271,-4.81228,-5.05332,-0,-5.56322,-0,-6.10444,-0,-6.67109,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2,1,5,3,4,6,7,3,3,10,8,9,7,10,12,8,8,15,3,8,12,8,10,9,4,4,4,1,4,2,0,1,2,0,1,1,0,1,0,0,0,0,0,0,0
-531.336,0.996156,0.171163,5,31,0,536.278,-2.46805,-2.22213,-1.06125,-0.38734,3.53237,0.106867,-1.20739,5.15277,2.28465,2.82552e-05,3.96967e-05,5.57828e-05,7.84093e-05,0.000110254,0.000155107,0.000218336,0.000307561,0.000433589,0.000611705,0.000863351,0.00121814,0.0017159,0.00240838,0.00335976,0.00464552,0.00634878,0.00855361,0.0113351,0.014747,0.0188076,0.0234734,0.0286379,0.0341283,0.0397097,0.0450971,0.0499751,0.0540266,0.0569695,0.0585983,0.0588174,0.0576513,0.055232,0.0517706,0.0475261,0.0427759,0.0377898,0.0328091,0.028031,0.0236005,0.0196097,0.016103,0.0130862,0.0105374,0.0084168,0.00667536,0.00526116,0.00412361,0.0032161,0.00249724,0.00193136,0.00148834,0.00114318,0.000875432,0.000668539,0.000509231,0.000386952,0.000293368,0.000221934,0.000167541,0.000126216,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.69589,-0,-10.119,-4.7614,-4.47985,-21.0836,-15.894,-26.2632,-21.3181,-27.021,-35.4877,-21.6926,-20.9736,-29.1828,-37.2481,-28.3705,-42.4998,-25.6801,-14.4811,-38.4921,-27.4183,-34.6696,-19.6543,-20.5023,-32.17,-26.2254,-15.7269,-8.2575,-0,-9.10565,-19.1101,-5.00933,-5.2474,-0,-5.73959,-0,-6.24953,-0,-6.77394,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,2,1,1,3,5,4,11,8,6,8,13,15,8,13,12,11,6,14,7,12,7,4,7,5,2,0,2,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
-531.529,0.987052,0.171163,5,31,0,535.712,-2.55369,-1.74807,-1.46869,-0.403557,3.28405,0.167678,-0.878725,5.05537,2.35515,3.01275e-05,4.21048e-05,5.88603e-05,8.23153e-05,0.000115176,0.000161264,0.000225991,0.00031704,0.000445334,0.000626375,0.000881994,0.00124243,0.00174843,0.00245276,0.00342075,0.00472902,0.00646235,0.008708,0.0115476,0.0150468,0.0192444,0.0240873,0.0294593,0.0351761,0.0409858,0.0465774,0.0515985,0.0556872,0.0585203,0.0598738,0.059671,0.0579921,0.0550425,0.0511024,0.0464801,0.0414766,0.0363627,0.0313639,0.0266524,0.0223455,0.0185099,0.0151693,0.0123145,0.00991405,0.00792332,0.0062916,0.00496748,0.00390218,0.00305147,0.00237651,0.00184403,0.00142606,0.00109945,0.000845249,0.000648123,0.000495757,0.00037834,0.000288102,0.000218924,0.000166012,0.000125626,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.6779,-0,-10.0835,-4.74351,-4.46128,-20.983,-15.8021,-26.0825,-21.1485,-26.7791,-35.1398,-21.4665,-20.7498,-28.8801,-36.899,-28.1552,-42.2836,-25.627,-14.4982,-38.661,-27.6186,-35.0089,-19.8853,-20.7726,-32.6239,-26.6079,-15.9578,-8.37697,-0,-9.2276,-19.3518,-5.06854,-5.30484,-0,-5.79213,-0,-6.2958,-0,-6.81295,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,1,0,4,3,6,10,5,13,12,12,6,11,10,17,12,3,9,9,12,7,2,5,2,3,6,2,1,2,0,2,2,1,2,0,1,1,0,0,1,0,0,0,0,0
-532.215,0.993778,0.171163,5,31,0,535.485,-2.56554,-1.49856,-1.04217,-0.467165,3.45334,0.0899616,-1.1709,5.28933,2.42182,2.29489e-05,3.14419e-05,4.3101e-05,5.91261e-05,8.11878e-05,0.000111626,0.000153739,0.000212219,0.000293796,0.000408216,0.000569678,0.000798896,0.00112582,0.00159286,0.00225813,0.00319793,0.00450726,0.00629751,0.00868986,0.0118038,0.015741,0.0205264,0.0261077,0.0323338,0.038943,0.0455641,0.0517391,0.0569716,0.0608036,0.0629053,0.0631419,0.0615875,0.0584872,0.0541926,0.049097,0.0435829,0.0379854,0.0325709,0.0275293,0.0229777,0.0189711,0.015517,0.0125899,0.0101444,0.00812519,0.00647413,0.0051352,0.00405689,0.00319364,0.00250608,0.0019609,0.00153031,0.00119142,0.000925528,0.000717495,0.000555143,0.00042873,0.000330502,0.000254316,0.000195326,0.000149719,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.09322,-0,-10.8041,-5.0676,-4.7456,-22.1967,-16.6059,-27.2023,-21.8732,-27.4531,-35.7022,-21.6204,-20.7308,-28.652,-36.4014,-27.6612,-41.4356,-25.0857,-14.1947,-37.8977,-27.1256,-34.464,-19.6233,-20.546,-32.3325,-26.4126,-15.8594,-8.33164,-0,-9.18166,-19.2511,-5.03994,-5.27164,-0,-5.74659,-0,-6.23435,-0,-6.73261,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,2,3,4,4,5,5,14,10,12,12,10,13,17,11,9,12,10,7,6,5,2,4,1,6,1,0,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
-530.15,0.988936,0.171163,4,15,0,535.042,-2.24087,-2.03175,-1.38907,-0.446703,3.59246,0.202991,-1.02936,5.18816,2.39387,4.06408e-05,5.60069e-05,7.72064e-05,0.000106473,0.000146914,0.000202857,0.000280353,0.000387878,0.000537317,0.000745272,0.00103471,0.00143672,0.0019921,0.00275211,0.00377809,0.00513942,0.00690965,0.00916032,0.0119528,0.0153283,0.0192984,0.0238063,0.0287424,0.0339425,0.0391925,0.0442377,0.0487973,0.0525863,0.0553457,0.0568821,0.0571032,0.0560332,0.0537988,0.0505979,0.0466668,0.0422536,0.0375979,0.0329148,0.0283836,0.0241407,0.0202777,0.0168445,0.0138556,0.011299,0.0091447,0.00735218,0.00587663,0.00467308,0.00369906,0.0029161,0.00229041,0.00179299,0.00139934,0.00108908,0.000845422,0.000654707,0.000505873,0.000390036,0.000300104,0.000230441,0.000176593,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.57854,-0,-9.94967,-4.69287,-4.42679,-20.8903,-15.7909,-26.1646,-21.2963,-27.0647,-35.632,-21.8272,-21.1406,-29.453,-37.624,-28.6678,-42.9434,-25.9363,-14.6125,-38.79,-27.5825,-34.8047,-19.6848,-20.483,-32.0575,-26.067,-15.5929,-8.16747,-0,-8.96608,-18.7783,-4.91276,-5.13677,-0,-5.59968,-0,-6.07902,-0,-6.57175,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,3,6,8,3,8,6,8,10,9,15,13,15,20,8,8,6,7,6,8,3,6,2,1,3,3,3,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0
