# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 23:43:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c22689df45.json
# init = /tmp/RtmpC8O1hA/init-b41c24da518d9_2.json
# random
#   seed = 3352004
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0323_rep033_accurate_strong/prior_sensitivity_obspair_FAST-202605310043-2-9418c1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0323_rep033_accurate_strong/prior_sensitivity_obspair_FAST-profile-202605310043-2-7ebafb.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.136763
# Diagonal elements of inverse mass matrix:
# 0.0532101, 0.046984, 0.00635079, 0.00416881, 0.0101388, 0.00782627, 0.00616275
-536.414,0.96948,0.136763,4,15,0,540.174,-1.99843,-0.98867,-1.15204,-0.344863,3.56893,0.0325943,-1.12586,4.96301,2.22942,7.10515e-06,1.01437e-05,1.44927e-05,2.07283e-05,2.96901e-05,4.26128e-05,6.1329e-05,8.85952e-05,0.000128616,0.000187904,0.000276667,0.000411009,0.000616214,0.000931278,0.00141452,0.00214967,0.00325128,0.00486785,0.0071809,0.0103978,0.0147375,0.0202631,0.0269387,0.0345915,0.0428803,0.0512826,0.0591171,0.0656177,0.0700651,0.0719534,0.071126,0.0678089,0.0625235,0.0559353,0.0487098,0.0414164,0.0344828,0.0281879,0.022679,0.0179997,0.0141212,0.0109705,0.00845283,0.00646807,0.0049206,0.00372498,0.00280805,0.0021092,0.0015793,0.00117926,0.000878386,0.000652831,0.000484222,0.000358499,0.000264966,0.000195521,0.000144054,0.000105973,7.78345e-05,5.70684e-05,4.17577e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.56096,-0,-11.4574,-5.3251,-4.93633,-22.8308,-16.8694,-27.2927,-21.6851,-26.9132,-34.6428,-20.7928,-19.7976,-27.2391,-34.5583,-26.3174,-39.6495,-24.2196,-13.8611,-37.4863,-27.1969,-35.0249,-20.2038,-21.4132,-34.0768,-28.1218,-17.0403,-9.02509,-0,-10.0818,-21.2573,-5.59269,-5.87526,-0,-6.45077,-0,-7.03742,-0,-7.63297,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,5,5,7,8,11,8,12,14,12,15,18,18,12,12,11,7,3,1,5,2,2,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
-533.048,1,0.136763,5,31,0,539.468,-4.24095,-2.29182,-1.3524,-0.337914,3.35202,0.167563,-0.958891,5.23822,2.28442,2.26671e-05,3.23904e-05,4.62903e-05,6.6166e-05,9.45959e-05,0.000135277,0.000193513,0.000276906,0.000396328,0.000567229,0.000811293,0.00115832,0.00164803,0.00233124,0.00327005,0.00453635,0.00620829,0.00836417,0.0110736,0.0143864,0.0183209,0.0228357,0.0278331,0.033157,0.0385957,0.0438914,0.0487537,0.0528815,0.0559938,0.0578704,0.0583903,0.0575509,0.055458,0.0522989,0.0483114,0.0437558,0.0388921,0.0339598,0.0291632,0.0246606,0.0205607,0.0169245,0.0137722,0.0110927,0.00885343,0.00700908,0.00550901,0.00430214,0.00334031,0.00258007,0.0019835,0.00151838,0.00115781,0.000879716,0.000666223,0.000503006,0.000378699,0.000284353,0.000212974,0.000159128,0.000118617,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.72295,-0,-10.1637,-4.7838,-4.50319,-21.2074,-15.9988,-26.456,-21.4892,-27.252,-35.8007,-21.8823,-21.1468,-29.397,-37.4727,-28.4955,-42.6091,-25.6958,-14.4606,-38.3601,-27.2708,-34.4204,-19.4818,-20.2955,-31.8136,-25.9178,-15.5375,-8.15799,-0,-9.00293,-18.9078,-4.96055,-5.20137,-0,-5.70169,-0,-6.22289,-0,-6.76123,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,3,1,4,2,0,1,6,11,9,7,12,8,5,17,9,10,8,12,9,5,6,15,11,7,2,3,0,2,2,1,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0
-530.883,0.992841,0.136763,4,31,0,536.549,-2.53645,-2.10019,-1.45346,-0.451257,3.49181,0.101869,-0.964168,5.32935,2.46385,4.48075e-05,6.16528e-05,8.48522e-05,0.000116819,0.000160896,0.000221717,0.000305716,0.000421819,0.000582382,0.000804381,0.00111081,0.00153212,0.00210729,0.00288425,0.00391916,0.00527431,0.00701449,0.00920151,0.0118873,0.015106,0.018866,0.0231153,0.0277566,0.0326457,0.0375946,0.0423787,0.0467489,0.0504499,0.053246,0.0549535,0.0554714,0.0547968,0.0530189,0.0502961,0.0468289,0.0428356,0.038533,0.0341216,0.0297747,0.0256307,0.0217902,0.018317,0.0152416,0.0125678,0.0102796,0.00834788,0.006736,0.00540454,0.00431429,0.00342832,0.00271311,0.00213912,0.00168084,0.00131664,0.0010284,0.000801115,0.000622508,0.00048258,0.000373262,0.000288076,0.000221852,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.54188,-0,-9.91956,-4.68839,-4.43228,-20.9633,-15.8816,-26.3708,-21.5057,-27.3763,-36.0898,-22.1278,-21.4407,-29.8677,-38.1268,-29.0127,-43.3783,-26.1371,-14.6855,-38.8678,-27.5513,-34.6543,-19.5374,-20.2669,-31.6269,-25.6478,-15.3052,-7.99985,-0,-8.75323,-18.3104,-4.78575,-5.00029,-0,-5.44582,-0,-5.90966,-0,-6.38846,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,4,3,3,2,1,7,5,8,8,10,8,12,9,16,10,7,13,15,11,12,3,6,4,1,4,2,4,2,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0
-531.648,0.995148,0.136763,4,23,0,536.971,-2.64192,-2.86654,-1.28,-0.270006,3.675,-0.0296465,-1.17822,5.27123,2.23498,2.22671e-05,3.26143e-05,4.77662e-05,6.99476e-05,0.000102403,0.00014985,0.000219111,0.000319965,0.000466253,0.000677185,0.000978732,0.00140484,0.00199813,0.00280971,0.00389779,0.00532473,0.00715236,0.00943561,0.0122147,0.0155067,0.0192986,0.0235311,0.0281029,0.0328726,0.0376632,0.0422716,0.0464802,0.0500719,0.052847,0.0546441,0.0553595,0.0549609,0.0534909,0.0510574,0.0478175,0.0439596,0.0396866,0.0352003,0.0306888,0.0263152,0.0222095,0.0184651,0.0151379,0.0122499,0.00979544,0.00774837,0.00606939,0.00471253,0.00363019,0.00277667,0.00211034,0.00159476,0.00119893,0.000897145,0.00066848,0.000496171,0.000366971,0.000270526,0.000198824,0.000145711,0.0001065,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.54735,-0,-9.88062,-4.66326,-4.40512,-20.8324,-15.7909,-26.246,-21.4313,-27.3209,-36.0698,-22.1455,-21.4811,-29.943,-38.2246,-29.0691,-43.4086,-26.1102,-14.6412,-38.6725,-27.3633,-34.3693,-19.3605,-20.0802,-31.3547,-25.4633,-15.2289,-7.98374,-0,-8.80448,-18.5034,-4.86027,-5.1045,-0,-5.61847,-0,-6.16091,-0,-6.72633,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,0,3,3,3,5,8,5,8,8,13,9,10,14,15,7,5,7,8,10,8,10,7,9,6,2,2,2,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
-530.427,1,0.136763,5,31,0,532.529,-2.4884,-1.79367,-1.25197,-0.377194,3.45421,0.191232,-1.15643,5.06336,2.27676,2.29064e-05,3.23001e-05,4.55596e-05,6.42888e-05,9.07683e-05,0.000128251,0.000181394,0.000256887,0.000364375,0.000517771,0.000737066,0.00105061,0.00149762,0.00213043,0.00301578,0.0042344,0.00587824,0.00804466,0.010827,0.0143021,0.0185153,0.0234323,0.0289476,0.0348776,0.0409608,0.0468676,0.0522204,0.0566276,0.0597356,0.0612918,0.0611982,0.0595244,0.0564778,0.0523521,0.0474789,0.0421892,0.036784,0.0315155,0.0265752,0.0220908,0.018131,0.0147153,0.0118269,0.00942463,0.00745469,0.0058583,0.00457755,0.00355877,0.00275433,0.00212316,0.00163069,0.00124832,0.000952741,0.000725136,0.000550492,0.000416912,0.000315038,0.000237549,0.00017875,0.000134233,0.000100598,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.8039,-0,-10.273,-4.82275,-4.52571,-21.2367,-15.9566,-26.2755,-21.2536,-26.8473,-35.1465,-21.423,-20.666,-28.7126,-36.6318,-27.9211,-41.9046,-25.3923,-14.3695,-38.3469,-27.4272,-34.8215,-19.8162,-20.7437,-32.65,-26.6882,-16.0405,-8.43773,-0,-9.32886,-19.5956,-5.1399,-5.38659,-0,-5.89458,-0,-6.41875,-0,-6.95617,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,1,3,6,8,8,12,8,13,14,19,14,14,8,14,8,4,6,6,5,3,6,6,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-531.757,0.996832,0.136763,4,31,0,533.107,-1.64501,-1.80332,-1.0682,-0.543919,3.61537,-0.0490218,-0.921206,5.10867,2.48623,5.73516e-05,7.68006e-05,0.000102903,0.000137976,0.000185175,0.000248815,0.000334818,0.000451358,0.000609748,0.000825659,0.00112071,0.00152437,0.00207599,0.00282646,0.00383882,0.00518721,0.00695331,0.00922009,0.0120628,0.015538,0.0196714,0.0244045,0.0296131,0.0351035,0.0406176,0.0458479,0.0504637,0.0541478,0.0566395,0.0577751,0.0575125,0.0559312,0.0532094,0.0495893,0.0453408,0.0407312,0.0360026,0.0313571,0.0269498,0.0228875,0.0192333,0.0160128,0.0132235,0.010843,0.00883641,0.00716264,0.00577884,0.00464335,0.00371757,0.00296689,0.00236106,0.00187415,0.0014842,0.0011729,0.00092507,0.000728261,0.000572312,0.000448983,0.000351621,0.000274882,0.000214483,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.56259,-0,-9.93707,-4.68637,-4.41763,-20.8223,-15.7144,-25.9909,-21.1172,-26.7956,-35.2391,-21.577,-20.9055,-29.1604,-37.3236,-28.512,-42.8363,-25.9527,-14.6676,-39.0517,-27.8419,-35.2084,-19.945,-20.7739,-32.524,-26.4401,-15.8045,-8.26874,-0,-9.04847,-18.9155,-4.93888,-5.15355,-0,-5.59469,-0,-6.04864,-0,-6.51288,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,2,0,2,4,5,3,10,3,9,8,9,12,18,10,12,13,6,14,10,5,5,6,4,4,2,5,1,1,5,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
