# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 00:25:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c210bea27e.json
# init = /tmp/RtmpC8O1hA/init-b41c26e3e8b49_4.json
# random
#   seed = 3352010
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0329_rep033_badly_wrong_strong/prior_sensitivity_obspair_FAST-202605310125-4-88870f.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0329_rep033_badly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605310125-4-223514.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.111056
# Diagonal elements of inverse mass matrix:
# 0.0739454, 0.037427, 0.00678614, 0.00502988, 0.00491295, 0.00904788, 0.0115093
-536.392,0.993117,0.111056,5,31,0,543.091,0.00876947,-1.21976,-1.16133,-0.911961,4.79238,0.46797,-0.537922,5.3982,2.96092,6.29033e-05,7.78412e-05,9.66089e-05,0.000120345,0.000150618,0.000189639,0.000240621,0.000308372,0.000400313,0.000528133,0.00071024,0.00097479,0.00136261,0.00192928,0.00274607,0.00389935,0.00548845,0.0076219,0.0104119,0.0139674,0.018386,0.023373,0.0287084,0.0341939,0.0396268,0.0447876,0.0494332,0.0532988,0.0561118,0.0576266,0.0576879,0.0562989,0.0536388,0.0500041,0.045726,0.0411121,0.0364197,0.0318489,0.0275437,0.0235974,0.0200598,0.0169461,0.0142454,0.0119299,0.00996204,0.00830075,0.00690512,0.00573687,0.00476156,0.0039489,0.00327271,0.00271062,0.00224363,0.00185566,0.0015332,0.0012649,0.00104125,0.000854316,0.000697509,0.000565368,0.000453399,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.89758,-0,-10.4102,-4.87673,-4.56481,-21.3552,-15.9847,-26.2932,-21.3034,-27.0057,-35.5107,-21.7408,-21.0499,-29.3184,-37.4453,-28.5377,-42.7906,-25.8937,-14.6274,-38.9435,-27.7658,-35.106,-19.8759,-20.6805,-32.3278,-26.2263,-15.6361,-8.15544,-0,-8.85742,-18.4359,-4.79141,-4.97549,-0,-5.34718,-0,-5.72214,-0,-6.09966,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,2,2,4,1,4,6,7,8,8,12,10,6,14,12,12,10,12,11,9,6,13,3,1,1,4,1,3,1,1,1,1,3,2,1,0,0,0,0,0,0,0,1,0,1
-533.56,0.994894,0.111056,5,63,0,542.063,-1.51679,-2.29063,-0.955477,-0.615033,4.05381,0.720986,-0.493966,5.02443,2.37061,6.74562e-05,8.85251e-05,0.000116229,0.000152699,0.000200776,0.000264279,0.000348374,0.000460122,0.000609298,0.000809638,0.00108072,0.00145064,0.00195904,0.00265978,0.00362224,0.00493081,0.00668169,0.00897535,0.0119037,0.0155318,0.0198762,0.0248668,0.0303527,0.0361081,0.0418485,0.047252,0.0519835,0.0557202,0.0581868,0.0592035,0.0587318,0.0568741,0.0538311,0.0498602,0.0452458,0.0402766,0.0352237,0.0303201,0.0257433,0.0216074,0.0179661,0.0148253,0.0121584,0.00992129,0.00806206,0.00652825,0.00527033,0.00424365,0.00340909,0.002733,0.00218693,0.001747,0.00139338,0.00110972,0.000882572,0.000700965,0.000555972,0.000440353,0.000348258,0.000274975,0.000216716,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.62066,-0,-10.0168,-4.71327,-4.4309,-20.8243,-15.6729,-25.8596,-20.9692,-26.5699,-34.9107,-21.3658,-20.6978,-28.8741,-36.9733,-28.2677,-42.5216,-25.8022,-14.6095,-38.9809,-27.8608,-35.3318,-20.0762,-20.9757,-32.9362,-26.843,-16.0771,-8.42284,-0,-9.22615,-19.2823,-5.03162,-5.24566,-0,-5.68131,-0,-6.12526,-0,-6.57602,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,1,0,1,1,4,5,2,8,10,10,10,5,7,12,15,11,7,15,15,5,10,9,10,6,2,2,2,1,2,1,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
-538.541,0.985801,0.111056,5,31,0,541.086,-2.00947,-3.65603,-0.937865,-0.560692,4.0682,0.377076,-0.707788,5.35113,2.40391,8.21911e-05,0.000109381,0.000145584,0.0001938,0.000258041,0.000343671,0.000457875,0.000610285,0.00081381,0.00108569,0.00144878,0.00193281,0.00257543,0.00342257,0.00452771,0.00594982,0.00774915,0.00998081,0.0126859,0.0158814,0.0195508,0.0236341,0.028028,0.0325881,0.0371368,0.0414737,0.045389,0.0486784,0.0511608,0.0526984,0.0532133,0.0526961,0.0512031,0.0488448,0.0457725,0.0421634,0.0382061,0.0340867,0.0299744,0.0260113,0.0223046,0.0189251,0.0159096,0.013267,0.0109861,0.00904189,0.00740215,0.00603139,0.0048941,0.00395659,0.00318806,0.00256111,0.00205184,0.00163973,0.00130737,0.00104013,0.000825837,0.000654429,0.00051763,0.000408678,0.00032207,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.39754,-0,-9.72034,-4.60709,-4.36726,-20.713,-15.739,-26.2154,-21.4473,-27.3905,-36.2246,-22.2789,-21.6474,-30.2252,-38.6462,-29.4317,-44.0017,-26.4889,-14.8598,-39.2484,-27.7566,-34.8282,-19.5886,-20.2731,-31.5667,-25.5446,-15.2118,-7.93453,-0,-8.64495,-18.0445,-4.70589,-4.90599,-0,-5.31972,-0,-5.74834,-0,-6.18902,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,2,3,7,1,3,8,6,4,7,14,15,4,7,6,12,12,9,8,8,8,8,10,4,11,3,4,3,2,0,1,0,1,1,0,0,0,1,0,2,0,0,0,0,0
-536.195,0.998485,0.111056,5,31,0,541.441,-1.18661,-2.13784,-0.879206,-0.504948,4.65298,0.930797,-0.503894,5.03051,2.1475,2.72367e-05,3.69006e-05,5.00274e-05,6.7887e-05,9.22402e-05,0.000125551,0.000171313,0.000234563,0.000322738,0.000447127,0.000625243,0.000884067,0.00126337,0.00181848,0.00262224,0.00376535,0.00535414,0.00750417,0.010328,0.0139157,0.0183095,0.0234574,0.0292173,0.0353632,0.0416037,0.0476048,0.0530134,0.0574808,0.0606871,0.0623717,0.0623853,0.0607548,0.0576783,0.0534484,0.0483924,0.0428424,0.0371145,0.0314922,0.0262107,0.0214428,0.0172895,0.0137803,0.0108864,0.00854297,0.00666999,0.00518713,0.00402125,0.00310935,0.00239899,0.00184745,0.00142036,0.00109039,0.000835953,0.000640088,0.000489531,0.000373949,0.000285316,0.000217412,0.000165433,0.000125673,9.52786e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.94373,-0,-10.4598,-4.8923,-4.5729,-21.3737,-16.0013,-26.268,-21.198,-26.7367,-34.9752,-21.3138,-20.5605,-28.563,-36.4263,-27.7464,-41.6164,-25.2082,-14.2644,-38.0775,-27.2557,-34.6525,-19.7625,-20.7481,-32.7743,-26.8966,-16.2306,-8.56902,-0,-9.52529,-20.0405,-5.26157,-5.51616,-0,-6.03271,-0,-6.55685,-0,-7.08694,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,3,6,5,8,4,5,7,7,10,9,19,11,8,8,12,13,8,6,4,8,7,6,8,3,2,2,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0
-534.098,0.997439,0.111056,5,31,0,539.15,-1.13991,-2.44433,-0.89833,-0.57984,4.65052,0.8815,-0.638737,5.10911,2.25212,5.23372e-05,6.93844e-05,9.20435e-05,0.000122208,0.000162446,0.000216271,0.000288541,0.000386075,0.000518621,0.000700392,0.000952348,0.0013049,0.00180016,0.00249317,0.00345212,0.00475697,0.0064957,0.00875728,0.0116201,0.0151356,0.0193099,0.0240759,0.029297,0.0347744,0.0402631,0.0454895,0.0501703,0.0540307,0.0568244,0.0583575,0.0585214,0.0573274,0.0549033,0.0514527,0.0472196,0.0424646,0.0374472,0.0324102,0.0275656,0.0230809,0.0190686,0.0155822,0.0126235,0.0101579,0.0081309,0.0064811,0.00514843,0.00407817,0.00322259,0.00254117,0.00200014,0.00157169,0.00123316,0.000966182,0.000755992,0.000590752,0.000461013,0.000359262,0.00027954,0.000217134,0.000168325,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.66877,-0,-10.0732,-4.73787,-4.45502,-20.9535,-15.7886,-26.0858,-21.1816,-26.871,-35.3355,-21.6319,-20.9463,-29.182,-37.2813,-28.4117,-42.5754,-25.7308,-14.5109,-38.5722,-27.4765,-34.7499,-19.7089,-20.5757,-32.3207,-26.3812,-15.8388,-8.32326,-0,-9.179,-19.2483,-5.03886,-5.26906,-0,-5.73757,-0,-6.21454,-0,-6.69818,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,3,0,2,6,9,7,10,18,5,10,14,12,9,12,9,8,4,9,13,6,3,3,10,4,0,3,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
-532.756,0.999997,0.111056,5,31,0,535.22,-1.25369,-2.24932,-0.847448,-0.576056,4.70651,0.639851,-0.657995,5.23119,2.27045,3.89184e-05,5.16766e-05,6.86738e-05,9.13625e-05,0.000121728,0.000162513,0.000217556,0.000292328,0.000394784,0.000536734,0.000735899,0.00101858,0.00142246,0.00199901,0.0028149,0.00395182,0.00550362,0.00756989,0.0102447,0.0136005,0.0176697,0.0224131,0.0277183,0.0333989,0.039205,0.0448418,0.0499918,0.054339,0.0575953,0.05953,0.0600061,0.059013,0.0566692,0.0531873,0.048834,0.0438993,0.0386725,0.0334219,0.0283766,0.0237125,0.0195441,0.0159253,0.0128576,0.010306,0.00821432,0.00651834,0.00515445,0.0040644,0.00319738,0.00251034,0.00196757,0.00153983,0.00120344,0.000939364,0.00073236,0.000570299,0.00044356,0.000344534,0.000267221,0.0002069,0.000159869,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.87283,-0,-10.4047,-4.88358,-4.581,-21.4882,-16.1436,-26.5868,-21.514,-27.1939,-35.6285,-21.7323,-20.9713,-29.1251,-37.1061,-28.2127,-42.1996,-25.47,-14.3526,-38.1412,-27.174,-34.3844,-19.5158,-20.3913,-32.0597,-26.1923,-15.7403,-8.2797,-0,-9.15006,-19.2075,-5.03314,-5.2679,-0,-5.74542,-0,-6.23096,-0,-6.72257,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,4,3,3,6,3,8,12,8,8,12,15,7,9,13,8,9,6,15,5,7,5,12,4,4,3,0,2,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
