# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 00:43:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c225278641.json
# init = /tmp/RtmpC8O1hA/init-b41c245f744db_3.json
# random
#   seed = 3452002
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0331_rep034_accurate_weak/prior_sensitivity_obspair_FAST-202605310143-3-1197b5.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0331_rep034_accurate_weak/prior_sensitivity_obspair_FAST-profile-202605310143-3-74412b.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0672442
# Diagonal elements of inverse mass matrix:
# 0.0891813, 0.0744469, 0.0995989, 0.0480823, 0.093444, 0.154968, 0.167075
-519.062,0.999544,0.0672442,6,63,0,520.666,-1.85712,-3.17382,-0.712916,-0.426925,4.41631,0.751285,-2.40693,5.06107,1.97618,2.85961e-05,3.96484e-05,5.49834e-05,7.62711e-05,0.000105842,0.000146957,0.000204198,0.000284031,0.000395635,0.000552127,0.000772286,0.00108279,0.00152068,0.00213582,0.002993,0.00417289,0.00577068,0.0078902,0.0106318,0.0140732,0.0182466,0.0231172,0.0285739,0.0344304,0.0404341,0.0462779,0.051618,0.0560998,0.0593952,0.0612488,0.0615233,0.0602272,0.0575042,0.0535972,0.0488077,0.0434591,0.037868,0.0323224,0.027064,0.0222728,0.0180575,0.0144578,0.0114574,0.00900414,0.00702797,0.00545457,0.00421333,0.00324137,0.00248488,0.00189909,0.00144743,0.0011005,0.000834872,0.000632086,0.00047767,0.000360355,0.000271411,0.000204102,0.000153253,0.000114896,8.6004e-05,-0,-0,-0,-0,-0,-0,-8.49642,-0,-7.83502,-0,-0,-0,-0,-0,-0,-10.9583,-0,-0,-18.1756,-21.3174,-16.0151,-18.8359,-14.2211,-23.5817,-22.4566,-27.6578,-23.7111,-34.5675,-42.3531,-22.3425,-44.6134,-25.2867,-39.9826,-38.0414,-24.1589,-34.4953,-26.1892,-37.7519,-14.4382,-19.0219,-4.01419,-16.9461,-0,-0,-0,-10.4226,-5.4695,-0,-5.99753,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,1,0,1,3,2,3,4,4,5,7,6,9,10,16,11,15,18,10,5,14,10,8,4,9,4,8,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
-518.835,0.996055,0.0672442,6,63,0,522.386,-2.64927,-1.22924,-1.30008,0.31283,3.29017,-0.553813,-0.0200957,4.89091,2.02323,1.86363e-06,3.5563e-06,6.71486e-06,1.25158e-05,2.29703e-05,4.14048e-05,7.3125e-05,0.000126273,0.000212857,0.000349905,0.000560647,0.000875624,0.00133362,0.00198229,0.00287856,0.00408886,0.00568946,0.00776762,0.0104251,0.0137898,0.0180583,0.0231469,0.0289311,0.0352232,0.0417616,0.0482103,0.0541711,0.0592121,0.0629153,0.0649377,0.0650755,0.0633126,0.0598332,0.0549894,0.049232,0.0430268,0.0367849,0.0308216,0.0253475,0.0204801,0.0162656,0.0126999,0.00974694,0.00735115,0.0054466,0.00396337,0.00283202,0.00198705,0.00136915,0.000926707,0.000616407,0.000403152,0.000259442,0.000164405,0.000102672,6.32463e-05,3.84639e-05,2.31152e-05,1.37389e-05,8.08319e-06,4.71137e-06,-0,-0,-0,-0,-0,-0,-9.52334,-0,-8.45489,-0,-0,-0,-0,-0,-0,-10.999,-0,-0,-18.2542,-21.4191,-16.0566,-18.8295,-14.1714,-23.4224,-22.2304,-27.2896,-23.3249,-33.9195,-41.4895,-21.8746,-43.7153,-24.837,-39.4267,-37.708,-24.0897,-34.6052,-26.4213,-38.2749,-14.7003,-19.4415,-4.1187,-17.4646,-0,-0,-0,-11.0613,-5.86676,-0,-6.59357,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,4,3,3,4,5,10,6,17,10,10,11,17,11,13,17,7,11,9,5,2,2,6,2,4,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
-516.785,0.998193,0.0672442,5,63,0,520.38,-1.42518,-1.5716,-1.35449,0.107895,3.91389,-0.35707,-0.781846,4.78428,2.07552,4.92941e-06,8.49782e-06,1.45838e-05,2.48821e-05,4.21352e-05,7.06876e-05,0.000117252,0.000191915,0.000309382,0.000490409,0.000763324,0.00116544,0.00174413,0.00255719,0.0036722,0.00516453,0.00711384,0.00959894,0.0126913,0.0164477,0.0209026,0.0259608,0.0314715,0.0372286,0.0429765,0.0484217,0.0532509,0.0571557,0.0598627,0.0611669,0.0609631,0.0592666,0.0562175,0.0520614,0.0471112,0.041701,0.0361443,0.0307055,0.0255871,0.0209278,0.0168088,0.0132625,0.0102836,0.00783857,0.0058758,0.00433332,0.00314571,0.00224911,0.00158484,0.00110143,0.000755569,0.000512023,0.000343064,0.000227458,0.000149358,9.7211e-05,6.27614e-05,4.02231e-05,2.56068e-05,1.6203e-05,1.01962e-05,-0,-0,-0,-0,-0,-0,-9.05118,-0,-8.08093,-0,-0,-0,-0,-0,-0,-10.5319,-0,-0,-17.4673,-20.5378,-15.4715,-18.2558,-13.8347,-23.0348,-22.0297,-27.2503,-23.4619,-34.3437,-42.2355,-22.3532,-44.7598,-25.4314,-40.2994,-38.4193,-24.442,-34.9495,-26.5619,-38.3164,-14.6627,-19.3334,-4.08585,-17.2913,-0,-0,-0,-10.8828,-5.76172,-0,-6.44727,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,0,2,6,4,10,9,7,6,13,10,14,12,13,13,12,10,5,7,7,9,5,1,2,2,4,2,3,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
-518.015,0.900184,0.0672442,5,63,0,522.587,-1.56874,-1.5554,-0.984033,0.00481862,3.90995,-0.185153,-0.643689,4.65656,1.94197,3.25392e-06,5.36799e-06,8.8483e-06,1.45681e-05,2.39463e-05,3.92734e-05,6.42151e-05,0.000104573,0.000169401,0.000272588,0.000434989,0.00068713,0.00107233,0.00164988,0.00249756,0.00371261,0.00540987,0.00771624,0.0107606,0.0146591,0.0194977,0.0252328,0.0317241,0.0387238,0.0458773,0.0527412,0.0588188,0.063613,0.0666948,0.067775,0.0667629,0.0637885,0.0591766,0.0533782,0.046887,0.0401671,0.0336062,0.0274943,0.0220213,0.0172861,0.0133132,0.0100712,0.00749201,0.00548703,0.00396109,0.00282189,0.00198616,0.00138266,0.000953026,0.000651032,0.000441164,0.000296795,0.000198378,0.000131826,8.71427e-05,5.73343e-05,3.7562e-05,2.45137e-05,1.5942e-05,1.03342e-05,6.67897e-06,-0,-0,-0,-0,-0,-0,-9.65327,-0,-8.68324,-0,-0,-0,-0,-0,-0,-11.192,-0,-0,-18.1275,-21.1135,-15.7498,-18.3981,-13.8027,-22.7591,-21.5725,-26.4812,-22.6663,-33.0592,-40.6144,-21.5325,-43.3057,-24.7696,-39.5812,-38.0946,-24.4801,-35.3618,-27.1444,-39.5315,-15.263,-20.2893,-4.319,-18.3923,-0,-0,-0,-11.7407,-6.22155,-0,-6.95587,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,2,1,4,1,8,8,11,15,15,9,15,18,16,8,12,9,10,4,6,5,3,3,4,3,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-517.581,0.999175,0.0672442,5,63,0,520.658,-1.75984,-2.20624,-1.54511,-0.173748,4.00759,0.0304418,-0.894129,4.99095,2.14756,1.59401e-05,2.42668e-05,3.69398e-05,5.62202e-05,8.55298e-05,0.00013002,0.000197381,0.000298921,0.000450925,0.000676128,0.00100507,0.00147697,0.0021398,0.00304931,0.00426686,0.00585588,0.00787691,0.0103814,0.0134045,0.0169582,0.0210255,0.0255234,0.0303281,0.0352782,0.0401805,0.0448199,0.0489708,0.0524108,0.0549375,0.0563889,0.0566655,0.0557499,0.0537139,0.0507068,0.0469298,0.0426076,0.0379651,0.0332116,0.0285316,0.0240781,0.0199683,0.0162823,0.0130633,0.0103213,0.00803935,0.00618028,0.00469484,0.0035284,0.00262652,0.00193861,0.00142012,0.00103338,0.000747508,0.000537871,0.000385203,0.0002747,0.000195148,0.000138152,9.74921e-05,6.85971e-05,4.81342e-05,-0,-0,-0,-0,-0,-0,-8.53038,-0,-7.70421,-0,-0,-0,-0,-0,-0,-10.2806,-0,-0,-17.2487,-20.385,-15.4481,-18.3408,-13.9827,-23.4114,-22.5006,-27.9459,-24.1322,-35.3837,-43.5234,-23.0039,-45.9294,-25.9819,-40.9372,-38.762,-24.4728,-34.7129,-26.1687,-37.4534,-14.227,-18.6323,-3.91361,-16.4707,-0,-0,-0,-10.1728,-5.36129,-0,-5.9421,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,4,0,5,6,4,7,10,11,6,14,11,12,11,9,15,7,8,13,3,7,5,6,2,6,4,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
-518.187,0.994457,0.0672442,4,31,0,520.353,-1.56097,-1.68739,-1.62359,-0.0502458,3.47798,0.0541552,-1.10402,4.4462,1.97604,6.74642e-06,1.08525e-05,1.74556e-05,2.807e-05,4.51203e-05,7.24736e-05,0.000116257,0.000186068,0.000296686,0.00047026,0.000738805,0.00114652,0.00175132,0.00262495,0.00385134,0.00552277,0.00773381,0.0105731,0.0141134,0.0184008,0.0234454,0.0291151,0.0352117,0.0414741,0.0475876,0.0531996,0.0579423,0.0614642,0.0634711,0.063776,0.0623449,0.0593161,0.0549763,0.0496988,0.0438756,0.0378673,0.0319762,0.0264362,0.0214117,0.0170012,0.0132447,0.0101341,0.00762465,0.00564849,0.00412605,0.00297608,0.00212258,0.00149882,0.00104908,0.000728611,0.000502578,0.000344567,0.000234965,0.000159456,0.000107747,7.25232e-05,4.86428e-05,3.25209e-05,2.16782e-05,1.4411e-05,9.55544e-06,-0,-0,-0,-0,-0,-0,-9.05971,-0,-8.12284,-0,-0,-0,-0,-0,-0,-10.3978,-0,-0,-17.0425,-19.9768,-15.0123,-17.6825,-13.3855,-22.2788,-21.3163,-26.4033,-22.7865,-33.4716,-41.3576,-22.019,-44.4012,-25.4239,-40.6119,-39.0231,-25.0112,-36.0104,-27.5421,-39.9632,-15.3753,-20.3724,-4.32416,-18.3674,-0,-0,-0,-11.6343,-6.15512,-0,-6.85984,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,4,4,5,9,8,10,8,16,12,15,16,15,15,8,13,7,6,3,4,3,5,3,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
