# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 00:52:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2225bba22.json
# init = /tmp/RtmpC8O1hA/init-b41c230d422c4_1.json
# random
#   seed = 3452003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0332_rep034_accurate_moderate/prior_sensitivity_obspair_FAST-202605310152-1-69a796.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0332_rep034_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605310152-1-1aa7d6.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.123482
# Diagonal elements of inverse mass matrix:
# 0.0595458, 0.103027, 0.0422598, 0.00950548, 0.0357079, 0.0221594, 0.039975
-519.098,0.998494,0.123482,5,31,0,525.501,-1.50142,-1.22712,-1.79113,-0.296804,4.15678,0.549733,-0.992638,4.791,2.14873,1.25475e-05,1.82225e-05,2.64825e-05,3.85253e-05,5.61255e-05,8.19356e-05,0.000119965,0.000176354,0.000260607,0.000387456,0.000579283,0.000868572,0.0012998,0.00193065,0.00283275,0.00409168,0.0058059,0.00808386,0.0110387,0.0147803,0.019406,0.0248114,0.0308356,0.037259,0.0438054,0.0501452,0.055902,0.0606625,0.0640002,0.0655305,0.0650149,0.0624873,0.0582816,0.0529045,0.0468736,0.0406283,0.0345075,0.0287556,0.0235358,0.0189426,0.0150128,0.011736,0.00906587,0.00693313,0.00525791,0.00395994,0.00296526,0.00220972,0.00163992,0.00121271,0.000893995,0.000657206,0.000481925,0.000352587,0.00025742,0.000187574,0.00013643,9.90568e-05,7.17985e-05,5.19512e-05,3.75218e-05,-0,-0,-0,-0,-0,-0,-9.02831,-0,-8.2525,-0,-0,-0,-0,-0,-0,-10.9976,-0,-0,-18.0254,-21.0723,-15.7687,-18.4823,-13.9163,-23.029,-21.896,-26.9355,-23.0732,-33.6292,-41.233,-21.8019,-43.7302,-24.9551,-39.7946,-38.2105,-24.4824,-35.2362,-26.9326,-39.0381,-14.9969,-19.8317,-4.19885,-17.7804,-0,-0,-0,-11.0631,-5.82079,-0,-6.41311,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,3,4,6,5,5,6,6,12,10,13,13,16,12,19,8,7,10,10,7,7,3,4,0,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-519.255,0.99674,0.123482,5,31,0,520.456,-1.61774,-1.93055,-0.754653,-0.339072,3.37998,-0.375066,-1.05521,4.86924,2.27583,3.16379e-05,4.515e-05,6.4419e-05,9.18838e-05,0.000131004,0.000186675,0.000265796,0.000378048,0.00053692,0.000761027,0.00107572,0.00151488,0.00212272,0.00295501,0.00407927,0.00557289,0.00751872,0.00999754,0.0130777,0.016803,0.0211798,0.0261374,0.0315352,0.03716,0.0427343,0.0479362,0.0524308,0.0559104,0.0581352,0.0589661,0.0583809,0.0564717,0.0534237,0.0494848,0.0449323,0.0400417,0.0350635,0.0302068,0.0256315,0.0214473,0.017717,0.0144646,0.0116835,0.00934597,0.00741063,0.00582953,0.00455299,0.00353304,0.0027256,0.00209163,0.00159747,0.00121479,0.000920153,0.000694483,0.000522442,0.000391836,0.000293061,0.000218614,0.000162679,0.000120771,8.94531e-05,-0,-0,-0,-0,-0,-0,-8.23278,-0,-7.52966,-0,-0,-0,-0,-0,-0,-10.3797,-0,-0,-17.3474,-20.431,-15.4188,-18.2219,-13.8266,-23.0477,-22.0693,-27.341,-23.5861,-34.6081,-42.6748,-22.6463,-45.4523,-25.8661,-41.013,-39.0792,-24.8208,-35.3962,-26.8048,-38.4966,-14.6557,-19.2108,-4.03323,-16.9442,-0,-0,-0,-10.2896,-5.39197,-0,-5.90506,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,2,2,1,4,7,8,7,11,12,8,11,11,13,15,7,7,11,13,6,7,7,4,3,1,4,2,3,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0
-517.514,0.998632,0.123482,5,31,0,521.832,-1.51702,-1.21864,-1.41749,-0.107213,3.80789,-0.218871,-1.38195,4.84916,2.14014,6.89017e-06,1.07792e-05,1.6852e-05,2.63217e-05,4.10614e-05,6.39472e-05,9.93666e-05,0.000153953,0.000237624,0.000364985,0.000557139,0.00084385,0.00126587,0.00187714,0.00274626,0.00395691,0.00560648,0.00780251,0.0106568,0.0142774,0.0187579,0.0240338,0.0299716,0.0363627,0.0429212,0.0492929,0.0550739,0.0598438,0.0632132,0.0648803,0.0646871,0.062658,0.0590016,0.054072,0.048301,0.0421251,0.03593,0.0300188,0.0246024,0.0198056,0.0156806,0.0122239,0.0093935,0.00712341,0.0053365,0.00395347,0.0028992,0.0021065,0.00151774,0.00108526,0.000770711,0.000543941,0.000381747,0.00026656,0.000185274,0.000128239,8.84244e-05,6.07585e-05,4.16144e-05,2.84169e-05,1.93497e-05,-0,-0,-0,-0,-0,-0,-9.21669,-0,-8.34482,-0,-0,-0,-0,-0,-0,-11.0646,-0,-0,-18.1662,-21.2454,-15.9046,-18.6415,-14.03,-23.1995,-22.0387,-27.0898,-23.1926,-33.7922,-41.4186,-21.8817,-43.8111,-24.9306,-39.6227,-37.9267,-24.2424,-34.8382,-26.6095,-38.5653,-14.8197,-19.609,-4.15533,-17.6174,-0,-0,-0,-11.0663,-5.84332,-0,-6.49053,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,2,6,4,2,6,5,4,10,7,14,10,13,9,9,17,13,5,13,9,7,11,5,1,6,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-520.714,0.989797,0.123482,5,31,0,524.238,-0.839941,-1.20324,-1.49099,-0.587206,4.46922,0.449881,-1.63404,4.90073,2.42154,2.86084e-05,3.80153e-05,5.06206e-05,6.75938e-05,9.05957e-05,0.000122034,0.000165485,0.000226406,0.000313318,0.000439706,0.000626681,0.000906062,0.00132314,0.00193848,0.00282848,0.00408443,0.00580974,0.00811518,0.0111117,0.0149009,0.0195643,0.0249768,0.0309534,0.0372502,0.0435705,0.0495748,0.0548973,0.0591671,0.0620393,0.0632411,0.062638,0.0602948,0.0564815,0.0515978,0.046073,0.040297,0.0345884,0.0291869,0.024255,0.0198863,0.0161163,0.0129347,0.0102996,0.00815029,0.00641823,0.00503542,0.00393923,0.00307485,0.00239596,0.00186436,0.00144906,0.00112518,0.000872949,0.000676731,0.00052421,0.000405726,0.000313715,0.00024227,0.000186788,0.000143686,0.000110178,-0,-0,-0,-0,-0,-0,-8.70663,-0,-8.06829,-0,-0,-0,-0,-0,-0,-11.0011,-0,-0,-17.999,-21.0317,-15.7362,-18.449,-13.9011,-23.0307,-21.9336,-27.0385,-23.2183,-33.9287,-41.6998,-22.0864,-44.3261,-25.2766,-40.2338,-38.5356,-24.6202,-35.3263,-26.9139,-38.8744,-14.8765,-19.5886,-4.12792,-17.3914,-0,-0,-0,-10.5825,-5.53677,-0,-6.03397,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,7,11,9,8,8,11,12,13,12,12,10,14,10,7,10,7,7,2,6,2,2,2,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0
-518.365,0.985587,0.123482,5,63,0,522.432,-2.4189,-2.03317,-1.08329,0.0243554,3.44405,-0.261482,-0.674696,4.82261,1.97605,4.20165e-06,6.99356e-06,1.16263e-05,1.92944e-05,3.19421e-05,5.27033e-05,8.65626e-05,0.000141314,0.000228884,0.000367042,0.000581445,0.000907818,0.00139392,0.00210077,0.00310253,0.00448436,0.00633773,0.00875294,0.011809,0.0155617,0.0200315,0.0251612,0.0308261,0.0368294,0.0429056,0.0487325,0.0539536,0.0582105,0.0611843,0.0626412,0.062471,0.0607067,0.0575171,0.0531739,0.0480074,0.042362,0.0365613,0.0308835,0.0255485,0.0207114,0.016465,0.0128455,0.00984351,0.00741599,0.00549857,0.00401657,0.00289377,0.00205848,0.00144735,0.00100691,0.000693773,0.000473857,0.0003211,0.000216036,0.000144411,9.59679e-05,6.34369e-05,4.17308e-05,2.7331e-05,1.78278e-05,1.15858e-05,-0,-0,-0,-0,-0,-0,-9.35464,-0,-8.3823,-0,-0,-0,-0,-0,-0,-10.8143,-0,-0,-17.7556,-20.8147,-15.6418,-18.4123,-13.9176,-23.1102,-22.0413,-27.1927,-23.357,-34.1243,-41.908,-22.1627,-44.3688,-25.2153,-39.9794,-38.1444,-24.2912,-34.7765,-26.4701,-38.2529,-14.6687,-19.3853,-4.10652,-17.419,-0,-0,-0,-11.0347,-5.8452,-0,-6.53802,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,3,6,2,3,12,10,11,12,8,20,14,11,9,6,11,9,13,10,3,7,3,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-518.753,0.990455,0.123482,5,63,0,520.523,-1.83888,-1.61651,-1.50869,-0.425981,3.48528,0.528302,-1.49558,4.73569,2.24995,2.97902e-05,4.13358e-05,5.7378e-05,7.96884e-05,0.000110755,0.00015409,0.000214681,0.000299673,0.000419396,0.00058894,0.00083046,0.00117628,0.00167223,0.00238015,0.00337851,0.00476095,0.00663229,0.00910135,0.0122698,0.0162168,0.0209827,0.0264825,0.0325489,0.0389317,0.0453055,0.0512851,0.0564474,0.0603671,0.062679,0.0631702,0.0618509,0.0589369,0.0547658,0.0497182,0.0441692,0.0384597,0.0328774,0.0276434,0.0229059,0.0187431,0.0151741,0.012175,0.00969539,0.00767174,0.00603756,0.00472923,0.00368924,0.00286754,0.00222165,0.00171623,0.00132228,0.00101629,0.000779371,0.000596445,0.000455569,0.000347332,0.000264346,0.000200846,0.000152341,0.00011535,8.71827e-05,-0,-0,-0,-0,-0,-0,-8.44636,-0,-7.77669,-0,-0,-0,-0,-0,-0,-10.6946,-0,-0,-17.6025,-20.6085,-15.4562,-18.1564,-13.7,-22.7216,-21.6603,-26.7332,-22.9956,-33.6877,-41.5459,-22.0954,-44.5285,-25.4816,-40.6657,-39.018,-24.9578,-35.8396,-27.3198,-39.4721,-15.1054,-19.8847,-4.18817,-17.6335,-0,-0,-0,-10.708,-5.60233,-0,-6.1095,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,6,3,6,9,7,12,6,14,11,9,16,9,8,14,8,11,10,10,4,5,3,5,2,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
