# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 00:52:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2225bba22.json
# init = /tmp/RtmpC8O1hA/init-b41c230d422c4_4.json
# random
#   seed = 3452003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0332_rep034_accurate_moderate/prior_sensitivity_obspair_FAST-202605310152-4-69a796.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0332_rep034_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605310152-4-1aa7d6.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0733199
# Diagonal elements of inverse mass matrix:
# 0.0968472, 0.0615312, 0.0590789, 0.0176184, 0.0350447, 0.0363208, 0.056967
-517.208,0.999971,0.0733199,5,31,0,519.087,-2.00044,-2.46974,-1.20082,-0.095556,4.11347,0.143184,-1.08165,4.94562,1.95625,7.10383e-06,1.11918e-05,1.76325e-05,2.77793e-05,4.37613e-05,6.89203e-05,0.000108479,0.000170528,0.000267427,0.000417614,0.000647696,0.000994493,0.00150658,0.0022449,0.00328191,0.00469877,0.00657982,0.00900421,0.0120346,0.0157044,0.0200056,0.0248672,0.0301596,0.0356976,0.0412492,0.0465499,0.05132,0.0552835,0.0581903,0.0598422,0.0601208,0.0590106,0.0566034,0.053081,0.0486838,0.0436812,0.0383467,0.0329402,0.0276921,0.0227906,0.0183731,0.0145218,0.0112667,0.00859272,0.00645238,0.00477837,0.00349549,0.00252962,0.00181346,0.00128938,0.000910168,0.000638419,0.000445303,0.000309062,0.000213552,0.000146969,0.000100781,6.88811e-05,4.69367e-05,3.18945e-05,2.16168e-05,-0,-0,-0,-0,-0,-0,-9.12896,-0,-8.22666,-0,-0,-0,-0,-0,-0,-10.7209,-0,-0,-17.6799,-20.7691,-15.647,-18.471,-14.005,-23.3287,-22.3169,-27.6051,-23.7574,-34.7434,-42.6606,-22.5284,-44.9824,-25.4703,-40.2036,-38.1672,-24.1793,-34.4392,-26.0887,-37.5437,-14.3464,-18.907,-3.99687,-16.9284,-0,-0,-0,-10.6873,-5.65628,-0,-6.31252,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,5,5,5,2,2,3,3,5,17,15,9,7,10,13,7,11,12,7,11,10,11,3,7,4,3,2,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0
-518.13,0.99631,0.0733199,4,31,0,524.143,-1.76368,-1.82475,-1.24045,-0.330455,3.73576,0.161431,-0.437402,4.82054,2.18643,2.11506e-05,3.03184e-05,4.34737e-05,6.23641e-05,8.9515e-05,0.000128586,0.000184891,0.000266171,0.000383696,0.000553814,0.00079998,0.00115513,0.0016641,0.00238539,0.00339191,0.00476972,0.00661443,0.00902453,0.0120917,0.0158885,0.0204556,0.0257135,0.031509,0.0376141,0.0437317,0.0495111,0.0545722,0.0585407,0.061097,0.0620332,0.0612996,0.0590159,0.0554348,0.0508831,0.0457062,0.0402303,0.0347402,0.0294666,0.0245804,0.0201925,0.0163588,0.0130891,0.0103584,0.00811883,0.00631034,0.0048691,0.00373331,0.0028467,0.00216015,0.00163219,0.00122858,0.00092164,0.000689262,0.000514039,0.000382382,0.000283776,0.000210135,0.000155282,0.000114519,8.42921e-05,6.19226e-05,-0,-0,-0,-0,-0,-0,-8.59574,-0,-7.86566,-0,-0,-0,-0,-0,-0,-10.6909,-0,-0,-17.6609,-20.7108,-15.558,-18.3037,-13.8299,-22.9626,-21.9078,-27.05,-23.2659,-34.0564,-41.9294,-22.2407,-44.6717,-25.4695,-40.4957,-38.7169,-24.6842,-35.3445,-26.8789,-38.7695,-14.8232,-19.5122,-4.11299,-17.3439,-0,-0,-0,-10.6497,-5.59046,-0,-6.13758,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,3,2,2,1,4,7,9,12,9,16,16,18,12,8,13,8,5,9,5,7,9,3,3,2,1,2,1,2,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0
-519.299,0.99832,0.0733199,5,63,0,521.409,-3.03035,-2.41255,-1.63531,-0.105504,3.22519,0.156214,-0.564854,4.6943,2.00015,7.86493e-06,1.23342e-05,1.93428e-05,3.03326e-05,4.75611e-05,7.4557e-05,0.000116817,0.000182851,0.000285684,0.00044488,0.000688987,0.001058,0.00160519,0.00239774,0.00351543,0.0050473,0.00708547,0.00971617,0.013008,0.0169988,0.0216837,0.0269683,0.0326931,0.0386361,0.044523,0.050041,0.0548581,0.058648,0.0611242,0.0620853,0.0614582,0.0593176,0.0558654,0.0513852,0.0461957,0.0406154,0.0349399,0.029425,0.0242748,0.019634,0.0155868,0.0121611,0.00933885,0.00706936,0.00528313,0.00390344,0.00285506,0.00206967,0.00148849,0.00106302,0.000754411,0.000532399,0.000373828,0.000261289,0.000181873,0.000126116,8.71488e-05,6.00288e-05,4.12256e-05,2.82336e-05,1.92853e-05,-0,-0,-0,-0,-0,-0,-9.0549,-0,-8.16063,-0,-0,-0,-0,-0,-0,-10.5778,-0,-0,-17.3688,-20.3731,-15.3248,-18.0655,-13.6824,-22.775,-21.7822,-26.9542,-23.224,-34.0344,-41.9227,-22.234,-44.6304,-25.4236,-40.3873,-38.5893,-24.599,-35.2397,-26.833,-38.785,-14.8733,-19.6525,-4.16133,-17.638,-0,-0,-0,-11.0918,-5.85866,-0,-6.50999,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,6,5,4,6,7,13,10,12,10,9,9,13,10,13,12,14,7,4,5,9,2,2,0,3,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-517.398,0.999984,0.0733199,5,31,0,520.117,-2.7821,-1.74355,-1.31442,-0.0285041,3.39876,-0.0635489,-1.25008,4.8342,1.97296,4.11546e-06,6.6871e-06,1.08624e-05,1.76365e-05,2.86139e-05,4.63712e-05,7.50169e-05,0.000121037,0.00019452,0.000310843,0.000492806,0.000773089,0.00119666,0.00182268,0.00272518,0.00399195,0.00572089,0.00801346,0.010965,0.0146523,0.0191204,0.0243284,0.030164,0.0364365,0.0428756,0.0491401,0.0548368,0.059552,0.0628993,0.0645793,0.0644395,0.0625108,0.0589996,0.0542393,0.0486258,0.0425585,0.0364,0.0304506,0.0249372,0.0200101,0.0157486,0.0121704,0.00924632,0.00691501,0.00509744,0.00370865,0.00266647,0.00189684,0.00133653,0.000933711,0.000647321,0.000445702,0.000304993,0.00020755,0.000140531,9.47205e-05,6.35789e-05,4.25141e-05,2.83293e-05,1.88163e-05,1.24601e-05,-0,-0,-0,-0,-0,-0,-9.4978,-0,-8.54497,-0,-0,-0,-0,-0,-0,-11.047,-0,-0,-18.0522,-21.1158,-15.828,-18.5806,-14.0044,-23.1853,-22.0462,-27.1177,-23.2272,-33.8509,-41.4933,-21.9189,-43.8725,-24.9517,-39.6231,-37.8865,-24.1888,-34.7256,-26.5055,-38.4081,-14.7656,-19.5576,-4.151,-17.635,-0,-0,-0,-11.1942,-5.927,-0,-6.61768,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,1,1,2,2,2,3,4,8,6,11,11,6,11,7,15,19,8,7,12,11,8,10,10,4,6,3,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
-517.983,0.990982,0.0733199,5,63,0,520.295,-1.40944,-1.74182,-1.1788,-0.477746,3.60935,0.366869,-1.10659,4.63312,2.23457,3.86339e-05,5.27523e-05,7.20667e-05,9.85203e-05,0.000134811,0.000184703,0.000253496,0.000348711,0.000481144,0.000666447,0.000927445,0.00129727,0.00182294,0.00256848,0.00361619,0.00506524,0.00702659,0.00961376,0.0129289,0.0170454,0.0219886,0.0276616,0.0338747,0.0403468,0.0467172,0.0525708,0.0574735,0.0610216,0.0629075,0.0629871,0.0613152,0.05812,0.0537381,0.0485493,0.0429291,0.0372158,0.0316881,0.0265527,0.0219405,0.0179139,0.0144799,0.0116064,0.00923878,0.00731176,0.00575875,0.00451707,0.00353071,0.00275135,0.00213829,0.00165789,0.00128268,0.000990462,0.000763459,0.000587514,0.000451419,0.000346339,0.000265337,0.000202987,0.000155057,0.000118255,9.00274e-05,-0,-0,-0,-0,-0,-0,-8.28016,-0,-7.63934,-0,-0,-0,-0,-0,-0,-10.5707,-0,-0,-17.3932,-20.3594,-15.2689,-17.9386,-13.5403,-22.4717,-21.4455,-26.5103,-22.8515,-33.5583,-41.4913,-22.1186,-44.6677,-25.6072,-40.9309,-39.3273,-25.1856,-36.2013,-27.6145,-39.9149,-15.2777,-20.1109,-4.235,-17.8248,-0,-0,-0,-10.7998,-5.64626,-0,-6.14775,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,1,3,4,4,2,6,4,10,10,15,7,10,18,13,13,13,10,8,4,9,3,2,3,3,2,6,2,1,3,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
-518.151,0.998562,0.0733199,6,63,0,519.684,-1.99929,-2.3032,-1.31729,0.0534532,3.46066,-0.24489,-1.28268,4.73453,1.99051,5.26511e-06,8.88877e-06,1.4981e-05,2.51877e-05,4.22044e-05,7.03848e-05,0.000116631,0.000191629,0.00031143,0.000499298,0.00078758,0.00121923,0.00184853,0.00274045,0.00396836,0.00560967,0.00773943,0.0104221,0.0137025,0.017596,0.0220814,0.0270662,0.0324049,0.0379011,0.043316,0.0483806,0.0528141,0.0563463,0.0587444,0.0598408,0.0595579,0.057922,0.0550606,0.0511825,0.0465474,0.0414335,0.0361115,0.0308245,0.025775,0.0211184,0.0169595,0.0133547,0.0103173,0.00782549,0.00583226,0.00427523,0.00308558,0.00219511,0.00154101,0.00106876,0.000733075,0.00049781,0.000334999,0.000223601,0.00014815,9.75097e-05,6.37953e-05,4.15122e-05,2.688e-05,1.73277e-05,1.11245e-05,-0,-0,-0,-0,-0,-0,-9.05649,-0,-8.07434,-0,-0,-0,-0,-0,-0,-10.3665,-0,-0,-17.1607,-20.2004,-15.2521,-18.0473,-13.7178,-22.9094,-21.9746,-27.2579,-23.5278,-34.5149,-42.5184,-22.5285,-45.1329,-25.6379,-40.5905,-38.6406,-24.5383,-35.0203,-26.5691,-38.2739,-14.6334,-19.2881,-4.07693,-17.2635,-0,-0,-0,-10.9098,-5.78101,-0,-6.47532,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,3,6,8,7,8,6,6,10,7,9,12,18,6,15,4,13,9,12,10,4,4,1,7,4,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
