# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 01:02:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c27cece3a9.json
# init = /tmp/RtmpC8O1hA/init-b41c23515e5cd_3.json
# random
#   seed = 3452005
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0334_rep034_mildly_wrong_weak/prior_sensitivity_obspair_FAST-202605310202-3-500c20.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0334_rep034_mildly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605310202-3-2fb3ec.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.076889
# Diagonal elements of inverse mass matrix:
# 0.0753047, 0.0769917, 0.140964, 0.0448638, 0.0614115, 0.0808461, 0.12366
-518.907,0.999943,0.076889,6,63,0,520.176,-1.68951,-3.69469,-0.157707,-0.287074,4.19015,0.0689137,-1.38596,4.71232,1.83276,1.4132e-05,2.05728e-05,2.99528e-05,4.36169e-05,6.35292e-05,9.25611e-05,0.000134915,0.000196752,0.000287107,0.000419231,0.000612493,0.000894991,0.00130688,0.00190416,0.00276224,0.00397797,0.00566814,0.00796234,0.0109883,0.0148499,0.0195989,0.0252066,0.03154,0.03835,0.0452764,0.0518746,0.0576608,0.0621737,0.0650396,0.0660284,0.0650865,0.06234,0.0580686,0.0526579,0.0465421,0.0401491,0.0338545,0.0279517,0.0226391,0.0180227,0.0141305,0.0109322,0.00836093,0.00633145,0.00475416,0.00354403,0.00262554,0.00193469,0.00141901,0.00103656,0.000754486,0.000547436,0.000396084,0.000285849,0.000205818,0.00014788,0.000106044,7.59021e-05,5.42309e-05,3.86783e-05,2.75357e-05,-0,-0,-0,-0,-0,-0,-8.91086,-0,-8.15565,-0,-0,-0,-0,-0,-0,-11.054,-0,-0,-18.0437,-21.0488,-15.7291,-18.4032,-13.826,-22.827,-21.6648,-26.6303,-22.8254,-33.3339,-40.9914,-21.7414,-43.7126,-24.9764,-39.8458,-38.2712,-24.5392,-35.3667,-27.0855,-39.3501,-15.1523,-20.0806,-4.25942,-18.0642,-0,-0,-0,-11.285,-5.94247,-0,-6.5578,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,2,2,5,10,8,10,18,12,12,16,17,11,15,6,11,10,6,4,3,3,6,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
-518.332,0.99948,0.076889,6,63,0,521.456,-1.85291,-2.05697,-1.57094,-0.15266,4.31634,0.886823,0.0902037,4.67463,1.9652,7.98993e-06,1.22771e-05,1.88681e-05,2.90056e-05,4.46093e-05,6.86527e-05,0.000105762,0.000163175,0.000252281,0.000390974,0.000606677,0.000938767,0.00143948,0.00217421,0.0032218,0.00467399,0.00663286,0.0092049,0.0124907,0.0165715,0.021504,0.0270831,0.0330731,0.0392102,0.0452181,0.0508167,0.0557207,0.0596349,0.0622522,0.0632771,0.0625176,0.0600457,0.0562069,0.0514222,0.046058,0.0404086,0.0347139,0.0291768,0.0239731,0.0192517,0.0151233,0.0116447,0.00881301,0.0065749,0.00484771,0.0035397,0.00256375,0.00184415,0.00131871,0.000938125,0.000664348,0.000468566,0.00032928,0.000230638,0.000161063,0.000112168,7.79187e-05,5.39999e-05,3.73411e-05,2.57674e-05,1.7745e-05,-0,-0,-0,-0,-0,-0,-9.15432,-0,-8.28497,-0,-0,-0,-0,-0,-0,-10.7315,-0,-0,-17.5311,-20.5004,-15.3581,-18.0442,-13.6361,-22.6717,-21.6738,-26.8158,-23.0992,-33.8342,-41.6484,-22.0819,-44.3569,-25.3138,-40.302,-38.5799,-24.6228,-35.2958,-26.8849,-38.8782,-14.9233,-19.7508,-4.19152,-17.8116,-0,-0,-0,-11.2874,-5.96629,-0,-6.6311,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,1,0,1,8,3,6,4,11,10,5,8,15,7,22,11,9,12,13,9,10,10,3,6,4,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-520.445,0.984613,0.076889,5,47,0,527.396,-3.57324,-1.51169,-1.85219,-0.118968,4.44988,1.30368,-0.0828184,5.03591,1.91804,4.49458e-06,7.0084e-06,1.09302e-05,1.70513e-05,2.6612e-05,4.1562e-05,6.49811e-05,0.00010177,0.000159814,0.000251939,0.000398734,0.000630413,0.000986705,0.0015176,0.00228519,0.00336574,0.00485098,0.0068476,0.00947208,0.0128377,0.0170362,0.0219894,0.0275528,0.0335495,0.0397929,0.0460831,0.0521844,0.0577906,0.0624783,0.0656517,0.066585,0.0649549,0.0612893,0.0563217,0.0506245,0.0445981,0.0385193,0.0325872,0.0269607,0.021784,0.0171906,0.0132772,0.0100702,0.0075254,0.00555562,0.00405994,0.00294137,0.0021151,0.00151101,0.00107322,0.000758338,0.000533359,0.000373552,0.000260628,0.000181205,0.000125581,8.67734e-05,5.9793e-05,4.10953e-05,2.81756e-05,1.92725e-05,-0,-0,-0,-0,-0,-0,-9.64141,-0,-8.7415,-0,-0,-0,-0,-0,-0,-11.3882,-0,-0,-18.6376,-21.7768,-16.2897,-19.086,-14.3666,-23.7631,-22.5685,-27.6958,-23.6238,-34.2111,-41.594,-21.7871,-43.3484,-24.6066,-39.0901,-37.3968,-23.8666,-34.2107,-26.0528,-37.6622,-14.4535,-19.1329,-4.06339,-17.2868,-0,-0,-0,-11.0132,-5.82888,-0,-6.49498,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,1,2,10,5,5,11,4,11,6,14,12,16,15,18,13,12,5,13,3,2,7,3,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-520.238,0.99703,0.076889,6,63,0,524.02,-1.53115,-1.63045,-1.85834,-0.499871,4.16749,1.28947,-0.0382508,4.80012,2.37947,4.78494e-05,6.48742e-05,8.79907e-05,0.000119408,0.00016216,0.000220439,0.000300075,0.000409264,0.000559681,0.00076827,0.00106004,0.00147128,0.00205008,0.00285444,0.00395189,0.0054197,0.00734486,0.00982306,0.012957,0.0168556,0.0216481,0.0270443,0.0327842,0.0386134,0.0442796,0.0495268,0.0540842,0.0576547,0.0599047,0.0604944,0.0592801,0.056547,0.0527458,0.0482621,0.0433945,0.0383754,0.0333913,0.0285984,0.0241293,0.0200879,0.0165362,0.0134886,0.0109214,0.00878893,0.00703658,0.00560886,0.00445372,0.00352456,0.00278085,0.00218813,0.00171751,0.00134508,0.00105122,0.000819976,0.000638439,0.000496236,0.000385066,0.000298313,0.000230723,0.000178139,0.000137277,-0,-0,-0,-0,-0,-0,-8.11148,-0,-7.48814,-0,-0,-0,-0,-0,-0,-10.4354,-0,-0,-17.3845,-20.4153,-15.3314,-18.0514,-13.6712,-22.7791,-21.8206,-27.0472,-23.3377,-34.2394,-42.225,-22.4416,-45.2077,-25.8541,-41.1918,-39.4044,-25.0994,-35.8637,-27.1957,-39.0984,-14.8973,-19.5382,-4.1022,-17.2236,-0,-0,-0,-10.3668,-5.41401,-0,-5.885,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,6,7,7,2,4,9,10,11,9,13,13,9,7,12,8,9,5,10,9,7,6,4,5,5,1,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
-518.586,0.994071,0.076889,6,63,0,522.336,-2.14975,-1.91736,-0.959103,-0.347091,4.07463,1.30004,-0.540197,4.84981,1.97423,1.05264e-05,1.49976e-05,2.13737e-05,3.04722e-05,4.34678e-05,6.2055e-05,8.86917e-05,0.000126973,0.000182223,0.000262462,0.000380088,0.000554809,0.00081795,0.00121689,0.00181958,0.00271947,0.00404001,0.00593613,0.00858812,0.0121795,0.0168505,0.0226146,0.0293346,0.0367334,0.0444246,0.0519407,0.0587561,0.0643101,0.0680422,0.0694954,0.068566,0.0655243,0.0607901,0.0548311,0.0481251,0.0411356,0.0342878,0.0279384,0.0223361,0.0175939,0.0137031,0.0105808,0.00811432,0.00618823,0.00469739,0.00355151,0.00267584,0.00200988,0.00150552,0.00112493,0.000838644,0.00062392,0.000463283,0.000343391,0.000254099,0.000187727,0.000138481,0.000102001,7.50184e-05,5.50888e-05,4.03875e-05,-0,-0,-0,-0,-0,-0,-9.33034,-0,-8.61028,-0,-0,-0,-0,-0,-0,-11.8146,-0,-0,-19.0295,-22.04,-16.3335,-18.9458,-14.1159,-23.1285,-21.7977,-26.6189,-22.6749,-32.9285,-40.3144,-21.332,-42.8793,-24.528,-39.2046,-37.7455,-24.2716,-35.0997,-26.9837,-39.3553,-15.2062,-20.201,-4.29013,-18.1948,-0,-0,-0,-11.2808,-5.92349,-0,-6.49862,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,3,2,3,1,11,14,6,10,14,5,14,10,14,15,12,10,11,6,5,5,8,6,2,2,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-517.657,0.999985,0.076889,6,63,0,519.295,-1.75671,-1.61854,-1.58272,-0.169754,5.0231,0.879551,-1.27021,5.20253,2.00355,6.09945e-06,9.31345e-06,1.42309e-05,2.17682e-05,3.3352e-05,5.1228e-05,7.89809e-05,0.000122427,0.000191072,0.000300065,0.000471945,0.000737744,0.00113781,0.00172257,0.00255302,0.0037006,0.00524579,0.00727456,0.00987141,0.013108,0.0170285,0.0215922,0.0267013,0.0322053,0.0379099,0.0435874,0.0489836,0.0538238,0.057818,0.0606692,0.0620912,0.0618616,0.0599354,0.0565295,0.0520212,0.0467995,0.0412042,0.0355181,0.0299717,0.0247493,0.0199925,0.0158004,0.0122283,0.00928527,0.00693634,0.00511282,0.0037287,0.00269627,0.00193636,0.00138276,0.000982708,0.000695516,0.000490474,0.000344766,0.000241642,0.000168919,0.000117797,8.19633e-05,5.69109e-05,3.94374e-05,2.72764e-05,-0,-0,-0,-0,-0,-0,-9.4463,-0,-8.56286,-0,-0,-0,-0,-0,-0,-11.1985,-0,-0,-18.4724,-21.6726,-16.2915,-19.1771,-14.4922,-24.0494,-22.9078,-28.1969,-24.1302,-35.0645,-42.7568,-22.4186,-44.4664,-25.0457,-39.4028,-37.3489,-23.6488,-33.6807,-25.5137,-36.7149,-14.03,-18.4948,-3.9124,-16.5909,-0,-0,-0,-10.552,-5.5917,-0,-6.24694,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,6,6,8,2,10,13,18,12,12,18,10,12,9,9,18,9,6,3,3,3,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
