# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 01:14:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2311cf48f.json
# init = /tmp/RtmpC8O1hA/init-b41c2991c130_3.json
# random
#   seed = 3452006
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0335_rep034_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-202605310214-3-3b560e.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0335_rep034_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605310214-3-4179e9.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.121113
# Diagonal elements of inverse mass matrix:
# 0.0684628, 0.0516097, 0.0253525, 0.0135049, 0.038558, 0.0363999, 0.0484079
-520.1,0.990329,0.121113,5,31,0,522.468,-1.29839,-2.41292,-0.851647,-0.00694661,4.69763,0.00731329,-0.40221,4.8846,1.90826,4.13046e-06,6.78373e-06,1.11384e-05,1.82804e-05,2.99797e-05,4.91074e-05,8.02834e-05,0.000130851,0.000212277,0.000342025,0.000545849,0.00086027,0.00133478,0.00203313,0.00303292,0.00442266,0.0062957,0.00874071,0.0118293,0.015602,0.020055,0.0251117,0.0306312,0.0364107,0.0421955,0.0476962,0.0526098,0.0566442,0.0595431,0.0611119,0.0612415,0.0599264,0.057269,0.0534668,0.048782,0.0435083,0.0379399,0.0323495,0.0269717,0.0219922,0.0175411,0.0136922,0.0104672,0.00784435,0.0057701,0.00417182,0.00296927,0.00208373,0.00144402,0.000989652,0.000671673,0.000451986,0.00030189,0.000200323,0.000132166,8.67588e-05,5.66974e-05,3.69049e-05,2.39362e-05,1.54749e-05,9.97526e-06,-0,-0,-0,-0,-0,-0,-9.42995,-0,-8.45762,-0,-0,-0,-0,-0,-0,-10.842,-0,-0,-17.7487,-20.8018,-15.6371,-18.4221,-13.9429,-23.1902,-22.1581,-27.3861,-23.5588,-34.4516,-42.3158,-22.3604,-44.6869,-25.3317,-40.0399,-38.073,-24.1631,-34.4828,-26.174,-37.7427,-14.4519,-19.0853,-4.04321,-17.1637,-0,-0,-0,-10.9588,-5.81944,-0,-6.54033,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,3,5,7,6,7,9,9,9,10,15,15,16,10,9,8,12,8,7,11,3,4,1,2,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-518.755,0.984444,0.121113,5,31,0,522.634,-2.98388,-1.98289,-1.53829,-0.319556,3.60915,0.463515,-1.10881,5.06383,2.1949,1.82389e-05,2.62392e-05,3.77564e-05,5.43445e-05,7.82522e-05,0.000112742,0.00016256,0.000234636,0.000339122,0.000490876,0.000711493,0.00103168,0.00149347,0.00215166,0.00307406,0.0043404,0.00603914,0.00826133,0.0110909,0.0145911,0.0187901,0.0236375,0.0290175,0.0347487,0.0405904,0.0462538,0.051415,0.0557325,0.0588771,0.0605851,0.0607249,0.0593317,0.0565807,0.0527309,0.0480787,0.0429275,0.0375669,0.0322559,0.0272077,0.022579,0.0184661,0.0149089,0.0119024,0.00940987,0.00737651,0.00573994,0.0044376,0.00341114,0.00260876,0.00198601,0.00150568,0.00113725,0.000856031,0.000642327,0.000480574,0.000358585,0.000266887,0.000198166,0.000146807,0.000108521,8.0048e-05,-0,-0,-0,-0,-0,-0,-8.72447,-0,-7.98915,-0,-0,-0,-0,-0,-0,-10.8796,-0,-0,-18.0065,-21.1367,-15.8977,-18.7246,-14.1594,-23.5173,-22.4296,-27.6625,-23.7426,-34.6463,-42.4845,-22.4296,-44.8224,-25.4215,-40.2092,-38.2532,-24.2793,-34.6307,-26.2531,-37.7746,-14.417,-18.9537,-3.99182,-16.8232,-0,-0,-0,-10.3206,-5.41764,-0,-5.94888,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,2,5,1,4,9,7,7,16,9,14,19,13,8,13,10,13,8,5,5,5,5,5,3,0,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-518.266,0.999549,0.121113,5,63,0,520.457,-2.9573,-2.78714,-0.847068,-0.200007,3.91325,0.382623,-0.711315,5.09612,1.93507,7.11133e-06,1.07108e-05,1.61337e-05,2.43058e-05,3.66247e-05,5.52034e-05,8.32404e-05,0.000125584,0.000189588,0.000286395,0.000432775,0.000653603,0.00098485,0.00147677,0.00219679,0.00323126,0.00468461,0.00667402,0.00931757,0.012715,0.0169237,0.0219303,0.0276356,0.0338485,0.0402942,0.0466324,0.0524831,0.057457,0.0611934,0.0634069,0.0639345,0.0627635,0.0600227,0.0559525,0.0508685,0.0451266,0.0390888,0.0330909,0.0274133,0.0222601,0.0177523,0.013933,0.0107841,0.008247,0.00624165,0.00468177,0.00348453,0.00257589,0.00189283,0.00138354,0.0010065,0.000729086,0.000526099,0.000378292,0.000271136,0.000193757,0.000138081,9.81519e-05,6.96009e-05,4.92422e-05,3.4762e-05,-0,-0,-0,-0,-0,-0,-9.39378,-0,-8.57066,-0,-0,-0,-0,-0,-0,-11.4698,-0,-0,-18.7034,-21.8248,-16.3162,-19.0994,-14.3546,-23.701,-22.4808,-27.5891,-23.5781,-34.2806,-41.9057,-22.0655,-43.9983,-24.9154,-39.3825,-37.4823,-23.8281,-34.0811,-25.9354,-37.4935,-14.3869,-19.0248,-4.03124,-17.094,-0,-0,-0,-10.7282,-5.65942,-0,-6.26968,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,3,2,1,1,4,5,4,6,9,8,19,13,15,18,14,10,12,6,7,7,7,8,5,2,2,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-518.567,0.987169,0.121113,4,31,0,521.244,-2.54051,-2.37528,-0.888403,-0.324238,4.07861,0.654208,-0.444992,5.12702,2.03406,1.21792e-05,1.74918e-05,2.51268e-05,3.61049e-05,5.19012e-05,7.46534e-05,0.000107473,0.000154912,0.000223684,0.000323767,0.000470095,0.000684978,0.00100117,0.0014653,0.00214124,0.00311301,0.00448573,0.00638259,0.00893461,0.012261,0.0164409,0.0214746,0.0272663,0.0336184,0.0402425,0.0467798,0.0528266,0.0579624,0.061788,0.0639827,0.0643783,0.0629965,0.0600174,0.0557256,0.0504659,0.0446108,0.0385295,0.0325569,0.0269651,0.0219419,0.0175857,0.0139162,0.0108968,0.00845809,0.00651713,0.0049904,0.00380091,0.00288145,0.00217543,0.00163637,0.00122683,0.000917031,0.00068359,0.000508295,0.000377072,0.00027912,0.000206191,0.000152022,0.000111875,8.21792e-05,6.02555e-05,-0,-0,-0,-0,-0,-0,-9.13827,-0,-8.40528,-0,-0,-0,-0,-0,-0,-11.5443,-0,-0,-18.8713,-22.0067,-16.4319,-19.2044,-14.4084,-23.7488,-22.4898,-27.5607,-23.5259,-34.1755,-41.7607,-21.9931,-43.8876,-24.8821,-39.3837,-37.5351,-23.8917,-34.2076,-26.0507,-37.6724,-14.4529,-19.0968,-4.04067,-17.0988,-0,-0,-0,-10.6005,-5.57252,-0,-6.13053,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,6,4,8,18,11,10,6,18,19,15,12,8,15,6,11,8,5,3,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-518.849,0.975688,0.121113,5,31,0,522.802,-1.51755,-1.95675,-1.00311,-0.454525,3.33617,0.0695239,-1.09183,4.63775,2.26166,4.4525e-05,6.12152e-05,8.41907e-05,0.000115843,0.000159491,0.000219761,0.000303117,0.000418629,0.000579062,0.000802406,0.00111393,0.00154876,0.00215469,0.00299449,0.00414671,0.00570368,0.00776579,0.0104316,0.0137839,0.0178735,0.022703,0.0281721,0.0340954,0.0402024,0.046151,0.0515545,0.0560215,0.0592079,0.0608712,0.0609126,0.0593884,0.0564887,0.0524949,0.0477335,0.0425353,0.0372032,0.0319907,0.0270896,0.0226278,0.0186746,0.0152508,0.0123417,0.00990932,0.00790248,0.00626522,0.00494197,0.00388093,0.00303583,0.00236658,0.0018392,0.00142541,0.00110195,0.000849952,0.00065421,0.000502569,0.000385372,0.000294991,0.000225425,0.000171975,0.000130973,9.95657e-05,-0,-0,-0,-0,-0,-0,-8.10139,-0,-7.4541,-0,-0,-0,-0,-0,-0,-10.3333,-0,-0,-17.137,-20.1222,-15.141,-17.8471,-13.5144,-22.4968,-21.5309,-26.686,-23.0562,-33.9204,-41.9849,-22.3865,-45.1785,-25.8634,-41.2586,-39.5476,-25.2594,-36.205,-27.5385,-39.6947,-15.1543,-19.903,-4.18312,-17.5791,-0,-0,-0,-10.62,-5.55168,-0,-6.04631,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,4,3,4,5,4,9,6,7,10,13,15,17,14,10,8,11,10,7,4,5,4,4,3,6,2,0,2,2,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0
-521.169,0.994223,0.121113,4,15,0,522.771,-2.08445,-1.06551,-1.08149,-0.556163,3.77519,0.2519,-1.26253,5.33496,2.47834,1.15284e-05,1.54134e-05,2.06334e-05,2.76678e-05,3.71842e-05,5.01263e-05,6.78511e-05,9.23542e-05,0.000126648,0.000175414,0.000246135,0.000351013,0.000510028,0.000755351,0.00113696,0.00172881,0.00263457,0.00399122,0.00596869,0.00876306,0.0125814,0.0175295,0.0236277,0.0307686,0.0386805,0.0469067,0.0548147,0.0616557,0.066689,0.0693577,0.0694448,0.0671116,0.0628074,0.0571232,0.050664,0.0439634,0.0374393,0.0313808,0.0259572,0.0212395,0.0172273,0.0138746,0.0111111,0.00885725,0.00703421,0.00556914,0.00439775,0.00346504,0.0027249,0.00213922,0.00167688,0.00131266,0.00102626,0.000801407,0.000625122,0.00048708,0.000379091,0.000294678,0.000228729,0.00017722,0.00013699,-0,-0,-0,-0,-0,-0,-9.59819,-0,-8.9741,-0,-0,-0,-0,-0,-0,-12.7206,-0,-0,-20.4849,-23.686,-17.5021,-20.2193,-14.9813,-24.3688,-22.7669,-27.5364,-23.2304,-33.4343,-40.6157,-21.3478,-42.6756,-24.3126,-38.7476,-37.2131,-23.8603,-34.3684,-26.2803,-38.0771,-14.6052,-19.2595,-4.06126,-17.1108,-0,-0,-0,-10.381,-5.42666,-0,-5.90532,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,5,6,7,12,12,15,20,19,15,13,7,6,6,6,10,7,5,4,3,3,2,0,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
