# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 01:20:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c22c14be8f.json
# init = /tmp/RtmpC8O1hA/init-b41c2252e8899_3.json
# random
#   seed = 3452007
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0336_rep034_mildly_wrong_strong/prior_sensitivity_obspair_FAST-202605310220-3-2d3ed8.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0336_rep034_mildly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605310220-3-7131ce.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.214171
# Diagonal elements of inverse mass matrix:
# 0.049914, 0.0403356, 0.00658406, 0.00716698, 0.00638851, 0.00582777, 0.0094466
-520.062,0.981011,0.214171,4,31,0,523.863,-1.81137,-1.73767,-1.30749,-0.340983,4.17623,0.209632,-0.832282,5.13914,2.21722,1.86465e-05,2.66423e-05,3.80868e-05,5.4487e-05,7.80265e-05,0.000111884,0.000160707,0.000231326,0.000333782,0.000482766,0.000699438,0.00101347,0.00146493,0.00210569,0.00299987,0.00422281,0.00585827,0.00799311,0.0107093,0.0140739,0.0181271,0.0228281,0.0280765,0.0337088,0.0394997,0.0451704,0.0504033,0.0548625,0.0582248,0.0602214,0.0606884,0.0596071,0.0571099,0.0534434,0.0489139,0.0438397,0.0385192,0.0332127,0.0281318,0.0234341,0.0192224,0.0155482,0.0124197,0.00981185,0.0076776,0.00595808,0.00459091,0.00351589,0.00267842,0.00203109,0.00153403,0.00115451,0.000866135,0.000647939,0.000483457,0.000359872,0.000267288,0.000198112,0.000146549,0.000108197,7.97273e-05,-0,-0,-0,-0,-0,-0,-8.73593,-0,-8.00502,-0,-0,-0,-0,-0,-0,-10.9345,-0,-0,-18.1466,-21.3172,-16.0414,-18.8988,-14.2913,-23.73,-22.6202,-27.8758,-23.9016,-34.8351,-42.6517,-22.4778,-44.832,-25.3798,-40.0789,-38.0787,-24.1415,-34.3994,-26.0528,-37.453,-14.2834,-18.7678,-3.95168,-16.6553,-0,-0,-0,-10.246,-5.38368,-0,-5.92253,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,4,2,3,4,7,3,5,11,12,12,12,14,10,10,13,15,7,9,5,10,4,10,3,4,1,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
-522.181,0.998249,0.214171,4,15,0,524.8,-2.36748,-2.35679,-0.855313,-0.561329,3.52685,0.492716,-0.907106,5.1824,2.42415,5.27738e-05,7.02513e-05,9.3543e-05,0.000124603,0.000166059,0.000221453,0.000295585,0.000394996,0.000528661,0.000709,0.000953341,0.001286,0.00174098,0.00236504,0.00322039,0.00438601,0.00595659,0.00803725,0.0107325,0.0141282,0.018269,0.0231267,0.0285877,0.0344481,0.0404224,0.046163,0.0512889,0.055426,0.0582607,0.0595966,0.0593845,0.0577127,0.0547778,0.0508504,0.0462412,0.0412658,0.0362114,0.0313119,0.0267353,0.0225844,0.0189064,0.015707,0.0129647,0.010642,0.00869347,0.00707189,0.00573142,0.00462963,0.00372849,0.00299462,0.00239926,0.00191789,0.00152988,0.00121798,0.000967871,0.000767772,0.000608007,0.000480682,0.000379384,0.000298917,0.000235092,-0,-0,-0,-0,-0,-0,-8.12655,-0,-7.54516,-0,-0,-0,-0,-0,-0,-10.8587,-0,-0,-18.1379,-21.2979,-16.0102,-18.8338,-14.2191,-23.5781,-22.4586,-27.6802,-23.7622,-34.7125,-42.6424,-22.5613,-45.1796,-25.6705,-40.6626,-38.7253,-24.5911,-35.0649,-26.5471,-38.1013,-14.4871,-18.9525,-3.96826,-16.6146,-0,-0,-0,-9.90325,-5.16179,-0,-5.59175,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,2,5,4,3,6,4,3,6,6,8,7,14,11,12,15,10,12,10,13,5,6,6,6,5,1,3,2,4,0,0,0,0,2,1,0,0,1,0,0,1,0,1,0,1,0
-519.568,0.998366,0.214171,4,31,0,526.375,-0.835673,-1.31993,-1.04862,-0.680407,4.0052,0.099174,-1.03462,4.87863,2.52844,4.24922e-05,5.50699e-05,7.14974e-05,9.30393e-05,0.000121433,0.000159106,0.000209509,0.000277654,0.000370975,0.00050071,0.000684058,0.00094734,0.00133016,0.00189006,0.00270642,0.00388219,0.00554167,0.00782338,0.0108676,0.0147992,0.0197081,0.0254869,0.0319268,0.0387188,0.0454678,0.0517217,0.0570144,0.0609219,0.0631261,0.0634728,0.0620041,0.0589442,0.0546445,0.0495118,0.0439455,0.0382943,0.0328337,0.0277582,0.0231866,0.0191729,0.0157218,0.0128044,0.0103712,0.00836368,0.00672129,0.00538649,0.00430724,0.00343812,0.0027404,0.00218167,0.0017351,0.00137874,0.00109471,0.000868538,0.000688563,0.000545399,0.00043152,0.000340906,0.000268754,0.000211243,0.000165346,-0,-0,-0,-0,-0,-0,-8.47074,-0,-7.89938,-0,-0,-0,-0,-0,-0,-11.1027,-0,-0,-18.0879,-21.0659,-15.7069,-18.348,-13.7772,-22.76,-21.6352,-26.6569,-22.9156,-33.578,-41.4393,-22.0571,-44.4889,-25.4805,-40.6967,-39.0721,-24.9984,-35.887,-27.3304,-39.4265,-15.0567,-19.7713,-4.1527,-17.4319,-0,-0,-0,-10.4477,-5.44746,-0,-5.89965,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,2,2,4,8,2,4,6,11,12,7,14,13,15,17,12,9,9,12,5,5,3,4,3,3,6,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-520.141,0.984649,0.214171,4,15,0,523.849,-0.981746,-1.37217,-1.01816,-0.564631,3.9347,-0.00424116,-1.04749,4.80162,2.39321,3.34044e-05,4.45741e-05,5.95589e-05,7.97226e-05,0.000106961,0.000143944,0.000194479,0.000264088,0.000360904,0.000497067,0.000690838,0.000969605,0.00137376,0.00196095,0.00280972,0.00402099,0.00571592,0.00802887,0.0110952,0.0150343,0.01993,0.0256931,0.0321313,0.0389463,0.0457463,0.0520749,0.0574569,0.0614566,0.0637443,0.0641541,0.0627147,0.0596386,0.0552713,0.0500228,0.0443034,0.0384777,0.0328376,0.0275926,0.0228728,0.0187396,0.0152012,0.0122281,0.00976838,0.00775888,0.0061339,0.00483064,0.00379231,0.00296943,0.00232008,0.00180943,0.00140899,0.00109569,0.000851043,0.000660299,0.000511776,0.000396247,0.000306451,0.000236692,0.000182511,0.000140431,0.000107744,-0,-0,-0,-0,-0,-0,-8.54519,-0,-7.9269,-0,-0,-0,-0,-0,-0,-11.0325,-0,-0,-18.005,-20.9871,-15.6621,-18.3077,-13.7517,-22.719,-21.5925,-26.5956,-22.8538,-33.4731,-41.2931,-21.9717,-44.3065,-25.3751,-40.537,-38.9386,-24.9336,-35.8344,-27.3295,-39.4923,-15.1112,-19.8856,-4.18638,-17.6161,-0,-0,-0,-10.6656,-5.57478,-0,-6.06615,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,4,9,4,10,5,13,8,12,11,10,8,8,12,16,10,13,8,11,4,4,0,5,3,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
-520.451,0.996027,0.214171,4,15,0,522.219,-2.41538,-2.24431,-0.95305,-0.355303,3.91772,0.49029,-0.674251,5.0939,2.1116,1.64301e-05,2.334e-05,3.31638e-05,4.71385e-05,6.70344e-05,9.53926e-05,0.000135877,0.000193801,0.00027692,0.000396631,0.000569746,0.000820947,0.00118579,0.00171384,0.0024714,0.00354308,0.00503106,0.00705017,0.00971692,0.0131314,0.0173535,0.022368,0.0280723,0.0342705,0.0406806,0.0469528,0.0526949,0.0575027,0.0610027,0.0629107,0.0630927,0.0615879,0.0585802,0.0543506,0.0492357,0.0435925,0.0377673,0.032066,0.0267301,0.0219229,0.017729,0.014167,0.0112071,0.00879058,0.00684573,0.0052985,0.00407927,0.00312606,0.0023858,0.0018142,0.00137502,0.00103905,0.000783044,0.000588638,0.000441474,0.000330387,0.000246749,0.000183928,0.000136843,0.000101625,7.53311e-05,-0,-0,-0,-0,-0,-0,-8.90376,-0,-8.19178,-0,-0,-0,-0,-0,-0,-11.2855,-0,-0,-18.5355,-21.6638,-16.2159,-19.0006,-14.2919,-23.6143,-22.414,-27.5275,-23.5459,-34.2711,-41.9526,-22.1283,-44.2104,-25.0856,-39.723,-37.8599,-24.0891,-34.4616,-26.2105,-37.8395,-14.4879,-19.1011,-4.03255,-17.0274,-0,-0,-0,-10.4807,-5.50184,-0,-6.03822,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,5,3,7,6,7,11,12,4,6,18,18,10,12,13,11,11,6,6,9,5,2,1,2,1,6,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
-522.212,0.995181,0.214171,4,31,0,525.046,-2.32289,-1.91268,-1.11722,-0.513443,3.2536,0.36653,-0.78762,4.98183,2.41296,4.47495e-05,6.04107e-05,8.15777e-05,0.000110206,0.000148964,0.000201501,0.000272838,0.000369919,0.000502418,0.00068391,0.000933573,0.00127854,0.00175687,0.00242072,0.00333873,0.00459658,0.00629461,0.00854145,0.0114426,0.0150841,0.0195131,0.0246835,0.0304622,0.036621,0.0428421,0.0487355,0.053871,0.057832,0.0602895,0.0610732,0.0601977,0.0578343,0.0542581,0.049798,0.0447948,0.0395672,0.0343864,0.0294602,0.0249291,0.0208719,0.017317,0.0142564,0.0116587,0.00947962,0.00766918,0.00617714,0.0049559,0.00396217,0.00315769,0.00250932,0.00198884,0.00157252,0.00124056,0.000976638,0.00076736,0.000601805,0.000471123,0.000368171,0.000287211,0.000223652,0.000173829,-0,-0,-0,-0,-0,-0,-8.20663,-0,-7.59608,-0,-0,-0,-0,-0,-0,-10.7649,-0,-0,-17.8816,-20.9706,-15.7467,-18.5081,-13.9651,-23.1499,-22.0516,-27.1921,-23.3693,-34.2026,-42.129,-22.3655,-44.9619,-25.6516,-40.796,-38.9971,-24.8453,-35.5273,-26.9608,-38.7719,-14.7669,-19.3468,-4.05607,-17.0022,-0,-0,-0,-10.1738,-5.30718,-0,-5.75791,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2,0,5,6,5,6,10,11,10,7,11,13,7,10,17,13,8,7,8,5,5,8,4,2,3,2,5,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
