# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 01:44:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c26a36c783.json
# init = /tmp/RtmpC8O1hA/init-b41c22f551a7d_4.json
# random
#   seed = 3452011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0340_rep034_manuscript_default/prior_sensitivity_obspair_FAST-202605310244-4-38fd9b.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0340_rep034_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605310244-4-0e0ac5.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0666054
# Diagonal elements of inverse mass matrix:
# 0.0938061, 0.098895, 0.128754, 0.0461699, 0.0971429, 0.167341, 0.169146
-522.409,0.999012,0.0666054,6,63,0,526.835,-3.2638,-3.21878,-0.807619,-0.398764,3.42961,2.17497,-1.23673,4.82479,2.09468,2.27707e-05,3.18542e-05,4.45635e-05,6.23477e-05,8.72375e-05,0.00012208,0.00017087,0.000239222,0.000335039,0.000469478,0.000658342,0.000924134,0.00129913,0.00182996,0.00258215,0.00364398,0.00513081,0.0071874,0.00998367,0.0136945,0.0184451,0.0242173,0.030827,0.0379845,0.0453105,0.0523309,0.058483,0.063161,0.065854,0.0663948,0.064888,0.0616064,0.0569166,0.0512351,0.0450126,0.0387141,0.0327188,0.0272572,0.0224366,0.018282,0.0147675,0.0118388,0.00942814,0.00746443,0.00587888,0.00460842,0.00359722,0.00279709,0.00216729,0.00167389,0.00128898,0.00098986,0.000758217,0.000579405,0.000441778,0.000336135,0.000255244,0.000193447,0.000146336,0.000110491,8.32673e-05,-0,-0,-0,-0,-0,-0,-8.67461,-0,-8.00126,-0,-0,-0,-0,-0,-0,-11.2294,-0,-0,-18.4272,-21.4538,-15.9718,-18.6034,-13.9175,-22.894,-21.6595,-26.5515,-22.7122,-33.1448,-40.8047,-21.6971,-43.7615,-25.0829,-40.1264,-38.6273,-24.8065,-35.7671,-27.3584,-39.6268,-15.1882,-20.0092,-4.21532,-17.7455,-0,-0,-0,-10.7597,-5.6276,-0,-6.13428,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,3,2,3,5,5,14,5,12,10,11,10,15,16,10,8,12,11,3,9,3,4,7,4,1,2,3,0,0,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0
-525.139,0.980087,0.0666054,6,63,0,528.21,-0.99647,-0.825618,-1.11748,0.998133,4.47189,-1.26592,-0.894699,5.5803,2.46234,7.68744e-06,1.37652e-05,2.38314e-05,3.99865e-05,6.51869e-05,0.000103513,0.00016051,0.000243631,0.000362802,0.000531146,0.000765886,0.00108944,0.0015307,0.00212638,0.00292238,0.00397489,0.00535092,0.007128,0.00939264,0.0122372,0.0157552,0.0198737,0.0244797,0.0294221,0.034517,0.0395557,0.0443149,0.0485702,0.0521095,0.0547485,0.056345,0.0568113,0.0561229,0.0543229,0.0515198,0.0478787,0.0436069,0.0389344,0.0340935,0.0292978,0.0247269,0.0205155,0.0167506,0.0134738,0.0106888,0.00837098,0.0064773,0.00495519,0.00374938,0.00280661,0.00207835,0.00152223,0.00110228,0.000788708,0.000557259,0.000388485,0.000266988,0.000180722,0.000120372,7.88183e-05,5.0689e-05,-0,-0,-0,-0,-0,-0,-8.73716,-0,-7.92165,-0,-0,-0,-0,-0,-0,-11.0555,-0,-0,-18.6713,-22.0164,-16.6023,-19.5918,-14.8396,-24.6821,-23.5641,-29.0704,-24.9315,-36.2969,-44.3161,-23.24,-46.0202,-25.8122,-40.323,-37.8665,-23.7263,-33.4299,-25.0603,-35.7046,-13.5146,-17.6512,-3.69987,-15.5463,-0,-0,-0,-9.56597,-5.03945,-0,-5.58616,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,2,3,5,6,3,7,6,10,11,15,6,10,12,12,12,8,10,6,12,9,8,4,3,0,3,2,2,3,0,1,2,0,0,1,0,0,0,0,0,0,0,0
-524.314,0.990566,0.0666054,4,15,0,527.824,-0.665446,-0.560506,-0.855272,1.00125,4.45595,-1.02979,-0.824968,4.84027,2.13024,4.91505e-07,1.07902e-06,2.25907e-06,4.52036e-06,8.67131e-06,1.60066e-05,2.85531e-05,4.94428e-05,8.34901e-05,0.000138096,0.000224662,0.000360768,0.00057342,0.000903657,0.0014127,0.00218936,0.003358,0.00508513,0.00758236,0.0111027,0.0159277,0.021928,0.0288693,0.0364218,0.044179,0.0516832,0.0584573,0.0640401,0.0680261,0.0701058,0.0701035,0.0680066,0.0639784,0.0583473,0.0515707,0.044176,0.0366893,0.0295687,0.0231551,0.0176503,0.0131243,0.00954181,0.00679919,0.00475939,0.00327953,0.00222842,0.00149515,0.000991407,0.000649909,0.000421125,0.000269547,0.000170229,0.000105917,6.48168e-05,3.89404e-05,2.29247e-05,1.32017e-05,7.4248e-06,4.07245e-06,2.17588e-06,1.13141e-06,-0,-0,-0,-0,-0,-0,-10.4637,-0,-9.39078,-0,-0,-0,-0,-0,-0,-12.2483,-0,-0,-19.5277,-22.5028,-16.5588,-19.1,-14.1799,-23.1881,-21.8365,-26.6636,-22.7157,-32.979,-40.318,-21.262,-42.5245,-24.1934,-38.4889,-36.9375,-23.7184,-34.3153,-26.4422,-38.7314,-15.0622,-20.185,-4.33329,-18.6083,-0,-0,-0,-12.2129,-6.50553,-0,-7.33868,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,3,2,10,4,12,12,14,10,15,9,14,17,15,6,11,4,10,8,7,5,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-524.607,0.997974,0.0666054,6,63,0,526.737,-3.13256,-1.53486,-2.79526,0.74382,4.65694,0.787493,-1.51626,4.83098,1.66188,2.0344e-08,5.82446e-08,1.66717e-07,4.76878e-07,1.36129e-06,3.86273e-06,1.078e-05,2.88988e-05,7.18767e-05,0.000161694,0.000328269,0.000609068,0.00104957,0.00170443,0.00263909,0.00393132,0.00567174,0.00796104,0.0109002,0.0145703,0.0190069,0.0240966,0.0296629,0.0354977,0.0413905,0.0471375,0.0525337,0.0573582,0.0613584,0.0642358,0.0656402,0.0651907,0.0625951,0.0579438,0.0518971,0.0452844,0.0386729,0.0323572,0.0264807,0.0211202,0.0163279,0.0121484,0.00862318,0.00578324,0.00363176,0.00212318,0.00115523,0.000588373,0.00028325,0.000130288,5.78178e-05,2.49463e-05,1.05265e-05,4.36294e-06,1.78194e-06,7.18926e-07,2.87054e-07,1.13596e-07,4.46062e-08,1.73966e-08,6.74394e-09,-0,-0,-0,-0,-0,-0,-11.4378,-0,-9.54056,-0,-0,-0,-0,-0,-0,-11.0776,-0,-0,-18.0759,-21.1438,-15.8518,-18.6284,-14.0714,-23.368,-22.2929,-27.4922,-23.5704,-34.3013,-41.8654,-21.9616,-43.5771,-24.5739,-38.795,-37.0277,-23.6679,-34.0427,-26.0209,-37.7401,-14.5254,-19.2876,-4.11488,-17.6422,-0,-0,-0,-12.3097,-6.76346,-0,-8.16918,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,3,3,3,3,7,9,8,6,17,5,11,11,12,12,17,11,11,19,5,8,2,3,3,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-521.822,0.988174,0.0666054,6,63,0,526.347,-2.25575,-1.48555,0.138641,-0.229746,2.54069,-0.81048,-0.471455,5.01835,2.31614,2.55093e-05,3.76996e-05,5.56264e-05,8.1918e-05,0.00012035,0.000176307,0.000257388,0.000374205,0.000541371,0.000778683,0.00111245,0.00157681,0.00221489,0.0030793,0.0042317,0.00574058,0.00767706,0.010108,0.0130869,0.016643,0.0207699,0.0254054,0.0304267,0.035648,0.0408276,0.0456866,0.0499368,0.0533135,0.0556079,0.0566912,0.056526,0.0551654,0.0527405,0.0494397,0.045485,0.0411085,0.036532,0.0319519,0.027529,0.0233852,0.0196026,0.0162281,0.0132783,0.0107466,0.00860915,0.00683138,0.00537273,0.00419069,0.00324361,0.00249262,0.00190277,0.00144352,0.00108881,0.000816861,0.000609784,0.000453086,0.000335196,0.000246975,0.00018128,0.000132584,9.66388e-05,-0,-0,-0,-0,-0,-0,-8.26493,-0,-7.52141,-0,-0,-0,-0,-0,-0,-10.3204,-0,-0,-17.3446,-20.4788,-15.497,-18.364,-13.9697,-23.3384,-22.3888,-27.7735,-23.976,-35.1788,-43.3414,-22.9611,-45.9689,-26.0768,-41.1932,-39.091,-24.723,-35.1069,-26.4765,-37.8788,-14.3701,-18.7783,-3.93209,-16.484,-0,-0,-0,-9.97246,-5.22642,-0,-5.73107,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,2,0,0,3,5,3,6,4,10,12,11,10,11,16,9,9,11,16,9,10,8,5,5,4,4,2,2,2,2,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0
-519.236,0.998373,0.0666054,6,63,0,523.97,-2.05119,-2.10593,0.0897042,-0.124317,3.11612,-0.683879,-0.540342,4.96275,2.10187,1.06913e-05,1.65326e-05,2.55267e-05,3.9339e-05,6.04817e-05,9.27165e-05,0.000141623,0.000215388,0.000325862,0.00048993,0.000731199,0.00108194,0.00158508,0.00229595,0.00328305,0.00462712,0.00641756,0.00874519,0.0116911,0.0153121,0.0196238,0.0245812,0.0300659,0.0358803,0.0417522,0.0473534,0.0523312,0.0563491,0.0591293,0.060488,0.0603566,0.0587853,0.0559302,0.0520279,0.0473633,0.0422359,0.0369306,0.0316953,0.0267269,0.0221659,0.0180985,0.0145628,0.0115586,0.00905798,0.00701458,0.0053726,0.00407311,0.00305883,0.00227708,0.00168145,0.00123237,0.000897004,0.00064875,0.000466445,0.000333548,0.000237318,0.000168065,0.000118508,8.32287e-05,5.82329e-05,4.0601e-05,-0,-0,-0,-0,-0,-0,-8.86234,-0,-8.02904,-0,-0,-0,-0,-0,-0,-10.7516,-0,-0,-17.7957,-20.8956,-15.724,-18.5289,-14.0175,-23.293,-22.232,-27.451,-23.6013,-34.5143,-42.4204,-22.4425,-44.9198,-25.5048,-40.3711,-38.4277,-24.3993,-34.8093,-26.3897,-37.9675,-14.4883,-19.046,-4.01193,-16.9171,-0,-0,-0,-10.4529,-5.50335,-0,-6.08486,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,0,2,4,4,3,7,7,8,7,11,9,17,10,13,14,11,13,6,7,10,6,5,2,4,2,3,1,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
