# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 02:05:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c23193f1d2.json
# init = /tmp/RtmpC8O1hA/init-b41c24024738c_4.json
# random
#   seed = 3552003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0342_rep035_accurate_moderate/prior_sensitivity_obspair_FAST-202605310305-4-8900fe.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0342_rep035_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605310305-4-6ced40.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.134873
# Diagonal elements of inverse mass matrix:
# 0.0804907, 0.0588238, 0.0505443, 0.00625534, 0.0741421, 0.0240086, 0.0572263
-550.899,0.996981,0.134873,4,31,0,553.297,-1.99422,-3.59887,-1.06923,-0.367543,3.92155,0.126094,-1.29001,5.12898,2.21396,3.80362e-05,5.37796e-05,7.60417e-05,0.000107523,0.000152038,0.000214975,0.00030392,0.000429507,0.000606521,0.000855231,0.00120283,0.00168471,0.00234517,0.00323717,0.00442071,0.00595947,0.00791537,0.0103411,0.0132713,0.0167126,0.0206362,0.0249677,0.0295896,0.0343446,0.0390442,0.0434798,0.0474367,0.0507092,0.0531181,0.0545284,0.0548655,0.0541237,0.0523646,0.0497067,0.046311,0.0423655,0.0380701,0.033622,0.0292021,0.024964,0.0210258,0.0174671,0.01433,0.0116245,0.00933523,0.00743018,0.00586743,0.0046012,0.00358609,0.00277972,0.00214424,0.00164686,0.00125994,0.000960522,0.000729917,0.00055305,0.000417909,0.000314999,0.000236872,0.000177726,0.000133064,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.73306,-5.42145,-5.12277,-9.6779,-4.57162,-21.6108,-16.3664,-15.5228,-7.38034,-28.1627,-23.5992,-32.4306,-31.3546,-42.677,-29.8165,-46.9638,-23.2723,-34.8345,-32.0813,-29.4952,-27.0145,-27.6514,-12.6457,-16.3416,-23.748,-10.6005,-7.38064,-15.448,-8.09487,-16.9816,-4.45464,-0,-14.7066,-10.2767,-16.1443,-0,-0,-0,-6.40888,-13.3534,-0,-7.22258,-0,-7.78025,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,4,5,4,8,6,3,8,3,12,14,9,5,13,14,8,15,14,5,5,6,7,4,5,2,1,2,3,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0
-548.004,0.992698,0.134873,5,31,0,552.95,-2.23696,-1.88117,-1.4614,-0.544821,3.23974,0.0981504,-0.624658,5.21058,2.58956,6.66584e-05,8.91769e-05,0.000119343,0.000159786,0.000214057,0.000286971,0.000385074,0.000517285,0.000695774,0.000937117,0.00126373,0.00170546,0.00230106,0.00309911,0.00415779,0.00554328,0.00732635,0.00957722,0.0123586,0.0157179,0.0196787,0.0241749,0.0290872,0.0342405,0.0394075,0.0443179,0.0486773,0.0521959,0.054629,0.0558176,0.055717,0.0543965,0.0520151,0.0487872,0.0449495,0.0407368,0.0363638,0.0320137,0.0278321,0.0239242,0.0203581,0.0171685,0.014364,0.0119336,0.0098531,0.00809084,0.00661147,0.00537918,0.00435954,0.00352077,0.00283433,0.00227509,0.00182131,0.00145445,0.0011588,0.000921255,0.000730894,0.000578713,0.000457323,0.000360688,0.000283901,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.77664,-5.48277,-5.19517,-9.83256,-4.64837,-21.967,-16.6118,-15.7129,-7.44488,-28.2997,-23.6204,-32.338,-31.1637,-42.3156,-29.5275,-46.5151,-23.0853,-34.6496,-32.026,-29.5622,-27.1826,-27.9199,-12.8025,-16.5709,-24.0911,-10.7447,-7.46573,-15.5771,-8.12935,-16.9721,-4.4284,-0,-14.4511,-10.0379,-15.6757,-0,-0,-0,-6.08574,-12.6164,-0,-6.76037,-0,-7.22124,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,5,1,3,6,2,9,3,6,13,9,11,10,7,10,10,13,9,13,10,4,5,11,3,4,5,3,0,2,4,1,2,0,0,0,1,1,0,0,1,0,0,0,0,0
-551.779,0.949581,0.134873,4,23,0,555.129,-1.27255,-1.61738,-1.46599,-0.406467,3.2726,0.224278,-1.31506,4.39816,2.20248,3.66919e-05,5.12441e-05,7.15964e-05,0.000100087,0.000140019,0.00019608,0.000274952,0.00038621,0.000543638,0.000767112,0.00108513,0.0015379,0.00218026,0.00308349,0.00433478,0.00603368,0.00828539,0.0111909,0.0148348,0.0192712,0.0245115,0.0303985,0.0366941,0.0430843,0.049194,0.0546124,0.0589294,0.0617869,0.0629405,0.0623157,0.0600278,0.0563483,0.0516372,0.0462772,0.0406277,0.0349965,0.0296258,0.0246874,0.0202847,0.0164621,0.0132168,0.0105135,0.00829709,0.00650379,0.00506863,0.00393051,0.00303479,0.00233436,0.0017896,0.0013679,0.00104279,0.000793024,0.000601756,0.000455694,0.000344435,0.00025988,0.000195751,0.000147204,0.000110515,8.28297e-05,6.19677e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.78169,-5.44108,-5.1104,-9.58652,-4.49265,-21.0539,-15.7966,-14.8344,-6.98672,-26.4411,-22.0122,-30.1198,-29.075,-39.6398,-27.8406,-44.249,-22.2043,-33.7554,-31.6382,-29.6351,-27.6579,-28.8297,-13.41,-17.5955,-25.9102,-11.6937,-8.21339,-17.3051,-9.11019,-19.1674,-5.03537,-0,-16.617,-11.5952,-18.1801,-0,-0,-0,-7.13966,-14.8313,-0,-7.9736,-0,-8.53867,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,3,2,3,6,7,5,11,5,12,13,13,8,12,15,8,12,12,16,8,7,4,4,4,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-550.66,0.990881,0.134873,5,31,0,554.655,-1.96827,-2.60482,-0.862954,-0.679535,3.40921,-0.0862525,-0.678757,5.43947,2.75953,0.00013822,0.000178276,0.000230003,0.000296844,0.000383273,0.000495122,0.000640003,0.000827857,0.00107166,0.00138832,0.00179968,0.00233365,0.00302516,0.00391654,0.00505704,0.00650072,0.00830254,0.0105125,0.0131683,0.0162869,0.0198567,0.0238191,0.028072,0.0324696,0.0368286,0.0409397,0.0445859,0.0475638,0.0497083,0.0509113,0.0511327,0.0503998,0.0487985,0.0464589,0.0435387,0.0402073,0.036631,0.0329613,0.029327,0.0258297,0.0225435,0.0195166,0.0167748,0.0143263,0.0121661,0.0102797,0.00864697,0.00724446,0.00604762,0.00503216,0.0041749,0.00345439,0.00285119,0.00234796,0.00192943,0.00158231,0.00129514,0.0010581,0.000862846,0.000702309,0.00057055,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.54255,-5.28697,-5.03584,-9.58239,-4.55519,-21.6497,-16.4696,-15.6769,-7.47453,-28.5839,-23.9922,-33.0148,-31.9565,-43.5447,-30.4568,-48.0253,-23.8214,-35.68,-32.8655,-30.2006,-27.6227,-28.2069,-12.8548,-16.5343,-23.8869,-10.5877,-7.31246,-15.1692,-7.87298,-16.3515,-4.24566,-0,-13.7327,-9.50109,-14.7826,-0,-0,-0,-5.66811,-11.72,-0,-6.25053,-0,-6.64914,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,2,2,2,5,4,6,8,7,6,11,8,4,14,14,10,9,10,7,5,12,4,8,6,7,3,5,1,3,4,2,1,2,0,1,1,0,0,1,1,0,0,0,0,0
-550.759,0.986897,0.134873,4,31,0,556.301,-1.86348,-2.63719,-1.01549,-0.616388,2.47611,0.584043,-0.876515,4.42133,2.49704,0.00011742,0.000153869,0.000201657,0.00026433,0.000346554,0.000454483,0.000596243,0.000782594,0.00102783,0.00135101,0.00177767,0.00234211,0.00309058,0.00408488,0.00540576,0.00715323,0.00944099,0.0123832,0.0160735,0.0205587,0.0258108,0.0316703,0.0378622,0.0440093,0.0496647,0.0543651,0.0577083,0.0594395,0.0594954,0.0579871,0.0551545,0.0513158,0.0468177,0.0419893,0.0371091,0.0323879,0.0279687,0.0239353,0.020326,0.0171463,0.0143804,0.0119994,0.00996769,0.00824671,0.00679825,0.0055859,0.00457612,0.00373869,0.00304688,0.00247735,0.00200997,0.00162751,0.00131537,0.00106122,0.000854735,0.000687314,0.000551807,0.000442309,0.000353956,0.000282762,0.000225468,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.50046,-5.22029,-4.94019,-9.32539,-4.39142,-20.6529,-15.5379,-14.6279,-6.90475,-26.1904,-21.8635,-30.0246,-29.1203,-39.933,-28.228,-45.1497,-22.7803,-34.7714,-32.6673,-30.6149,-28.5331,-29.645,-13.7199,-17.8833,-26.1268,-11.6876,-8.13195,-16.9676,-8.84579,-18.4336,-4.79794,-0,-15.5625,-10.7738,-16.7671,-0,-0,-0,-6.4207,-13.2673,-0,-7.06472,-0,-7.50231,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,2,1,7,6,8,8,3,7,11,14,10,8,9,13,12,9,8,8,10,4,5,2,7,5,4,0,3,2,1,2,2,0,3,0,1,0,0,0,0,0,0,0,0,0
-547.6,0.999619,0.134873,4,15,0,551.709,-1.96274,-2.67921,-1.14651,-0.638152,3.01213,0.447848,-0.874164,4.89351,2.59133,0.000121267,0.000158015,0.000205934,0.000268443,0.000350027,0.000456577,0.000595848,0.000778087,0.00101687,0.00133025,0.00174227,0.00228491,0.00300027,0.00394232,0.00517719,0.00678077,0.00883306,0.0114089,0.0145655,0.0183274,0.0226723,0.0274993,0.0326399,0.0378633,0.0428913,0.0474194,0.0511464,0.0538144,0.0552529,0.0554053,0.0543256,0.0521551,0.0490957,0.0453832,0.0412619,0.036961,0.0326758,0.0285578,0.024712,0.0212016,0.0180556,0.015278,0.0128554,0.0107638,0.00897324,0.00745146,0.00616614,0.00508641,0.00418368,0.00343212,0.00280875,0.00229345,0.00186879,0.00151978,0.00123366,0.000999636,0.000808612,0.00065298,0.0005264,0.000423612,0.000340271,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.53598,-5.26349,-4.99366,-9.45851,-4.47336,-21.1455,-15.9974,-15.1464,-7.18719,-27.3778,-22.9164,-31.4909,-30.4872,-41.6229,-29.2221,-46.3334,-23.1446,-34.9531,-32.4889,-30.1398,-27.8335,-28.6903,-13.1916,-17.1056,-24.8908,-11.1014,-7.70736,-16.0572,-8.36268,-17.416,-4.53157,-0,-14.698,-10.1774,-15.8435,-0,-0,-0,-6.0777,-12.5649,-0,-6.69777,-0,-7.12019,-0,-0,-0,-0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,2,1,1,0,2,4,4,10,4,7,10,14,8,14,12,10,7,8,15,10,7,12,6,1,5,5,4,1,2,2,3,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
