# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 02:11:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c248f6fb38.json
# init = /tmp/RtmpC8O1hA/init-b41c21af0e470_1.json
# random
#   seed = 3552004
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0343_rep035_accurate_strong/prior_sensitivity_obspair_FAST-202605310311-1-63e461.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0343_rep035_accurate_strong/prior_sensitivity_obspair_FAST-profile-202605310311-1-348dcd.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.165955
# Diagonal elements of inverse mass matrix:
# 0.0522437, 0.0428495, 0.00664517, 0.00596246, 0.0126707, 0.00760826, 0.00740542
-550.201,0.995372,0.165955,4,31,0,553.778,-1.19179,-1.38922,-1.45043,-0.414186,3.59048,-0.0747348,-1.15332,4.72246,2.33613,3.48673e-05,4.86089e-05,6.78079e-05,9.4666e-05,0.000132298,0.000185126,0.000259451,0.000364263,0.000512379,0.000721973,0.00101848,0.00143677,0.00202315,0.00283689,0.00395038,0.00544769,0.00742103,0.00996496,0.0131687,0.0171068,0.0218298,0.0272067,0.0330408,0.0390718,0.0449848,0.0504283,0.0550408,0.0584881,0.0605073,0.0609498,0.0598118,0.057236,0.0534821,0.0488764,0.0437591,0.0384437,0.0331926,0.0282064,0.0236237,0.0195264,0.015949,0.012889,0.010318,0.00819116,0.00645524,0.00505468,0.00393588,0.00304975,0.00235301,0.00180861,0.00138553,0.00105828,0.000806176,0.000612653,0.000464564,0.000351556,0.00026553,0.000200186,0.000150648,0.000113156,8.48244e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.86505,-5.53394,-5.21256,-9.80687,-4.60868,-21.6496,-16.2731,-15.2979,-7.20858,-27.2801,-22.6965,-31.0143,-29.872,-40.5955,-28.3893,-44.8799,-22.3816,-33.7986,-31.4663,-29.2841,-27.1661,-28.1615,-13.0342,-17.0271,-24.9774,-11.2365,-7.87197,-16.5534,-8.70277,-18.2955,-4.8047,-0,-15.8623,-11.0752,-17.3781,-0,-0,-0,-6.85111,-14.2464,-0,-7.67441,-0,-8.23378,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,4,3,3,3,3,2,4,11,2,9,13,9,12,13,9,15,13,9,11,13,8,6,4,5,2,2,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
-550.159,0.981678,0.165955,3,7,0,552.763,-1.5073,-1.35658,-1.40262,-0.439971,3.5825,-0.164297,-1.23139,5.03993,2.44096,3.45511e-05,4.77671e-05,6.60778e-05,9.14778e-05,0.000126764,0.000175871,0.00024435,0.000340042,0.000474024,0.000661867,0.000925238,0.00129377,0.00180701,0.00251601,0.0034842,0.00478688,0.00650909,0.00874131,0.0115733,0.0150859,0.0193423,0.0242649,0.0297139,0.0354834,0.0413045,0.0468576,0.0517945,0.0557724,0.0584965,0.0597657,0.0595079,0.057792,0.0548111,0.0508431,0.0462025,0.0411984,0.0361045,0.0311428,0.026478,0.0222191,0.0184262,0.0151196,0.0122894,0.00990538,0.00792466,0.00629855,0.00497724,0.00391312,0.00306269,0.00238754,0.00185464,0.00143612,0.00110888,0.00085399,0.000656137,0.00050302,0.000384844,0.000293853,0.000223942,0.000170331,0.000129287,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.98508,-5.65952,-5.34188,-10.0691,-4.73969,-22.2953,-16.776,-15.7818,-7.43745,-28.1291,-23.3708,-31.8678,-30.6064,-41.4466,-28.8648,-45.4206,-22.5386,-33.8598,-31.36,-29.0386,-26.8111,-27.6725,-12.7574,-16.6067,-24.2842,-10.8943,-7.61361,-15.9759,-8.38353,-17.5961,-4.61468,-0,-15.2023,-10.6058,-16.6303,-0,-0,-0,-6.54581,-13.6088,-0,-7.32914,-0,-7.86267,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,4,1,1,3,7,6,7,7,7,10,9,11,9,13,13,16,9,12,10,4,5,6,2,5,6,3,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
-549.57,0.99294,0.165955,4,15,0,554.632,-1.4487,-1.34174,-1.38371,-0.445683,3.61879,-0.130332,-1.16909,4.98868,2.42237,3.35179e-05,4.6263e-05,6.3898e-05,8.8333e-05,0.00012225,0.000169427,0.000235216,0.000327209,0.000456199,0.00063748,0.000892533,0.00125104,0.00175303,0.00245073,0.00340963,0.00470824,0.00643589,0.00868843,0.0115616,0.0151423,0.0194991,0.0245502,0.0301475,0.036073,0.0420425,0.0477185,0.0527347,0.0567326,0.0594078,0.0605584,0.0601224,0.0581882,0.0549734,0.0507795,0.04594,0.040776,0.0355666,0.0305337,0.0258379,0.0215815,0.0178168,0.0145563,0.011783,0.00946062,0.00754176,0.00597448,0.00470699,0.0036906,0.00288149,0.00224139,0.00173775,0.00134331,0.00103566,0.000796558,0.000611315,0.000468198,0.0003579,0.000273081,0.000207981,0.000158101,0.000119941,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.01137,-5.68115,-5.35844,-10.0917,-4.74576,-22.3003,-16.761,-15.7496,-7.41407,-28.0132,-23.2555,-31.6907,-30.4244,-41.1948,-28.6941,-45.1733,-22.4332,-33.7365,-31.2848,-29.0091,-26.8224,-27.7238,-12.7987,-16.6817,-24.4225,-10.9677,-7.67184,-16.1104,-8.45946,-17.7644,-4.66062,-0,-15.3608,-10.7174,-16.8059,-0,-0,-0,-6.61262,-13.7454,-0,-7.3999,-0,-7.93526,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,7,7,5,5,13,9,11,11,19,14,13,8,6,8,6,12,3,7,5,4,4,4,1,3,3,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
-547.863,0.99817,0.165955,4,15,0,550.669,-1.34834,-2.01139,-1.41497,-0.583089,3.5578,0.0762258,-1.1895,4.94272,2.52317,9.8706e-05,0.000130683,0.0001731,0.000229423,0.000304305,0.000404013,0.000537012,0.000714759,0.000952747,0.00127181,0.00169958,0.00227181,0.00303316,0.0040367,0.00534206,0.00701171,0.00910573,0.0116753,0.0147553,0.0183573,0.0224634,0.0269719,0.0317363,0.0365687,0.0412483,0.0455346,0.0491851,0.0519785,0.0537406,0.0543699,0.0538541,0.0522687,0.049759,0.046515,0.0427455,0.0386582,0.0344448,0.0302708,0.0262688,0.0225363,0.0191365,0.016102,0.01344,0.0111394,0.00917594,0.00751808,0.00613091,0.00497913,0.00402907,0.0032498,0.0026137,0.00209667,0.00167795,0.00133996,0.00106791,0.00084949,0.000674531,0.000534669,0.000423069,0.000334169,0.000263458,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.51233,-5.23214,-4.96017,-9.3977,-4.45028,-21.0808,-15.9909,-15.1835,-7.22592,-27.6024,-23.1599,-31.8815,-30.8928,-42.1703,-29.5692,-46.7774,-23.2956,-35.0577,-32.4649,-30.0056,-27.6118,-28.3724,-13.012,-16.842,-24.483,-10.9181,-7.58525,-15.8246,-8.25763,-17.2381,-4.49727,-0,-14.6713,-10.1888,-15.9075,-0,-0,-0,-6.16741,-12.7804,-0,-6.84205,-0,-7.30149,-0,-0,-0,-0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,1,7,3,5,6,11,4,4,10,4,12,10,15,5,16,8,10,11,6,3,3,9,6,5,5,5,1,3,2,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0
-549.7,0.969284,0.165955,4,31,0,551.298,-0.788745,-1.40559,-1.383,-0.588155,3.33066,-0.0342274,-1.19827,4.48542,2.45576,7.928e-05,0.000104962,0.000139089,0.000184523,0.000245161,0.000326334,0.000435397,0.000582563,0.0007821,0.00105397,0.00142599,0.00193633,0.00263611,0.00359108,0.00488175,0.00660089,0.00884812,0.0117217,0.0153081,0.0196706,0.0248383,0.0305948,0.0366561,0.042684,0.0483063,0.0531472,0.0568643,0.0591908,0.0599758,0.0592094,0.0570231,0.05366,0.0494278,0.0446494,0.0396252,0.0346094,0.0297989,0.025332,0.0212937,0.0177234,0.0146258,0.0119807,0.00975192,0.00789477,0.00636171,0.00510603,0.00408423,0.00325728,0.00259111,0.00205654,0.00162899,0.00128802,0.00101676,0.000801415,0.00063078,0.000495784,0.000389127,0.000304954,0.000238584,0.000186288,0.000145102,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.6293,-5.32225,-5.02055,-9.4551,-4.44631,-20.8969,-15.7145,-14.7815,-6.97385,-26.4494,-22.0775,-30.3019,-29.3469,-40.1392,-28.2699,-45.021,-22.6134,-34.3716,-32.176,-30.0724,-27.9802,-29.0546,-13.4545,-17.5664,-25.7298,-11.548,-8.06574,-16.8999,-8.84891,-18.5212,-4.84155,-0,-15.832,-11.0012,-17.1806,-0,-0,-0,-6.65465,-13.7823,-0,-7.36855,-0,-7.8516,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,1,5,4,2,7,7,6,6,14,11,11,11,13,10,10,11,11,9,3,11,9,8,3,2,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
-550.796,0.99929,0.165955,4,15,0,552.767,-1.40348,-1.70265,-1.56693,-0.513929,3.69472,-0.158682,-1.16989,5.17587,2.57021,7.27758e-05,9.83167e-05,0.000132884,0.000179709,0.000243194,0.000329347,0.00044635,0.000605299,0.000821124,0.00111363,0.00150856,0.00203846,0.00274307,0.00366901,0.00486845,0.00639683,0.00830946,0.0106573,0.013482,0.0168113,0.0206537,0.0249205,0.0294848,0.0341837,0.0388228,0.0431857,0.0470469,0.0501901,0.0524292,0.053631,0.0537345,0.05276,0.0508047,0.0480252,0.0446137,0.0407732,0.0366988,0.0325643,0.0285146,0.0246625,0.021089,0.0178451,0.0149561,0.0124261,0.0102431,0.0083842,0.00681932,0.00551527,0.00443817,0.0035554,0.00283679,0.00225528,0.00178716,0.00141206,0.00111269,0.00087463,0.000685921,0.000536757,0.00041915,0.000326634,0.000254005,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.60783,-5.32498,-5.05195,-9.58072,-4.54151,-21.532,-16.3428,-15.5194,-7.38413,-28.191,-23.632,-32.4875,-31.4225,-42.7925,-29.9194,-47.1727,-23.405,-35.0844,-32.362,-29.7977,-27.3243,-27.9874,-12.7989,-16.5251,-23.9718,-10.672,-7.40494,-15.436,-8.05205,-16.8105,-4.38796,-0,-14.3442,-9.97599,-15.6007,-0,-0,-0,-6.09448,-12.6543,-0,-6.80097,-0,-7.28475,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,1,0,4,5,4,6,13,6,7,11,14,9,10,11,9,11,11,8,10,10,8,6,3,0,3,3,2,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0
