# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 02:11:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c248f6fb38.json
# init = /tmp/RtmpC8O1hA/init-b41c21af0e470_2.json
# random
#   seed = 3552004
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0343_rep035_accurate_strong/prior_sensitivity_obspair_FAST-202605310311-2-63e461.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0343_rep035_accurate_strong/prior_sensitivity_obspair_FAST-profile-202605310311-2-348dcd.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.159043
# Diagonal elements of inverse mass matrix:
# 0.028884, 0.0615868, 0.00611438, 0.00454454, 0.0120092, 0.00566903, 0.00563821
-549.315,0.998598,0.159043,4,31,0,554.886,-2.05981,-1.66357,-1.1497,-0.558932,3.36056,-0.129022,-1.11196,5.36158,2.62504,5.85629e-05,7.80777e-05,0.000104148,0.000139015,0.000185708,0.00024834,0.000332515,0.000445894,0.000598974,0.000806131,0.00108697,0.00146795,0.00198412,0.00268062,0.00361352,0.0048493,0.00646248,0.00853104,0.0111295,0.0143201,0.0181427,0.0225593,0.0274734,0.0327233,0.0380826,0.0432702,0.0479715,0.0518728,0.054703,0.0562757,0.0565168,0.0554694,0.0532766,0.0501504,0.0463373,0.0420887,0.0376374,0.0331831,0.0288838,0.0248545,0.0211692,0.017867,0.0149591,0.0124358,0.0102736,0.00844053,0.00690068,0.0056173,0.00455492,0.00368067,0.00296493,0.00238161,0.0019081,0.00152509,0.00121627,0.00096797,0.000768836,0.000609497,0.000482261,0.000380849,0.000300155,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.92171,-5.62307,-5.32892,-10.0835,-4.76404,-22.4908,-16.9844,-16.038,-7.58321,-28.7563,-23.9377,-32.68,-31.4029,-42.5201,-29.5896,-46.4934,-23.0199,-34.4786,-31.8112,-29.3226,-26.9346,-27.6463,-12.6719,-16.3988,-23.84,-10.6334,-7.38943,-15.4208,-8.0496,-16.8097,-4.38717,-0,-14.3241,-9.95227,-15.5457,-0,-0,-0,-6.03998,-12.5233,-0,-6.71197,-0,-7.17063,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,5,6,2,7,9,8,10,12,9,14,7,7,13,8,6,9,6,9,9,11,7,3,6,2,3,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
-549.868,0.973234,0.159043,5,31,0,553.869,-1.16761,-2.11246,-1.2582,-0.465484,3.22588,-0.169976,-1.04634,4.61015,2.37854,7.72276e-05,0.00010577,0.000144882,0.000198487,0.00027197,0.000372702,0.00051076,0.000699851,0.000958476,0.00131129,0.00179051,0.00243711,0.00330132,0.00444176,0.005923,0.00781092,0.0101664,0.0130377,0.0164519,0.020408,0.0248708,0.0297069,0.0347333,0.039725,0.0444281,0.0485792,0.0519295,0.0542723,0.0554677,0.0554617,0.054291,0.0520737,0.0489884,0.0452484,0.0410776,0.0366902,0.0322765,0.0279938,0.0239622,0.0202644,0.0169485,0.0140333,0.0115144,0.00937086,0.00757083,0.0060768,0.00484931,0.00384975,0.00304209,0.00239393,0.00187687,0.00146656,0.00114248,0.000887552,0.000687761,0.000531695,0.000410142,0.000315719,0.000242546,0.000185963,0.000142295,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.4167,-5.12891,-4.85223,-9.17733,-4.33991,-20.5366,-15.5673,-14.7762,-7.03275,-26.8805,-22.5804,-31.1388,-30.2456,-41.4101,-29.1374,-46.2713,-23.1365,-34.9608,-32.5061,-30.1617,-27.8603,-28.7306,-13.221,-17.1671,-25.0304,-11.1938,-7.79778,-16.3103,-8.53264,-17.8566,-4.67015,-0,-15.3098,-10.6578,-16.6792,-0,-0,-0,-6.52483,-13.5491,-0,-7.28207,-0,-7.79901,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,8,2,6,6,5,3,9,8,16,9,8,10,12,8,12,15,8,9,7,6,5,8,4,3,0,1,0,1,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
-548.264,0.999422,0.159043,4,31,0,552.211,-1.78176,-2.70081,-1.238,-0.518232,3.62511,0.172453,-1.0215,5.06654,2.42903,7.6977e-05,0.000103741,0.000139838,0.000188543,0.000254294,0.000343115,0.000463181,0.0006256,0.000845413,0.00114287,0.00154483,0.00208615,0.0028104,0.00376961,0.00502245,0.0066307,0.00865378,0.0111416,0.0141261,0.0176124,0.0215718,0.0259212,0.0305334,0.0352411,0.0398451,0.0441267,0.0478621,0.0508416,0.0528904,0.0538919,0.0538035,0.0526603,0.0505642,0.0476665,0.0441491,0.040208,0.0360377,0.0318181,0.0277032,0.0238139,0.0202354,0.0170177,0.0141813,0.0117228,0.00962214,0.00784899,0.00636767,0.00514103,0.00413292,0.00330979,0.0026415,0.00210159,0.00166732,0.00131936,0.00104151,0.00082035,0.000644794,0.000505795,0.000395996,0.000309445,0.000241355,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.58078,-5.29384,-5.01605,-9.49952,-4.49707,-21.2987,-16.1566,-15.3455,-7.30539,-27.9115,-23.4188,-32.2275,-31.2069,-42.552,-29.7904,-47.0325,-23.3662,-35.069,-32.3828,-29.8451,-27.3917,-28.0817,-12.8548,-16.6159,-24.134,-10.7586,-7.47497,-15.6013,-8.147,-17.0233,-4.44622,-0,-14.5421,-10.113,-15.8115,-0,-0,-0,-6.16506,-12.7931,-0,-6.86708,-0,-7.34658,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,2,2,5,5,5,4,9,8,16,6,14,12,7,10,14,9,8,8,3,3,4,8,2,9,3,6,3,0,2,2,0,0,0,2,1,0,0,0,0,0,1,0,0
-550.516,0.993765,0.159043,4,31,0,551.996,-2.9588,-2.70435,-1.27093,-0.364877,3.35673,0.240841,-1.03021,5.07055,2.2659,2.94066e-05,4.16209e-05,5.89141e-05,8.3403e-05,0.000118091,0.00016724,0.000236905,0.000335678,0.000475737,0.000674248,0.000955144,0.00135114,0.00190558,0.00267352,0.00372146,0.00512511,0.00696466,0.00931717,0.0122459,0.0157875,0.0199397,0.0246369,0.0297544,0.0351095,0.0404693,0.0455648,0.0501081,0.0538168,0.0564441,0.0578152,0.057856,0.0566003,0.0541743,0.0507723,0.0466302,0.0420029,0.037142,0.0322771,0.0275993,0.0232523,0.0193292,0.0158766,0.0129025,0.0103874,0.00829322,0.00657272,0.00517524,0.00405124,0.00315485,0.00244529,0.00188728,0.00145098,0.00111161,0.000848856,0.000646267,0.00049066,0.000371552,0.000280668,0.000211521,0.000159053,0.000119338,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.92436,-5.59364,-5.2736,-9.93381,-4.6759,-22.0128,-16.5941,-15.6602,-7.40702,-28.1182,-23.445,-32.0721,-30.8862,-41.91,-29.2217,-45.9921,-22.804,-34.1976,-31.5892,-29.1555,-26.8236,-27.5896,-12.6801,-16.465,-24.0338,-10.7699,-7.5227,-15.7845,-8.28582,-17.4013,-4.56717,-0,-15.0745,-10.5277,-16.5262,-0,-0,-0,-6.53551,-13.6039,-0,-7.3443,-0,-7.89782,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,4,2,5,5,5,5,5,5,10,10,8,11,6,11,10,11,10,16,7,3,6,10,5,10,4,3,3,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
-551.636,0.996858,0.159043,5,31,0,554.32,-2.26832,-3.33263,-1.45184,-0.439909,3.46476,0.0788972,-1.32505,5.21655,2.43144,6.00637e-05,8.28969e-05,0.000114413,0.000157915,0.000217955,0.000300804,0.000415068,0.000572505,0.000789027,0.00108585,0.00149064,0.00203831,0.00277117,0.003738,0.00499188,0.00658665,0.00857199,0.0109873,0.0138551,0.0171739,0.0209138,0.0249996,0.0293209,0.0337352,0.038074,0.0421527,0.0457807,0.0487752,0.0509769,0.0522675,0.0525844,0.0519279,0.0503585,0.0479849,0.0449504,0.0414187,0.0375612,0.0335457,0.0295256,0.0256319,0.0219676,0.0186051,0.0155873,0.0129314,0.0106336,0.00867494,0.00702704,0.00565612,0.00452682,0.00360451,0.0028569,0.00225493,0.00177305,0.00138932,0.00108518,0.000845127,0.000656378,0.00050848,0.000392953,0.000302973,0.000233076,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.58921,-5.29994,-5.02271,-9.51851,-4.51101,-21.3955,-16.2575,-15.4694,-7.37779,-28.2356,-23.7245,-32.6822,-31.6646,-43.1745,-30.2053,-47.6221,-23.611,-35.344,-32.5369,-29.8859,-27.3318,-27.9198,-12.7361,-16.4089,-23.7639,-10.5675,-7.32783,-15.2727,-7.96864,-16.6452,-4.3481,-0,-14.2419,-9.91598,-15.525,-0,-0,-0,-6.09464,-12.6701,-0,-6.82601,-0,-7.32877,-0,-0,-0,-0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,1,2,5,1,2,2,2,6,8,5,11,16,7,5,7,11,9,11,11,14,14,4,10,4,9,3,0,5,6,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
-552.412,0.989511,0.159043,4,31,0,557.78,-1.74635,-1.57274,-1.24062,-0.286744,3.67643,-0.0180228,-1.07102,4.86978,2.18094,1.57573e-05,2.29543e-05,3.34494e-05,4.87641e-05,7.11306e-05,0.000103829,0.00015169,0.000221822,0.000324677,0.000475523,0.000696387,0.00101839,0.00148422,0.00215018,0.00308728,0.00438054,0.00612588,0.0084242,0.0113725,0.015052,0.0195158,0.0247103,0.0305083,0.0367013,0.0430012,0.049052,0.0544536,0.0588014,0.0617389,0.0630174,0.0625461,0.0604116,0.0568532,0.0522101,0.046859,0.0411648,0.0354467,0.0299601,0.0248901,0.020353,0.0164044,0.0130507,0.0102623,0.00798667,0.00615921,0.00471198,0.00357955,0.00270255,0.00202936,0.00151656,0.00112852,0.000836572,0.000618035,0.000455176,0.000334289,0.000244874,0.000178946,0.000130475,9.49303e-05,6.89261e-05,4.99423e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.1422,-5.78046,-5.43058,-10.1905,-4.77665,-22.3828,-16.785,-15.7461,-7.40107,-27.9181,-23.1346,-31.4653,-30.1488,-40.7457,-28.3359,-44.5575,-22.1148,-33.2622,-30.8723,-28.6728,-26.5723,-27.5455,-12.7607,-16.6986,-24.5552,-11.0799,-7.78905,-16.4408,-8.67783,-18.3171,-4.82998,-0,-16.0729,-11.265,-17.7407,-0,-0,-0,-7.0862,-14.7779,-0,-8.0035,-0,-8.62843,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,2,1,6,4,5,10,7,8,9,19,18,13,13,12,8,15,5,3,6,7,4,2,4,3,5,0,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
