# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 02:15:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c221b4d84d.json
# init = /tmp/RtmpC8O1hA/init-b41c27759aef6_2.json
# random
#   seed = 3552005
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0344_rep035_mildly_wrong_weak/prior_sensitivity_obspair_FAST-202605310315-2-94a773.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0344_rep035_mildly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605310315-2-6547a2.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0904505
# Diagonal elements of inverse mass matrix:
# 0.168576, 0.086594, 0.128125, 0.0174858, 0.111066, 0.149348, 0.154137
-547.202,0.984341,0.0904505,5,63,0,550.029,-2.41087,-1.87893,-0.407954,-0.678319,2.71455,0.101844,-0.0449906,5.02131,2.72001,8.88077e-05,0.000114585,0.000147891,0.000190958,0.000246696,0.00031892,0.00041265,0.000534524,0.000693383,0.000901081,0.00117366,0.00153298,0.0020091,0.00264347,0.00349313,0.00463544,0.00617238,0.00823199,0.0109643,0.0145288,0.0190722,0.0246072,0.0309911,0.0378887,0.0447819,0.0510441,0.0560718,0.0594221,0.060894,0.0605293,0.0585564,0.0553142,0.0511808,0.0465188,0.0416409,0.036793,0.0321527,0.0278355,0.0239066,0.0203926,0.0172935,0.0145909,0.0122562,0.0102549,0.00855055,0.00710737,0.00589122,0.00487076,0.00401771,0.00330698,0.0027166,0.00222752,0.00182335,0.00149008,0.00121582,0.000990528,0.000805756,0.000654423,0.000530623,0.000429449,0.000346837,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.93566,-5.65696,-5.37402,-10.1753,-4.79973,-22.5656,-16.9265,-15.8381,-7.40943,-27.7924,-22.9117,-31.0595,-29.7506,-40.3357,-28.2309,-44.7779,-22.437,-34.0532,-31.842,-29.7239,-27.6111,-28.6081,-13.2098,-17.1863,-25.0701,-11.2008,-7.78516,-16.2297,-8.45471,-17.6069,-4.58,-0,-14.8399,-10.2686,-15.9735,-0,-0,-0,-6.10686,-12.6142,-0,-6.71234,-0,-7.12373,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,1,2,4,0,7,3,7,8,13,12,10,10,12,10,14,17,6,9,6,6,4,3,7,2,5,3,0,5,0,3,0,0,2,0,0,0,0,0,0,0,0,1,1,0
-551.213,0.995607,0.0904505,5,31,0,551.981,-1.80548,-3.39254,-1.49254,-0.624181,3.44454,0.799297,0.790688,4.79328,2.65161,0.000121479,0.00015886,0.000207772,0.000271794,0.000355629,0.000465474,0.000609515,0.000798604,0.00104721,0.00137474,0.00180745,0.0023809,0.00314254,0.00415251,0.00548125,0.00720512,0.0094007,0.012137,0.0154651,0.0194151,0.0241635,0.0291566,0.0342525,0.0392468,0.0439198,0.0480399,0.0513663,0.0536615,0.0547409,0.0545624,0.0532398,0.0509601,0.0479234,0.0443277,0.0403655,0.0362218,0.0320669,0.0280459,0.0242693,0.020809,0.0177016,0.014956,0.0125619,0.0104967,0.00873109,0.00723302,0.0059702,0.00491168,0.00402876,0.00329555,0.00268901,0.00218901,0.00177813,0.00144145,0.00116626,0.000941874,0.000759288,0.000611006,0.000490796,0.000393499,0.000314861,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.48404,-5.20642,-4.93296,-9.33394,-4.4115,-20.8458,-15.7668,-14.8917,-7.07015,-26.992,-22.6652,-31.2539,-30.3572,-41.5628,-29.2506,-46.4823,-23.2673,-35.1954,-32.7438,-30.3815,-28.0453,-28.888,-13.2724,-17.1997,-25.0174,-11.1556,-7.74474,-16.1364,-8.40528,-17.5083,-4.55669,-0,-14.7873,-10.2419,-15.9484,-0,-0,-0,-6.12431,-12.6644,-0,-6.75395,-0,-7.18313,-0,-0,-0,-0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4,5,2,7,1,11,12,5,8,15,10,3,7,9,9,8,8,9,14,6,6,6,5,4,4,2,6,4,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0
-554.252,0.974338,0.0904505,6,63,0,558.609,-1.23994,-3.05931,-1.55166,-0.597499,0.943708,-0.533001,-1.43882,4.47124,2.74599,0.000202383,0.000266197,0.000350012,0.000460003,0.000604186,0.000792908,0.00103945,0.0013607,0.00177789,0.00231737,0.00301113,0.00389715,0.00501906,0.006425,0.00816532,0.0102891,0.0128392,0.0158473,0.019328,0.0232738,0.0276522,0.0322452,0.0368044,0.0410719,0.0448024,0.0477875,0.0498755,0.0509827,0.0510974,0.0502725,0.0486129,0.0462589,0.0433689,0.0401046,0.0366189,0.0330481,0.0295067,0.0260857,0.0228529,0.0198543,0.0171175,0.0146546,0.0124654,0.0105406,0.00886477,0.00741824,0.00617934,0.00512568,0.00423518,0.00348686,0.00286126,0.0023407,0.00190938,0.00155339,0.00126062,0.00102061,0.000824446,0.00066454,0.000534517,0.00042903,0.000343627,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.04756,-4.80786,-4.57667,-8.7105,-4.14475,-19.731,-15.0417,-14.3522,-6.86877,-26.4171,-22.347,-31.0549,-30.4099,-41.9752,-29.7627,-47.5843,-23.9224,-36.2864,-33.8085,-31.3801,-28.9464,-29.7647,-13.6392,-17.6157,-25.5246,-11.336,-7.83867,-16.2706,-8.446,-17.5392,-4.55252,-0,-14.7114,-10.1731,-15.8205,-0,-0,-0,-6.05731,-12.522,-0,-6.67615,-0,-7.1008,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,2,4,3,6,5,10,9,6,10,3,9,14,9,13,12,8,6,11,10,6,8,3,4,2,2,4,1,2,1,3,1,0,2,2,2,1,0,1,0,0,0,0,0,0,0,0
-553.108,0.960345,0.0904505,4,15,0,556.572,-1.74936,-2.71377,-1.43093,-0.595732,0.943717,-0.22786,-1.57301,4.25362,2.65843,0.000158277,0.000208509,0.000274682,0.00036185,0.000476663,0.000627863,0.000826921,0.00108885,0.00143325,0.0018855,0.00247823,0.00325281,0.00426068,0.00556397,0.00723477,0.00935206,0.0119955,0.015236,0.0191241,0.0236776,0.0288712,0.0344239,0.0399826,0.0451572,0.0495711,0.0529131,0.0549812,0.0557014,0.0551225,0.0533904,0.050714,0.0473309,0.0434793,0.039377,0.0352101,0.0311268,0.0272371,0.0236163,0.0203094,0.0173374,0.0147026,0.0123941,0.0103918,0.00867054,0.00720235,0.00595861,0.00491144,0.00403458,0.00330393,0.00269781,0.002197,0.00178472,0.00144644,0.00116972,0.000943996,0.000760332,0.000611241,0.00049047,0.000392827,0.000314023,0.000250523,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.19144,-4.92886,-4.67216,-8.84645,-4.18409,-19.784,-14.9729,-14.1796,-6.73801,-25.7545,-21.6832,-30.0435,-29.391,-40.6107,-28.8775,-46.3712,-23.441,-35.7786,-33.5565,-31.3547,-29.1112,-30.1178,-13.8787,-18.0159,-26.2207,-11.69,-8.10978,-16.8789,-8.78108,-18.267,-4.74782,-0,-15.3688,-10.6324,-16.5386,-0,-0,-0,-6.3285,-13.0773,-0,-6.96539,-0,-7.40002,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,2,1,10,3,5,6,9,10,12,12,9,18,7,12,14,9,4,6,14,5,6,2,5,4,4,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
-550.408,0.999779,0.0904505,5,31,0,554.027,-2.30803,-2.4113,-1.54477,-0.62981,1.28215,0.0763315,-0.965031,4.36537,2.70424,0.00015231,0.000198851,0.000259635,0.000339036,0.00044278,0.000578368,0.000755634,0.00098748,0.00129084,0.00168791,0.00220778,0.00288834,0.00377844,0.00494,0.00644898,0.00839404,0.0108711,0.0139727,0.0177734,0.0223131,0.0275826,0.0333332,0.0392179,0.0448183,0.0496968,0.0534681,0.0558671,0.0567875,0.0562787,0.0545102,0.0517253,0.0481962,0.04419,0.0399455,0.0356602,0.0314866,0.0275338,0.0238728,0.0205429,0.0175594,0.0149197,0.0126092,0.0106053,0.00888101,0.00740772,0.00615656,0.00509981,0.00421162,0.00346835,0.00284883,0.00233431,0.0019084,0.00155689,0.00126759,0.00103009,0.000835555,0.000676555,0.000546843,0.000441206,0.000355308,0.000285558,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.31039,-5.04383,-4.78023,-9.0433,-4.27065,-20.1503,-15.2103,-14.3623,-6.8024,-25.909,-21.736,-30.0181,-29.2867,-40.3869,-28.6844,-46.039,-23.2749,-35.5417,-33.3572,-31.1926,-28.9822,-30.0035,-13.8328,-17.9617,-26.1451,-11.6557,-8.08434,-16.8203,-8.74666,-18.1856,-4.72384,-0,-15.2707,-10.5571,-16.4097,-0,-0,-0,-6.26149,-12.9301,-0,-6.87811,-0,-7.2985,-0,-0,-0,-0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,1,1,6,3,1,5,5,5,6,10,13,14,11,10,9,9,9,11,7,9,11,5,6,6,1,3,4,0,4,1,2,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
-549.072,0.993783,0.0904505,5,63,0,553.742,-2.09064,-0.888592,-1.83313,-0.963236,1.98758,0.462383,-1.83628,5.49031,3.51819,0.000163385,0.000198802,0.000242173,0.000295418,0.000360985,0.000442023,0.000542636,0.000668237,0.000826079,0.00102605,0.00128188,0.00161301,0.00204747,0.00262612,0.00340838,0.00447852,0.00595041,0.00796829,0.0107027,0.0143417,0.0190777,0.0247194,0.0309653,0.037394,0.0434822,0.0486738,0.0525049,0.0547276,0.0553423,0.0545357,0.0525906,0.0498142,0.0464925,0.0428682,0.0391325,0.0354271,0.0318512,0.0284697,0.025321,0.0224245,0.0197857,0.0174005,0.0152588,0.0133463,0.0116465,0.0101419,0.00881481,0.00764801,0.00662498,0.00573022,0.00494941,0.00426938,0.00367818,0.00316502,0.00272019,0.00233499,0.00200167,0.00171331,0.00146377,0.00124765,0.00106018,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.94225,-5.68152,-5.40846,-10.2486,-4.83228,-22.6863,-16.9783,-15.8369,-7.40033,-27.7991,-23.0037,-31.354,-30.2261,-41.2559,-29.0539,-46.3075,-23.2712,-35.3426,-32.994,-30.6846,-28.3466,-29.1672,-13.3611,-17.2334,-24.9124,-11.0284,-7.5952,-15.6912,-8.10251,-16.7304,-4.31652,-0,-13.7733,-9.46265,-14.6199,-0,-0,-0,-5.45629,-11.2107,-0,-5.90705,-0,-6.21377,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,3,4,4,3,16,7,18,6,11,6,12,10,11,15,7,9,2,8,11,3,7,3,2,2,2,2,1,1,2,2,1,3,0,0,0,0,0,1,0,0,0,0
