# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 02:26:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c21e64a135.json
# init = /tmp/RtmpC8O1hA/init-b41c21899de72_2.json
# random
#   seed = 3552006
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0345_rep035_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-202605310326-2-36a262.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0345_rep035_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605310326-2-521c1c.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.116429
# Diagonal elements of inverse mass matrix:
# 0.0840786, 0.0500422, 0.0213953, 0.010171, 0.0404924, 0.0222707, 0.0376235
-549.012,0.998591,0.116429,5,31,0,554.97,-1.52005,-1.1516,-1.38377,-0.804576,3.3306,0.113678,-0.253278,5.33145,2.99478,0.000106413,0.000133584,0.000167854,0.00021117,0.000266067,0.000335871,0.000425,0.000539379,0.000687057,0.000879093,0.00113081,0.00146351,0.00190666,0.0025005,0.00329896,0.00437266,0.00581208,0.00773104,0.0102715,0.0136127,0.0179943,0.0232249,0.0290741,0.0352521,0.0414038,0.0471202,0.0519722,0.0555705,0.057642,0.0580919,0.0570158,0.054655,0.0513237,0.0473457,0.0430128,0.0385662,0.0341917,0.0300223,0.0261451,0.0226097,0.0194363,0.0166243,0.0141583,0.012014,0.0101625,0.00857306,0.0072151,0.0060596,0.00507972,0.0042512,0.00355243,0.00296438,0.00247044,0.00205625,0.00170941,0.00141932,0.00117692,0.000974497,0.000805512,0.00066442,0.000546513,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.99126,-5.71415,-5.43238,-10.2956,-4.86251,-22.8919,-17.187,-16.0708,-7.52506,-28.3032,-23.4166,-31.8438,-30.5505,-41.3986,-28.901,-45.6561,-22.7658,-34.3731,-31.9739,-29.696,-27.4525,-28.3163,-13.0215,-16.8789,-24.5407,-10.9323,-7.57876,-15.7624,-8.19378,-17.0298,-4.42168,-0,-14.2774,-9.86316,-15.3183,-0,-0,-0,-5.82109,-12.0067,-0,-6.37161,-0,-6.74485,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,3,0,2,2,2,5,6,13,9,13,14,8,11,16,17,8,7,7,6,5,6,11,2,1,3,3,3,2,3,2,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0
-548.2,0.993662,0.116429,5,31,0,551.47,-1.43673,-2.19424,-0.552674,-0.931018,3.66184,0.542634,-1.26385,5.24332,2.79688,0.000137725,0.000168608,0.000206657,0.000253657,0.000311899,0.000384356,0.000474936,0.000588854,0.000733194,0.00091778,0.00115654,0.00146966,0.00188685,0.00245184,0.00322746,0.00429976,0.00577904,0.00779505,0.0104834,0.0139613,0.018295,0.0234571,0.0293046,0.0355714,0.0418838,0.0477971,0.0528492,0.0566288,0.0588475,0.0593877,0.0583076,0.0558108,0.0522021,0.0478364,0.0430677,0.0382061,0.0334904,0.0290812,0.0250684,0.0214878,0.0183387,0.0155981,0.0132316,0.0112001,0.00946391,0.00798529,0.00672947,0.00566522,0.00476494,0.00400449,0.00336294,0.00282224,0.00236691,0.00198368,0.00166123,0.00138992,0.00116154,0.000969145,0.000806919,0.000669996,0.000554352,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.01092,-5.73606,-5.4492,-10.307,-4.85427,-22.7898,-17.0859,-16.0045,-7.50517,-28.2401,-23.3535,-31.7286,-30.4079,-41.1644,-28.7124,-45.3249,-22.5893,-34.1043,-31.7437,-29.5263,-27.3597,-28.3048,-13.059,-16.9825,-24.7636,-11.0584,-7.68054,-15.995,-8.32122,-17.3006,-4.49184,-0,-14.4905,-10.0025,-15.5202,-0,-0,-0,-5.87022,-12.0923,-0,-6.40019,-0,-6.75801,-0,-0,-0,-0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,3,2,5,3,4,4,7,12,10,4,9,9,14,17,13,11,9,6,10,13,6,1,3,3,4,3,3,0,1,2,0,0,1,1,0,0,1,0,0,0,1,0,0,0
-547.466,0.999307,0.116429,5,31,0,549.748,-1.57316,-1.50018,-0.854643,-0.915104,3.08268,0.327703,-0.548079,5.28989,3.07525,0.000143771,0.000176404,0.000216655,0.000266414,0.000328092,0.000404799,0.000500597,0.000620853,0.000772783,0.000966259,0.00121506,0.0015388,0.00196585,0.00253755,0.00331345,0.00437663,0.00583691,0.00782925,0.0105048,0.0140133,0.0184766,0.0238537,0.029971,0.0365079,0.0430078,0.0489271,0.0537257,0.0569843,0.058497,0.0582908,0.056575,0.0536656,0.0499155,0.0456631,0.0411991,0.0367509,0.0324805,0.0284915,0.0248409,0.0215513,0.0186218,0.0160366,0.0137717,0.0117986,0.0100876,0.00860936,0.00733632,0.00624283,0.0053057,0.00450411,0.00381961,0.00323596,0.00273892,0.00231608,0.00195667,0.00165133,0.001392,0.00117172,0.00098451,0.000825289,0.000689744,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.97656,-5.70977,-5.43148,-10.2871,-4.84989,-22.7796,-17.071,-15.965,-7.47163,-28.0602,-23.1716,-31.4637,-30.1742,-40.9341,-28.6498,-45.4205,-22.7385,-34.4663,-32.1748,-29.9742,-27.7782,-28.7041,-13.2144,-17.1356,-24.907,-11.0858,-7.67464,-15.9337,-8.26576,-17.1406,-4.43977,-0,-14.2647,-9.82984,-15.229,-0,-0,-0,-5.73343,-11.8004,-0,-6.23651,-0,-6.57701,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,1,0,0,3,3,3,4,4,6,12,17,11,11,9,13,8,11,5,9,12,8,5,4,8,3,1,5,4,3,2,1,3,0,2,1,0,0,0,0,0,1,0,0,1,1,0
-549.502,0.994134,0.116429,5,31,0,552.089,-2.55906,-1.67603,-1.03805,-0.580386,2.5458,0.427953,-0.952375,4.73188,2.54037,6.15915e-05,8.15528e-05,0.000108014,0.000143116,0.000189721,0.000251671,0.000334145,0.000444168,0.000591334,0.000788873,0.00105521,0.0014163,0.00190898,0.00258558,0.00351918,0.0048079,0.00657543,0.00896519,0.0121262,0.0161899,0.02124,0.0272142,0.0339114,0.0409762,0.0479077,0.0541068,0.0589742,0.0620497,0.0631227,0.0622473,0.059682,0.0558059,0.0510426,0.0457992,0.0404236,0.0351832,0.0302621,0.0257703,0.0217599,0.0182408,0.0151956,0.0125901,0.0103815,0.00852418,0.00697262,0.00568402,0.00461922,0.00374329,0.00302561,0.00243968,0.00196287,0.00157599,0.00126294,0.00101023,0.000806701,0.000643107,0.000511855,0.000406723,0.000322634,0.000255463,0.00020187,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.95781,-5.64953,-5.33749,-10.0488,-4.71441,-22.0619,-16.4935,-15.4075,-7.20803,-27.072,-22.3633,-30.3848,-29.168,-39.6292,-27.7982,-44.2028,-22.2131,-33.8247,-31.7446,-29.7509,-27.7514,-28.8751,-13.3887,-17.4893,-25.6097,-11.4831,-8.00818,-16.747,-8.74969,-18.2709,-4.76485,-0,-15.5103,-10.7551,-16.7634,-0,-0,-0,-6.45287,-13.3486,-0,-7.12256,-0,-7.57747,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3,4,4,10,6,7,11,6,10,16,10,11,12,16,10,6,6,7,6,4,5,6,5,2,3,2,1,0,2,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0
-547.159,0.991112,0.116429,4,15,0,550.878,-2.31021,-1.81389,-1.09521,-0.69362,2.98806,0.490955,-0.930904,5.17189,2.75504,9.40848e-05,0.00012097,0.000155604,0.000200261,0.000257915,0.000332467,0.000429067,0.00055457,0.000718181,0.000932398,0.0012144,0.00158808,0.00208685,0.0027571,0.00366157,0.00488106,0.00651312,0.00866656,0.0114505,0.0149575,0.0192428,0.0242628,0.0298806,0.0358575,0.0418581,0.0474707,0.0522518,0.0557996,0.0578434,0.0582962,0.0572424,0.0548902,0.0515219,0.047449,0.0429749,0.0383656,0.0338324,0.0295266,0.0255442,0.021936,0.0187192,0.0158882,0.0134223,0.0112927,0.00946663,0.00791021,0.00659047,0.00547646,0.00453982,0.00375508,0.00309966,0.00255379,0.00210033,0.0017245,0.00141365,0.00115703,0.00094552,0.000771452,0.000628382,0.000510924,0.000414598,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.89358,-5.60986,-5.32239,-10.0679,-4.74828,-22.3486,-16.8102,-15.8025,-7.43762,-28.0844,-23.2974,-31.7347,-30.4764,-41.3235,-28.8599,-45.6003,-22.7377,-34.3255,-31.9266,-29.6575,-27.4329,-28.3243,-13.0424,-16.9317,-24.6572,-11.002,-7.63926,-15.9128,-8.28436,-17.2434,-4.4836,-0,-14.5188,-10.0443,-15.6219,-0,-0,-0,-5.97017,-12.3313,-0,-6.56158,-0,-6.96378,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0,1,4,2,2,6,3,9,8,9,13,10,8,11,10,9,8,11,9,4,7,5,7,4,5,6,3,2,2,3,4,3,1,2,0,0,0,1,0,1,1,0,0,0,0
-549.272,0.997902,0.116429,5,31,0,549.952,-1.72505,-1.29391,-1.50831,-0.641786,2.60465,-0.00822652,-1.00175,4.91122,2.72244,8.57656e-05,0.000111816,0.000145866,0.000190434,0.000248864,0.000325631,0.000426755,0.000560386,0.000737639,0.000973756,0.0012897,0.00171422,0.00228641,0.00305827,0.00409684,0.00548502,0.00732019,0.00971014,0.0127662,0.0165937,0.0212811,0.0266919,0.0326059,0.0387182,0.0446517,0.049987,0.0543128,0.0572916,0.058721,0.0585678,0.0569592,0.0541392,0.0504121,0.0460925,0.041469,0.0367844,0.0322269,0.0279304,0.0239804,0.0204218,0.0172689,0.0145135,0.0121328,0.0100954,0.00836584,0.00690752,0.00568507,0.00466548,0.00381879,0.00311838,0.00254093,0.00206628,0.0016772,0.00135902,0.00109939,0.000887941,0.000716036,0.000576487,0.00046335,0.000371725,0.000297587,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.78991,-5.49754,-5.20573,-9.83424,-4.63458,-21.8048,-16.3949,-15.3997,-7.24679,-27.3861,-22.7601,-31.0886,-29.9599,-40.7819,-28.596,-45.3593,-22.7006,-34.385,-32.0782,-29.8752,-27.694,-28.6453,-13.2107,-17.1748,-25.0463,-11.1916,-7.7823,-16.2354,-8.46536,-17.6474,-4.59567,-0,-14.9254,-10.3398,-16.1027,-0,-0,-0,-6.182,-12.7813,-0,-6.813,-0,-7.24178,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,3,4,5,4,5,11,13,9,6,13,9,15,15,9,16,12,6,4,8,3,1,3,3,2,6,2,1,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,1
