# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 02:32:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c27e4fe2d2.json
# init = /tmp/RtmpC8O1hA/init-b41c24acaa409_2.json
# random
#   seed = 3552007
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0346_rep035_mildly_wrong_strong/prior_sensitivity_obspair_FAST-202605310332-2-9dd8b5.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0346_rep035_mildly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605310332-2-67ea94.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.160803
# Diagonal elements of inverse mass matrix:
# 0.033802, 0.037066, 0.00537809, 0.00453443, 0.00899439, 0.00606939, 0.0106569
-547.485,0.998004,0.160803,4,15,0,550.378,-1.43973,-2.09419,-1.07441,-0.608007,3.75908,0.167862,-0.739628,5.01004,2.48563,8.42384e-05,0.000110787,0.000145781,0.000191964,0.000253008,0.000333857,0.000441205,0.000584173,0.000775266,0.00103169,0.00137704,0.00184337,0.00247309,0.00332026,0.00445033,0.00593777,0.00786101,0.0102946,0.0132987,0.0169078,0.0211186,0.0258482,0.0309524,0.0362273,0.0414198,0.0462438,0.0504047,0.0536295,0.0557019,0.056496,0.0559951,0.0542884,0.0515472,0.0479944,0.0438748,0.0394316,0.0348873,0.0304299,0.0262048,0.0223127,0.0188121,0.0157261,0.0130506,0.0107627,0.00882865,0.007209,0.00586325,0.00475234,0.00384032,0.00309506,0.00248849,0.00199651,0.00159865,0.00127777,0.00101957,0.000812232,0.000646041,0.000513048,0.000406774,0.000321964,0.000254365,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.70771,-5.41478,-5.12642,-9.69168,-4.57614,-21.6004,-16.3199,-15.4304,-7.31103,-27.8024,-23.2256,-31.84,-30.7383,-41.8274,-29.2566,-46.2038,-22.9887,-34.5899,-32.0479,-29.6526,-27.33,-28.1377,-12.9328,-16.7782,-24.4463,-10.9254,-7.6052,-15.893,-8.30487,-17.3557,-4.53167,-0,-14.7973,-10.2781,-16.0474,-0,-0,-0,-6.21636,-12.8772,-0,-6.88837,-0,-7.34465,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,2,3,4,7,7,8,7,9,6,9,9,12,19,11,14,13,13,5,5,6,4,5,3,2,1,2,2,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
-548.594,0.988332,0.160803,5,31,0,551.359,-0.938038,-2.18588,-1.12901,-0.781595,3.93415,0.158597,-0.802625,5.0682,2.71525,0.000192262,0.000242436,0.000305944,0.000386468,0.000488789,0.000619151,0.000785773,0.000999549,0.001275,0.0016315,0.00209476,0.00269825,0.00348416,0.00450307,0.00581203,0.00747054,0.00953489,0.0120509,0.0150463,0.0185227,0.0224501,0.0267257,0.0312047,0.0357067,0.0400258,0.0439446,0.0472512,0.0497591,0.0513276,0.0518807,0.0514172,0.050007,0.0477763,0.0448873,0.0415188,0.0378505,0.0340497,0.0302623,0.0266061,0.0231683,0.0200065,0.0171518,0.0146136,0.0123853,0.0104496,0.00878259,0.00735711,0.00614539,0.00512044,0.00425705,0.00353229,0.00292571,0.00241933,0.00199751,0.00164679,0.00135562,0.00111424,0.000914343,0.000748975,0.000612296,0.000499428,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.40299,-5.14783,-4.89679,-9.3056,-4.41861,-20.9831,-15.955,-15.1858,-7.24426,-27.7375,-23.3269,-32.1823,-31.2483,-42.7319,-30.0056,-47.5124,-23.6705,-35.6134,-32.9515,-30.4123,-27.9324,-28.6345,-13.0964,-16.8997,-24.485,-10.8798,-7.52994,-15.6468,-8.13131,-16.9032,-4.39124,-0,-14.205,-9.82418,-15.2762,-0,-0,-0,-5.83422,-12.0485,-0,-6.40893,-0,-6.79959,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,2,4,3,4,4,9,10,10,7,13,13,15,6,12,12,11,12,7,5,6,6,5,7,2,2,1,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
-550.731,0.982958,0.160803,4,31,0,558.136,-2.29486,-2.39652,-1.06814,-0.548615,3.43052,0.37572,-0.638218,5.1307,2.4655,6.24795e-05,8.34645e-05,0.000111524,0.000149064,0.000199325,0.000266681,0.000357061,0.000478533,0.000642129,0.000862993,0.00116197,0.00156763,0.00211858,0.00286549,0.00387209,0.00521422,0.00697627,0.00924414,0.0120942,0.0155788,0.0197104,0.0244312,0.0296142,0.0350633,0.0405217,0.0456879,0.0502392,0.0538645,0.0563075,0.0574118,0.057144,0.0555858,0.0529075,0.0493376,0.0451354,0.0405654,0.0358731,0.0312666,0.0269045,0.0228938,0.0192936,0.0161248,0.0133799,0.0110333,0.00904901,0.00738623,0.00600354,0.00486129,0.00392301,0.0031561,0.002532,0.00202608,0.00161741,0.00128831,0.00102406,0.000812409,0.000643294,0.000508454,0.000401153,0.000315921,0.000248334,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.85502,-5.55396,-5.25637,-9.93048,-4.68377,-22.0751,-16.6474,-15.7064,-7.42379,-28.156,-23.4542,-32.0592,-30.8592,-41.8734,-29.2128,-46.0308,-22.86,-34.3462,-31.7881,-29.3921,-27.0816,-27.8828,-12.8194,-16.6388,-24.2564,-10.8464,-7.55378,-15.7919,-8.2548,-17.256,-4.50684,-0,-14.7244,-10.2308,-15.9794,-0,-0,-0,-6.20165,-12.8539,-0,-6.88398,-0,-7.34891,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,2,1,1,1,8,5,12,8,7,6,11,18,14,9,6,13,9,7,7,5,3,6,7,6,2,2,5,2,4,2,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0
-550.74,0.999239,0.160803,5,31,0,554.326,-1.76908,-1.70986,-1.21909,-0.713149,3.21608,0.424207,-0.885796,5.07633,2.72238,0.000102626,0.000131393,0.00016832,0.000215784,0.000276896,0.000355751,0.000457781,0.000590268,0.00076308,0.000989763,0.00128914,0.0016876,0.00222201,0.00294295,0.00391694,0.00522672,0.00696829,0.00924434,0.0121534,0.015775,0.020153,0.0252164,0.0308098,0.036689,0.0425289,0.0479432,0.0525222,0.0558923,0.0577922,0.0581308,0.0569885,0.054572,0.0511592,0.0470535,0.0425504,0.0379116,0.033349,0.0290181,0.0250195,0.0214072,0.0181993,0.0153888,0.0129528,0.0108596,0.00907379,0.00755905,0.00628056,0.005206,0.00430609,0.00355484,0.00292944,0.00241009,0.00197976,0.0016239,0.00133014,0.00108801,0.000888713,0.00072486,0.000590285,0.000479853,0.000389303,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.82834,-5.54244,-5.25397,-9.93277,-4.68374,-22.0507,-16.5973,-15.6176,-7.36052,-27.8394,-23.1369,-31.5757,-30.3774,-41.2513,-28.8433,-45.6144,-22.7605,-34.3789,-31.9906,-29.7281,-27.5082,-28.4136,-13.09,-17.0036,-24.7788,-11.0643,-7.68805,-16.0255,-8.34824,-17.3858,-4.5227,-0,-14.655,-10.1406,-15.7738,-0,-0,-0,-6.02809,-12.4496,-0,-6.62247,-0,-7.02574,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,2,4,2,4,3,6,5,2,7,10,13,10,11,12,11,5,11,9,6,14,8,4,3,4,6,8,2,1,2,3,2,1,2,1,0,0,0,0,0,1,0,0,0,0,0,1
-549.121,0.999457,0.160803,5,31,0,552.385,-0.282945,-1.73981,-0.890951,-0.763185,3.93454,0.355556,-0.734504,4.6768,2.57084,9.81448e-05,0.00012452,0.000158194,0.000201317,0.000256753,0.000328371,0.000421479,0.0005435,0.000705034,0.000921536,0.00121592,0.00162228,0.00219046,0.00298995,0.00411105,0.0056613,0.00775668,0.0105083,0.0140056,0.0182991,0.0233835,0.0290799,0.0351362,0.0412379,0.0470261,0.0521252,0.0561765,0.0588795,0.0600378,0.0596002,0.0576726,0.0544888,0.0503571,0.0456097,0.040564,0.0354963,0.0306256,0.0261069,0.0220331,0.0184441,0.0153394,0.0126917,0.0104584,0.00859046,0.00703803,0.0057542,0.00469655,0.00382784,0.00311602,0.00253389,0.00205855,0.00167092,0.00135514,0.00109806,0.000888877,0.00071867,0.000580142,0.000467334,0.000375404,0.000300433,0.000239265,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.8125,-5.49408,-5.1741,-9.7184,-4.55559,-21.3415,-16.0036,-15.0229,-7.07542,-26.7882,-22.3188,-30.5705,-29.5411,-40.3096,-28.3226,-45.0045,-22.5608,-34.2357,-32.0074,-29.8862,-27.7887,-28.8439,-13.3533,-17.4296,-25.5189,-11.4456,-7.98602,-16.7093,-8.73361,-18.2414,-4.7571,-0,-15.4735,-10.7219,-16.6964,-0,-0,-0,-6.39438,-13.2077,-0,-7.02555,-0,-7.45224,-0,-0,-0,-0,0,0,1,1,0,0,0,0,0,2,1,0,1,0,0,0,2,3,3,4,5,4,7,7,9,10,9,12,5,16,16,10,8,10,14,6,6,8,3,2,1,2,1,1,3,0,4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
-549.188,0.99701,0.160803,4,31,0,551.239,-1.55615,-1.71498,-1.24309,-0.822915,3.87065,0.381738,-0.861606,5.51587,2.89532,0.000124603,0.000155821,0.000195057,0.000244481,0.000306918,0.000386076,0.000486888,0.000616,0.000782504,0.000999019,0.00128322,0.00165983,0.00216285,0.00283739,0.00374051,0.00494051,0.00651427,0.00854214,0.0111002,0.0142503,0.0180286,0.0223848,0.0272104,0.0323352,0.0375321,0.0425274,0.0470192,0.0507057,0.0533244,0.0547009,0.0547846,0.0536487,0.0514586,0.0484317,0.0448052,0.0408119,0.0366637,0.0325393,0.0285775,0.0248755,0.0214921,0.0184542,0.0157646,0.0134099,0.0113665,0.00960565,0.00809697,0.00681028,0.00571708,0.00479123,0.00400921,0.00335018,0.00279588,0.00233045,0.00194018,0.00161331,0.0013398,0.00111111,0.000920002,0.000760379,0.000627102,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.86487,-5.58853,-5.31029,-10.0675,-4.76274,-22.5039,-17.0039,-16.0632,-7.59874,-28.8333,-24.0212,-32.8256,-31.5761,-42.8008,-29.8172,-46.9018,-23.247,-34.8522,-32.1783,-29.6698,-27.2484,-27.9489,-12.7951,-16.5298,-23.9771,-10.6654,-7.38774,-15.3603,-7.98493,-16.5999,-4.31176,-0,-13.9362,-9.63253,-14.968,-0,-0,-0,-5.69874,-11.7592,-0,-6.24498,-0,-6.61524,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,3,6,1,3,6,7,14,10,11,11,8,7,15,10,10,10,10,5,5,7,10,4,7,4,4,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1
