# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 02:52:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c244d9a76d.json
# init = /tmp/RtmpC8O1hA/init-b41c262193930_2.json
# random
#   seed = 3552010
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0349_rep035_badly_wrong_strong/prior_sensitivity_obspair_FAST-202605310352-2-9f53ed.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0349_rep035_badly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605310352-2-14b1aa.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.220018
# Diagonal elements of inverse mass matrix:
# 0.0426186, 0.0382611, 0.00785229, 0.00373065, 0.00711697, 0.00687867, 0.00791586
-551.612,0.994003,0.220018,4,15,0,554.303,-0.392141,-2.73831,-0.466618,-0.86474,4.23381,0.763116,-0.485555,5.20516,2.64479,0.000133911,0.000165937,0.000205813,0.000255568,0.000317816,0.000395955,0.000494461,0.000619324,0.000778711,0.000984032,0.00125164,0.00160554,0.00208102,0.00272844,0.00361528,0.00482578,0.00645739,0.00861359,0.0113917,0.014865,0.0190595,0.0239234,0.0293191,0.0350228,0.0407393,0.0461276,0.0508337,0.0545274,0.0569437,0.057924,0.0574435,0.0556059,0.0526146,0.0487386,0.0442777,0.0395301,0.034763,0.0301894,0.0259557,0.022143,0.0187787,0.0158539,0.0133382,0.011191,0.00936894,0.0078294,0.00653295,0.00544412,0.00453163,0.00376828,0.00313061,0.00259855,0.00215502,0.0017855,0.00147769,0.00122124,0.00100746,0.000829139,0.000680294,0.000556013,0.000452286,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.90403,-5.62259,-5.33378,-10.0851,-4.75441,-22.3743,-16.835,-15.8408,-7.4658,-28.2361,-23.4623,-32.0056,-30.7634,-41.7087,-29.0905,-45.8511,-22.789,-34.2834,-31.7841,-29.4476,-27.1915,-28.0555,-12.9228,-16.796,-24.5019,-10.9541,-7.62047,-15.9001,-8.28868,-17.2685,-4.49264,-0,-14.5496,-10.0618,-15.6397,-0,-0,-0,-5.9528,-12.2799,-0,-6.51727,-0,-6.90032,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,1,3,4,4,2,4,7,5,10,9,17,13,10,10,11,13,7,12,8,4,4,3,3,5,7,2,4,2,4,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
-550.161,0.995487,0.220018,4,15,0,552.833,-1.17606,-1.34695,-1.08134,-0.824169,4.13023,0.635763,-0.711367,5.26062,2.72445,5.45058e-05,6.82948e-05,8.57081e-05,0.000107778,0.000135879,0.000171869,0.000218314,0.000278839,0.000358721,0.000465891,0.000612654,0.000818481,0.00111396,0.00154538,0.002179,0.00310419,0.00443444,0.0063046,0.00886307,0.0122575,0.0166145,0.0218982,0.0279769,0.0346141,0.0414712,0.0481225,0.0540819,0.0588448,0.0619585,0.0631307,0.062333,0.0597985,0.0559141,0.0511105,0.0457967,0.0403272,0.0349845,0.0299734,0.0254219,0.021391,0.0178901,0.0148935,0.0123558,0.0102235,0.00844193,0.00695964,0.00573024,0.00471302,0.00387296,0.00318023,0.00260968,0.0021402,0.00175418,0.00143695,0.00117632,0.000962191,0.000786197,0.000641438,0.000522231,0.000423912,0.000342666,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.47248,-6.12889,-5.775,-10.8367,-5.06648,-23.6293,-17.6065,-16.3899,-7.6427,-28.611,-23.5445,-31.8276,-30.34,-40.8416,-28.3285,-44.5006,-22.1004,-33.3032,-30.9845,-28.8394,-26.7639,-27.7519,-12.8429,-16.7642,-24.5521,-11.0164,-7.68957,-16.094,-8.41366,-17.5745,-4.58307,-0,-14.9029,-10.324,-16.0723,-0,-0,-0,-6.14686,-12.6915,-0,-6.74536,-0,-7.1483,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,2,3,5,6,5,11,10,7,14,10,11,9,17,11,16,5,7,8,7,6,4,6,5,3,0,1,0,1,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0
-548.545,0.956846,0.220018,3,15,0,552.925,-1.06793,-2.15245,-0.999695,-0.891421,4.0951,0.685023,-0.617495,5.29888,2.81821,0.000187298,0.00023084,0.000284769,0.000351704,0.000435002,0.000539003,0.00066939,0.000833711,0.00104216,0.00130876,0.00165314,0.00210289,0.00269623,0.0034836,0.00452765,0.00590101,0.00768163,0.00994532,0.012755,0.0161474,0.0201198,0.0245896,0.0294143,0.0343973,0.0393015,0.0438659,0.0478249,0.05093,0.0529773,0.0538441,0.0535165,0.0520836,0.0497046,0.0465781,0.0429211,0.0389507,0.0348685,0.030847,0.0270187,0.023473,0.0202589,0.0173931,0.0148698,0.0126692,0.0107639,0.0091236,0.00771787,0.0065175,0.00549551,0.00462756,0.00389194,0.00326957,0.00274377,0.00230007,0.00192598,0.00161078,0.00134532,0.00112179,0.00093361,0.000775208,0.000641904,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.65969,-5.39755,-5.13263,-9.73785,-4.61065,-21.8092,-16.504,-15.6242,-7.41086,-28.2102,-23.5884,-32.3649,-31.2662,-42.5629,-29.773,-47.0063,-23.3733,-35.1332,-32.504,-30.0166,-27.5996,-28.3355,-12.9818,-16.7809,-24.351,-10.8337,-7.50381,-15.5966,-8.10336,-16.8337,-4.36858,-0,-14.0907,-9.72843,-15.0998,-0,-0,-0,-5.7231,-11.7968,-0,-6.25232,-0,-6.61113,-0,-0,-0,-0,0,0,0,2,0,0,0,0,2,0,0,1,0,2,1,2,1,3,4,1,5,6,8,7,8,11,8,14,15,16,9,11,6,9,7,4,4,9,4,2,0,4,1,3,3,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
-550.904,0.971546,0.220018,3,15,0,552.389,-0.961508,-2.34852,-0.977588,-0.963653,3.9349,0.689606,-0.520131,5.30808,2.95618,0.00028934,0.000351476,0.000427302,0.000520006,0.000633599,0.000773175,0.000945267,0.00115835,0.00142359,0.00175589,0.00217549,0.00271005,0.00339688,0.00428433,0.00543103,0.00690295,0.0087681,0.0110888,0.0139113,0.0172546,0.0210982,0.0253485,0.0298602,0.0344444,0.0388816,0.0429381,0.0463829,0.0490082,0.0506555,0.0512449,0.0507894,0.04938,0.0471597,0.0443024,0.0409955,0.0374256,0.0337637,0.0301533,0.0267029,0.0234848,0.0205391,0.0178812,0.0155091,0.01341,0.0115647,0.00995099,0.00854587,0.00732665,0.00627185,0.00536153,0.00457755,0.00390358,0.00332502,0.00282895,0.00240399,0.00204016,0.00172879,0.0014624,0.00123453,0.00103965,0.000873066,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.45279,-5.21563,-4.97581,-9.47327,-4.50182,-21.3753,-16.2387,-15.4343,-7.35007,-28.0898,-23.5789,-32.4723,-31.48,-42.9916,-30.1577,-47.7233,-23.7691,-35.7608,-33.0903,-30.5422,-28.0505,-28.7486,-13.1416,-16.9418,-24.5102,-10.8689,-7.5028,-15.5417,-8.04801,-16.6653,-4.31175,-0,-13.8303,-9.52462,-14.7487,-0,-0,-0,-5.54586,-11.4126,-0,-6.03063,-0,-6.36033,-0,-0,-0,-0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,1,2,5,3,3,8,3,9,5,11,8,7,12,14,7,12,8,7,5,7,7,8,9,3,5,4,3,3,3,1,0,2,2,2,0,1,0,0,0,2,0,0,1,0,1,0
-549.83,0.989547,0.220018,4,23,0,554.179,-0.347962,-1.62861,-0.959425,-0.704685,4.51191,0.557146,-0.584433,4.9699,2.51195,5.13495e-05,6.61034e-05,8.52309e-05,0.00011012,0.000142662,0.000185481,0.000242294,0.000318508,0.000422229,0.000565957,0.000769307,0.00106276,0.00149168,0.0021192,0.00302689,0.00431246,0.00608438,0.00845322,0.0115199,0.0153615,0.020016,0.0253499,0.0311743,0.0372451,0.0432702,0.0489221,0.053856,0.0577321,0.060247,0.0611809,0.0604597,0.0581935,0.054646,0.0501584,0.0450841,0.0397508,0.0344396,0.0293735,0.0247118,0.0205507,0.0169294,0.0138425,0.0112535,0.00910872,0.00734828,0.00591304,0.00474876,0.00380778,0.00304938,0.00243946,0.00194975,0.00155709,0.00124256,0.000990786,0.000789333,0.00062816,0.000499184,0.00039592,0.000313177,0.000246814,0.000193538,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.15672,-5.80022,-5.44625,-10.2041,-4.77321,-22.3184,-16.7036,-15.6449,-7.34996,-27.7453,-23.0316,-31.4029,-30.1753,-40.9002,-28.5194,-44.9488,-22.3514,-33.6693,-31.2838,-29.0688,-26.9331,-27.893,-12.9005,-16.8427,-24.6936,-11.1014,-7.76972,-16.3148,-8.56002,-17.9483,-4.69852,-0,-15.3918,-10.6997,-16.7121,-0,-0,-0,-6.46493,-13.3812,-0,-7.14432,-0,-7.60254,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,5,4,4,11,5,8,6,6,17,11,10,12,12,12,10,9,6,7,5,8,2,4,4,3,4,2,0,1,1,1,0,1,0,0,2,1,0,0,0,1,0,0
-548.764,0.997638,0.220018,4,15,0,551.208,-0.899659,-2.14499,-1.01888,-0.881677,4.31426,0.728486,-0.498976,5.33014,2.79983,0.000175958,0.000217354,0.000268759,0.000332739,0.0004126,0.000512645,0.000638549,0.000797921,0.00100115,0.00126272,0.00160312,0.00205133,0.00264709,0.0034418,0.00449767,0.0058851,0.00767789,0.00994613,0.0127465,0.0161102,0.0200318,0.0244225,0.0291419,0.0340036,0.038788,0.0432562,0.0471658,0.0502867,0.0524214,0.0534348,0.0532884,0.0520491,0.0498599,0.0469057,0.0433891,0.0395156,0.0354805,0.0314571,0.0275871,0.0239735,0.0206791,0.017732,0.0151333,0.0128669,0.0109065,0.00922151,0.00778044,0.00655276,0.00551019,0.0046271,0.00388071,0.00325098,0.00272045,0.002274,0.00189864,0.00158324,0.00131833,0.00109588,0.000909103,0.000752304,0.000620697,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.67176,-5.4042,-5.13533,-9.73882,-4.61057,-21.8125,-16.5132,-15.6417,-7.4245,-28.2846,-23.669,-32.4965,-31.4061,-42.7572,-29.9001,-47.1751,-23.4344,-35.1844,-32.5112,-29.9854,-27.5366,-28.2379,-12.9242,-16.6939,-24.2139,-10.7712,-7.46162,-15.5145,-8.06477,-16.7634,-4.3531,-0,-14.0586,-9.71229,-15.0836,-0,-0,-0,-5.7288,-11.8139,-0,-6.26662,-0,-6.63139,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4,4,8,1,6,6,5,7,9,10,8,11,4,12,10,9,7,7,11,4,6,6,7,7,3,4,2,2,4,5,2,2,1,1,0,0,1,0,0,0,0,1,0,0
