# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 02:56:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2ee797b5.json
# init = /tmp/RtmpC8O1hA/init-b41c2c895744_4.json
# random
#   seed = 3552011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0350_rep035_manuscript_default/prior_sensitivity_obspair_FAST-202605310356-4-13986a.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0350_rep035_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605310356-4-1de8de.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0565026
# Diagonal elements of inverse mass matrix:
# 0.115489, 0.129859, 0.204898, 0.0126447, 0.384265, 0.134232, 0.265947
-547.069,0.996571,0.0565026,6,63,0,549.886,-1.90532,-1.27582,-1.35023,-0.834665,2.65054,0.563895,0.129351,5.02514,3.06533,0.000156775,0.000195165,0.000243077,0.00030294,0.00037784,0.000471723,0.000589664,0.000738249,0.000926113,0.00116472,0.00146952,0.00186162,0.00237033,0.00303644,0.00391622,0.00508551,0.00664409,0.0087219,0.0114892,0.0151872,0.0203073,0.0264304,0.0332125,0.0402277,0.0469273,0.0526629,0.0568139,0.059005,0.0592375,0.0577984,0.0550841,0.0514869,0.0473516,0.0429627,0.0385425,0.0342534,0.0302046,0.0264612,0.023055,0.0199939,0.0172701,0.0148655,0.0127566,0.0109172,0.00932032,0.00793952,0.00674974,0.00572772,0.00485222,0.00410407,0.00346616,0.00292334,0.00246226,0.00207124,0.00174012,0.00146004,0.00122338,0.00102355,0.000854888,0.000712542,0.000592311,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.79707,-5.54263,-5.28136,-10.0281,-4.74192,-22.3317,-16.7492,-15.5871,-7.26648,-27.2386,-22.4924,-30.5916,-29.4384,-40.1516,-28.3013,-45.2192,-22.8064,-34.7867,-32.6307,-30.5015,-28.3268,-29.3039,-13.4959,-17.4988,-25.4245,-11.3096,-7.82465,-16.2351,-8.41743,-17.4468,-4.51742,-0,-14.5077,-9.9965,-15.4873,-0,-0,-0,-5.83503,-12.0134,-0,-6.3538,-0,-6.70614,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,1,0,1,4,0,2,2,2,1,4,1,7,9,7,8,11,3,11,11,14,15,9,13,6,11,6,6,5,6,3,4,2,3,0,0,1,3,2,1,1,0,1,0,1,0,0,0,1,0,0,0,0
-546.354,0.992586,0.0565026,5,63,0,551.31,-1.4324,-1.2252,-1.1364,-0.97853,2.65479,0.975964,-0.57588,5.0621,3.2163,0.000174937,0.000212107,0.000257432,0.000312823,0.0003807,0.000464151,0.000567167,0.000694967,0.000854493,0.00105515,0.00130996,0.00163748,0.00206494,0.00263366,0.00340754,0.00448339,0.00599795,0.00812814,0.0110832,0.0150855,0.020338,0.0267097,0.0338892,0.0413729,0.0484817,0.0544284,0.0585038,0.060371,0.0601411,0.0581792,0.0549387,0.050873,0.0463816,0.0417777,0.0372803,0.0330264,0.029091,0.0255073,0.0222816,0.0194033,0.0168526,0.0146044,0.0126316,0.0109067,0.00940327,0.00809617,0.00696233,0.00598069,0.00513226,0.00440006,0.003769,0.00322574,0.00275853,0.00235707,0.0020123,0.0017163,0.00146213,0.00124373,0.00105582,0.000893865,0.000753969,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.93938,-5.68177,-5.40738,-10.2327,-4.81242,-22.5116,-16.7761,-15.5811,-7.24546,-27.0773,-22.2959,-30.2657,-29.1087,-39.7413,-28.0725,-44.977,-22.7538,-34.8184,-32.7626,-30.7085,-28.5785,-29.6036,-13.6418,-17.6866,-25.6815,-11.412,-7.88463,-16.333,-8.45286,-17.4862,-4.51837,-0,-14.4491,-9.93448,-15.3577,-0,-0,-0,-5.73659,-11.7861,-0,-6.20848,-0,-6.52786,-0,-0,-0,-0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,3,2,2,6,9,8,10,13,14,13,11,8,8,10,7,7,12,10,10,6,7,2,2,3,2,2,1,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-546.744,0.997048,0.0565026,6,63,0,550.468,-1.86995,-1.50949,-0.54471,-0.692238,2.13758,0.0207296,-0.905183,4.69763,2.74959,0.0001137,0.000146234,0.000188152,0.00024221,0.000312004,0.000402245,0.000519137,0.000670903,0.00086851,0.00112671,0.00146553,0.00191234,0.00250478,0.00329469,0.00435278,0.00577327,0.00767612,0.0102032,0.0135045,0.0177126,0.0229082,0.0289858,0.0356635,0.0424808,0.0488529,0.0541806,0.0579818,0.0599879,0.0601696,0.0586999,0.055884,0.0520855,0.0476659,0.042945,0.0381805,0.0335631,0.0292221,0.0252352,0.02164,0.0184453,0.0156402,0.0132011,0.0110976,0.0092959,0.00776186,0.00646233,0.00536632,0.00444559,0.00367478,0.0030315,0.00249614,0.00205174,0.00168369,0.00137951,0.0011286,0.000921975,0.000752072,0.000612542,0.000498072,0.00040424,0.000327378,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.71544,-5.43694,-5.15452,-9.73928,-4.58506,-21.5237,-16.1339,-15.105,-7.0819,-26.669,-22.1109,-30.1894,-29.1543,-39.8668,-28.1361,-44.9694,-22.6825,-34.6137,-32.5036,-30.4354,-28.3305,-29.3889,-13.5773,-17.6641,-25.7566,-11.4996,-7.98589,-16.6317,-8.65491,-18.0041,-4.67818,-0,-15.1253,-10.4552,-16.2475,-0,-0,-0,-6.18907,-12.7735,-0,-6.78678,-0,-7.19268,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,2,4,3,3,4,6,6,9,13,11,12,14,13,12,6,6,13,4,8,5,7,6,6,5,3,3,4,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0
-547.403,0.999378,0.0565026,6,63,0,548.795,-2.2212,-1.56335,-2.05579,-0.62848,2.79546,0.638238,-0.114444,4.79946,2.67328,9.17037e-05,0.000119851,0.000156686,0.000204924,0.000268152,0.000351132,0.000460208,0.00060389,0.00079368,0.00104527,0.00138025,0.00182852,0.0024312,0.00324317,0.00433391,0.00578629,0.00769437,0.0101611,0.0132968,0.017221,0.0220787,0.027655,0.0336974,0.0399016,0.045906,0.0512942,0.0556157,0.0584563,0.0595671,0.0589627,0.0568779,0.0536455,0.0496087,0.045083,0.0403424,0.0356125,0.0310667,0.0268256,0.0229614,0.019507,0.0164658,0.0138213,0.0115449,0.00960193,0.00795534,0.00656841,0.00540639,0.00443732,0.00363249,0.00296653,0.0024173,0.0019657,0.00159539,0.00129248,0.00104527,0.000843925,0.000680239,0.000547391,0.000439732,0.000352599,0.000282154,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.73121,-5.44129,-5.15226,-9.73453,-4.58919,-21.6012,-16.2465,-15.2526,-7.1759,-27.1227,-22.5494,-30.8116,-29.7018,-40.4501,-28.3948,-45.1304,-22.6468,-34.4022,-32.1789,-30.0359,-27.8933,-28.8932,-13.3402,-17.3581,-25.3288,-11.3218,-7.87396,-16.4259,-8.56309,-17.846,-4.64579,-0,-15.0764,-10.4403,-16.2531,-0,-0,-0,-6.23191,-12.8813,-0,-6.86348,-0,-7.29307,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,3,2,1,5,9,4,6,9,7,15,12,10,10,18,9,10,7,11,8,5,4,5,5,4,3,1,1,4,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
-546.273,0.999169,0.0565026,6,63,0,550.016,-1.7986,-1.25208,-1.61519,-0.61897,2.74019,-0.0111498,-1.56281,5.02131,2.70973,7.29247e-05,9.56752e-05,0.000125609,0.000165053,0.000217128,0.000286041,0.000377506,0.000499334,0.000662273,0.00088119,0.00117667,0.00157706,0.00212083,0.00285891,0.00385633,0.00519251,0.00695956,0.00925823,0.0121915,0.0158561,0.0203328,0.0255081,0.0311964,0.0371363,0.0429976,0.0484008,0.0529545,0.0563093,0.0582178,0.0585809,0.0574592,0.055046,0.0516176,0.0474813,0.0429341,0.0382366,0.033599,0.0291776,0.0250776,0.0213606,0.0180526,0.0151533,0.0126446,0.0104969,0.00867464,0.00714029,0.00585666,0.00478873,0.00390451,0.00317546,0.00257656,0.00208617,0.0016858,0.00135977,0.00109489,0.000880149,0.000706372,0.000565975,0.000452705,0.000361432,0.000287956,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.85732,-5.55804,-5.26054,-9.93528,-4.68224,-22.0351,-16.5768,-15.5821,-7.33751,-27.7396,-23.0521,-31.4661,-30.2824,-41.1365,-28.769,-45.497,-22.6988,-34.2802,-31.8954,-29.6389,-27.4268,-28.3328,-13.0558,-16.9663,-24.7405,-11.0573,-7.69241,-16.0579,-8.37907,-17.4821,-4.55668,-0,-14.826,-10.2804,-16.0245,-0,-0,-0,-6.17243,-12.771,-0,-6.8171,-0,-7.25537,-0,-0,-0,-0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,6,5,3,5,7,5,9,8,12,9,17,6,12,11,8,12,12,6,6,9,4,4,3,1,5,2,2,0,0,0,1,1,0,1,0,2,0,0,0,0,1,0,0
-550.163,0.998908,0.0565026,6,63,0,551.831,-2.76263,-0.832878,-2.26859,-0.847066,2.27801,1.795,-0.156724,5.00042,3.20351,0.00014338,0.000178032,0.000221172,0.000274944,0.000342062,0.000425993,0.000531186,0.000663403,0.000830188,0.00104154,0.00131093,0.00165687,0.0021055,0.00269485,0.00348269,0.00455862,0.00604799,0.00811181,0.0109627,0.0149003,0.0204212,0.0271474,0.0346891,0.0425582,0.0500688,0.056179,0.0597421,0.0608139,0.0599171,0.0575426,0.0541323,0.0500836,0.0457268,0.0413052,0.0369854,0.0328751,0.0290399,0.0255147,0.0223127,0.0194324,0.0168621,0.0145841,0.0125767,0.0108167,0.00928046,0.00794466,0.00678719,0.00578738,0.00492616,0.00418621,0.00355193,0.00300939,0.00254619,0.00215144,0.00181554,0.00153009,0.00128777,0.00108219,0.000907852,0.000759968,0.000634384,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.91641,-5.65995,-5.39074,-10.2161,-4.81443,-22.5663,-16.8255,-15.5647,-7.21295,-26.8906,-22.0982,-29.9436,-28.7921,-39.4481,-27.9994,-45.0367,-22.8418,-34.9959,-32.9347,-30.8507,-28.6809,-29.6751,-13.6602,-17.6954,-25.6795,-11.4078,-7.88163,-16.3307,-8.45565,-17.5036,-4.52666,-0,-14.5058,-9.98544,-15.4562,-0,-0,-0,-5.80602,-11.9463,-0,-6.31137,-0,-6.65484,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,2,3,5,2,4,4,3,8,14,9,19,6,9,12,12,8,11,5,7,7,13,7,6,0,2,1,3,2,2,1,2,1,0,0,0,0,0,0,0,0,1,1,1,1,0
-552.262,0.99024,0.0565026,6,63,0,554.794,-0.730589,-3.06597,0.349121,-0.643912,3.46586,-0.44133,-1.85527,4.79414,2.40443,0.000166735,0.000216849,0.000282029,0.000366801,0.000477045,0.000620389,0.000806715,0.00104879,0.00136303,0.00177043,0.00229761,0.00297781,0.0038518,0.00496815,0.00638242,0.00815456,0.0103436,0.0129998,0.0161531,0.0198016,0.0238996,0.028349,0.0329973,0.0376436,0.0420525,0.045977,0.049185,0.0514865,0.052755,0.0529398,0.0520682,0.0502374,0.047599,0.0443381,0.0406525,0.0367335,0.0327521,0.0288495,0.0251342,0.0216815,0.0185375,0.0157236,0.0132421,0.0110813,0.00922049,0.00763311,0.00629021,0.00516234,0.00422109,0.00343997,0.00279494,0.00226463,0.00183032,0.00147588,0.0011875,0.000953517,0.000764136,0.00061119,0.000487911,0.000388725,0.000309057,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.30471,-5.05421,-4.80918,-9.14277,-4.34282,-20.6282,-15.688,-14.9356,-7.12633,-27.2906,-22.9571,-31.6884,-30.7961,-42.1703,-29.6644,-47.0735,-23.5088,-35.4624,-32.9009,-30.4494,-28.0432,-28.8243,-13.2163,-17.0939,-24.8196,-11.0506,-7.66259,-15.9518,-8.30519,-17.2974,-4.50249,-0,-14.6258,-10.1375,-15.7991,-0,-0,-0,-6.09034,-12.6065,-0,-6.73591,-0,-7.17676,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,3,0,1,2,0,2,6,6,3,8,15,9,10,10,8,12,14,13,8,10,8,8,4,4,3,4,3,6,3,2,3,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0
