# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 03:06:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c23ce980a6.json
# init = /tmp/RtmpC8O1hA/init-b41c26b90f013_4.json
# random
#   seed = 3652002
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0351_rep036_accurate_weak/prior_sensitivity_obspair_FAST-202605310406-4-303eaa.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0351_rep036_accurate_weak/prior_sensitivity_obspair_FAST-profile-202605310406-4-1561b1.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0824673
# Diagonal elements of inverse mass matrix:
# 0.0793077, 0.075417, 0.122016, 0.0541993, 0.139134, 0.107992, 0.280605
-541.595,0.990839,0.0824673,5,63,0,545.238,-1.88864,-2.29346,-1.50626,-0.449037,3.95401,0.407,-0.959744,5.13707,2.34666,4.70863e-05,6.48381e-05,8.93084e-05,0.000123063,0.000169666,0.000234085,0.000323263,0.000446933,0.000618742,0.000857721,0.00118996,0.00165011,0.0022821,0.00313881,0.00428054,0.00577218,0.00767868,0.0100586,0.0129559,0.0163904,0.0203495,0.0247573,0.0294925,0.0343921,0.0392597,0.0438756,0.0480089,0.0514304,0.0539298,0.0553414,0.0555753,0.0546385,0.0526299,0.0497121,0.0460825,0.0419524,0.037532,0.0330198,0.0285922,0.0243937,0.0205311,0.0170711,0.0140426,0.0114439,0.00925101,0.00742618,0.00592528,0.0047028,0.00371524,0.00292301,0.00229129,0.00179017,0.00139446,0.00108326,0.000839387,0.000648899,0.000500542,0.000385303,0.000296006,0.000226964,0.000173692,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.3094,-9.73861,-18.3973,-26.0772,-4.11106,-7.7894,-29.5891,-10.5709,-33.6993,-29.138,-25.0112,-24.2909,-32.6428,-46.7212,-28.9423,-14.4501,-37.7912,-26.5002,-24.0121,-36.9279,-22.1985,-13.1302,-13.6426,-35.5462,-33.4209,-7.77163,-12.2111,-8.53131,-13.4109,-14.0491,-0,-10.2571,-5.3596,-0,-0,-12.1573,-0,-6.57525,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,3,1,3,1,3,9,6,3,8,4,9,4,11,6,15,8,12,8,12,8,6,9,9,9,6,4,1,7,2,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
-546.244,0.911562,0.0824673,4,23,0,548.028,-2.20194,-2.31842,-1.51767,-0.576901,3.95601,0.0125815,-1.2175,5.81337,2.71665,9.00639e-05,0.000119405,0.000158357,0.000210102,0.00027889,0.0003704,0.000492216,0.00065442,0.000870316,0.00115721,0.00153713,0.00203731,0.00269022,0.00353302,0.00460619,0.00595154,0.00760918,0.00961391,0.011991,0.0147518,0.01789,0.0213617,0.0250963,0.0289967,0.0329416,0.03679,0.0403872,0.0435734,0.0461952,0.0481193,0.0492478,0.0495318,0.048976,0.0476358,0.0456056,0.0430064,0.039973,0.0366444,0.0331549,0.0296274,0.026168,0.0228626,0.0197755,0.016949,0.0144062,0.0121533,0.0101839,0.00848231,0.00702702,0.00579333,0.00475552,0.00388836,0.00316805,0.00257284,0.00208326,0.00168222,0.00135491,0.00108866,0.000872725,0.000698072,0.00055716,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.2482,-9.7568,-18.5782,-26.5416,-4.21639,-8.04703,-30.7693,-11.0551,-35.4057,-30.7172,-26.4202,-25.6739,-34.4664,-49.1981,-30.3407,-15.0544,-39.0668,-27.1478,-24.3534,-37.0527,-22.0249,-12.8782,-13.226,-34.0656,-31.6715,-7.28644,-11.3348,-7.84662,-12.2326,-12.7203,-0,-9.1739,-4.76977,-0,-0,-10.6969,-0,-5.75464,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,1,2,4,7,2,5,6,8,7,12,12,15,12,6,5,11,10,7,9,8,6,6,6,5,3,5,5,2,1,2,4,0,0,0,0,1,0,0,0,0,0,0,0
-542.107,0.990157,0.0824673,3,15,0,548.942,-2.31226,-2.01425,-1.16029,-0.323728,3.6555,-0.0113351,-1.28869,5.17739,2.25183,2.14505e-05,3.08156e-05,4.42779e-05,6.36373e-05,9.14889e-05,0.000131577,0.000189302,0.00027244,0.000392143,0.000564265,0.000811008,0.00116278,0.00165991,0.00235387,0.00330737,0.00459282,0.00628869,0.00847339,0.0112167,0.0145694,0.018552,0.0231235,0.0281863,0.0335821,0.0390937,0.0444541,0.0493631,0.0535118,0.0566158,0.0584539,0.0589042,0.0579629,0.0557396,0.0524319,0.0482919,0.0435943,0.0386093,0.0335817,0.0287164,0.0241699,0.020048,0.0164084,0.0132683,0.0106134,0.00840796,0.00660383,0.00514743,0.00398519,0.00306689,0.00234759,0.0017884,0.00135655,0.00102498,0.000771725,0.00057917,0.000433372,0.000323386,0.000240696,0.000178716,0.00013239,9.78524e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.7665,-10.138,-19.0833,-26.9421,-4.22883,-7.97436,-30.1353,-10.7068,-33.9376,-29.1762,-24.9064,-24.0684,-32.2064,-45.9435,-28.3952,-14.1592,-37.0234,-25.9836,-23.5859,-36.3659,-21.9298,-13.017,-13.5751,-35.5029,-33.5038,-7.81925,-12.3299,-8.64476,-13.6369,-14.3357,-0,-10.5385,-5.52517,-0,-0,-12.6529,-0,-6.88308,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,7,2,4,6,8,6,8,17,13,8,16,10,17,14,10,11,11,6,2,4,5,7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-542.391,0.996885,0.0824673,5,63,0,547.174,-1.84603,-2.39384,-1.33739,-0.508746,3.89138,0.230392,-0.306551,5.19731,2.46192,6.32482e-05,8.55094e-05,0.000115642,0.00015646,0.0002118,0.000286915,0.00038901,0.000527989,0.00071745,0.000975965,0.00132855,0.00180805,0.00245608,0.00332301,0.00446671,0.00594991,0.0078357,0.0101814,0.0130309,0.0164063,0.0203005,0.024635,0.0292875,0.0340948,0.0388592,0.0433598,0.0473649,0.0506492,0.0530142,0.054315,0.054484,0.0535429,0.0515926,0.0487903,0.0453245,0.0413956,0.0372006,0.0329227,0.0287209,0.024724,0.0210261,0.0176865,0.0147332,0.0121683,0.00997471,0.00812309,0.00657732,0.00529895,0.0042501,0.00339544,0.00270309,0.00214509,0.00169738,0.00133958,0.00105465,0.000828444,0.000649376,0.000507985,0.000396603,0.000309046,0.000240353,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.2488,-9.69813,-18.3488,-26.0426,-4.11009,-7.79422,-29.6287,-10.5918,-33.7861,-29.2303,-25.1058,-24.399,-32.8112,-46.9951,-29.1296,-14.5492,-38.0545,-26.6794,-24.1618,-37.1269,-22.2921,-13.1657,-13.6544,-35.5013,-33.2998,-7.72398,-12.1049,-8.4353,-13.2268,-13.8231,-0,-10.0483,-5.24025,-0,-0,-11.8267,-0,-6.37867,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,1,2,3,2,1,3,9,13,6,15,8,8,12,6,10,11,7,11,8,7,8,8,5,7,2,4,3,3,1,2,1,2,1,0,0,2,0,1,0,0,0,0,0,0
-542.384,0.982936,0.0824673,4,31,0,544.761,-1.91957,-2.51393,-1.89211,-0.247881,3.84962,0.381093,-0.899411,4.87329,2.15568,2.1992e-05,3.24993e-05,4.80331e-05,7.10043e-05,0.000104985,0.000155268,0.000229687,0.000339778,0.000502343,0.000741285,0.00108928,0.00158864,0.00229086,0.00325513,0.00454567,0.00622805,0.00836393,0.0110041,0.0141803,0.0178964,0.0221224,0.0267552,0.0316511,0.036632,0.0414959,0.046027,0.0500061,0.0532208,0.0554783,0.0566243,0.0565716,0.0553261,0.0529914,0.0497437,0.045795,0.0413667,0.0366736,0.0319152,0.0272692,0.0228848,0.0188759,0.0153176,0.0122448,0.00965669,0.00752461,0.00580177,0.00443244,0.00335928,0.00252819,0.00189105,0.00140682,0.00104155,0.000767786,0.000563779,0.000412517,0.000300866,0.000218784,0.00015866,0.000114765,8.28136e-05,5.96211e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.1574,-9.56765,-18.0379,-25.5354,-4.02315,-7.62233,-28.9682,-10.3589,-33.0683,-28.6394,-24.6282,-23.9649,-32.2664,-46.2682,-28.7132,-14.3612,-37.6286,-26.4386,-24.007,-37.003,-22.2969,-13.2228,-13.7787,-36.02,-33.9956,-7.93973,-12.5363,-8.80531,-13.9203,-14.6687,-0,-10.8376,-5.69603,-0,-0,-13.1328,-0,-7.172,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,4,4,3,2,7,4,10,13,10,8,8,14,9,18,12,7,9,9,12,5,6,2,5,4,4,0,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
-543.472,0.998463,0.0824673,5,31,0,544.783,-1.52833,-1.75959,-1.30622,-0.547407,3.47411,0.183135,-0.161667,4.84531,2.48586,6.41463e-05,8.57729e-05,0.00011474,0.000153579,0.000205717,0.000275826,0.000370293,0.000497905,0.000670803,0.000905804,0.00122615,0.0016636,0.00226065,0.00307228,0.00416669,0.00562451,0.007536,0.00999638,0.0130996,0.0169315,0.0215657,0.0268459,0.0325634,0.0384523,0.0441959,0.0494414,0.053827,0.0570234,0.0587876,0.059015,0.0577614,0.0552201,0.0516664,0.0474034,0.0427226,0.0378822,0.033096,0.0285293,0.0242985,0.0204751,0.0170919,0.0141512,0.0116334,0.00950486,0.00772435,0.00624825,0.00503368,0.00404068,0.00323325,0.00257979,0.00205311,0.00163014,0.00129153,0.00102122,0.000805992,0.000634999,0.000499429,0.000392139,0.000307369,0.000240487,0.000187784,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.3612,-9.77613,-18.4221,-26.0111,-4.07858,-7.6733,-28.9411,-10.2737,-32.5834,-28.0721,-24.0557,-23.3758,-31.5072,-45.3412,-28.2996,-14.2572,-37.6536,-26.6665,-24.3925,-37.8363,-22.9129,-13.6334,-14.2273,-37.1734,-34.9969,-8.1383,-12.7739,-8.90774,-13.9679,-14.5901,-0,-10.5832,-5.51134,-0,-0,-12.3768,-0,-6.65193,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,2,6,2,4,6,4,11,12,12,13,9,6,15,14,10,16,2,8,10,4,8,4,1,4,4,2,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
