# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 03:38:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2156656c.json
# init = /tmp/RtmpC8O1hA/init-b41c2793cc255_1.json
# random
#   seed = 3652006
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0355_rep036_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-202605310438-1-6a21a5.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0355_rep036_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605310438-1-1be357.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.122323
# Diagonal elements of inverse mass matrix:
# 0.0740453, 0.0528824, 0.0267179, 0.0154418, 0.0330772, 0.0320631, 0.0471186
-545.611,0.991376,0.122323,5,31,0,548.256,-0.963216,-1.96039,-1.16239,-0.69321,3.41944,0.381057,-0.534626,4.5872,2.52576,0.000130918,0.00016843,0.000216814,0.000279301,0.000360135,0.00046493,0.000601161,0.000778879,0.00101174,0.00131849,0.00172506,0.00226733,0.00299418,0.00396977,0.00527342,0.00699605,0.00923265,0.0120713,0.0155795,0.0197891,0.0246836,0.0300921,0.0357747,0.0414332,0.0467305,0.0513171,0.0548661,0.057116,0.057918,0.0572677,0.0552976,0.0522363,0.0483606,0.0439572,0.0392959,0.0346111,0.0300896,0.0258656,0.0220225,0.0186001,0.0156042,0.0130176,0.0108088,0.00893918,0.00736795,0.00605517,0.00496361,0.00405967,0.00331369,0.0026999,0.00219618,0.00178373,0.00144669,0.00117175,0.000947823,0.000765678,0.000617686,0.000497557,0.000400122,0.000321148,0.000257177,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.92482,-9.37002,-17.6677,-24.9708,-3.92262,-7.40323,-28.0279,-9.99154,-31.8367,-27.5702,-23.7578,-23.2229,-31.4894,-45.5796,-28.6002,-14.4751,-38.3757,-27.2616,-24.9963,-38.8396,-23.5451,-14.0143,-14.6194,-38.1569,-35.8613,-8.32043,-13.0244,-9.05479,-14.1519,-14.7318,-0,-10.6112,-5.50665,-0,-0,-12.2421,-0,-6.53848,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,1,0,2,2,6,6,5,7,11,8,9,19,10,9,5,14,9,12,5,5,10,4,6,3,5,5,4,2,1,1,2,0,0,0,1,1,0,2,1,0,0,0,0,1,0,0
-545.819,0.994639,0.122323,5,31,0,550.305,-1.42079,-3.21203,-0.513067,-0.371002,4.44667,0.0256229,-0.524041,5.01369,2.07652,2.83233e-05,4.00195e-05,5.65591e-05,7.99598e-05,0.000113089,0.000160027,0.000226589,0.000321068,0.000455269,0.000645924,0.000916496,0.00129929,0.00183757,0.00258711,0.00361641,0.00500471,0.00683692,0.00919499,0.012146,0.0157277,0.0199347,0.0247038,0.029909,0.0353617,0.0408199,0.0460048,0.0506242,0.0543995,0.057094,0.0585384,0.0586508,0.0574444,0.055024,0.0515707,0.0473197,0.0425344,0.0374815,0.0324076,0.0275216,0.0229833,0.0188991,0.0153241,0.0122701,0.00971605,0.00761887,0.00592375,0.00457188,0.00350598,0.00267366,0.00202906,0.00153334,0.0011544,0.000866226,0.000648063,0.00048355,0.000359921,0.000267298,0.000198094,0.000146511,0.000108147,7.96716e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.5948,-9.97084,-18.7564,-26.4646,-4.15233,-7.83059,-29.6064,-10.5288,-33.4212,-28.7873,-24.6321,-23.8666,-32.0254,-45.8089,-28.3807,-14.1808,-37.1402,-26.0999,-23.7184,-36.6099,-22.1021,-13.1356,-13.7175,-35.9278,-33.9569,-7.93728,-12.535,-8.80118,-13.9019,-14.6314,-0,-10.7757,-5.65329,-0,-0,-12.9606,-0,-7.05136,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,5,0,3,5,5,8,14,12,10,17,8,13,11,11,13,11,10,13,5,6,9,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
-544.878,0.998599,0.122323,5,31,0,548.076,-1.8402,-1.54266,-1.44812,-0.616031,3.86321,0.603381,-1.4348,5.26656,2.55911,5.20948e-05,6.84115e-05,8.99075e-05,0.000118277,0.000155806,0.000205605,0.000271956,0.000360835,0.000480721,0.000643848,0.000868074,0.00117938,0.00161451,0.00222297,0.00306789,0.00422567,0.00578391,0.00783701,0.0104784,0.0137894,0.0178249,0.0225445,0.0278422,0.0335416,0.0393991,0.0451117,0.0503305,0.0546811,0.0578031,0.0594209,0.059427,0.057909,0.0550953,0.0512818,0.0467816,0.0418961,0.0368962,0.0320085,0.0274055,0.0232024,0.01946,0.0161948,0.0133915,0.0110148,0.0090199,0.00735859,0.00598392,0.00485238,0.00392505,0.0031679,0.00255169,0.00205159,0.00164672,0.00131968,0.001056,0.000843789,0.00067326,0.000536413,0.000426728,0.00033891,0.000268664,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.9332,-10.3054,-19.3956,-27.3506,-4.28386,-8.05432,-30.3381,-10.7436,-33.9497,-29.1061,-24.7889,-23.9131,-31.9686,-45.6114,-28.2311,-14.115,-37.0355,-26.0882,-23.7634,-36.7472,-22.2079,-13.1986,-13.767,-35.9701,-33.8715,-7.87879,-12.3692,-8.62628,-13.5255,-14.125,-0,-10.2374,-5.32829,-0,-0,-11.942,-0,-6.40897,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,6,4,7,7,11,6,12,3,12,22,11,5,14,10,10,6,9,8,5,6,1,2,2,2,1,4,1,1,2,1,0,0,0,0,2,0,0,0,0,0,0
-545.218,0.995445,0.122323,5,31,0,547.722,-1.60965,-3.96975,-1.12037,-0.216172,4.62882,0.0861806,-0.630533,5.18074,2.10307,2.184e-05,3.26688e-05,4.88599e-05,7.30556e-05,0.000109178,0.000163013,0.000243008,0.0003613,0.000534913,0.000786961,0.00114763,0.00165466,0.00235309,0.00329415,0.00453294,0.00612471,0.00811966,0.0105565,0.0134552,0.0168102,0.0205851,0.0247067,0.029068,0.0335324,0.0379404,0.0421179,0.0458867,0.0490745,0.051527,0.0531191,0.0537669,0.0534369,0.052151,0.0499843,0.0470561,0.0435172,0.0395365,0.0352889,0.0309443,0.0266586,0.0225664,0.0187746,0.0153592,0.012364,0.00980272,0.00766315,0.0059139,0.00451127,0.00340586,0.00254787,0.00189069,0.00139309,0.00102006,0.000742812,0.000538287,0.000388388,0.000279147,0.000199933,0.000142745,0.00010162,7.21503e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.1908,-9.62693,-18.2041,-25.8503,-4.08577,-7.76638,-29.6054,-10.6144,-33.9524,-29.4457,-25.3383,-24.6526,-33.1586,-47.4504,-29.3522,-14.6155,-38.0803,-26.5825,-23.9684,-36.677,-21.9422,-12.9221,-13.3767,-34.7557,-32.6218,-7.58259,-11.9258,-8.35208,-13.1789,-13.8753,-0,-10.2609,-5.40118,-0,-0,-12.5416,-0,-6.88789,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,3,1,3,6,4,4,13,6,7,7,5,9,10,6,10,18,8,6,8,5,7,18,8,2,4,3,2,1,3,2,2,1,0,0,1,0,0,1,1,0,0,1,0,0,0
-549.142,0.988745,0.122323,5,31,0,552.77,-2.27192,-3.82207,-1.70611,-0.459091,2.80222,0.235414,-1.4475,4.75935,2.40915,6.9285e-05,9.50333e-05,0.000130353,0.000178804,0.000245268,0.000336441,0.000461497,0.000632976,0.000867958,0.00118952,0.00162841,0.00222461,0.00302821,0.00409878,0.0055026,0.00730772,0.00957697,0.0123594,0.015681,0.0195354,0.0238777,0.0285911,0.0335117,0.0384354,0.0431289,0.0473449,0.0508408,0.0534025,0.0548727,0.0551751,0.0543238,0.0524142,0.0496022,0.0460822,0.0420666,0.0377684,0.0333857,0.0290887,0.0250118,0.02125,0.0178607,0.0148683,0.0122718,0.0100521,0.00817825,0.00661366,0.00531954,0.00425787,0.00339314,0.00269325,0.00212996,0.00167887,0.00131926,0.00103375,0.000807886,0.000629818,0.000489858,0.000380159,0.0002944,0.000227517,0.00017547,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.83765,-9.29679,-17.5733,-24.9319,-3.93553,-7.46962,-28.4373,-10.1876,-32.5878,-28.2921,-24.4024,-23.8325,-32.2289,-46.4438,-28.9724,-14.564,-38.3315,-27.0335,-24.6186,-38.022,-22.934,-13.5985,-14.1496,-36.8841,-34.6626,-8.0503,-12.6256,-8.8009,-13.7999,-14.4188,-0,-10.4727,-5.45899,-0,-0,-12.3033,-0,-6.63068,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,1,2,5,8,4,4,3,11,11,7,3,10,7,12,11,12,7,13,4,9,13,5,5,10,1,3,2,1,0,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
-546.368,0.997728,0.122323,4,31,0,552.624,-1.70075,-3.44626,-1.70467,-0.414382,3.27592,-0.0794104,-0.945167,4.966,2.43749,7.39725e-05,0.000102916,0.000143166,0.000199113,0.000276817,0.000384604,0.000533824,0.000739757,0.00102263,0.00140852,0.00192999,0.00262598,0.00354073,0.00472162,0.00621592,0.00806659,0.0103075,0.0129587,0.0160214,0.0194745,0.0232731,0.0273208,0.0314947,0.0356494,0.0396239,0.0432505,0.046364,0.0488143,0.0504785,0.0512738,0.0511672,0.0501798,0.0483825,0.0458859,0.042827,0.0393568,0.0356282,0.0317877,0.027967,0.0242782,0.0208094,0.0176238,0.0147599,0.0122343,0.0100452,0.0081768,0.006604,0.00529613,0.00422028,0.00334372,0.00263555,0.00206768,0.00161531,0.00125708,0.000974865,0.000753583,0.000580805,0.000446411,0.000342232,0.000261726,0.000199692,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.64005,-9.14976,-17.3839,-24.803,-3.93865,-7.52092,-28.8009,-10.3738,-33.3402,-29.0549,-25.126,-24.5699,-33.217,-47.7793,-29.7058,-14.8633,-38.8978,-27.2576,-24.6528,-37.807,-22.6456,-13.3385,-13.7947,-35.7673,-33.4636,-7.7447,-12.1155,-8.43168,-13.2105,-13.802,-0,-10.0402,-5.24078,-0,-0,-11.8773,-0,-6.42823,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,1,2,2,2,7,4,4,1,9,8,12,7,13,9,3,11,13,7,6,12,2,6,7,6,5,6,2,6,1,1,3,2,1,2,2,1,0,0,1,0,1,1,1,0,1,0
