# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 03:58:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c27b8881dc.json
# init = /tmp/RtmpC8O1hA/init-b41c23aa2f1d_3.json
# random
#   seed = 3652009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0358_rep036_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605310458-3-8a2cab.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0358_rep036_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605310458-3-886fd5.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0858137
# Diagonal elements of inverse mass matrix:
# 0.179942, 0.0675916, 0.0338451, 0.0130527, 0.0388366, 0.0366457, 0.0494414
-547.967,0.999834,0.0858137,5,31,0,551.312,-2.1102,-2.54285,-1.0581,-0.51766,3.17983,0.836889,-0.924712,4.66958,2.30519,5.74417e-05,7.7412e-05,0.00010434,0.000140663,0.000189679,0.000255868,0.000345317,0.000466341,0.000630332,0.000853001,0.00115616,0.00157029,0.00213809,0.00291844,0.00398927,0.0054475,0.00740554,0.00998259,0.0132884,0.0173978,0.0223201,0.027956,0.0340983,0.0404434,0.0466159,0.0521985,0.056767,0.0599418,0.0614695,0.0612836,0.0594882,0.0563088,0.0520517,0.0470688,0.0417195,0.0363306,0.0311615,0.0263888,0.0221098,0.0183595,0.0151302,0.0123884,0.0100865,0.00817204,0.00659218,0.00529711,0.00424162,0.00338571,0.00269473,0.00213911,0.00169393,0.00133838,0.00105525,0.000830388,0.000652236,0.000511403,0.000400298,0.000312808,0.000244032,0.000190051,0.000147746,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.4252,-9.81105,-18.4276,-25.9252,-4.05141,-7.60454,-28.617,-10.1355,-32.0785,-27.5923,-23.6216,-22.9504,-30.9582,-44.6274,-27.9224,-14.1099,-37.3998,-26.5997,-24.4492,-38.1214,-23.2057,-13.8743,-14.5393,-38.1173,-35.9785,-8.38212,-13.173,-9.19311,-14.4211,-15.0656,-0,-10.9256,-5.68819,-0,-0,-12.7614,-0,-6.85398,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,3,3,3,1,4,4,6,2,6,12,9,7,16,14,13,16,7,9,14,7,4,5,5,4,5,5,2,2,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0
-544.023,0.999293,0.0858137,5,31,0,550.245,-1.57725,-2.65358,-0.793659,-0.651532,4.33731,0.785979,-0.178206,5.28557,2.41313,7.44359e-05,9.67376e-05,0.000125776,0.000163625,0.000213023,0.000277611,0.000362257,0.000473545,0.000620478,0.000815569,0.00107647,0.00142827,0.00190613,0.00255776,0.00344497,0.00464397,0.0062431,0.00833654,0.0110128,0.014337,0.0183308,0.0229411,0.0280426,0.0334435,0.0388999,0.0441335,0.0488506,0.0527621,0.0556084,0.0571933,0.0574265,0.0563416,0.0540722,0.0508165,0.0468106,0.0423083,0.0375627,0.0328078,0.0282413,0.0240097,0.020203,0.0168582,0.0139727,0.011518,0.00945187,0.00772729,0.0062972,0.00511761,0.00414892,0.00335636,0.00270996,0.00218421,0.00175761,0.0014122,0.00113304,0.000907784,0.000726292,0.000580243,0.000462848,0.000368581,0.000292956,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.7444,-10.1526,-19.1484,-27.0522,-4.24491,-7.99834,-30.1986,-10.7221,-33.979,-29.2209,-24.9643,-24.1519,-32.3616,-46.2307,-28.6132,-14.2862,-37.3922,-26.2569,-23.8363,-36.7398,-22.1394,-13.127,-13.6684,-35.6697,-33.5637,-7.80385,-12.2488,-8.5413,-13.3915,-13.9846,-0,-10.1353,-5.27507,-0,-0,-11.8216,-0,-6.3438,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,2,0,0,3,3,5,5,8,5,7,11,10,8,10,13,9,15,10,17,13,5,9,7,2,3,0,3,5,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0
-544.248,0.997664,0.0858137,5,63,0,548.252,-1.49148,-2.8822,-0.89268,-0.566512,4.41225,0.80228,-0.0835141,5.16639,2.31262,6.29077e-05,8.36317e-05,0.00011122,0.000147976,0.000196996,0.00026247,0.000350088,0.000467653,0.000625965,0.000840141,0.00113151,0.0015299,0.00207577,0.00282145,0.00383129,0.00518035,0.00695058,0.00922358,0.0120688,0.0155276,0.019596,0.0241974,0.0291944,0.0343976,0.0395805,0.0444943,0.0488825,0.0524951,0.0551068,0.0565431,0.0567159,0.0556475,0.0534547,0.0503154,0.0464419,0.0420625,0.037408,0.0326975,0.0281259,0.0238494,0.0199752,0.0165585,0.0136103,0.0111094,0.00901592,0.00728172,0.00585698,0.00469433,0.00375081,0.00298871,0.0023756,0.00188408,0.00149123,0.00117809,0.000929069,0.000731469,0.000574968,0.000451231,0.00035355,0.000276547,0.000215924,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.5258,-9.93786,-18.744,-26.5028,-4.16514,-7.86486,-29.7721,-10.6013,-33.6977,-29.0648,-24.8992,-24.1467,-32.4174,-46.3757,-28.7275,-14.3485,-37.5533,-26.3603,-23.9155,-36.8346,-22.1802,-13.1435,-13.6818,-35.7106,-33.624,-7.82653,-12.3026,-8.59386,-13.4999,-14.1263,-0,-10.2802,-5.3614,-0,-0,-12.085,-0,-6.50815,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,3,2,1,5,10,5,6,11,7,14,9,9,13,7,14,11,10,11,6,11,7,8,1,5,1,3,2,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
-544.9,0.998445,0.0858137,5,63,0,546.135,-1.83487,-2.70853,-0.873425,-0.6746,3.70299,0.955796,-0.243254,5.06612,2.50841,0.000100716,0.000130055,0.000167988,0.000217066,0.000280616,0.000362999,0.000469954,0.000609077,0.000790506,0.00102791,0.00133995,0.00175246,0.0023014,0.00303606,0.00402106,0.0053368,0.00707738,0.00934436,0.012234,0.0158165,0.02011,0.0250436,0.030459,0.0361203,0.0417343,0.0469722,0.0514922,0.0549697,0.0571433,0.0578778,0.0571867,0.0551985,0.0521193,0.0482051,0.0437387,0.0390042,0.0342596,0.0297104,0.025496,0.0216928,0.0183277,0.0153945,0.0128673,0.0107097,0.00888144,0.00734165,0.00605154,0.00497541,0.00408122,0.00334071,0.00272929,0.00222582,0.00181221,0.00147315,0.00119574,0.000969157,0.000784368,0.000633871,0.000511455,0.000411993,0.000331269,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.4663,-9.9017,-18.6919,-26.4212,-4.1467,-7.81307,-29.4971,-10.4741,-33.209,-28.5879,-24.4656,-23.7306,-31.9107,-45.7951,-28.4942,-14.3072,-37.6586,-26.588,-24.2583,-37.5543,-22.7086,-13.4952,-14.065,-36.6923,-34.477,-7.99869,-12.5212,-8.70614,-13.6098,-14.1714,-0,-10.2149,-5.30325,-0,-0,-11.8074,-0,-6.31321,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,2,1,2,4,1,0,7,4,3,9,12,6,4,11,14,11,11,17,14,11,8,6,10,5,6,4,3,2,1,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-546.85,0.999,0.0858137,5,31,0,548.555,-1.59345,-2.56662,-1.18181,-0.431707,3.93984,0.127546,-1.37686,5.00387,2.27686,5.12457e-05,7.09528e-05,9.82614e-05,0.000136122,0.000188642,0.000261546,0.000362812,0.00050354,0.000699095,0.000970507,0.00134599,0.00186227,0.00256523,0.00350942,0.00475609,0.00636945,0.00841106,0.0109324,0.0139662,0.0175177,0.0215569,0.0260008,0.0307214,0.0355501,0.0402862,0.0447088,0.0485913,0.0517193,0.0539099,0.055033,0.0550296,0.0539197,0.0517964,0.0488099,0.0451468,0.0410122,0.0366131,0.0321443,0.0277767,0.023648,0.019858,0.0164679,0.0135038,0.0109632,0.00882272,0.00704568,0.00558885,0.00440726,0.00345762,0.00270032,0.00210042,0.00162797,0.00125774,0.000968889,0.000744409,0.000570553,0.000436319,0.000332963,0.000253581,0.000192751,0.000146234,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.1125,-9.55642,-18.0641,-25.6267,-4.04455,-7.67412,-29.197,-10.4484,-33.3681,-28.9057,-24.8607,-24.1945,-32.5812,-46.7271,-28.9982,-14.4994,-37.9634,-26.6439,-24.1586,-37.174,-22.3572,-13.2294,-13.7501,-35.8356,-33.7003,-7.8383,-12.319,-8.60956,-13.5396,-14.1913,-0,-10.374,-5.4245,-0,-0,-12.3312,-0,-6.67844,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,1,2,1,6,4,8,5,8,7,8,8,17,2,10,7,15,4,13,11,9,4,12,10,4,3,1,6,3,0,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
-542.92,0.999709,0.0858137,5,31,0,547.562,-1.26288,-2.64246,-0.902611,-0.616297,4.45089,0.71683,-0.417568,5.13579,2.34483,7.58976e-05,9.95757e-05,0.000130705,0.000171678,0.00022569,0.000297035,0.000391533,0.000517151,0.000684931,0.000910381,0.00121542,0.00163069,0.00219762,0.00296948,0.00401115,0.00539724,0.00720777,0.00952055,0.0123998,0.0158813,0.0199574,0.0245531,0.0295331,0.0347082,0.0398492,0.0447036,0.0490119,0.0525254,0.0550262,0.0563516,0.0564242,0.0552706,0.0530087,0.0498184,0.0459155,0.0415321,0.0369003,0.0322377,0.0277329,0.0235331,0.0197364,0.0163916,0.0135056,0.011056,0.00900299,0.00729934,0.00589645,0.00474833,0.00381345,0.00305536,0.00244281,0.00194935,0.00155286,0.00123502,0.000980731,0.00077765,0.000615716,0.000486769,0.000384218,0.000302752,0.000238104,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.4437,-9.86519,-18.6172,-26.3405,-4.14261,-7.82831,-29.6553,-10.5667,-33.6078,-29.0039,-24.8616,-24.1255,-32.411,-46.3991,-28.7615,-14.3743,-37.6417,-26.4357,-23.995,-36.9714,-22.269,-13.1981,-13.7385,-35.8514,-33.7441,-7.85058,-12.333,-8.60931,-13.5144,-14.1306,-0,-10.2668,-5.34996,-0,-0,-12.0292,-0,-6.46766,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,3,3,4,6,5,5,11,12,11,4,14,13,9,9,14,11,10,10,11,4,6,2,6,1,2,2,3,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
