# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 04:09:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c279b93eb1.json
# init = /tmp/RtmpC8O1hA/init-b41c2465dba59_2.json
# random
#   seed = 3652011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0360_rep036_manuscript_default/prior_sensitivity_obspair_FAST-202605310509-2-717901.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0360_rep036_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605310509-2-8a7e0e.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0680808
# Diagonal elements of inverse mass matrix:
# 0.127621, 0.0834383, 0.229934, 0.0760111, 0.311976, 0.143876, 0.24676
-545.778,0.986105,0.0680808,5,31,0,549.608,-3.01764,-1.21297,-2.63921,-0.544403,2.39077,-0.00992398,-1.86391,5.38863,2.75959,5.97602e-05,8.00124e-05,0.000107185,0.000143685,0.000192778,0.000258919,0.00034819,0.000468908,0.000632432,0.000854176,0.0011548,0.00156142,0.00210877,0.00283986,0.00380628,0.00506791,0.00669205,0.00875202,0.0113253,0.0144913,0.018329,0.0227356,0.0275766,0.0326817,0.0378426,0.0428151,0.0473271,0.0510976,0.0538676,0.0554408,0.0557227,0.0547396,0.0526287,0.0496039,0.045914,0.0418072,0.0375074,0.0332018,0.0290366,0.0251175,0.0215139,0.0182643,0.0153823,0.0128625,0.0106867,0.00882805,0.00725505,0.00593469,0.00483429,0.00392299,0.00317248,0.00255745,0.00205567,0.00164791,0.00131773,0.00105123,0.000836761,0.000664612,0.00052676,0.000416604,0.000328743,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.5697,-10.0137,-18.9539,-26.8843,-4.2342,-7.99854,-30.2706,-10.7724,-34.2094,-29.4689,-25.2069,-24.4054,-32.7142,-46.7396,-28.9244,-14.4368,-37.7672,-26.5004,-24.0295,-36.9718,-22.2228,-13.1329,-13.6206,-35.392,-33.1577,-7.67811,-12.0084,-8.34908,-13.0603,-13.6163,-0,-9.85211,-5.12694,-0,-0,-11.5065,-0,-6.18715,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,5,3,4,9,15,3,7,12,11,15,3,13,14,4,11,8,8,11,3,5,5,7,1,4,3,3,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0
-544.13,0.998402,0.0680808,6,63,0,548.969,-2.34864,-1.38057,-0.787259,-0.377724,2.02141,-0.675845,-0.360777,4.87491,2.52898,5.22603e-05,7.33571e-05,0.000102873,0.000144096,0.000201543,0.000281387,0.000392002,0.000544649,0.000754313,0.0010407,0.00142932,0.0019527,0.00265138,0.00357478,0.00478142,0.00633828,0.0083189,0.0107999,0.0138559,0.0175524,0.0219382,0.0269056,0.0322689,0.0377692,0.0430927,0.0479033,0.0518825,0.0547709,0.0564007,0.0567126,0.0557542,0.0536632,0.0506404,0.04692,0.042742,0.0383311,0.0338824,0.0295534,0.0254624,0.0216899,0.0182833,0.015263,0.0126278,0.0103612,0.00843632,0.00682036,0.00547772,0.00437262,0.00347077,0.00274052,0.00215341,0.00168445,0.00131209,0.00101806,0.000787047,0.000606382,0.000465695,0.000356569,0.00027223,0.000207264,0.000157374,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.1223,-9.57845,-18.1129,-25.6743,-4.04256,-7.63905,-28.9234,-10.3009,-32.7626,-28.2996,-24.3086,-23.6702,-31.9506,-46.0044,-28.6976,-14.434,-38.0254,-26.847,-24.4745,-37.8309,-22.8305,-13.5394,-14.0862,-36.7055,-34.4782,-8.00353,-12.547,-8.74371,-13.7091,-14.3256,-0,-10.4141,-5.43239,-0,-0,-12.2814,-0,-6.63613,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,1,2,2,3,4,2,8,8,10,8,8,7,13,17,8,7,12,15,10,11,5,7,6,5,4,1,2,0,4,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
-545.325,0.999266,0.0680808,6,63,0,547.593,-1.5711,-2.40874,-1.50564,-0.195888,5.39448,1.6298,-1.85975,5.18792,1.95807,1.14179e-05,1.72355e-05,2.6027e-05,3.93252e-05,5.94692e-05,9.00501e-05,0.000136631,0.000207946,0.000317907,0.000488079,0.000747954,0.00113429,0.00169123,0.00247037,0.00353032,0.00493554,0.00675387,0.00905188,0.0118866,0.0152906,0.0192497,0.0236721,0.0284108,0.0332954,0.0381513,0.0428025,0.0470723,0.0507844,0.0537654,0.055849,0.0568833,0.0567432,0.0553739,0.0528951,0.0495273,0.045495,0.0410084,0.0362602,0.0314254,0.0266617,0.0221113,0.017901,0.0141413,0.0109179,0.0082695,0.00617165,0.00455409,0.00333061,0.00241822,0.0017452,0.00125303,0.000895666,0.000637737,0.000452521,0.000320106,0.000225808,0.000158885,0.000111536,7.81287e-05,5.46172e-05,3.81081e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.6226,-9.99528,-18.8191,-26.5941,-4.18052,-7.90052,-29.9477,-10.683,-34.0233,-29.3957,-25.2093,-24.4486,-32.7818,-46.77,-28.851,-14.3338,-37.2998,-26.0428,-23.5156,-36.0628,-21.6311,-12.7759,-13.2681,-34.6014,-32.6207,-7.62333,-12.0687,-8.51731,-13.5521,-14.3855,-0,-10.7835,-5.7046,-0,-0,-13.3644,-0,-7.35758,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,2,3,4,5,6,5,11,8,8,7,15,5,12,7,8,15,11,4,10,6,8,6,7,9,0,1,2,3,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0
-546.685,0.995967,0.0680808,6,63,0,550.441,-2.99723,-1.99691,-0.935226,-0.261243,3.12147,-0.67644,0.714612,5.30009,2.52304,4.07628e-05,5.93453e-05,8.61856e-05,0.000124783,0.000179991,0.00025845,0.000369091,0.000523706,0.000737505,0.0010296,0.00142331,0.00194607,0.00262904,0.00350606,0.00461258,0.00598485,0.00766104,0.00968614,0.0121227,0.0150681,0.0190517,0.0234691,0.0282495,0.0332266,0.0381797,0.0428527,0.0469791,0.0503128,0.0526597,0.0539025,0.0540124,0.0530461,0.0511297,0.0484336,0.0451482,0.0414622,0.0375489,0.0335587,0.0296166,0.0258218,0.0222498,0.0189541,0.0159683,0.013309,0.010978,0.00896523,0.00725178,0.00581253,0.00461876,0.00364022,0.00284693,0.00221044,0.00170463,0.00130624,0.000995041,0.000753806,0.000568122,0.000426126,0.00031819,0.000236599,0.000175234,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.237,-9.74322,-18.5482,-26.4761,-4.19518,-7.9212,-30.0166,-10.7,-34.044,-29.3891,-25.1999,-24.4644,-32.8845,-47.1025,-29.2058,-14.5927,-38.1757,-26.7605,-24.2205,-37.1736,-22.2808,-13.1284,-13.5778,-35.1942,-32.9088,-7.61085,-11.8972,-8.2743,-12.9579,-13.5356,-0,-9.85302,-5.14774,-0,-0,-11.723,-0,-6.37441,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,2,0,2,5,3,5,4,7,5,10,7,8,17,8,15,6,10,9,11,8,9,6,5,4,5,5,3,3,2,0,1,3,1,1,1,1,0,1,1,0,0,0,0,0,0
-545.568,0.983928,0.0680808,6,63,0,550.856,-0.112494,-1.72578,-1.33191,-0.129685,5.52326,0.336971,0.089774,5.045,2.23739,1.38205e-05,2.14889e-05,3.3445e-05,5.21199e-05,8.13447e-05,0.000127135,0.000198802,0.000310304,0.000481507,0.000738872,0.00111538,0.00164989,0.00238632,0.00337279,0.00466079,0.00630387,0.00835554,0.0108665,0.013883,0.0174513,0.0216396,0.0260538,0.0305475,0.0349995,0.0392907,0.0433026,0.0469163,0.0500078,0.0524441,0.0540817,0.0547731,0.0543884,0.0528601,0.0502389,0.0467206,0.0425978,0.0381688,0.033674,0.0292814,0.0251008,0.0212025,0.0176329,0.014423,0.0115927,0.00915025,0.00709164,0.00539906,0.00404193,0.00297985,0.00216712,0.00155751,0.00110809,0.000781584,0.000547257,0.000380795,0.000263545,0.000181549,0.000124553,8.51393e-05,5.80056e-05,3.93972e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.1332,-9.56966,-18.0883,-25.6625,-4.04834,-7.66646,-29.1807,-10.4654,-33.5242,-29.1309,-25.1163,-24.4751,-32.9513,-47.1681,-29.1726,-14.5228,-37.8508,-26.461,-23.9277,-36.7628,-22.0917,-13.0629,-13.5641,-35.308,-33.1637,-7.70727,-12.114,-8.47786,-13.3721,-14.0819,-0,-10.4431,-5.51103,-0,-0,-12.9293,-0,-7.15419,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,5,4,1,4,10,8,8,3,6,9,11,6,17,7,18,17,12,9,10,1,4,6,3,6,2,3,1,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
-545.327,0.992945,0.0680808,6,63,0,548.281,-1.42511,-2.06062,-1.48867,0.0479209,4.92377,0.195848,0.566159,5.06951,2.11779,6.02306e-06,1.01715e-05,1.71677e-05,2.89447e-05,4.87011e-05,8.16394e-05,0.000135983,0.000224192,0.000364126,0.000579852,0.000901956,0.00136745,0.00201944,0.00290662,0.00408273,0.00560601,0.00753888,0.009948,0.0129053,0.0164945,0.0210344,0.0257789,0.0305902,0.035331,0.0398836,0.0441328,0.0479563,0.0512172,0.0537575,0.0554,0.0559666,0.0553237,0.053452,0.050499,0.0467554,0.0425531,0.0381662,0.0337758,0.0294881,0.0253684,0.0214671,0.0178331,0.0145156,0.0115594,0.0089973,0.00684294,0.00508773,0.00370203,0.00264057,0.00184989,0.00127551,0.000867337,0.000582746,0.000387508,0.000255399,0.000167043,0.000108529,7.01056e-05,4.50558e-05,2.88268e-05,1.83695e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.3678,-9.77536,-18.4415,-26.1007,-4.10473,-7.7232,-29.2656,-10.4612,-33.4299,-28.9961,-24.9644,-24.2997,-32.6885,-46.7723,-28.9317,-14.415,-37.6292,-26.3607,-23.8864,-36.7539,-22.099,-13.0632,-13.552,-35.2377,-33.0683,-7.68247,-12.0801,-8.46506,-13.3808,-14.1325,-0,-10.5618,-5.59887,-0,-0,-13.3288,-0,-7.44776,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,2,2,0,1,2,7,4,5,8,2,7,10,9,16,10,2,11,15,7,5,13,8,7,10,9,2,3,11,2,1,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
