# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 04:36:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2182557ba.json
# init = /tmp/RtmpC8O1hA/init-b41c21cec4c80_1.json
# random
#   seed = 3752003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0362_rep037_accurate_moderate/prior_sensitivity_obspair_FAST-202605310536-1-9b0b63.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0362_rep037_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605310536-1-6454b8.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0890715
# Diagonal elements of inverse mass matrix:
# 0.0741777, 0.101616, 0.0488363, 0.0129546, 0.0412162, 0.0303568, 0.0347664
-559.143,0.954329,0.0890715,4,15,0,566.053,-1.66569,-1.90333,-1.15409,-0.645313,3.98625,0.150304,-0.534344,5.3892,2.63205,7.86695e-05,0.000102496,0.00013363,0.000174378,0.000227814,0.000298065,0.000390711,0.000513362,0.000676457,0.000894389,0.00118695,0.00158108,0.00211257,0.00282745,0.0037824,0.00504377,0.0066847,0.00877989,0.0113982,0.0145932,0.0183934,0.0227475,0.0275497,0.032637,0.0377939,0.0427621,0.0472585,0.0510001,0.053737,0.0552892,0.055578,0.0546361,0.0525923,0.0496407,0.0460082,0.0419281,0.0376208,0.0332798,0.0290638,0.0250918,0.021444,0.0181648,0.0152697,0.0127518,0.0105892,0.00875096,0.00720177,0.00590553,0.0048274,0.00393521,0.00320003,0.00259647,0.00210253,0.00169942,0.00137123,0.0011046,0.0008884,0.000713372,0.000571885,0.000457661,0.000365555,-0,-0,-0,-8.65428,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.86838,-0,-5.2896,-5.00793,-9.47058,-13.4229,-16.9088,-11.9873,-30.2664,-17.9588,-27.3785,-19.6536,-44.1295,-18.3127,-20.8315,-35.0838,-31.847,-54.9094,-20.3494,-26.5067,-21.0206,-15.3947,-19.0308,-22.9614,-20.4168,-21.2296,-29.4817,-15.3692,-8.01653,-12.5456,-21.8104,-4.54792,-4.73859,-14.8003,-5.13187,-16.0003,-5.53779,-11.4892,-0,-0,-0,-0,-0,-0,-0,-0,-7.68938,-0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,4,3,2,5,3,4,8,10,5,17,11,12,9,8,11,10,12,10,4,3,13,5,5,3,1,7,4,0,0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0
-557.961,0.999957,0.0890715,5,31,0,559.704,-1.92696,-2.33954,-1.6117,-0.622609,3.38887,0.224893,-0.972588,5.26348,2.68814,0.000117222,0.000153434,0.00020089,0.000263119,0.000344783,0.000452055,0.000593125,0.000778879,0.00102378,0.00134696,0.00177345,0.00233526,0.00307193,0.00403003,0.0052614,0.00681999,0.00875753,0.0111179,0.0139311,0.0172066,0.0209281,0.0250164,0.0293546,0.033791,0.0381447,0.042215,0.045793,0.048679,0.0507037,0.0517535,0.0517888,0.0508465,0.0490264,0.0464708,0.0433457,0.0398248,0.0360776,0.0322587,0.0285005,0.024908,0.0215571,0.0184958,0.015748,0.0133179,0.0111958,0.0093624,0.00779267,0.00645915,0.00533385,0.00438978,0.00360177,0.00294697,0.00240503,0.00195809,0.00159067,0.00128949,0.00104325,0.000842402,0.000678934,0.000546153,0.000438497,-0,-0,-0,-8.2429,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.51398,-0,-4.9879,-4.73784,-8.99839,-12.8209,-16.2498,-11.6,-29.5058,-17.6415,-27.1005,-19.5982,-44.3097,-18.5017,-21.1576,-35.7811,-32.5739,-56.251,-20.8526,-27.1386,-21.4825,-15.6927,-19.3396,-23.2546,-20.6038,-21.347,-29.5405,-15.3482,-7.98042,-12.4531,-21.5932,-4.49221,-4.67105,-14.5637,-5.04226,-15.701,-5.42848,-11.2527,-0,-0,-0,-0,-0,-0,-0,-0,-7.51261,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,2,1,4,4,5,3,4,10,5,10,5,14,15,6,16,17,8,8,6,5,10,5,5,4,2,2,3,3,1,2,0,0,0,4,2,0,0,0,2,1,0,0,0,0,0
-558.275,0.998793,0.0890715,6,63,0,561.228,-1.3816,-1.70461,-1.08083,-0.807797,3.1663,0.0584274,-1.3694,5.12852,2.86628,0.000162772,0.000204104,0.000256147,0.000321796,0.000404801,0.000510045,0.000643949,0.000815028,0.00103468,0.0013183,0.00168677,0.00216839,0.00280116,0.0036348,0.0047319,0.0061669,0.00802222,0.0103809,0.0133164,0.01688,0.0210883,0.0258519,0.0310084,0.0363225,0.0414982,0.0462042,0.0501136,0.0529514,0.0545393,0.0548212,0.0538606,0.0518156,0.0489035,0.0453668,0.0414445,0.0373516,0.0332669,0.029327,0.0256275,0.0222276,0.0191565,0.0164208,0.0140113,0.0119087,0.0100876,0.00852031,0.0071783,0.00603423,0.0050625,0.00423974,0.003545,0.00295975,0.00246774,0.00205484,0.00170887,0.00141934,0.0011773,0.000975137,0.000806384,0.000665599,0.0005482,-0,-0,-0,-8.04159,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.6172,-0,-5.08856,-4.82554,-9.13557,-12.9563,-16.3265,-11.5771,-29.243,-17.3675,-26.5225,-19.0926,-43.0456,-17.9608,-20.5687,-34.906,-31.9405,-55.5057,-20.7205,-27.1612,-21.6508,-15.917,-19.7243,-23.8224,-21.1755,-21.9845,-30.4514,-15.8205,-8.21842,-12.8037,-22.1524,-4.59644,-4.7653,-14.8101,-5.11031,-15.8577,-5.46325,-11.2844,-0,-0,-0,-0,-0,-0,-0,-0,-7.31482,-0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,1,1,3,3,2,1,7,8,6,10,13,10,11,8,9,6,10,6,6,6,4,9,10,4,5,8,6,5,3,1,1,2,1,2,0,1,1,0,2,0,0,1,0,0,1,0
-560.243,0.995847,0.0890715,4,15,0,560.877,-1.99957,-1.5747,-0.881024,-0.938044,3.23374,0.256722,-1.4125,5.83879,3.25455,0.00012961,0.000158492,0.000194044,0.000237923,0.000292257,0.000359806,0.000444197,0.000550264,0.000684549,0.000856069,0.00107747,0.00136673,0.00174966,0.00226313,0.00295871,0.00390556,0.00519129,0.00691901,0.00919944,0.0121372,0.0158125,0.0202263,0.025296,0.0308391,0.0365709,0.0421212,0.0470773,0.0510509,0.0537532,0.0550441,0.0549383,0.0535769,0.0511842,0.0480244,0.0443643,0.0404446,0.0364641,0.0325732,0.0288761,0.0254376,0.0222919,0.0194505,0.0169093,0.0146548,0.0126672,0.0109242,0.00940209,0.00807775,0.00692897,0.00593508,0.00507714,0.00433798,0.00370223,0.0031562,0.00268777,0.00228628,0.00194235,0.00164783,0.00139562,0.00117963,0.00099461,-0,-0,-0,-8.34356,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.09101,-0,-5.54535,-5.26077,-9.94696,-14.0658,-17.6459,-12.4409,-31.2062,-18.3856,-27.8318,-19.851,-44.3409,-18.3358,-20.8245,-35.0802,-31.8958,-55.1293,-20.4865,-26.7509,-21.2523,-15.5766,-19.2469,-23.18,-20.5456,-21.2685,-29.3722,-15.2141,-7.87977,-12.2397,-21.1149,-4.36874,-4.51678,-14.0005,-4.81864,-14.9161,-5.12687,-10.566,-0,-0,-0,-0,-0,-0,-0,-0,-6.74256,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,6,5,5,7,4,6,8,9,12,8,10,10,10,10,12,6,9,13,4,6,7,7,4,4,2,3,4,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
-560.027,0.974035,0.0890715,4,31,0,565.509,-2.12814,-2.84217,-1.04955,-0.561408,3.4863,0.522477,-0.885978,5.0546,2.43029,7.56898e-05,0.000100719,0.000134046,0.000178438,0.0002376,0.000316496,0.0004218,0.000562509,0.000750791,0.00100316,0.00134207,0.00179788,0.00241105,0.00323378,0.00433041,0.00577571,0.00765062,0.0100344,0.0129927,0.0165621,0.0207343,0.0254345,0.0305221,0.0357952,0.0410034,0.0458656,0.0500906,0.0534044,0.0555856,0.0565018,0.0561292,0.0545436,0.0518987,0.048403,0.0442974,0.0398329,0.0352467,0.0307423,0.026476,0.0225528,0.0190305,0.0159285,0.0132395,0.0109381,0.00898907,0.0073531,0.00599008,0.00486173,0.00393283,0.00317181,0.00255102,0.00204655,0.00163801,0.00130818,0.00104264,0.000829405,0.000658562,0.000521974,0.000412985,0.000326175,0.000257146,-0,-0,-0,-8.63127,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.7341,-0,-5.15409,-4.87297,-9.20347,-13.0301,-16.4026,-11.6279,-29.3732,-17.4465,-26.6395,-19.1646,-43.1486,-17.9635,-20.509,-34.678,-31.6083,-54.7219,-20.3613,-26.6261,-21.1974,-15.5841,-19.3384,-23.4177,-20.8927,-21.7891,-30.3352,-15.8469,-8.27928,-12.9737,-22.5775,-4.71175,-4.91263,-15.353,-5.32636,-16.6152,-5.75345,-11.9425,-0,-0,-0,-0,-0,-0,-0,-0,-8.02808,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,4,4,4,4,7,13,10,11,8,12,16,9,9,11,8,12,6,7,9,3,3,2,4,6,1,1,1,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0
-558.952,0.981096,0.0890715,4,15,0,563.465,-2.52256,-2.81534,-1.38527,-0.620233,3.49619,0.308349,-0.709551,5.51503,2.70599,0.000106344,0.000139236,0.000182332,0.000238821,0.000312904,0.000410119,0.000537787,0.000705596,0.000926372,0.00121705,0.00159985,0.0021034,0.0027636,0.00362371,0.00473327,0.00614572,0.00791456,0.0100878,0.0127012,0.0157699,0.0192822,0.0231799,0.0273661,0.0317071,0.0360375,0.0401696,0.0439032,0.047041,0.0494077,0.0508735,0.051373,0.0509104,0.0495508,0.0474059,0.0446188,0.0413514,0.0377708,0.0340382,0.0302971,0.0266665,0.0232362,0.020067,0.0171933,0.0146285,0.0123694,0.0104019,0.0087045,0.00725212,0.00601817,0.00497626,0.00410128,0.00337001,0.00276147,0.00225701,0.00184028,0.0014971,0.0012153,0.000984505,0.000795934,0.000642204,0.000517134,-0,-0,-0,-8.33979,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.62026,-0,-5.092,-4.83905,-9.19285,-13.0982,-16.5986,-11.8457,-30.1157,-17.9922,-27.6097,-19.9392,-45.005,-18.7546,-21.3972,-36.0918,-32.7626,-56.4042,-20.8438,-27.0428,-21.3431,-15.548,-19.1139,-22.9335,-20.2816,-20.9802,-28.9948,-15.0482,-7.81736,-12.1897,-21.1239,-4.39253,-4.56577,-14.2317,-4.92646,-15.3389,-5.30308,-10.9929,-0,-0,-0,-0,-0,-0,-0,-0,-7.35061,-0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,2,3,1,3,4,4,8,2,13,5,7,9,10,10,11,8,8,12,7,4,9,6,11,7,2,6,2,5,2,2,4,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0
