# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 05:05:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c27af866a1.json
# init = /tmp/RtmpC8O1hA/init-b41c271153544_4.json
# random
#   seed = 3752007
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0366_rep037_mildly_wrong_strong/prior_sensitivity_obspair_FAST-202605310605-4-972efc.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0366_rep037_mildly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605310605-4-68ace2.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.138983
# Diagonal elements of inverse mass matrix:
# 0.0266359, 0.0437975, 0.00869906, 0.00479368, 0.0100426, 0.00516744, 0.0105639
-560.007,1,0.138983,4,31,0,564.691,-1.32809,-1.92049,-0.946178,-0.87352,3.87991,0.193896,-0.625804,5.44721,2.91261,0.000158745,0.00019645,0.000243362,0.000301868,0.000375041,0.000466887,0.000582682,0.000729462,0.000916745,0.00115756,0.00146993,0.00187879,0.00241832,0.00313413,0.00408456,0.00534018,0.00698059,0.00908798,0.0117375,0.0149848,0.0188535,0.023283,0.0281479,0.0332574,0.0383637,0.0431793,0.0474035,0.0507568,0.0530201,0.0540691,0.0538902,0.0525719,0.050279,0.0472217,0.0436273,0.039717,0.035689,0.0317071,0.0278959,0.0243406,0.0210914,0.0181706,0.0155794,0.0133045,0.011324,0.00961145,0.00813853,0.00687733,0.0058013,0.00488603,0.00410945,0.00345192,0.00289619,0.00242717,0.0020318,0.00169881,0.00141854,0.00118274,0.000984397,0.00081758,0.000677297,-0,-0,-0,-8.10552,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.7654,-0,-5.2325,-4.96462,-9.40161,-13.3349,-16.8029,-11.9132,-30.0803,-17.8514,-27.2278,-19.5639,-43.9935,-18.2944,-20.865,-35.245,-32.0924,-55.4953,-20.619,-26.9115,-21.3703,-15.6604,-19.3559,-23.3304,-20.7073,-21.4756,-29.7249,-15.4356,-8.0159,-12.4854,-21.5983,-4.48083,-4.6448,-14.4334,-4.97953,-15.449,-5.32137,-10.9889,-0,-0,-0,-0,-0,-0,-0,-0,-7.10916,-0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,3,0,0,7,1,2,4,5,7,6,7,7,7,10,11,14,9,14,12,8,9,12,7,4,7,3,1,3,4,2,2,1,2,1,0,2,0,0,0,1,1,0,0,0,0,0
-561.241,0.99019,0.138983,5,31,0,563.948,-2.86489,-2.68793,-1.09984,-0.536088,4.10366,0.323716,-1.0227,5.86065,2.53121,5.2352e-05,7.01924e-05,9.41355e-05,0.000126287,0.000169493,0.000227608,0.000305871,0.000411418,0.000553986,0.000746845,0.00100795,0.00136122,0.00183775,0.00247662,0.00332519,0.00443827,0.0058759,0.00769895,0.00996233,0.0127061,0.0159456,0.0196583,0.0237805,0.0282056,0.0327876,0.0373483,0.0416867,0.0455911,0.0488541,0.051292,0.0527683,0.0532127,0.0526267,0.0510761,0.0486778,0.0455854,0.0419757,0.0380353,0.033946,0.0298724,0.0259511,0.0222846,0.0189396,0.015951,0.0133272,0.0110574,0.00911786,0.00747779,0.00610321,0.00495986,0.00401509,0.00323887,0.00260436,0.002088,0.00166947,0.00133145,0.00105935,0.000840949,0.000666131,0.000526544,0.000415343,-0,-0,-0,-8.97695,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.00086,-0,-5.41749,-5.1369,-9.73334,-13.8268,-17.4627,-12.4157,-31.434,-18.6945,-28.5459,-20.5062,-46.0245,-19.0654,-21.6163,-36.227,-32.6724,-55.895,-20.5342,-26.5008,-20.8211,-15.1127,-18.529,-22.1946,-19.6155,-20.2979,-28.0866,-14.6062,-7.60772,-11.8995,-20.6912,-4.31794,-4.50466,-14.0926,-4.89582,-15.2968,-5.30638,-11.0354,-0,-0,-0,-0,-0,-0,-0,-0,-7.54918,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,2,0,1,0,6,0,5,7,7,13,7,8,10,14,11,10,12,9,10,7,6,8,4,7,5,3,2,3,3,4,3,4,3,0,1,0,0,0,0,0,0,0,0,0,0
-558.386,0.999998,0.138983,5,31,0,563.13,-1.30926,-2.01205,-1.17789,-0.68072,3.7575,0.18731,-0.876486,5.05386,2.59744,0.000115717,0.000149391,0.000192991,0.000249527,0.000322976,0.000418622,0.000543541,0.000707278,0.00092279,0.00120774,0.00158616,0.00209027,0.00276219,0.0036547,0.00483041,0.00635897,0.00831184,0.0107549,0.0137394,0.0172915,0.0214035,0.0259857,0.0308934,0.0359303,0.0408576,0.0454096,0.0493157,0.0523271,0.0542487,0.0549695,0.0544796,0.0528662,0.0502907,0.0469593,0.0430968,0.0389251,0.0346466,0.0304328,0.0264175,0.0226948,0.0193213,0.0163219,0.013697,0.0114294,0.00949138,0.00784957,0.00646879,0.00531451,0.00435446,0.00355936,0.00290325,0.00236354,0.00192078,0.00155842,0.00126247,0.00102119,0.000824799,0.000665166,0.000535569,0.000430474,0.000345334,-0,-0,-0,-8.29594,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.61174,-0,-5.05789,-4.79007,-9.06478,-12.8625,-16.2302,-11.5326,-29.2017,-17.3861,-26.6094,-19.186,-43.2884,-18.0571,-20.6517,-34.9701,-31.9108,-55.2886,-20.5799,-26.9094,-21.4093,-15.7215,-19.4767,-23.5379,-20.9534,-21.8024,-30.285,-15.7862,-8.23049,-12.8717,-22.3578,-4.65737,-4.8473,-15.1223,-5.23731,-16.3097,-5.63818,-11.6838,-0,-0,-0,-0,-0,-0,-0,-0,-7.75062,-0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,4,4,7,7,10,7,6,10,9,12,10,8,19,7,8,8,5,7,3,5,5,4,4,2,4,2,3,2,1,5,0,3,0,1,1,0,0,0,0,1,1,0
-560.318,0.989119,0.138983,5,31,0,562.742,-2.97271,-2.45123,-1.08519,-0.643873,3.73558,0.233438,-0.854452,5.92696,2.77221,8.39601e-05,0.00010929,0.000142304,0.000185366,0.000241582,0.000315053,0.000411212,0.000537279,0.000702891,0.000920923,0.00120855,0.00158849,0.00209025,0.00275108,0.00361636,0.00473881,0.00617639,0.00798814,0.0102279,0.0129363,0.016131,0.0197914,0.0238557,0.0282183,0.0327309,0.0372088,0.0414408,0.0452045,0.0482865,0.0505091,0.051755,0.0519805,0.0512137,0.0495429,0.0471022,0.0440554,0.0405807,0.0368552,0.0330419,0.0292794,0.0256762,0.0223092,0.0192264,0.0164512,0.0139879,0.0118272,0.00995087,0.00833525,0.00695428,0.00578135,0.00479061,0.00395785,0.00326089,0.00267984,0.00219711,0.0017973,0.0014671,0.00119511,0.000971571,0.000788264,0.000638249,-0,-0,-0,-8.59318,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.89576,-0,-5.35197,-5.08702,-9.65959,-13.7479,-17.3909,-12.381,-31.3801,-18.6787,-28.5423,-20.5166,-46.0769,-19.1009,-21.6759,-36.3672,-32.8416,-56.2634,-20.6982,-26.7457,-21.0344,-15.2772,-18.7338,-22.4312,-19.8046,-20.4599,-28.247,-14.6488,-7.60551,-11.8544,-20.5368,-4.26956,-4.43735,-13.8303,-4.78726,-14.9052,-5.15312,-10.6822,-0,-0,-0,-0,-0,-0,-0,-0,-7.14568,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,3,1,3,10,3,4,7,8,9,8,8,10,14,11,9,9,9,9,14,8,7,5,6,2,1,2,1,3,5,0,3,1,2,1,0,0,0,0,0,0,0,0,0
-561.399,0.996636,0.138983,5,31,0,564.011,-2.26681,-3.15587,-1.1882,-0.430659,3.90222,0.105405,-0.706741,5.38181,2.37632,4.86246e-05,6.73224e-05,9.32192e-05,0.000129093,0.000178794,0.000247661,0.000343075,0.000475214,0.000658001,0.000910251,0.00125688,0.00172997,0.0023693,0.00322213,0.00434178,0.0057848,0.00760658,0.00985521,0.0125641,0.015744,0.0193763,0.0234011,0.0277202,0.0321994,0.0366745,0.0409603,0.0448614,0.0481855,0.0507585,0.0524414,0.0531469,0.0528492,0.0515858,0.0494483,0.04657,0.0431123,0.0392509,0.0351636,0.0310183,0.0269627,0.0231169,0.0195686,0.016373,0.0135556,0.0111173,0.00904099,0.00729753,0.00585116,0.00466374,0.0036977,0.00291792,0.00229281,0.00179471,0.00139991,0.00108849,0.000843858,0.00065243,0.000503148,0.000387095,0.000297132,0.000227576,-0,-0,-0,-8.95498,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.73771,-0,-5.15252,-4.87874,-9.23951,-13.1307,-16.6052,-11.8311,-30.0398,-17.928,-27.4865,-19.834,-44.7321,-18.6251,-21.2289,-35.7681,-32.4286,-55.7592,-20.5822,-26.6806,-21.0478,-15.334,-18.8637,-22.6645,-20.0865,-20.8391,-28.9064,-15.0688,-7.86766,-12.3364,-21.5048,-4.49925,-4.70599,-14.7607,-5.14112,-16.1038,-5.60005,-11.6738,-0,-0,-0,-0,-0,-0,-0,-0,-8.12133,-0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,2,1,2,0,3,3,9,7,5,7,7,7,10,10,10,13,13,4,11,12,8,6,12,2,5,8,1,2,2,0,3,1,2,1,1,3,1,0,0,0,1,0,1,0,0,0,0
-559.797,0.999682,0.138983,5,31,0,563.507,-1.028,-1.94837,-1.06385,-0.911787,3.86092,0.390593,-1.03402,5.22447,2.88046,0.000203927,0.00025054,0.000308156,0.00037955,0.000468294,0.000579026,0.00071785,0.000892904,0.0011152,0.00139986,0.00176784,0.00224814,0.00288023,0.00371563,0.00481781,0.0062596,0.00811782,0.0104652,0.01336,0.0168339,0.020881,0.0254107,0.0302724,0.0352603,0.040125,0.044592,0.0483861,0.0512607,0.053032,0.0536103,0.0530128,0.0513498,0.0487963,0.0455628,0.0418705,0.0379318,0.0339344,0.0300312,0.0263347,0.0229181,0.0198207,0.0170549,0.0146143,0.0124804,0.0106284,0.00902995,0.00765675,0.00648136,0.0054783,0.00462442,0.00389903,0.00328384,0.00276285,0.00232211,0.00194957,0.00163486,0.00136907,0.00114463,0.000955105,0.000795065,0.000659935,-0,-0,-0,-7.87652,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.59521,-0,-5.07364,-4.81369,-9.11939,-12.9465,-16.3374,-11.6067,-29.3807,-17.4876,-26.76,-19.2945,-43.5428,-18.1713,-20.7958,-35.2423,-32.1862,-55.8072,-20.7837,-27.1809,-21.6206,-15.8659,-19.6318,-23.6833,-21.0331,-21.8212,-30.2066,-15.6841,-8.14264,-12.6773,-21.918,-4.54423,-4.70721,-14.6165,-5.03882,-15.6209,-5.3764,-11.0941,-0,-0,-0,-0,-0,-0,-0,-0,-7.13709,-0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3,3,1,2,2,6,5,6,7,4,9,10,11,11,16,9,10,11,8,7,7,4,8,3,3,3,4,5,4,2,4,2,0,0,1,0,0,1,1,0,0,0,0,0,0
