# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 05:18:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2173f4197.json
# init = /tmp/RtmpC8O1hA/init-b41c225b5d7eb_1.json
# random
#   seed = 3752009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0368_rep037_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605310618-1-5a0abf.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0368_rep037_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605310618-1-a1a2cf.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.122616
# Diagonal elements of inverse mass matrix:
# 0.137046, 0.0472721, 0.0266713, 0.0107, 0.0266496, 0.0447364, 0.0629087
-558.183,0.998853,0.122616,5,31,0,559.469,-0.938123,-1.81213,-0.987336,-1.00523,4.44757,0.722011,-0.883298,5.65679,3.01365,0.000125172,0.00015169,0.000184183,0.000224169,0.000273637,0.00033524,0.000412581,0.000510674,0.000636685,0.000801146,0.00101989,0.00131684,0.00172705,0.0022991,0.00309599,0.00419419,0.00568031,0.00764499,0.0101732,0.0133315,0.017153,0.021587,0.0265172,0.0317626,0.0370865,0.0422124,0.0468446,0.0506902,0.0534873,0.0550431,0.0552791,0.0542509,0.0521173,0.0490958,0.0454286,0.0413599,0.037118,0.0328997,0.0288599,0.0251057,0.0216984,0.0186609,0.0159887,0.0136604,0.0116458,0.0099115,0.00842405,0.00715196,0.00606639,0.00514156,0.00435468,0.0036858,0.00311758,0.00263497,0.00222501,0.00187655,0.00158008,0.00132754,0.00111211,0.000928117,0.000770812,-0,-0,-0,-8.40311,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.07524,-0,-5.47406,-5.17075,-9.74741,-13.764,-17.2705,-12.1968,-30.6853,-18.1498,-27.5957,-19.767,-44.3106,-18.3655,-20.8742,-35.1397,-31.896,-55.0118,-20.399,-26.5883,-21.0979,-15.4581,-19.1127,-23.0556,-20.4858,-21.2718,-29.4773,-15.3221,-7.96265,-12.4076,-21.4663,-4.45281,-4.61406,-14.33,-4.94037,-15.315,-5.2704,-10.873,-0,-0,-0,-0,-0,-0,-0,-0,-6.98235,-0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,7,0,4,9,6,9,12,11,12,11,6,10,7,8,9,10,9,7,2,8,7,4,4,2,2,4,5,1,0,0,3,0,0,1,0,0,0,3,1,0,0,0
-558.902,0.970988,0.122616,5,31,0,560.862,-1.05327,-1.92102,-0.899873,-1.03841,4.44915,0.462354,-0.993814,5.81889,3.09666,0.00013789,0.00016624,0.000200826,0.000243212,0.000295439,0.000360227,0.000441258,0.000543632,0.000674571,0.000844537,0.00106892,0.00137039,0.00178161,0.00234766,0.00312725,0.00419209,0.00562374,0.00750746,0.00992275,0.012931,0.0165619,0.0207774,0.0254784,0.0305022,0.0356294,0.0405988,0.0451274,0.0489368,0.0517829,0.0534899,0.05398,0.0532825,0.051518,0.0488687,0.0455514,0.0417929,0.03781,0.033793,0.0298944,0.0262237,0.0228492,0.0198039,0.017094,0.014708,0.0126238,0.010814,0.00924938,0.00790126,0.00674266,0.00574891,0.00489784,0.00416976,0.00354737,0.00301548,0.00256089,0.00217214,0.0018394,0.00155424,0.00130954,0.00109931,0.000918545,-0,-0,-0,-8.32158,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.05434,-0,-5.47456,-5.18076,-9.78372,-13.8388,-17.3925,-12.302,-30.9911,-18.3496,-27.9197,-20.0075,-44.8562,-18.5896,-21.1206,-35.5283,-32.2109,-55.4637,-20.525,-26.6924,-21.1303,-15.4446,-19.0502,-22.9263,-20.325,-21.0605,-29.1287,-15.1154,-7.84376,-12.2071,-21.0968,-4.37217,-4.52691,-14.0496,-4.84073,-14.9979,-5.15875,-10.6379,-0,-0,-0,-0,-0,-0,-0,-0,-6.81308,-0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,3,3,3,3,5,10,4,6,5,10,13,14,11,8,9,6,6,9,7,11,5,1,6,4,5,2,4,2,5,2,4,1,1,0,1,0,2,0,1,0,1,0,0
-560.993,0.963787,0.122616,4,31,0,565.31,-0.0975529,-1.60663,-0.780936,-1.08746,4.21769,0.19179,-0.0384854,5.59717,3.25841,0.000219358,0.000261823,0.000313029,0.000375009,0.00045038,0.000542552,0.000656058,0.000797038,0.000973979,0.00119885,0.00148878,0.00186836,0.00237241,0.00304864,0.00395944,0.00518206,0.00680595,0.00892675,0.0116379,0.0150241,0.0191607,0.0237768,0.028688,0.0336986,0.0385835,0.0430916,0.0469583,0.0499322,0.0518157,0.0525094,0.0520342,0.0505175,0.0481538,0.0451637,0.0417635,0.0381474,0.034478,0.0308832,0.0274559,0.0242577,0.0213234,0.0186669,0.016287,0.0141724,0.0123054,0.0106653,0.00923005,0.007978,0.0068884,0.00594199,0.00512115,0.00441,0.00379428,0.00326127,0.00279966,0.00239945,0.00205179,0.00174893,0.00148415,0.00125169,0.00104658,-0,-0,-0,-7.88856,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.79306,-0,-5.26255,-4.98996,-9.4374,-13.3605,-16.7924,-11.8647,-29.9124,-17.7564,-27.1224,-19.5296,-44.022,-18.351,-20.9796,-35.5207,-32.4144,-56.1612,-20.898,-27.3002,-21.6822,-15.8787,-19.5978,-23.572,-20.8653,-21.571,-29.7522,-15.3918,-7.96201,-12.3522,-21.2823,-4.39772,-4.54076,-14.0559,-4.83107,-14.9337,-5.12571,-10.5488,-0,-0,-0,-0,-0,-0,-0,-0,-6.68326,-0,0,0,2,0,0,0,0,0,0,0,1,2,2,0,1,1,1,0,3,5,1,9,6,5,8,12,7,5,8,17,11,7,11,7,7,8,4,7,5,3,5,4,4,3,1,2,2,2,0,2,0,3,2,1,1,2,0,0,0,0,0
-564.691,0.992992,0.122616,4,15,0,566.426,0.344657,-1.04616,-0.700003,-1.25218,4.2911,0.660807,0.106337,5.97969,3.51397,0.000130718,0.000153007,0.000179528,0.000211246,0.000249413,0.000295672,0.000352227,0.000422092,0.000509499,0.000620578,0.000764539,0.00095583,0.00121796,0.00158927,0.00212869,0.00291789,0.00406031,0.00568346,0.00794786,0.0110595,0.0153456,0.0201862,0.025491,0.0311462,0.0369789,0.0427287,0.0480257,0.0523894,0.0553077,0.0564516,0.055862,0.0538658,0.0508694,0.0472405,0.0432795,0.0392203,0.0352363,0.0314459,0.0279211,0.0246973,0.0217838,0.0191734,0.0168487,0.0147877,0.0129662,0.0113603,0.00994698,0.00870488,0.00761437,0.00665768,0.00581882,0.00508344,0.00443863,0.00387267,0.00337474,0.00293477,0.00254349,0.00219259,0.00187437,0.00158091,0.00130327,-0,-0,-0,-8.46249,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.44448,-0,-5.83689,-5.5065,-10.3404,-14.5046,-18.0179,-12.5308,-31.222,-18.3472,-27.7525,-19.7845,-44.1404,-18.2161,-20.6434,-34.7381,-31.6181,-54.8126,-20.4488,-26.8064,-21.3675,-15.7004,-19.4314,-23.4198,-20.7569,-21.4702,-29.6085,-15.3063,-7.90846,-12.2504,-21.0698,-4.34541,-4.47763,-13.8315,-4.74387,-14.6332,-5.01198,-10.2933,-0,-0,-0,-0,-0,-0,-0,-0,-6.44975,-0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,1,2,0,3,5,4,6,8,3,12,6,15,12,12,10,13,9,7,3,9,5,4,8,6,4,4,5,2,0,4,4,0,1,1,0,3,0,0,1,0,0,1,0,2
-560.458,0.998859,0.122616,5,31,0,567.572,-0.328948,-2.727,-1.03166,-0.717135,4.54514,0.826651,-0.598473,4.94523,2.51002,0.00016129,0.000206338,0.000264133,0.000338393,0.000433985,0.000557338,0.000717021,0.000924581,0.00119578,0.00155232,0.00202394,0.00264975,0.00347743,0.0045605,0.00595494,0.0077154,0.00989062,0.0125174,0.015613,0.0191658,0.0231278,0.0273908,0.0318108,0.0362169,0.0404234,0.0442417,0.0474902,0.0500041,0.0516467,0.0523227,0.0519974,0.0507103,0.048566,0.0457096,0.0423072,0.0385323,0.0345564,0.0305408,0.0266287,0.0229375,0.0195516,0.0165197,0.0138579,0.0115572,0.0095923,0.00792992,0.00653373,0.00536795,0.0043992,0.00359735,0.00293584,0.00239166,0.00194508,0.00157934,0.00128035,0.0010363,0.000837379,0.000675429,0.000543727,0.00043674,0.000349925,-0,-0,-0,-7.9913,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.39032,-0,-4.86454,-4.61617,-8.76127,-12.479,-15.8185,-11.3002,-28.7804,-17.2397,-26.5458,-19.2501,-43.6532,-18.2834,-20.9696,-35.56,-32.4536,-56.1747,-20.8714,-27.2235,-21.5981,-15.814,-19.5375,-23.5561,-20.9321,-21.7546,-30.1999,-15.7388,-8.2064,-12.8367,-22.3022,-4.64679,-4.83711,-15.0923,-5.22731,-16.279,-5.62756,-11.6615,-0,-0,-0,-0,-0,-0,-0,-0,-7.73617,-0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,1,3,1,1,5,4,5,6,5,4,9,12,11,7,9,8,9,12,10,6,4,7,7,6,8,9,4,6,5,2,3,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
-559.049,0.995383,0.122616,5,63,0,563.186,-2.03762,-2.52598,-1.18371,-0.592105,4.27877,0.667208,-0.578615,5.50616,2.49015,6.93491e-05,9.15465e-05,0.000120892,0.000159721,0.000211153,0.000279382,0.000370068,0.000490914,0.000652474,0.00086931,0.0011615,0.00155632,0.00208956,0.00280629,0.00376077,0.00501535,0.00663763,0.00869504,0.0112462,0.0143296,0.0179507,0.0220616,0.0265643,0.0313145,0.0361302,0.0408029,0.045109,0.0488211,0.0517233,0.0536332,0.0544349,0.0541044,0.0527057,0.0503651,0.047248,0.0435431,0.03945,0.0351673,0.0308799,0.0267461,0.0228868,0.0193811,0.0162676,0.0135527,0.0112199,0.00923878,0.00757241,0.00618169,0.00502856,0.00407769,0.0032973,0.00265945,0.00213999,0.00171829,0.00137692,0.00110129,0.00087924,0.000700737,0.000557513,0.000442795,0.00035106,-0,-0,-0,-8.74208,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.87589,-0,-5.29525,-5.015,-9.49,-13.4632,-16.9817,-12.0604,-30.5114,-18.1409,-27.7094,-19.9238,-44.786,-18.592,-21.1372,-35.5422,-32.1814,-55.3043,-20.4179,-26.4873,-20.9192,-15.2617,-18.804,-22.629,-20.0858,-20.8659,-28.9709,-15.1088,-7.88691,-12.3557,-21.5058,-4.49007,-4.68435,-14.6497,-5.08616,-15.8779,-5.50222,-11.4293,-0,-0,-0,-0,-0,-0,-0,-0,-7.7224,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,0,2,3,2,2,4,10,6,15,13,4,9,8,14,8,16,11,7,11,4,10,7,6,2,5,3,3,3,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
