# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 05:18:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2173f4197.json
# init = /tmp/RtmpC8O1hA/init-b41c225b5d7eb_2.json
# random
#   seed = 3752009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0368_rep037_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605310618-2-5a0abf.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0368_rep037_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605310618-2-a1a2cf.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.113554
# Diagonal elements of inverse mass matrix:
# 0.0834373, 0.076331, 0.0358061, 0.00743596, 0.0369099, 0.044528, 0.0352858
-563.173,0.999673,0.113554,5,31,0,567.068,-2.65316,-3.95489,-0.452812,-0.812121,3.24901,0.934135,-0.349887,5.5163,2.86817,0.000200312,0.000250221,0.000312603,0.000390599,0.000488149,0.000610213,0.000763035,0.0009545,0.00119459,0.001496,0.00187492,0.00235213,0.00295443,0.00371653,0.00468312,0.00591066,0.00746794,0.00943405,0.0118911,0.0149096,0.0185258,0.0227172,0.0273866,0.0323576,0.0373817,0.0421556,0.0463524,0.0496687,0.0518793,0.0528713,0.0526472,0.0513095,0.0490363,0.0460518,0.0425949,0.0388874,0.0351138,0.0314132,0.027882,0.0245815,0.0215458,0.0187893,0.0163123,0.0141057,0.0121543,0.0104395,0.00894067,0.00763685,0.00650742,0.00553268,0.00469426,0.00397524,0.0033603,0.00283564,0.00238899,0.0020095,0.00168765,0.0014151,0.00118463,0.000989991,0.000825827,-0,-0,-0,-7.84783,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.59496,-0,-5.131,-4.89714,-9.32686,-13.2959,-16.823,-11.9658,-30.2771,-17.9885,-27.4473,-19.7194,-44.3294,-18.4289,-21.0167,-35.506,-32.3388,-55.9387,-20.7891,-27.1368,-21.5459,-15.7801,-19.4825,-23.4441,-20.7632,-21.4786,-29.6461,-15.3503,-7.94894,-12.3475,-21.3059,-4.41007,-4.56216,-14.1514,-4.87477,-15.1044,-5.19708,-10.7228,-0,-0,-0,-0,-0,-0,-0,-0,-6.91781,-0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,2,4,3,8,2,7,3,3,10,10,4,7,11,14,10,12,11,7,6,6,6,5,11,6,4,3,1,4,1,4,3,1,0,2,0,1,1,0,0,0,0,0,1,0
-560.893,0.995298,0.113554,5,31,0,567.782,-1.80716,-3.09156,-0.55269,-0.924713,3.81376,0.505451,-1.18785,5.57711,2.86281,0.000267368,0.000326707,0.000399398,0.000488541,0.000597996,0.000732603,0.000898456,0.00110329,0.00135699,0.0016723,0.0020658,0.00255919,0.00318091,0.00396778,0.00496632,0.00623291,0.00783201,0.00983118,0.0122921,0.0152577,0.0187367,0.022689,0.0270176,0.0315683,0.0361372,0.0404855,0.0443616,0.0475272,0.0497884,0.0510216,0.0511863,0.0503236,0.0485436,0.0460084,0.0429108,0.0394519,0.0358202,0.0321759,0.0286424,0.0253055,0.0222176,0.0194049,0.016874,0.0146189,0.0126249,0.010873,0.00934167,0.00800899,0.00685342,0.00585456,0.00499349,0.00425293,0.00361732,0.00307272,0.00260682,0.00220872,0.00186893,0.00157914,0.00133218,0.00112186,0.000942877,-0,-0,-0,-7.62409,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.52955,-0,-5.07791,-4.84954,-9.24439,-13.1964,-16.7307,-11.9318,-30.287,-18.0563,-27.6448,-19.9226,-44.8954,-18.6923,-21.3252,-35.9997,-32.7306,-56.4734,-20.925,-27.2276,-21.5525,-15.7432,-19.396,-23.3047,-20.6192,-21.3172,-29.4139,-15.2275,-7.88446,-12.2459,-21.1272,-4.37208,-4.52147,-14.0198,-4.82719,-14.949,-5.14053,-10.5992,-0,-0,-0,-0,-0,-0,-0,-0,-6.79276,-0,0,0,0,0,0,1,0,0,1,0,1,0,1,3,0,1,1,1,4,4,4,4,5,5,7,7,10,8,8,8,18,11,9,14,7,9,10,2,6,7,4,3,3,1,2,1,1,1,0,1,3,1,0,1,1,0,0,0,0,0,0
-559.433,0.998764,0.113554,5,31,0,562.482,-1.34117,-2.68114,-1.32946,-0.740183,4.25964,0.875306,-0.450583,5.28005,2.67026,0.000171275,0.000217738,0.000276919,0.000352371,0.000448683,0.000571815,0.000729554,0.000932148,0.00119321,0.00153098,0.0019699,0.00254212,0.00328773,0.00425359,0.00549121,0.00705397,0.00899309,0.011352,0.0141585,0.0174162,0.0210959,0.0251099,0.029334,0.0336152,0.0377833,0.0416597,0.0450659,0.0478312,0.0498033,0.0508654,0.0509642,0.0501264,0.0484422,0.0460383,0.0430608,0.0396658,0.0360114,0.0322513,0.0285257,0.0249528,0.0216203,0.0185828,0.015865,0.0134685,0.0113797,0.00957556,0.00802905,0.00671147,0.00559473,0.00465237,0.00386016,0.00319636,0.00264177,0.00217958,0.00179527,0.00147634,0.00121215,0.000993658,0.000813218,0.000664405,0.00054183,-0,-0,-0,-7.95083,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.45999,-0,-4.95416,-4.7113,-8.95673,-12.7723,-16.2014,-11.576,-29.4759,-17.645,-27.1422,-19.6553,-44.4951,-18.5978,-21.2805,-35.9961,-32.7643,-56.556,-20.9525,-27.2465,-21.548,-15.7257,-19.3636,-23.2674,-20.6052,-21.3417,-29.5261,-15.3365,-7.97103,-12.4309,-21.537,-4.47593,-4.64854,-14.4741,-5.00394,-15.5578,-5.37038,-11.1141,-0,-0,-0,-0,-0,-0,-0,-0,-7.31662,-0,0,0,1,0,0,0,0,0,0,1,0,1,1,2,3,0,0,0,3,4,1,3,4,8,9,8,5,6,9,12,14,11,12,7,8,12,9,5,5,4,6,6,5,3,2,2,3,1,0,1,1,0,0,0,0,1,0,1,0,0,0
-559.743,0.996858,0.113554,5,63,0,560.988,-1.37591,-2.36253,-0.703331,-0.692807,4.52245,0.462794,-0.238974,5.41953,2.48068,6.71892e-05,8.64986e-05,0.000111439,0.000143709,0.000185555,0.000239978,0.00031103,0.000404259,0.000527389,0.000691361,0.000911919,0.00121184,0.00162372,0.002193,0.00298028,0.00406221,0.0055295,0.00748077,0.0100115,0.0131979,0.0170788,0.0216201,0.026717,0.0321916,0.0378022,0.0432596,0.0482501,0.0524613,0.0556123,0.057489,0.0579813,0.0571019,0.0549747,0.0518026,0.0478341,0.0433369,0.0385738,0.0337833,0.0291633,0.0248604,0.020968,0.01753,0.0145512,0.0120091,0.00986516,0.00807344,0.00658669,0.00535987,0.00435201,0.003527,0.00285365,0.00230544,0.00186003,0.00149878,0.00120622,0.00096958,0.000778356,0.000623956,0.000499368,0.000398887,0.000317887,-0,-0,-0,-8.84772,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.12248,-0,-5.50603,-5.19766,-9.79084,-13.8121,-17.3108,-12.2098,-30.673,-18.1123,-27.4884,-19.6523,-43.9675,-18.1881,-20.6338,-34.6722,-31.4178,-54.1051,-20.0404,-26.1079,-20.7222,-15.2001,-18.8325,-22.7863,-20.3267,-21.2091,-29.5558,-15.459,-8.08768,-12.6902,-22.1104,-4.61875,-4.81918,-15.0681,-5.22882,-16.3114,-5.64731,-11.7183,-0,-0,-0,-0,-0,-0,-0,-0,-7.82683,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,1,2,6,7,1,16,12,10,14,12,7,7,10,13,8,6,12,10,8,7,3,5,4,6,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
-559.823,0.999773,0.113554,5,31,0,562.676,-2.07686,-2.63752,-1.1254,-0.601232,3.92718,0.214016,-0.337961,5.48824,2.6001,8.72572e-05,0.000114885,0.000151308,0.000199358,0.000262805,0.000346675,0.000457694,0.000604885,0.000800374,0.00106042,0.00140667,0.00186747,0.00247893,0.00328536,0.00433872,0.00569655,0.00741826,0.00955939,0.0121641,0.0152566,0.0188327,0.0228383,0.0271762,0.0317078,0.0362582,0.040626,0.0445962,0.0479561,0.0505156,0.05213,0.05272,0.0522809,0.050877,0.048626,0.0456823,0.0422209,0.0384233,0.0344645,0.0305015,0.0266652,0.023055,0.0197382,0.0167523,0.01411,0.0118055,0.00981992,0.00812658,0.00669496,0.00549352,0.00449162,0.00366068,0.00297481,0.00241105,0.00194937,0.00157254,0.00126587,0.00101695,0.000815404,0.000652566,0.000521268,0.000415597,-0,-0,-0,-8.52041,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.71828,-0,-5.16789,-4.90381,-9.30046,-13.2278,-16.731,-11.9165,-30.2345,-18.0271,-27.6095,-19.9025,-44.8469,-18.6606,-21.2623,-35.8257,-32.4942,-55.9125,-20.6579,-26.8051,-21.1652,-15.4302,-18.989,-22.8136,-20.207,-20.9399,-28.9952,-15.0795,-7.8504,-12.2677,-21.3044,-4.43919,-4.62334,-14.4378,-5.0064,-15.6126,-5.40554,-11.2202,-0,-0,-0,-0,-0,-0,-0,-0,-7.55925,-0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,3,1,2,1,3,9,7,5,13,8,9,11,8,9,6,10,15,7,7,11,7,10,8,5,4,2,1,1,2,2,3,2,0,2,0,0,0,0,0,1,1,0,0,0,0
-561.801,0.996624,0.113554,5,31,0,562.887,-1.81483,-2.0187,-0.814473,-0.574432,4.31739,0.125446,-0.146015,5.47836,2.47699,4.38143e-05,5.81706e-05,7.72784e-05,0.000102746,0.000136751,0.000182264,0.00024336,0.000325684,0.000437114,0.000588728,0.000796146,0.00108133,0.00147482,0.0020182,0.00276641,0.00378916,0.00517043,0.0070051,0.00939175,0.0124215,0.016164,0.0206057,0.0256654,0.0311871,0.0369397,0.0426287,0.0479158,0.0524501,0.0559085,0.0580433,0.0587253,0.0579637,0.0558926,0.0527348,0.0487587,0.0442442,0.0394568,0.0346301,0.0299549,0.0255737,0.0215807,0.0180263,0.0149249,0.0122638,0.0100122,0.00812913,0.00656929,0.00528746,0.00424102,0.00339143,0.00270487,0.00215222,0.00170887,0.00135424,0.00107129,0.000846044,0.000667075,0.000525122,0.000412695,0.000323771,0.000253515,-0,-0,-0,-9.18325,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.20555,-0,-5.57561,-5.2648,-9.92223,-14.0038,-17.5533,-12.3749,-31.0575,-18.313,-27.742,-19.7908,-44.1732,-18.2299,-20.6353,-34.6085,-31.3122,-53.8628,-19.9356,-25.9589,-20.5974,-15.1044,-18.7082,-22.6278,-20.1782,-21.0484,-29.3295,-15.3438,-8.03184,-12.6142,-22.0055,-4.60395,-4.8123,-15.076,-5.24242,-16.3889,-5.6865,-11.8254,-0,-0,-0,-0,-0,-0,-0,-0,-8.03548,-0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,2,1,1,0,3,1,4,2,1,5,2,4,9,15,12,15,10,11,13,7,8,11,8,9,10,11,2,4,2,1,4,1,0,1,3,1,1,0,1,0,0,0,0,0,0,0,0
