# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 05:25:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c25b6ce52f.json
# init = /tmp/RtmpC8O1hA/init-b41c21ac3cfda_2.json
# random
#   seed = 3752010
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0369_rep037_badly_wrong_strong/prior_sensitivity_obspair_FAST-202605310625-2-a10b0a.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0369_rep037_badly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605310625-2-313c55.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.128801
# Diagonal elements of inverse mass matrix:
# 0.0634525, 0.0417073, 0.00810114, 0.0046667, 0.00669512, 0.0108371, 0.00948976
-559.621,0.994716,0.128801,5,31,0,570.162,-1.78382,-2.68477,-0.88981,-0.845803,4.51465,0.613404,-0.618732,5.91279,2.81499,0.00015744,0.000195648,0.000243287,0.000302773,0.00037719,0.000470507,0.00058787,0.000736031,0.000923954,0.00116368,0.00147151,0.00186944,0.00238659,0.00306026,0.00393644,0.00506922,0.00651864,0.00834617,0.0106073,0.0133414,0.0165604,0.0202346,0.0242897,0.0286074,0.0330313,0.0373765,0.0414405,0.0450174,0.047913,0.0499651,0.0510655,0.0511767,0.0503303,0.0486147,0.0461597,0.0431233,0.0396786,0.036,0.032251,0.0285719,0.0250714,0.0218237,0.0188707,0.016228,0.0138921,0.0118475,0.0100715,0.00853842,0.00722152,0.00609502,0.0051347,0.00431844,0.00362634,0.00304076,0.00254619,0.00212915,0.00177795,0.00148253,0.0012343,0.0010259,0.000851099,-0,-0,-0,-8.10253,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.78926,-0,-5.28457,-5.03309,-9.57191,-13.6386,-17.2675,-12.3022,-31.2029,-18.5885,-28.4327,-20.4618,-46.014,-19.101,-21.7049,-36.4604,-32.9607,-56.5183,-20.8073,-26.9023,-21.1668,-15.3782,-18.8621,-22.5886,-19.9454,-20.6052,-28.4427,-14.7441,-7.64951,-11.9104,-20.6051,-4.27643,-4.43564,-13.7941,-4.76318,-14.7921,-5.10028,-10.5435,-0,-0,-0,-0,-0,-0,-0,-0,-6.88219,-0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,1,1,1,2,0,3,6,4,3,7,6,5,11,7,8,9,9,6,9,10,10,12,8,17,8,5,5,6,1,5,0,2,0,1,0,1,1,0,2,0,1,0,0,2,0,0
-559.096,1,0.128801,5,31,0,560.337,-0.43841,-2.2046,-0.827713,-0.825804,4.36838,0.670451,-0.695994,5.10989,2.65153,0.000125518,0.000156983,0.000196572,0.000246519,0.000309755,0.000390169,0.00049301,0.000625496,0.000797772,0.00102444,0.00132693,0.00173663,0.00229801,0.0030701,0.00412536,0.00554606,0.00741808,0.00982227,0.012823,0.0164547,0.0207073,0.0254866,0.0306351,0.0359384,0.0411394,0.0459582,0.0501135,0.053346,0.0554432,0.0562703,0.0557994,0.0541151,0.0513879,0.0478396,0.0437161,0.0392659,0.034721,0.0302807,0.0260987,0.0222771,0.0188687,0.0158856,0.0133119,0.0111147,0.00925374,0.0076867,0.00637307,0.00527566,0.00436138,0.00360132,0.0029706,0.00244795,0.00201534,0.00165753,0.00136172,0.00111723,0.000915139,0.000748063,0.000609909,0.000495663,0.000401215,-0,-0,-0,-8.30807,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.78605,-0,-5.19467,-4.90383,-9.24621,-13.0695,-16.4286,-11.6318,-29.3568,-17.428,-26.6076,-19.1447,-43.1203,-17.9608,-20.5167,-34.7088,-31.6535,-54.8338,-20.4165,-26.7152,-21.2793,-15.6502,-19.4244,-23.5229,-20.9835,-21.8752,-30.4336,-15.881,-8.28468,-12.9573,-22.4974,-4.68273,-4.86826,-15.167,-5.24465,-16.3049,-5.62645,-11.638,-0,-0,-0,-0,-0,-0,-0,-0,-7.60961,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,5,8,3,2,13,7,12,5,9,5,14,15,10,6,11,13,7,9,7,8,2,3,4,1,1,0,1,1,5,3,0,0,3,0,0,0,0,0,1,0,0,0
-560.894,0.996921,0.128801,4,15,0,563.724,-0.904686,-2.3381,-0.805412,-0.893882,4.31668,0.558743,-0.965812,5.34956,2.76461,0.000163156,0.000201184,0.000248366,0.000307059,0.000380308,0.000472098,0.000587712,0.000734268,0.000921531,0.00116316,0.00147849,0.001895,0.00245079,0.00319637,0.00419477,0.00551948,0.00724968,0.00946249,0.0122218,0.0155649,0.0194882,0.0239239,0.0287427,0.0337574,0.0387349,0.0434141,0.0475279,0.0508271,0.0531061,0.0542309,0.0541601,0.0529482,0.0507273,0.0476836,0.044034,0.0400054,0.0358144,0.0316508,0.0276649,0.0239615,0.0206017,0.0176098,0.0149829,0.0127014,0.0107358,0.00905295,0.00761896,0.0064016,0.00537119,0.00450111,0.00376782,0.00315079,0.00263222,0.0021968,0.00183142,0.00152491,0.0012678,0.00105212,0.000871182,0.000719381,0.000592064,-0,-0,-0,-8.08847,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.74574,-0,-5.19947,-4.9268,-9.32084,-13.2136,-16.6509,-11.8138,-29.863,-17.7469,-27.1084,-19.5061,-43.9176,-18.2786,-20.8553,-35.2256,-32.0596,-55.4004,-20.5691,-26.8316,-21.3022,-15.614,-19.3124,-23.3058,-20.718,-21.5256,-29.8504,-15.5295,-8.0786,-12.6025,-21.8302,-4.53417,-4.70466,-14.6313,-5.05121,-15.6801,-5.40343,-11.1625,-0,-0,-0,-0,-0,-0,-0,-0,-7.23712,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,2,2,3,4,1,4,15,7,7,15,16,10,10,12,14,11,7,2,5,5,6,8,6,3,3,3,3,4,1,1,0,0,1,1,0,0,1,0,1,1,0,0
-558.121,0.997488,0.128801,4,15,0,563.267,-1.20623,-2.12999,-0.937518,-0.939774,4.18969,0.614653,-0.696573,5.53789,2.91785,0.000181603,0.000221885,0.000271403,0.000332426,0.000407859,0.000501464,0.000618172,0.000764555,0.000949529,0.00118542,0.00148959,0.00188662,0.00241082,0.0031083,0.00403764,0.00526881,0.00687957,0.00894891,0.0115469,0.0147218,0.0184855,0.0227805,0.0274883,0.0324316,0.037385,0.0420907,0.0462783,0.0496881,0.0520993,0.0533653,0.0534425,0.0523904,0.0503461,0.0474955,0.0440503,0.0402281,0.0362354,0.0322516,0.0284184,0.0248348,0.0215592,0.0186168,0.0160083,0.0137188,0.0117245,0.00999741,0.0085086,0.00722982,0.00613465,0.00519897,0.00440113,0.00372191,0.00314444,0.00265396,0.00223766,0.00188449,0.00158491,0.00133079,0.00111522,0.000932328,0.000777162,-0,-0,-0,-8.00909,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.77368,-0,-5.24595,-4.9792,-9.43245,-13.384,-16.8737,-11.9723,-30.2548,-17.97,-27.429,-19.7189,-44.351,-18.4385,-21.0139,-35.4553,-32.2365,-55.6538,-20.6432,-26.8995,-21.3298,-15.6121,-19.2791,-23.224,-20.6051,-21.3643,-29.5641,-15.3478,-7.96738,-12.4039,-21.4449,-4.44608,-4.60543,-14.3,-4.92954,-15.2814,-5.25929,-10.8518,-0,-0,-0,-0,-0,-0,-0,-0,-6.97783,-0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,0,3,2,4,5,6,2,10,6,10,9,9,12,8,8,7,7,10,10,12,11,7,4,8,4,3,4,2,4,0,2,1,0,0,2,2,0,0,0,0,0,0,0,0,0
-558.745,0.998847,0.128801,5,31,0,559.48,-0.159692,-2.21331,-0.830065,-0.915267,4.48834,0.656904,-0.488327,5.32398,2.84331,0.000168973,0.000207641,0.000255506,0.000314935,0.000389012,0.000481793,0.000598718,0.000747222,0.000937702,0.00118504,0.00151086,0.00194635,0.00253466,0.00333121,0.00440172,0.00581808,0.00765274,0.00997145,0.0128244,0.0162359,0.0201937,0.0246011,0.0293185,0.0341639,0.0389226,0.0433608,0.0472412,0.0503404,0.0524684,0.0534944,0.0533742,0.0521612,0.0499868,0.0470301,0.0434946,0.0395896,0.0355164,0.0314539,0.0275483,0.0239055,0.0205902,0.0176305,0.0150272,0.0127624,0.0108083,0.00913275,0.00770266,0.00648648,0.00545512,0.00458245,0.00384536,0.00322363,0.00269973,0.00225851,0.00188701,0.00157417,0.00131063,0.00108852,0.000901263,0.000743363,0.000610268,-0,-0,-0,-8.06314,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.70442,-0,-5.14678,-4.87269,-9.21606,-13.0692,-16.4821,-11.7072,-29.6397,-17.6477,-27.0127,-19.4771,-43.9348,-18.3149,-20.9226,-35.3705,-32.21,-55.6781,-20.6739,-26.964,-21.3988,-15.6756,-19.3751,-23.3643,-20.7554,-21.5509,-29.8692,-15.5318,-8.07624,-12.5937,-21.8063,-4.52744,-4.69589,-14.5986,-5.03804,-15.6336,-5.38552,-11.1218,-0,-0,-0,-0,-0,-0,-0,-0,-7.20433,-0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,1,0,1,0,2,3,3,3,5,11,7,14,11,16,10,9,10,10,12,8,5,5,8,5,6,6,8,4,3,2,1,1,0,1,2,1,0,0,0,0,1,0,0,0,0,0
-558.763,0.995234,0.128801,4,31,0,561.226,-0.267139,-2.23515,-0.808208,-0.89699,4.35859,0.740954,-0.529065,5.21055,2.77924,0.000162439,0.000200228,0.000247112,0.000305446,0.00037828,0.000469621,0.000584816,0.000731137,0.000918695,0.00116191,0.00148178,0.00190902,0.00248706,0.00327327,0.00433736,0.00575741,0.00761385,0.00998145,0.0129189,0.0164564,0.0205822,0.0251978,0.0301498,0.0352349,0.0402123,0.0448213,0.0488003,0.0519065,0.0539397,0.0547719,0.0543784,0.0528417,0.0503219,0.0470244,0.0431755,0.0390043,0.0347256,0.0305248,0.026546,0.0228861,0.0195963,0.0166906,0.0141578,0.0119709,0.0100963,0.00849776,0.0071402,0.00599094,0.00502045,0.00420258,0.00351445,0.00293622,0.00245079,0.00204352,0.00170188,0.00141528,0.00117476,0.000972818,0.000803205,0.00066072,0.000541061,-0,-0,-0,-8.09374,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.72197,-0,-5.15727,-4.87779,-9.21405,-13.0472,-16.4282,-11.65,-29.448,-17.5079,-26.7658,-19.2815,-43.471,-18.1201,-20.7082,-35.0387,-31.9504,-55.324,-20.5832,-26.9038,-21.3996,-15.7124,-19.4645,-23.5219,-20.9353,-21.7733,-30.2178,-15.7297,-8.18581,-12.7725,-22.1264,-4.59559,-4.76795,-14.826,-5.11751,-15.8827,-5.47206,-11.3017,-0,-0,-0,-0,-0,-0,-0,-0,-7.32218,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,1,9,7,9,6,11,6,12,12,17,12,10,8,16,9,5,5,3,4,2,5,6,4,4,3,1,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0
