# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 05:37:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c239dd974b.json
# init = /tmp/RtmpC8O1hA/init-b41c266b8c1d5_1.json
# random
#   seed = 3852002
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0371_rep038_accurate_weak/prior_sensitivity_obspair_FAST-202605310637-1-9621b1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0371_rep038_accurate_weak/prior_sensitivity_obspair_FAST-profile-202605310637-1-4dca69.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0899693
# Diagonal elements of inverse mass matrix:
# 0.108363, 0.0924574, 0.137129, 0.0561051, 0.148035, 0.0845764, 0.165141
-536.958,0.997905,0.0899693,5,63,0,541.724,-1.12726,-1.20139,-1.55618,0.512192,4.19683,-0.684264,-0.965181,5.01299,2.23711,4.07713e-06,7.94737e-06,1.50522e-05,2.76597e-05,4.92798e-05,8.51377e-05,0.000142746,0.000232587,0.000368898,0.000570577,0.000862157,0.00127481,0.0018473,0.00262669,0.00366876,0.00503783,0.00680588,0.0090508,0.0118537,0.0152952,0.0194511,0.0241917,0.0293525,0.0347375,0.0401238,0.0452698,0.0499254,0.0538455,0.0568062,0.0586229,0.0591694,0.0583949,0.0563362,0.0531207,0.0489574,0.044115,0.0388902,0.0335724,0.0284122,0.0236012,0.0192655,0.0154695,0.0122277,0.00951928,0.00730042,0.00551537,0.00410392,0.00300657,0.00216766,0.0015372,0.00107163,0.000733977,0.000493647,0.000325869,0.000211058,0.000134086,8.35496e-05,5.10623e-05,3.06151e-05,1.80135e-05,1.04064e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.5816,-9.97994,-23.5245,-13.3053,-8.36043,-19.6993,-22.3305,-10.5851,-13.4397,-32.1579,-34.0463,-17.9834,-29.2164,-20.0768,-42.5494,-50.8923,-34.0863,-43.1463,-17.6111,-24.1344,-31.2096,-16.2351,-20.3643,-14.2438,-14.9858,-15.7978,-16.6756,-17.6162,-0,-14.7595,-5.20022,-10.9916,-0,-0,-0,-6.83858,-7.21703,-0,-0,-8.46338,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,1,3,5,3,6,9,7,8,10,12,8,7,20,10,10,8,7,9,8,9,10,5,5,1,0,5,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-537.259,0.931139,0.0899693,6,63,0,541.913,-1.52141,-3.0107,-0.373663,-0.851814,3.92232,0.692977,-0.837077,5.21893,2.576,0.000147451,0.000182983,0.000227219,0.000282367,0.000351241,0.000437446,0.000545642,0.000681911,0.000854295,0.00107358,0.00135451,0.00171758,0.00219171,0.00281779,0.00365257,0.00477209,0.00627285,0.00826832,0.0108777,0.0142048,0.018309,0.0231732,0.0286812,0.03461,0.040639,0.0463763,0.0514009,0.0553193,0.0578271,0.058761,0.0581182,0.0560425,0.052787,0.0486704,0.0440312,0.0391867,0.034401,0.0298669,0.0257041,0.0219704,0.0186787,0.015813,0.0133416,0.0112251,0.0094226,0.00789404,0.00660231,0.00551381,0.00459875,0.00383105,0.00318808,0.00265037,0.00220125,0.00182652,0.00151411,0.00125379,0.00103694,0.000856312,0.000705839,0.000580466,0.000476011,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.6899,-10.143,-23.9766,-13.5631,-8.50835,-20.0018,-22.5886,-10.6545,-13.4544,-32.0303,-33.7806,-17.8086,-28.9463,-19.9521,-42.5142,-51.215,-34.5797,-44.1224,-18.1361,-24.9828,-32.3942,-16.8483,-21.066,-14.6444,-15.2722,-15.9215,-16.5877,-17.2675,-0,-13.9939,-4.84165,-10.0407,-0,-0,-0,-5.74834,-5.93306,-0,-0,-6.49293,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,3,1,5,3,6,4,7,10,11,6,8,17,9,17,14,7,6,8,13,9,4,6,4,1,3,1,0,5,0,0,1,2,1,0,2,0,0,0,0,0,0,1,0,0
-536.147,0.993995,0.0899693,5,31,0,539.83,-2.76066,-2.48826,-0.816456,-0.619343,3.11921,0.917389,-0.886942,5.10421,2.54913,7.24815e-05,9.49266e-05,0.000124346,0.000162925,0.000213544,0.000280013,0.000367383,0.00048238,0.000634009,0.000834406,0.00110008,0.00145371,0.00192682,0.0025634,0.00342406,0.00458918,0.00616013,0.00825652,0.0110059,0.0145218,0.0188697,0.024022,0.0298375,0.0360598,0.0423353,0.048241,0.0533215,0.0571519,0.0594319,0.0600436,0.0590373,0.0565969,0.053006,0.0486084,0.0437595,0.0387778,0.033912,0.0293317,0.0251369,0.0213745,0.0180542,0.0151615,0.0126679,0.010537,0.00872948,0.00720607,0.00592916,0.00486407,0.00397949,0.00324765,0.00264428,0.00214839,0.001742,0.00140983,0.00113895,0.000918536,0.000739532,0.000594416,0.00047696,0.000382033,0.000305423,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.7681,-10.1793,-23.9838,-13.528,-8.46421,-19.851,-22.3727,-10.536,-13.2903,-31.6213,-33.347,-17.5885,-28.6204,-19.7605,-42.1903,-50.9325,-34.4616,-44.0603,-18.1438,-25.0324,-32.4991,-16.9199,-21.1745,-14.7337,-15.3822,-16.0575,-16.756,-17.4747,-0,-14.2231,-4.93283,-10.2557,-0,-0,-0,-5.93536,-6.14304,-0,-0,-6.77765,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,3,3,2,2,5,3,4,8,9,8,13,9,9,14,6,15,10,8,11,6,9,6,7,6,2,5,1,3,1,4,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
-538.306,0.964678,0.0899693,6,63,0,540.14,-1.42024,-3.17778,-1.44211,0.168917,5.46874,0.218303,-1.6662,5.31112,1.97191,4.08885e-06,7.37577e-06,1.32816e-05,2.38404e-05,4.25571e-05,7.52708e-05,0.000131248,0.000224312,0.000373754,0.000604878,0.000949212,0.0014444,0.0021337,0.00306486,0.00428807,0.00585276,0.00780297,0.0101714,0.0129729,0.0161983,0.0198105,0.0237379,0.0278815,0.0321209,0.0363208,0.0403381,0.0440276,0.0472477,0.0498655,0.0517635,0.0528464,0.0530496,0.0523484,0.0507658,0.0483761,0.0452987,0.0416829,0.0376894,0.0334774,0.0291954,0.0249776,0.0209406,0.0171822,0.0137788,0.0107846,0.00822942,0.00611782,0.00443035,0.00312715,0.00215416,0.00145087,0.000957539,0.000620719,0.00039615,0.000249456,0.000155288,9.5724e-05,5.8513e-05,3.55097e-05,2.14155e-05,1.28454e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.2817,-9.7065,-22.9409,-13.0347,-8.2457,-19.6077,-22.4441,-10.7394,-13.753,-33.1536,-35.315,-18.7376,-30.5235,-20.989,-44.416,-52.9266,-35.2383,-44.2475,-17.8832,-24.23,-30.9448,-15.8883,-19.6703,-13.5875,-14.135,-14.7591,-15.4643,-16.2555,-0,-13.5889,-4.80004,-10.1931,-0,-0,-0,-6.53559,-6.95114,-0,-0,-8.29623,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,0,2,1,6,10,5,9,10,8,6,7,9,17,11,7,14,9,9,9,7,2,6,4,5,8,2,3,1,0,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0
-536.535,0.988563,0.0899693,5,63,0,540.607,-1.17583,-2.45242,-1.20183,-0.222881,5.07755,0.231265,-2.31936,5.13677,2.08752,1.86717e-05,2.7891e-05,4.16822e-05,6.23314e-05,9.32794e-05,0.000139702,0.000209345,0.000313656,0.000469146,0.000698765,0.00103297,0.00151019,0.00217655,0.00308476,0.00429187,0.00585588,0.00783083,0.0102606,0.0131718,0.0165663,0.0204155,0.0246462,0.0291485,0.0337791,0.0383695,0.0427347,0.046685,0.0500363,0.0526219,0.0543034,0.0549832,0.0546166,0.0532218,0.0508817,0.0477339,0.0439512,0.0397229,0.0352396,0.030683,0.0262175,0.0219834,0.0180913,0.014618,0.0116056,0.00906301,0.00697084,0.00528907,0.00396515,0.00294181,0.00216312,0.00157842,0.00114424,0.000824844,0.000591722,0.000422697,0.000300834,0.0002134,0.000150932,0.000106463,7.49114e-05,5.25885e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.2806,-9.69937,-22.8972,-12.989,-8.20077,-19.4573,-22.2188,-10.6061,-13.5516,-32.6049,-34.6802,-18.386,-29.9501,-20.6124,-43.6975,-52.2131,-34.889,-43.9993,-17.8695,-24.3369,-31.2467,-16.1291,-20.0735,-13.9362,-14.5653,-15.2699,-16.0493,-16.902,-0,-14.1107,-4.96602,-10.4842,-0,-0,-0,-6.45133,-6.77301,-0,-0,-7.76886,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,4,4,5,4,9,6,5,1,4,4,9,6,16,16,11,16,7,11,13,7,6,6,4,3,3,2,2,4,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0
-539.113,0.98336,0.0899693,5,31,0,541.466,-0.554825,-1.39766,-1.25514,-1.08212,4.45359,0.863841,-0.792987,5.6077,3.20436,0.0001273,0.00015278,0.000183832,0.00022189,0.000268858,0.000327309,0.000400812,0.000494442,0.000615641,0.000775686,0.000992061,0.00129174,0.00171425,0.00231316,0.00315603,0.00432284,0.005903,0.00799026,0.0106754,0.0140366,0.0181282,0.0228151,0.0279213,0.0332343,0.0385121,0.043492,0.0478993,0.0514585,0.0539113,0.0550578,0.0548296,0.0533361,0.050809,0.0475186,0.0437269,0.0396692,0.0355459,0.031518,0.0277055,0.0241872,0.0210046,0.0181688,0.0156698,0.0134847,0.0115849,0.00993984,0.00851953,0.007296,0.00624379,0.00534004,0.00456454,0.00389947,0.00332924,0.00284017,0.00242038,0.00205956,0.00174883,0.00148056,0.00124828,0.00104651,0.000870672,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.8877,-10.2646,-24.1477,-13.6194,-8.53218,-20.0514,-22.682,-10.7351,-13.6167,-32.5678,-34.487,-18.2319,-29.6698,-20.4429,-43.4906,-52.2635,-35.1737,-44.6952,-18.2798,-25.0383,-32.2718,-16.6847,-20.7432,-14.3445,-14.8877,-15.4521,-16.0322,-16.6241,-0,-13.3741,-4.6112,-9.53079,-0,-0,-0,-5.38944,-5.54691,-0,-0,-6.02383,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,6,5,3,5,12,7,5,10,5,6,9,11,12,15,9,15,8,7,6,1,6,4,4,4,2,5,4,2,0,0,4,1,0,1,0,1,0,0,0,0,0,0
