# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 05:52:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c214973f68.json
# init = /tmp/RtmpC8O1hA/init-b41c25c2eb550_3.json
# random
#   seed = 3852003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0372_rep038_accurate_moderate/prior_sensitivity_obspair_FAST-202605310652-3-85d400.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0372_rep038_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605310652-3-32a86e.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.160606
# Diagonal elements of inverse mass matrix:
# 0.0877712, 0.0702855, 0.0268663, 0.0184096, 0.0385133, 0.0209859, 0.0460355
-537.601,0.990977,0.160606,4,15,0,541.567,-1.74829,-2.43256,-1.28247,-0.0397996,4.46954,0.237318,-0.868115,4.95114,1.92533,5.5362e-06,8.95311e-06,1.44798e-05,2.34188e-05,3.78746e-05,6.12374e-05,9.89349e-05,0.000159553,0.000256385,0.000409323,0.000646838,0.00100764,0.00154166,0.00231018,0.0033845,0.00484287,0.00676497,0.00922353,0.0122736,0.0159406,0.0202091,0.0250007,0.030183,0.0355749,0.0409564,0.0460828,0.0506993,0.0545563,0.0574261,0.0591212,0.0595181,0.0585811,0.0563774,0.0530672,0.0488748,0.0440536,0.0388613,0.0335434,0.0283221,0.0233865,0.0188844,0.0149162,0.0115328,0.00873819,0.00649806,0.00475112,0.003422,0.00243249,0.00170949,0.0011896,0.000820813,0.000562201,0.000382613,0.000258939,0.000174378,0.00011692,7.8088e-05,5.197e-05,3.44775e-05,2.28061e-05,1.50453e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.6605,-9.992,-23.43,-13.2009,-8.27777,-19.5081,-22.1331,-10.5014,-13.3445,-31.9525,-33.8505,-17.8911,-29.0852,-20.0008,-42.4225,-50.7866,-34.0481,-43.1353,-17.6172,-24.1479,-31.2235,-16.2388,-20.3695,-14.2564,-15.0224,-15.8777,-16.8212,-17.8503,-0,-15.1088,-5.34938,-11.3551,-0,-0,-0,-7.10522,-7.48365,-0,-0,-8.65428,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,5,2,1,4,4,11,8,5,8,9,10,12,9,13,9,14,11,6,17,5,2,4,4,5,4,6,3,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
-535.186,0.993096,0.160606,5,31,0,539.765,-1.97243,-2.81382,-1.1424,-0.281931,3.23941,-0.153837,-1.23323,4.81351,2.2088,2.92082e-05,4.25778e-05,6.20565e-05,9.04221e-05,0.000131698,0.00019169,0.000278726,0.000404653,0.000586111,0.000846052,0.00121536,0.00173428,0.00245312,0.00343179,0.0047375,0.00644041,0.00860716,0.0112926,0.0145302,0.0183232,0.0226369,0.0273758,0.0323942,0.0375004,0.0424657,0.047039,0.050966,0.0540129,0.0559922,0.0567859,0.0563603,0.0547684,0.0521388,0.0486562,0.0445391,0.0400182,0.035317,0.0306368,0.0261451,0.0219692,0.0181944,0.0148665,0.0119973,0.00957259,0.00755947,0.00591424,0.0045883,0.00353279,0.00270165,0.00205344,0.00155219,0.00116747,0.00087417,0.000651887,0.00048432,0.000358603,0.000264687,0.000194802,0.000142981,0.000104678,7.64508e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.0903,-9.51032,-22.4181,-12.6946,-7.99918,-18.9409,-21.5886,-10.2893,-13.1336,-31.5906,-33.6246,-17.8596,-29.1853,-20.1778,-43.027,-51.7678,-34.8557,-44.3077,-18.1379,-24.8911,-32.1842,-16.7169,-20.9133,-14.5764,-15.2725,-16.0266,-16.8346,-17.6923,-0,-14.6549,-5.13039,-10.7685,-0,-0,-0,-6.46809,-6.75291,-0,-0,-7.63276,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,8,4,4,2,8,7,10,9,14,8,13,15,9,17,6,14,4,8,6,6,2,5,2,4,2,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
-540.248,0.936024,0.160606,4,15,0,541.526,-2.77496,-3.1764,-1.29139,-0.166818,2.42717,-0.27186,-1.32706,4.52766,2.13259,1.7187e-05,2.62132e-05,3.99604e-05,6.08745e-05,9.26407e-05,0.000140779,0.000213492,0.000322823,0.000486183,0.000728209,0.0010828,0.001595,0.00232207,0.00333315,0.00470672,0.00652544,0.00886834,0.0118009,0.0153641,0.0195635,0.0243612,0.029633,0.0351931,0.0407991,0.046165,0.0509816,0.0549453,0.0577916,0.0593291,0.059466,0.0582212,0.0557174,0.0521583,0.0477998,0.0429186,0.0377856,0.0326452,0.0277005,0.0231054,0.0189627,0.0153276,0.0122144,0.00960603,0.00746337,0.00573429,0.00436109,0.00328607,0.00245522,0.00182042,0.0013404,0.00098073,0.000713464,0.000516326,0.000371882,0.000266682,0.000190478,0.00013555,9.61341e-05,6.79647e-05,4.79078e-05,3.36758e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.0641,-9.45054,-22.1979,-12.5272,-7.86817,-18.5738,-21.1132,-10.0407,-12.7964,-30.7553,-32.7392,-17.4085,-28.5091,-19.7726,-42.3353,-51.1831,-34.6496,-44.3021,-18.2444,-25.1876,-32.7583,-17.1103,-21.5178,-15.0708,-15.8611,-16.7124,-17.6206,-18.5815,-0,-15.4839,-5.43503,-11.4361,-0,-0,-0,-6.92721,-7.24538,-0,-0,-8.22945,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,1,0,2,4,7,5,9,11,8,10,14,9,14,13,13,9,13,6,6,9,10,4,4,3,4,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-538.729,0.989973,0.160606,5,31,0,544.503,-2.47813,-2.44452,-1.85565,-0.00829167,3.44338,0.136791,-0.90047,4.71174,1.96959,5.56743e-06,9.1395e-06,1.50008e-05,2.46133e-05,4.0362e-05,6.61184e-05,0.000108112,0.000176215,0.000285711,0.000459435,0.000729942,0.00114113,0.00174882,0.00261994,0.00383025,0.00546022,0.00758879,0.010285,0.0135979,0.017546,0.0221087,0.0271821,0.0326097,0.0381878,0.0436752,0.0488062,0.0533046,0.0569005,0.0593512,0.0604696,0.0601585,0.0584385,0.0554509,0.0514278,0.0466489,0.0414022,0.0359605,0.0305672,0.0254273,0.0207011,0.0164992,0.0128817,0.00986137,0.00741123,0.00547605,0.00398432,0.00285919,0.00202676,0.00142117,0.000987031,0.00067974,0.000464628,0.000315489,0.000212956,0.000142985,9.55471e-05,6.3572e-05,4.21314e-05,2.78217e-05,1.83114e-05,1.20151e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.4205,-9.76217,-22.8853,-12.8935,-8.08586,-19.0589,-21.6312,-10.2694,-13.061,-31.3097,-33.2189,-17.5904,-28.6645,-19.77,-42.0842,-50.5939,-34.0774,-43.3839,-17.8055,-24.5209,-31.8442,-16.6267,-20.927,-14.6877,-15.5103,-16.4178,-17.4078,-18.4765,-0,-15.6221,-5.52539,-11.7144,-0,-0,-0,-7.2938,-7.67427,-0,-0,-8.85277,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,2,1,0,1,6,1,7,7,10,13,15,10,16,13,9,8,13,7,7,11,7,6,5,1,3,5,3,2,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
-535.035,0.996074,0.160606,4,31,0,539.97,-1.75978,-2.29061,-1.72538,-0.412098,3.60328,0.207356,-0.978447,4.95701,2.35616,5.0115e-05,6.98301e-05,9.73221e-05,0.000135676,0.000189213,0.000263989,0.000368489,0.000514575,0.000718713,0.00100343,0.00139878,0.00194333,0.00268428,0.00367618,0.0049785,0.00665178,0.00875264,0.0113275,0.0144059,0.0179936,0.0220673,0.0265303,0.0312468,0.0360457,0.0407287,0.0450793,0.0488751,0.0519028,0.0539767,0.0549637,0.0548075,0.0535407,0.051277,0.0481865,0.0444686,0.0403304,0.0359719,0.0315754,0.0272975,0.0232632,0.0195628,0.0162514,0.0133524,0.010863,0.0087609,0.00701139,0.00557336,0.00440388,0.00346147,0.002708,0.00210969,0.00163739,0.00126651,0.000976611,0.000750934,0.000575897,0.000440585,0.000336296,0.000256136,0.000194674,0.000147658,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.0257,-9.4768,-22.4026,-12.7203,-8.03548,-19.0683,-21.7768,-10.3975,-13.2919,-32.0082,-34.0927,-18.1109,-29.5838,-20.4344,-43.5162,-52.2707,-35.1278,-44.5577,-18.1961,-24.9038,-32.1065,-16.6251,-20.7323,-14.4038,-15.0435,-15.7365,-16.4783,-17.2642,-0,-14.2124,-4.96022,-10.3795,-0,-0,-0,-6.16121,-6.41465,-0,-0,-7.19419,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,0,1,1,2,1,4,5,7,4,6,5,6,9,10,13,7,14,13,16,7,7,6,9,9,5,7,4,5,1,3,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0
-535.247,0.993693,0.160606,5,31,0,538.129,-1.33603,-2.30932,-1.28078,-0.548814,3.67691,0.120159,-0.904398,4.8779,2.43492,9.05468e-05,0.000121003,0.000161763,0.000216352,0.000289534,0.000387759,0.000519776,0.000697467,0.000936951,0.00125995,0.0016953,0.00228036,0.00306166,0.00409433,0.00543979,0.0071616,0.00931949,0.011962,0.015118,0.0187891,0.0229431,0.0274768,0.0322416,0.0370494,0.0416815,0.0459032,0.0494811,0.0522039,0.0539066,0.0544933,0.0539512,0.0523502,0.0498272,0.0465634,0.0427616,0.0386277,0.0343559,0.030117,0.0260502,0.0222595,0.0188127,0.015745,0.0130646,0.0107591,0.00880229,0.00716023,0.00579541,0.00467021,0.00374896,0.00299914,0.00239197,0.00190249,0.00150941,0.00119482,0.00094381,0.000744067,0.000585503,0.000459899,0.000360601,0.000282237,0.000220496,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.87804,-9.35129,-22.1301,-12.5756,-7.94895,-18.8737,-21.5665,-10.3035,-13.182,-31.777,-33.8934,-18.037,-29.526,-20.4435,-43.6452,-52.5542,-35.3976,-44.9879,-18.4016,-25.2169,-32.5379,-16.8549,-21.016,-14.5909,-15.2199,-15.8929,-16.6049,-17.3514,-0,-14.1982,-4.93921,-10.3014,-0,-0,-0,-6.03564,-6.26459,-0,-0,-6.96559,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,1,5,1,3,5,5,2,7,6,7,15,5,13,6,12,16,5,8,3,11,8,6,7,5,9,3,3,4,3,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
