# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 05:57:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c265a88579.json
# init = /tmp/RtmpC8O1hA/init-b41c212c843e_2.json
# random
#   seed = 3852004
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0373_rep038_accurate_strong/prior_sensitivity_obspair_FAST-202605310657-2-8b79d4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0373_rep038_accurate_strong/prior_sensitivity_obspair_FAST-profile-202605310657-2-5718e6.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.175467
# Diagonal elements of inverse mass matrix:
# 0.0943014, 0.0847015, 0.00772835, 0.00488012, 0.0121936, 0.0064709, 0.00727874
-539.726,0.978798,0.175467,5,31,0,542.375,-2.85978,-2.31937,-1.22484,-0.0829599,3.61518,-0.109037,-0.891546,5.08798,2.04856,7.05384e-06,1.1168e-05,1.76746e-05,2.7955e-05,4.41737e-05,6.97023e-05,0.000109748,0.000172254,0.000269123,0.000417776,0.000642959,0.000978565,0.00146914,0.00217059,0.00314965,0.00448152,0.00624538,0.00851743,0.0113618,0.01482,0.0189006,0.0235534,0.0286742,0.0341028,0.0396265,0.0449898,0.0499095,0.0540945,0.057273,0.0592235,0.0598075,0.0589926,0.0568572,0.0535743,0.0493822,0.0445526,0.0393624,0.0340716,0.0289075,0.0240529,0.0196401,0.0157501,0.0124163,0.00963206,0.00736146,0.00554934,0.00413113,0.00304055,0.00221498,0.0015987,0.00114433,0.000813006,0.000573742,0.000402451,0.000280761,0.0001949,0.00013469,9.26996e-05,6.35604e-05,4.343e-05,2.95797e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.8156,-10.1518,-23.8282,-13.4325,-8.42355,-19.8428,-22.4909,-10.6553,-13.5135,-32.2826,-34.1145,-17.9853,-29.1702,-20.0195,-42.3966,-50.6992,-33.9641,-43.0082,-17.5601,-24.0653,-31.1108,-16.1747,-20.2757,-14.1746,-14.91,-15.7207,-16.6036,-17.555,-0,-14.7345,-5.19408,-10.9784,-0,-0,-0,-6.77293,-7.11477,-0,-0,-8.17801,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,4,5,3,9,4,6,8,14,11,12,6,8,14,11,13,10,11,11,4,8,4,5,3,2,2,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
-540,0.958038,0.175467,4,15,0,544.296,-2.96035,-2.49296,-1.27226,-0.0896161,3.69229,-0.133185,-0.876118,5.20981,2.08588,8.12059e-06,1.28141e-05,2.02097e-05,3.1848e-05,5.01274e-05,7.8755e-05,0.0001234,0.000192605,0.000298982,0.000460672,0.000702931,0.00105963,0.00157429,0.00230037,0.00330027,0.00464279,0.00639862,0.00863389,0.011402,0.0147345,0.0186323,0.0230455,0.0278769,0.0329819,0.0381722,0.0432242,0.0478912,0.0519199,0.055071,0.0571431,0.0579992,0.0575872,0.0559481,0.0532079,0.0495567,0.045223,0.0404498,0.0354747,0.0305145,0.0257536,0.021336,0.0173615,0.0138859,0.0109258,0.00846551,0.00646607,0.00487414,0.00363007,0.00267402,0.00195029,0.00140975,0.00101083,0.000719537,0.000508841,0.000357719,0.000250136,0.000174061,0.000120588,8.32048e-05,5.71976e-05,3.91843e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.7449,-10.1033,-23.7603,-13.4219,-8.43513,-19.9143,-22.6217,-10.7399,-13.6472,-32.6565,-34.5549,-18.2329,-29.5805,-20.2939,-42.933,-51.2519,-34.2535,-43.25,-17.6013,-24.0371,-30.9615,-16.0385,-20.0336,-13.9582,-14.6367,-15.3894,-16.214,-17.1075,-0,-14.3153,-5.04119,-10.6476,-0,-0,-0,-6.56434,-6.89699,-0,-0,-7.93576,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,2,1,2,1,3,4,6,8,7,10,8,8,12,14,16,11,14,9,6,5,9,6,11,5,4,0,2,4,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-535.093,1,0.175467,4,15,0,540.813,-2.4616,-1.84724,-1.35931,-0.276884,3.56182,0.0568007,-0.959709,5.08047,2.20814,1.65145e-05,2.41384e-05,3.52885e-05,5.16016e-05,7.54784e-05,0.000110442,0.000161662,0.000236707,0.000346604,0.000507262,0.00074124,0.00107971,0.00156429,0.00224825,0.0031967,0.0044851,0.00619585,0.00841238,0.011211,0.0146506,0.0187621,0.0235008,0.0287636,0.0343835,0.0401311,0.0457223,0.0508333,0.0551259,0.0582837,0.0600592,0.0603209,0.0590795,0.0564804,0.0527665,0.0482329,0.0431865,0.0379174,0.0326789,0.0276759,0.0230586,0.0189231,0.0153154,0.0122407,0.00967336,0.00756785,0.00586785,0.00451375,0.00344777,0.00261711,0.00197554,0.00148382,0.0011095,0.000826259,0.00061306,0.000453345,0.000334204,0.00024567,0.000180108,0.000131712,9.60904e-05,6.99406e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.814,-10.1678,-23.8903,-13.4726,-8.44655,-19.8796,-22.5043,-10.6459,-13.4807,-32.156,-33.9369,-17.8752,-28.9813,-19.897,-42.1864,-50.5454,-33.9464,-43.1079,-17.6513,-24.2537,-31.4223,-16.3617,-20.5262,-14.3488,-15.0789,-15.8695,-16.7156,-17.612,-0,-14.6515,-5.13827,-10.8013,-0,-0,-0,-6.51313,-6.80384,-0,-0,-7.69886,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,3,3,5,5,8,4,9,14,9,10,15,10,6,9,14,10,12,7,9,3,5,3,4,2,0,3,3,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0
-535.122,0.973203,0.175467,4,15,0,539.127,-1.89632,-2.43047,-1.26289,-0.324491,3.36203,0.0504247,-1.02332,4.76522,2.20046,3.01935e-05,4.33521e-05,6.22512e-05,8.93988e-05,0.0001284,0.000184437,0.00026494,0.000380538,0.000546337,0.000783556,0.00112145,0.00159923,0.00226743,0.00318811,0.00443316,0.00608035,0.00820687,0.0108805,0.0141488,0.0180286,0.0224958,0.0274523,0.0327423,0.0381559,0.0434389,0.0483089,0.0524767,0.055674,0.057685,0.0583785,0.057728,0.0558136,0.0528025,0.0489207,0.0444237,0.0395713,0.0346073,0.0297435,0.0251485,0.020943,0.0171994,0.0139476,0.0111828,0.00887574,0.00698155,0.00544806,0.00422157,0.00325083,0.00248947,0.00189701,0.00143915,0.00108745,0.000818739,0.000614401,0.000459675,0.000342963,0.000255227,0.000189479,0.000140349,0.000103733,7.65076e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.2054,-9.60557,-22.6039,-12.7744,-8.03159,-18.9721,-21.5718,-10.2573,-13.0643,-31.364,-33.3315,-17.6843,-28.8824,-19.9693,-42.6121,-51.3362,-34.6289,-44.118,-18.1053,-24.9119,-32.2965,-16.8184,-21.0909,-14.7318,-15.4638,-16.2515,-17.0898,-17.9735,-0,-14.8935,-5.2125,-10.9351,-0,-0,-0,-6.5437,-6.82392,-0,-0,-7.68499,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,5,1,6,3,5,9,8,12,15,7,8,15,15,4,10,5,10,11,10,10,4,5,5,1,2,1,2,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
-537.284,0.975491,0.175467,4,15,0,539.081,-3.49032,-2.23931,-1.23664,-0.382866,3.58585,0.00516549,-1.15229,5.54951,2.39785,2.86467e-05,4.03041e-05,5.6714e-05,7.98203e-05,0.000112366,0.000158221,0.000222843,0.000313913,0.000442183,0.000622581,0.00087552,0.00122831,0.0017164,0.0023842,0.00328496,0.00447943,0.00603292,0.00801042,0.0104698,0.0134536,0.01698,0.0210216,0.0255068,0.0303164,0.0352841,0.0402022,0.044832,0.0489194,0.0522185,0.0545196,0.0556797,0.055643,0.0544452,0.0522012,0.0490833,0.0452988,0.0410685,0.0366081,0.0321141,0.0277519,0.0236499,0.0198968,0.0165439,0.0136104,0.0110902,0.00895912,0.0071819,0.00571754,0.00452358,0.00355903,0.00278608,0.00217107,0.00168481,0.00130252,0.00100348,0.000770609,0.00059002,0.000450492,0.000343054,0.000260583,0.000197457,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.8165,-10.221,-24.1351,-13.6778,-8.61702,-20.3786,-23.1732,-11.0064,-13.9843,-33.4432,-35.3522,-18.629,-30.1758,-20.6662,-43.6379,-51.9865,-34.6656,-43.6584,-17.7159,-24.1139,-30.9447,-15.9626,-19.8449,-13.7538,-14.3378,-14.9776,-15.6688,-16.407,-0,-13.5051,-4.71508,-9.87238,-0,-0,-0,-5.88312,-6.13254,-0,-0,-6.90429,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,3,6,10,7,9,13,8,9,10,17,6,13,13,7,9,10,7,4,4,7,3,4,2,2,2,1,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0
-537.52,0.993946,0.175467,4,15,0,541.521,-3.11393,-3.29814,-1.21696,-0.26556,3.42019,0.215891,-0.971332,4.98957,2.12608,1.78023e-05,2.61224e-05,3.83322e-05,5.62506e-05,8.25471e-05,0.000121138,0.00017776,0.000260802,0.000382463,0.00056032,0.000819296,0.00119382,0.00172977,0.00248558,0.00353188,0.00494906,0.00682205,0.00923179,0.0122433,0.0158918,0.0201688,0.0250028,0.0302607,0.0357503,0.0412305,0.0464268,0.0510497,0.0548184,0.057488,0.0588817,0.0589179,0.0576202,0.055107,0.0515689,0.0472447,0.0423976,0.0372933,0.0321789,0.0272645,0.0227111,0.0186246,0.0150584,0.0120212,0.00948859,0.00741477,0.00574299,0.00441328,0.00336783,0.00255407,0.00192615,0.00144533,0.00107962,0.000803119,0.000595185,0.000439564,0.0003236,0.000237525,0.000173866,0.000126938,9.24497e-05,6.71733e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.6171,-9.97519,-23.4255,-13.2083,-8.2839,-19.5181,-22.1326,-10.4937,-13.3248,-31.8858,-33.7687,-17.8497,-29.0373,-19.9933,-42.4834,-50.969,-34.2466,-43.4772,-17.789,-24.4193,-31.6066,-16.4447,-20.6187,-14.4087,-15.1396,-15.9331,-16.7833,-17.6843,-0,-14.7128,-5.15978,-10.8463,-0,-0,-0,-6.53942,-6.83115,-0,-0,-7.72973,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,4,1,5,5,10,6,8,11,12,11,11,17,10,14,18,8,9,6,7,4,8,2,1,1,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
