# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 06:11:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c244e5c525.json
# init = /tmp/RtmpC8O1hA/init-b41c27f221b99_4.json
# random
#   seed = 3852006
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0375_rep038_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-202605310711-4-a05c7a.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0375_rep038_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605310711-4-966f8d.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.10923
# Diagonal elements of inverse mass matrix:
# 0.0936123, 0.069099, 0.042772, 0.0154887, 0.047337, 0.0385286, 0.0721616
-537.003,0.999494,0.10923,5,31,0,538.862,-1.33891,-2.1535,-0.930901,-0.194074,4.57856,0.0572581,-0.552765,4.95327,2.02994,1.01768e-05,1.5374e-05,2.32327e-05,3.5123e-05,5.31267e-05,8.04103e-05,0.000121789,0.000184572,0.000279775,0.000423799,0.000640528,0.0009637,0.00143913,0.00212624,0.00309808,0.00443927,0.00624093,0.00859249,0.0115704,0.0152247,0.0195658,0.0245287,0.0299832,0.0357339,0.0415286,0.0470741,0.052057,0.05617,0.0591401,0.0607587,0.0609111,0.0595971,0.0569341,0.053137,0.048483,0.0432737,0.0378049,0.0323438,0.0271146,0.0222885,0.0179803,0.0142499,0.0111088,0.00853038,0.006462,0.00483632,0.00358135,0.00262754,0.00191229,0.00138206,0.000992811,0.00070944,0.000504616,0.000357473,0.000252326,0.000177536,0.000124553,8.71523e-05,6.0834e-05,4.23666e-05,2.94409e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.8345,-10.1533,-23.7843,-13.3779,-8.36968,-19.6699,-22.2475,-10.5214,-13.3266,-31.8137,-33.6164,-17.7325,-28.7937,-19.7949,-42.0127,-50.3701,-33.8418,-42.9879,-17.6093,-24.2123,-31.4021,-16.3766,-20.588,-14.4307,-15.2147,-16.0739,-17.004,-18.0001,-0,-15.1255,-5.3316,-11.264,-0,-0,-0,-6.91497,-7.25103,-0,-0,-8.28479,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,2,1,3,4,3,3,10,11,5,5,11,11,7,14,14,12,11,13,12,3,5,9,6,2,2,3,3,2,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
-537.038,1,0.10923,5,31,0,538.559,-1.26093,-2.37831,-0.901628,-0.437477,4.46408,-0.107438,-0.316669,5.19857,2.34937,4.59191e-05,6.34953e-05,8.78326e-05,0.000121556,0.000168324,0.000233239,0.000323417,0.000448759,0.000622964,0.00086479,0.00119948,0.00166019,0.002289,0.00313714,0.00426389,0.00573361,0.00761087,0.00995356,0.0128047,0.0161837,0.0200788,0.0244148,0.0290724,0.0338903,0.0386729,0.0432012,0.0472483,0.0505969,0.053059,0.0544952,0.0548313,0.0540676,0.0522774,0.049595,0.0461967,0.0422807,0.0380485,0.0336907,0.0293754,0.0252411,0.0213925,0.0179,0.0148018,0.0121084,0.00980903,0.00787701,0.00627637,0.0049665,0.00390603,0.00305543,0.00237867,0.00184398,0.00142411,0.00109614,0.000841149,0.000643697,0.000491348,0.00037417,0.000284296,0.000215538,0.000163052,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.3228,-9.75636,-23.0491,-13.0738,-8.2475,-19.5405,-22.2754,-10.6139,-13.5385,-32.5262,-34.5608,-18.314,-29.8387,-20.5545,-43.6446,-52.2629,-35.0102,-44.2679,-18.0232,-24.5988,-31.6342,-16.3445,-20.3432,-14.1104,-14.7171,-15.3789,-16.0918,-16.852,-0,-13.8734,-4.84381,-10.1419,-0,-0,-0,-6.04122,-6.29583,-0,-0,-7.08074,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,3,0,5,1,2,6,1,5,9,8,8,6,11,8,13,15,14,7,10,7,7,8,7,6,3,7,5,0,2,3,1,1,1,0,1,0,2,2,0,0,0,0,0,0,0,0
-535.879,0.995137,0.10923,5,31,0,538.6,-1.82608,-1.61833,-1.39156,-0.507032,3.68177,0.575242,-1.34135,4.94658,2.35357,3.74277e-05,5.0654e-05,6.85898e-05,9.29418e-05,0.00012606,0.000171202,0.00023292,0.000317645,0.000434582,0.000597091,0.000824762,0.00114627,0.0016026,0.00224962,0.00315924,0.00441882,0.00612834,0.00839447,0.0113204,0.0149913,0.0194572,0.0246599,0.0304616,0.0366419,0.0429036,0.0488864,0.0541863,0.0583865,0.0611117,0.0621146,0.0613548,0.0589971,0.0553373,0.050726,0.0455203,0.0400546,0.0346195,0.0294465,0.0246988,0.0204713,0.0167991,0.0136721,0.0110512,0.00888184,0.00710394,0.00565852,0.00449108,0.00355331,0.0028035,0.00220635,0.00173245,0.0013575,0.00106166,0.000828803,0.000645933,0.000502604,0.000390469,0.000302883,0.000234573,0.000181368,0.000139979,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.8438,-10.1897,-23.9009,-13.4434,-8.40057,-19.6977,-22.2155,-10.4739,-13.2262,-31.488,-33.2008,-17.492,-28.4067,-19.5654,-41.6816,-50.2395,-33.9632,-43.4146,-17.8879,-24.7168,-32.1751,-16.8167,-21.1511,-14.804,-15.5549,-16.3457,-17.1696,-18.0209,-0,-14.8413,-5.17459,-10.8113,-0,-0,-0,-6.35822,-6.60211,-0,-0,-7.34481,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,1,3,1,3,3,7,6,9,12,6,5,12,21,14,14,15,9,11,5,8,6,5,4,5,1,4,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-535.018,0.999421,0.10923,5,31,0,537.687,-2.56866,-2.58715,-1.41016,-0.408357,3.63931,0.385544,-0.973901,5.16701,2.31419,3.64973e-05,5.09065e-05,7.10149e-05,9.90863e-05,0.000138292,0.00019308,0.000269702,0.00037695,0.000527192,0.000737758,0.00103266,0.00144444,0.00201558,0.00279908,0.00385769,0.0052616,0.00708406,0.00939444,0.0122486,0.0156774,0.0196755,0.0241771,0.0290639,0.0341673,0.0392775,0.0441548,0.0485435,0.0521884,0.0548576,0.0563742,0.0566487,0.0556944,0.0536145,0.0505767,0.0467879,0.0424751,0.0378686,0.033186,0.0286177,0.0243152,0.0203844,0.0168863,0.013842,0.0112423,0.00905744,0.00724568,0.00576026,0.0045541,0.00358278,0.00280618,0.00218914,0.00170159,0.00131825,0.00101815,0.000784165,0.000602371,0.000461589,0.000352891,0.000269195,0.000204911,0.000155652,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.4946,-9.89982,-23.3382,-13.207,-8.31106,-19.6419,-22.3341,-10.6148,-13.5059,-32.371,-34.3206,-18.1518,-29.529,-20.3211,-43.1362,-51.676,-34.6545,-43.889,-17.9056,-24.4971,-31.5884,-16.3682,-20.4338,-14.2149,-14.8666,-15.5719,-16.325,-17.1202,-0,-14.1125,-4.92735,-10.3135,-0,-0,-0,-6.12425,-6.37619,-0,-0,-7.15089,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,3,2,5,1,6,5,8,5,14,17,14,10,10,7,9,8,11,10,5,11,8,4,7,2,4,4,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
-538.484,0.989018,0.10923,4,31,0,541.685,-1.53965,-2.37317,-1.78609,-0.116076,3.98152,-0.078678,-1.1341,4.96386,2.19212,1.86261e-05,2.90282e-05,4.51998e-05,7.02842e-05,0.000109058,0.000168681,0.000259664,0.000397024,0.000601457,0.000900298,0.00132797,0.00192568,0.00274033,0.00382243,0.00522325,0.00699114,0.00916705,0.0117798,0.0148415,0.0183431,0.0222525,0.0264764,0.0308931,0.0353567,0.0397031,0.0437569,0.0473409,0.0502849,0.0524374,0.0536776,0.0539294,0.0531735,0.0514549,0.0488793,0.0455991,0.0417929,0.0376461,0.0333361,0.0290229,0.0248439,0.0209108,0.0173072,0.0140888,0.011284,0.00889652,0.00690945,0.00529056,0.00399775,0.00298426,0.00220308,0.00161011,0.00116614,0.000837779,0.000597534,0.000423436,0.000298334,0.000209107,0.000145886,0.000101352,7.0145e-05,4.83781e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.92622,-9.38428,-22.2068,-12.631,-7.997,-19.0265,-21.789,-10.4317,-13.3691,-32.2633,-34.4202,-18.3023,-29.9005,-20.6369,-43.8714,-52.5614,-35.2103,-44.5057,-18.1104,-24.7029,-31.7503,-16.3976,-20.4067,-14.1587,-14.7806,-15.47,-16.2265,-17.0495,-0,-14.1663,-4.97487,-10.4837,-0,-0,-0,-6.43145,-6.75405,-0,-0,-7.76711,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,4,4,5,3,7,8,12,9,8,15,15,13,12,12,8,8,9,1,9,5,4,4,2,3,6,0,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
-541.649,0.981061,0.10923,4,15,0,544.334,-1.84594,-1.41129,-1.06448,-0.0662849,4.18166,-0.239609,-1.47441,5.12842,2.06319,3.55728e-06,5.66905e-06,9.02807e-06,1.43641e-05,2.28269e-05,3.62216e-05,5.73705e-05,9.06645e-05,0.000142889,0.000224434,0.000350984,0.000545748,0.000842133,0.0012866,0.00194114,0.00288477,0.00421311,0.00603537,0.00846801,0.0116248,0.0156034,0.0204236,0.026037,0.0323098,0.0390124,0.0458186,0.0523201,0.0580572,0.0625687,0.0654552,0.0664466,0.065456,0.0625996,0.0581733,0.0525935,0.0463231,0.0398055,0.033418,0.0274479,0.0220861,0.0174341,0.0135191,0.0103125,0.00774911,0.00574375,0.00420494,0.00304421,0.00218189,0.00154981,0.00109198,0.000763835,0.000530828,0.00036674,0.000252036,0.000172379,0.000117387,7.9622e-05,5.38112e-05,3.62463e-05,2.43394e-05,1.62963e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.6966,-10.9391,-25.5506,-14.3144,-8.90923,-20.8013,-23.3464,-10.9447,-13.7295,-32.4388,-33.9137,-17.7023,-28.4633,-19.4004,-40.8958,-48.8044,-32.7165,-41.565,-17.066,-23.5613,-30.7211,-16.1188,-20.392,-14.3819,-15.2512,-16.1973,-17.2146,-18.2976,-0,-15.4789,-5.4715,-11.589,-0,-0,-0,-7.17716,-7.54107,-0,-0,-8.66581,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,1,1,5,2,4,9,6,11,5,11,18,10,17,7,13,14,5,7,16,11,5,6,2,0,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
