# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 06:17:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c21d6ad066.json
# init = /tmp/RtmpC8O1hA/init-b41c2516f79d4_3.json
# random
#   seed = 3852007
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0376_rep038_mildly_wrong_strong/prior_sensitivity_obspair_FAST-202605310717-3-26b122.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0376_rep038_mildly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605310717-3-219c39.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.160457
# Diagonal elements of inverse mass matrix:
# 0.0454053, 0.0340853, 0.00891483, 0.00620408, 0.00639313, 0.00684041, 0.00590061
-534.996,0.996692,0.160457,5,31,0,539.798,-1.43311,-2.30104,-1.01045,-0.605096,4.02826,0.277838,-1.03146,5.07039,2.41293,8.15454e-05,0.000107328,0.000141338,0.000186256,0.000245676,0.000324443,0.000429128,0.000568715,0.000755559,0.00100673,0.00134576,0.00180459,0.00242544,0.00326172,0.00437751,0.00584501,0.00773943,0.0101312,0.0130753,0.0165996,0.0206929,0.0252805,0.0302308,0.0353572,0.0404286,0.0451845,0.0493547,0.0526836,0.0549581,0.0560359,0.0558685,0.0545052,0.0520785,0.0487793,0.0448323,0.0404739,0.0359326,0.0314119,0.0270784,0.0230541,0.0194159,0.0162,0.0134099,0.0110263,0.00901522,0.00733577,0.00594492,0.00480093,0.00386531,0.00310374,0.00248634,0.00198753,0.00158574,0.00126294,0.00100419,0.000797203,0.00063191,0.000500125,0.000395205,0.000311781,0.000245529,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.2843,-9.72285,-22.9607,-13.0111,-8.19675,-19.3898,-22.0663,-10.4967,-13.369,-32.0822,-34.067,-18.0523,-29.4345,-20.3083,-43.2265,-51.9256,-34.9135,-44.3251,-18.1227,-24.8386,-32.071,-16.6306,-20.7634,-14.4361,-15.0796,-15.7666,-16.491,-17.247,-0,-14.1265,-4.91499,-10.2504,-0,-0,-0,-5.99694,-6.22086,-0,-0,-6.90357,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,3,2,5,2,4,5,1,10,3,5,12,8,8,11,9,15,11,12,6,9,6,11,3,5,8,4,5,3,2,1,0,2,0,0,3,1,1,0,0,0,0,0,0,0,0,0
-534.757,0.999974,0.160457,5,31,0,535.632,-1.43921,-1.38227,-1.17119,-0.66468,3.92775,0.289615,-0.857498,5.16229,2.56734,4.55378e-05,5.91265e-05,7.68599e-05,0.000100065,0.000130535,0.000170729,0.000224062,0.000295364,0.000391606,0.00052303,0.000704906,0.000960062,0.00132215,0.00183923,0.00257697,0.00362053,0.00507418,0.00705763,0.0096982,0.0131185,0.0174203,0.022569,0.0284447,0.0348311,0.0414149,0.0477976,0.0535237,0.0581273,0.0612029,0.0624887,0.0619313,0.0596905,0.0560795,0.0514844,0.0462965,0.0408692,0.0354942,0.0303908,0.0257059,0.0215211,0.0178651,0.0147274,0.0120726,0.00985132,0.00800912,0.00649178,0.00524878,0.00423492,0.00341081,0.00274285,0.00220272,0.00176681,0.0014156,0.00113302,0.000905942,0.000723632,0.000577376,0.000460107,0.000366112,0.00029078,0.000230402,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.2423,-10.5672,-24.7682,-13.9074,-8.66746,-20.2506,-22.7471,-10.6794,-13.429,-31.8411,-33.4486,-17.5658,-28.4512,-19.5549,-41.5915,-50.0711,-33.823,-43.2148,-17.7989,-24.5815,-31.9738,-16.6919,-20.9617,-14.6441,-15.3549,-16.0996,-16.8722,-17.6673,-0,-14.4815,-5.03722,-10.4995,-0,-0,-0,-6.11806,-6.33858,-0,-0,-7.00654,-0,-0,-0,-0,-0,-0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,3,3,5,9,7,11,10,10,14,13,9,11,12,11,16,14,9,7,4,3,3,2,3,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-535.854,0.96886,0.160457,4,31,0,538.854,-1.66441,-2.09107,-1.03588,-0.634992,4.23802,0.2387,-0.986361,5.42819,2.52317,6.92049e-05,9.04243e-05,0.000118239,0.000154761,0.000202824,0.000266254,0.000350268,0.000462045,0.000611559,0.000812746,0.00108506,0.00145531,0.00195949,0.00264414,0.00356669,0.0047943,0.00640056,0.00845975,0.0110383,0.0141839,0.0179142,0.0221901,0.026918,0.0319482,0.0370787,0.0420663,0.0466427,0.0505362,0.0534988,0.0553376,0.0559449,0.0553145,0.0535359,0.0507721,0.0472326,0.0431489,0.0387531,0.0342606,0.0298561,0.0256842,0.0218454,0.0183983,0.0153656,0.012742,0.0105036,0.00861512,0.0070364,0.0057264,0.00464599,0.00375939,0.00303488,0.00244492,0.00196596,0.00157813,0.0012648,0.00101214,0.000808758,0.000645289,0.000514075,0.000408879,0.000324634,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.6807,-10.1027,-23.8622,-13.5192,-8.51129,-20.1108,-22.8487,-10.8449,-13.7746,-32.9471,-34.8536,-18.3914,-29.8507,-20.4967,-43.4145,-51.901,-34.7366,-43.911,-17.8824,-24.4214,-31.431,-16.2527,-20.2426,-14.0455,-14.6475,-15.2951,-15.982,-16.7025,-0,-13.6681,-4.75424,-9.91332,-0,-0,-0,-5.79758,-6.01374,-0,-0,-6.67284,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,3,1,1,3,0,5,5,11,4,10,7,8,15,9,12,14,9,7,10,9,7,9,8,6,6,4,2,3,2,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0
-537.241,0.995578,0.160457,4,15,0,537.998,-0.822433,-1.28942,-1.25718,-0.630251,3.9387,0.321964,-0.806276,4.70279,2.44338,4.69765e-05,6.15632e-05,8.07841e-05,0.000106188,0.000139895,0.000184849,0.000245208,0.000326949,0.000438854,0.000594068,0.00081249,0.00112413,0.00157313,0.00222168,0.00315261,0.00446977,0.0062953,0.00876316,0.0120088,0.016155,0.0212958,0.0272602,0.0337964,0.0405767,0.0472098,0.0532614,0.0582852,0.061868,0.0636912,0.063604,0.0616747,0.0581779,0.053516,0.0481258,0.042411,0.0367068,0.0312677,0.0262668,0.0218042,0.0179192,0.014605,0.0118242,0.0095215,0.00763439,0.00610036,0.00486117,0.00386504,0.00306737,0.00243055,0.0019234,0.00152031,0.00120046,0.000947005,0.000746394,0.000587752,0.000462383,0.000363352,0.00028514,0.000223363,0.000174548,0.000135946,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.8208,-10.1359,-23.686,-13.2664,-8.25105,-19.2462,-21.614,-10.1622,-12.8182,-30.5315,-32.258,-17.0544,-27.8275,-19.276,-41.3262,-50.1459,-34.131,-43.9166,-18.2036,-25.2828,-33.0479,-17.3258,-21.8367,-15.3026,-16.0875,-16.9056,-17.7504,-18.6168,-0,-15.2982,-5.32648,-11.1116,-0,-0,-0,-6.48884,-6.72505,-0,-0,-7.43921,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,2,2,1,3,4,4,11,13,7,13,10,10,6,13,18,11,12,8,7,7,11,7,0,4,3,0,0,0,0,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
-536.669,0.991945,0.160457,4,15,0,541.663,-1.10822,-1.89592,-0.885047,-0.69276,3.9119,0.370999,-0.681101,4.89541,2.47194,7.76474e-05,0.000100011,0.000128929,0.000166395,0.000215064,0.000278498,0.000361537,0.000470853,0.000615797,0.000809711,0.00107193,0.00143065,0.00192663,0.00261692,0.00357743,0.00490277,0.00670206,0.00908972,0.0121708,0.0160221,0.020671,0.026033,0.0319308,0.0380966,0.044187,0.0498109,0.0545673,0.0580925,0.0601141,0.060503,0.0592964,0.0566777,0.0529282,0.0483762,0.0433553,0.0381726,0.0330857,0.0282894,0.0239116,0.0200196,0.0166315,0.0137306,0.0112787,0.00922712,0.00752381,0.00611825,0.00496395,0.00401964,0.00324953,0.00262312,0.00211469,0.00170279,0.00136961,0.00110047,0.000883292,0.000708201,0.000567131,0.000453525,0.000362063,0.000288442,0.000229193,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.6359,-10.0107,-23.5031,-13.2261,-8.26758,-19.3951,-21.8904,-10.3326,-13.0705,-31.1932,-32.9947,-17.4499,-28.4572,-19.6806,-42.0759,-50.8537,-34.4445,-44.0823,-18.1725,-25.1066,-32.6564,-17.0433,-21.3916,-14.9336,-15.6442,-16.3858,-17.1525,-17.9394,-0,-14.669,-5.09648,-10.6111,-0,-0,-0,-6.15885,-6.37549,-0,-0,-7.03185,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,3,1,3,0,2,3,4,11,5,7,9,9,7,7,13,19,12,12,9,5,7,10,6,6,5,4,1,0,6,2,1,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0
-538.275,0.998696,0.160457,5,31,0,540.075,-2.06521,-3.26496,-1.21933,-0.278425,3.9934,0.279915,-0.987987,5.02856,2.10263,2.17411e-05,3.17494e-05,4.6368e-05,6.77234e-05,9.89239e-05,0.000144512,0.000211115,0.000308373,0.000450194,0.000656362,0.000954328,0.00138085,0.00198302,0.00281826,0.00395297,0.00545933,0.00740977,0.00986868,0.0128819,0.016465,0.0205931,0.0251872,0.0301181,0.0352117,0.0402588,0.0450283,0.0492815,0.0527883,0.055345,0.0567949,0.0570505,0.0561079,0.054045,0.0510065,0.0471829,0.042791,0.0380578,0.0332047,0.0284336,0.0239145,0.0197753,0.0160978,0.0129186,0.0102358,0.00801925,0.00622094,0.00478442,0.00365196,0.00276918,0.00208761,0.0015657,0.00116889,0.000869059,0.000643743,0.000475238,0.000349762,0.000256686,0.000187886,0.00013719,9.99413e-05,7.26462e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.4209,-9.80991,-23.0919,-13.0558,-8.21304,-19.414,-22.0885,-10.5079,-13.3855,-32.1243,-34.1051,-18.0612,-29.4147,-20.2592,-43.0246,-51.5487,-34.5658,-43.7691,-17.8548,-24.4298,-31.5143,-16.3432,-20.4304,-14.2407,-14.9331,-15.6933,-16.5163,-17.3964,-0,-14.4777,-5.07983,-10.6848,-0,-0,-0,-6.45942,-6.7517,-0,-0,-7.65169,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,3,4,2,6,3,11,10,10,12,6,13,7,15,10,9,7,7,11,10,6,7,7,3,2,2,2,2,1,2,2,0,0,0,0,1,0,2,0,0,0,0,0,0
