# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 06:31:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c21b98297.json
# init = /tmp/RtmpC8O1hA/init-b41c25f054897_4.json
# random
#   seed = 3852009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0378_rep038_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605310731-4-192071.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0378_rep038_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605310731-4-2ee7ca.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.179376
# Diagonal elements of inverse mass matrix:
# 0.0892035, 0.0677901, 0.0278344, 0.00721743, 0.0375624, 0.0425186, 0.0562505
-538.574,0.996262,0.179376,4,15,0,541.313,-1.06039,-2.20704,-1.33174,-0.455669,4.29611,0.84487,-0.0344691,4.70705,2.2397,4.60724e-05,6.33226e-05,8.70649e-05,0.000119773,0.00016489,0.000227234,0.000313598,0.000433648,0.000601302,0.000836811,0.00116958,0.00164091,0.00230487,0.00322721,0.00448311,0.00615392,0.00832231,0.011065,0.0144421,0.0184853,0.0231864,0.0283499,0.0337627,0.0391895,0.0443839,0.0490982,0.0530884,0.0561185,0.0579701,0.0584731,0.0575706,0.0553753,0.0521253,0.0480929,0.0435374,0.0386941,0.0337739,0.0289636,0.0244222,0.020274,0.0165998,0.0134331,0.0107657,0.0085598,0.00676157,0.00531213,0.00415422,0.00323587,0.00251185,0.00194391,0.0015003,0.00115509,0.000887339,0.000680261,0.000520521,0.00039758,0.000303159,0.000230777,0.000175384,0.000133057,0.000100757,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.1813,-9.57763,-22.5199,-12.7128,-7.98156,-18.8209,-21.3788,-10.1652,-12.9574,-31.1488,-33.1533,-17.6148,-28.8029,-19.9348,-42.5878,-51.3854,-34.7235,-44.3116,-18.2077,-25.0731,-32.5207,-16.9403,-21.2503,-14.8491,-15.5937,-16.3935,-17.2401,-18.1256,-0,-14.9895,-5.23776,-10.9673,-0,-0,-0,-6.50209,-6.76358,-0,-0,-7.56068,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,3,2,3,7,15,12,12,11,17,10,6,13,9,14,9,8,10,4,5,7,3,4,1,3,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
-538.744,0.997563,0.179376,4,31,0,542.533,-0.337696,-2.22,-0.714813,-0.815332,3.80082,0.334512,-0.826515,4.71355,2.62301,0.000168574,0.000211139,0.000264713,0.000332293,0.000417779,0.000526295,0.000664655,0.000842043,0.00107102,0.00136905,0.00176068,0.00228056,0.0029769,0.00391424,0.00517347,0.0068475,0.00903195,0.0118118,0.0152454,0.0193475,0.0240757,0.0292854,0.0347596,0.0402202,0.045351,0.0498269,0.0533484,0.0556775,0.0566716,0.0563051,0.0546677,0.0519415,0.048368,0.0442155,0.0397496,0.0352089,0.0307885,0.026631,0.0228269,0.0194215,0.016425,0.0138234,0.0115881,0.00968313,0.00806984,0.00671042,0.0055695,0.00461505,0.00381871,0.00315577,0.00260489,0.00214784,0.00176911,0.00145559,0.00119623,0.000981735,0.000804365,0.000657678,0.000536352,0.000436007,0.000353053,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.96774,-9.41397,-22.1933,-12.5504,-7.89038,-18.6328,-21.184,-10.0779,-12.8535,-30.9332,-32.9912,-17.5855,-28.8818,-20.0934,-43.1545,-52.3167,-35.4917,-45.4338,-18.7121,-25.8013,-33.4646,-17.4031,-21.7541,-15.1193,-15.7655,-16.4358,-17.1256,-17.8311,-0,-14.4589,-5.00409,-10.3809,-0,-0,-0,-5.95037,-6.14329,-0,-0,-6.72858,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,2,3,7,3,5,7,10,15,5,13,8,15,9,10,8,5,9,7,11,6,3,5,4,2,2,4,3,3,2,2,2,1,0,1,0,1,0,0,1,0,0,0,0
-542.272,1,0.179376,4,31,0,546.514,1.3833,-1.68012,-1.22834,-0.675858,5.10135,0.437814,-0.639744,5.03977,2.71804,8.42554e-05,0.000109586,0.000142898,0.000186962,0.000245688,0.000324708,0.000432289,0.000580726,0.000788205,0.0010807,0.00149279,0.00206676,0.00285028,0.00389417,0.00525028,0.00696951,0.00909936,0.0116809,0.0147451,0.018308,0.0223668,0.0266452,0.0310299,0.0354047,0.0396367,0.043577,0.0470662,0.0499397,0.0520374,0.0532157,0.0533684,0.0524556,0.0505287,0.0477301,0.0442602,0.0403366,0.0361668,0.0319343,0.0277927,0.0238638,0.0202368,0.0169692,0.0140891,0.0115994,0.00948257,0.00770779,0.00623647,0.00502758,0.00404118,0.00324062,0.00259355,0.00207216,0.00165305,0.00131677,0.0010473,0.00083158,0.000659003,0.000520995,0.000410652,0.000322437,0.000251913,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.93242,-9.3991,-22.249,-12.6505,-8.00083,-19.0009,-21.7509,-10.4184,-13.3636,-32.28,-34.4655,-18.3372,-29.9694,-20.6905,-44.001,-52.7496,-35.3735,-44.7782,-18.2532,-24.9414,-32.105,-16.5981,-20.6644,-14.3319,-14.9416,-15.601,-16.3054,-17.0494,-0,-13.9749,-4.86552,-10.1547,-0,-0,-0,-5.95473,-6.17916,-0,-0,-6.86154,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,2,4,3,6,5,4,7,8,8,12,16,6,10,9,17,9,14,9,6,10,7,3,5,1,1,0,3,1,2,1,1,2,0,0,0,1,0,0,0,1,0,0,0,0
-541.568,0.99863,0.179376,5,31,0,546.728,-2.66853,-3.31002,-0.390947,-0.613002,2.78926,0.566637,-0.511728,4.84655,2.49144,8.98137e-05,0.000117792,0.000154501,0.000202677,0.000265921,0.000348979,0.000458115,0.000601616,0.000790474,0.00103932,0.00136769,0.00180183,0.00237711,0.00314124,0.00415811,0.00551126,0.00730506,0.00966051,0.0127018,0.0165311,0.0211925,0.0266315,0.0326688,0.0389967,0.0452007,0.0508064,0.0553486,0.0584536,0.0599037,0.0596617,0.0578592,0.0547599,0.0507067,0.046062,0.0411572,0.0362611,0.0315692,0.0272082,0.0232487,0.0197191,0.0166184,0.013927,0.0116139,0.00964242,0.00797407,0.00657093,0.00539723,0.00442011,0.00361011,0.0029412,0.00239071,0.00193909,0.00156963,0.00126817,0.00102278,0.000823459,0.000661874,0.000531114,0.000425469,0.000340242,0.000271584,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.4019,-9.83838,-23.1985,-13.098,-8.20502,-19.2705,-21.754,-10.264,-12.9771,-30.9664,-32.7771,-17.3646,-28.3952,-19.7051,-42.286,-51.2954,-34.8576,-44.7255,-18.4666,-25.5229,-33.1701,-17.2779,-21.6254,-15.046,-15.7047,-16.389,-17.0957,-17.8222,-0,-14.4947,-5.0251,-10.4437,-0,-0,-0,-6.03616,-6.24554,-0,-0,-6.88523,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,2,3,4,6,6,8,9,4,9,11,12,17,12,13,11,7,16,6,5,2,2,10,4,1,4,3,2,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
-542.128,0.958188,0.179376,5,31,0,547.226,-1.95232,-3.73183,-0.326127,-0.579673,3.18769,0.606743,-0.747626,4.55318,2.20293,8.38174e-05,0.000110938,0.000146849,0.000194408,0.000257412,0.000340911,0.000451626,0.000598529,0.000793623,0.00105302,0.00139842,0.00185919,0.00247514,0.00330006,0.00440557,0.00588397,0.00784807,0.0104247,0.0137381,0.0178818,0.0228814,0.0286579,0.0350052,0.0415901,0.0479758,0.0536698,0.058191,0.0611497,0.0623181,0.0616626,0.0593336,0.055625,0.050919,0.0456248,0.0401227,0.0347231,0.0296477,0.0250311,0.0209364,0.017375,0.0143243,0.0117429,0.00958,0.00778246,0.0062987,0.005081,0.00408662,0.0032781,0.0026232,0.00209452,0.00166902,0.00132749,0.00105402,0.000835537,0.000661331,0.00052268,0.000412506,0.000325088,0.000255815,0.000200987,0.00015764,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.271,-9.69497,-22.8179,-12.8628,-8.04795,-18.8871,-21.3139,-10.0568,-12.7196,-30.3706,-32.1739,-17.0642,-27.9443,-19.4285,-41.7912,-50.8424,-34.6695,-44.6628,-18.5238,-25.7265,-33.6035,-17.5919,-22.1258,-15.4651,-16.2109,-16.9832,-17.778,-18.5923,-0,-15.2022,-5.28225,-11.0001,-0,-0,-0,-6.39552,-6.62447,-0,-0,-7.32126,-0,-0,-0,-0,-0,-0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,8,3,5,2,5,10,17,9,10,9,10,20,10,10,4,8,6,7,7,6,2,7,5,1,1,2,2,0,2,1,1,0,1,0,2,0,0,1,0,0,1,0,0
-538.526,1,0.179376,4,15,0,543.873,-2.66486,-3.47172,-0.540903,-0.618189,3.36818,0.810438,-0.717842,5.18213,2.45573,8.00634e-05,0.000104861,0.000137354,0.00017994,0.000235776,0.000309015,0.000405135,0.000531382,0.000697363,0.00091587,0.00120401,0.00158481,0.00208933,0.00275948,0.003651,0.00483607,0.00640427,0.00846007,0.0111133,0.01446,0.0185543,0.0233767,0.0288138,0.0346532,0.0405925,0.0462612,0.0512555,0.0551898,0.0577625,0.0588094,0.0583175,0.0564095,0.0533127,0.0493231,0.0447648,0.0399491,0.0351398,0.030534,0.0262603,0.0223896,0.0189488,0.0159353,0.0133273,0.0110923,0.00919256,0.00758911,0.00624383,0.00512104,0.00418825,0.00341649,0.00278028,0.00225755,0.00182933,0.00147948,0.00119436,0.000962511,0.000774363,0.00062196,0.000498718,0.000399213,0.000318991,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.6633,-10.1016,-23.862,-13.4988,-8.47273,-19.9353,-22.5361,-10.6407,-13.4495,-32.0417,-33.808,-17.8256,-28.9698,-19.9599,-42.5018,-51.1533,-34.5014,-43.9737,-18.0562,-24.8507,-32.2015,-16.7421,-20.9335,-14.5588,-15.1966,-15.8641,-16.5569,-17.2718,-0,-14.0681,-4.88104,-10.1523,-0,-0,-0,-5.8852,-6.09348,-0,-0,-6.73015,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,4,0,0,2,7,9,7,10,9,14,11,9,10,13,13,7,14,9,7,7,3,5,5,4,2,1,2,5,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0
