# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 06:36:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c26339f101.json
# init = /tmp/RtmpC8O1hA/init-b41c25ff44139_2.json
# random
#   seed = 3852010
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0379_rep038_badly_wrong_strong/prior_sensitivity_obspair_FAST-202605310736-2-389cce.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0379_rep038_badly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605310736-2-505e18.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.212901
# Diagonal elements of inverse mass matrix:
# 0.0454842, 0.0279694, 0.00622957, 0.0042017, 0.0106053, 0.00724112, 0.00887813
-541.356,0.997167,0.212901,4,15,0,544.162,-1.32806,-3.00457,-0.90971,-0.71304,4.20991,0.459636,-0.916549,5.19695,2.50487,0.000154544,0.000197728,0.000253074,0.000324066,0.000415228,0.000532453,0.000683455,0.000878388,0.00113069,0.00145818,0.00188447,0.00244031,0.00316467,0.00410481,0.00531505,0.00685394,0.00877949,0.0111421,0.0139755,0.0172865,0.0210465,0.02518,0.0295679,0.0340522,0.0384454,0.0425433,0.0461392,0.0490402,0.0510847,0.0521609,0.0522222,0.0512916,0.0494534,0.0468391,0.0436123,0.0399537,0.0360474,0.0320666,0.028162,0.0244528,0.0210229,0.0179213,0.0151678,0.0127594,0.0106782,0.00889727,0.00738542,0.00611039,0.00504096,0.00414811,0.00340562,0.00279026,0.00228177,0.00186266,0.00151801,0.00123515,0.00100341,0.000813854,0.000659024,0.000532725,0.000429828,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.96586,-9.47067,-22.4851,-12.8114,-8.11566,-19.3051,-22.0902,-10.5632,-13.5194,-32.5852,-34.7296,-18.4566,-30.1511,-20.8199,-44.3013,-53.1405,-35.6427,-45.1009,-18.3662,-25.0593,-32.2003,-16.6146,-20.6396,-14.2791,-14.844,-15.4486,-16.0871,-16.7543,-0,-13.6187,-4.72201,-9.8165,-0,-0,-0,-5.68233,-5.88162,-0,-0,-6.49036,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,1,2,4,2,3,4,5,8,5,5,9,8,13,14,10,10,9,7,10,5,11,8,6,2,3,7,3,5,3,5,0,1,2,1,1,0,0,0,1,1,0,1,0,0,0,0
-540.563,0.99786,0.212901,4,15,0,545.486,-1.37225,-3.43651,-0.980429,-0.460599,4.44944,0.735122,-0.518119,4.95539,2.14045,5.16509e-05,7.08427e-05,9.71838e-05,0.000133353,0.000183049,0.000251387,0.000345464,0.000475167,0.000654315,0.000902217,0.00124558,0.00172027,0.00237223,0.00325735,0.00444035,0.0059921,0.00798475,0.0104838,0.0135366,0.0171588,0.021321,0.025937,0.0308678,0.0359307,0.0409114,0.045576,0.0496845,0.0530055,0.0553362,0.0565245,0.0564953,0.0552668,0.0529457,0.0497025,0.0457463,0.0413025,0.0365968,0.0318419,0.0272265,0.0229056,0.0189906,0.015545,0.012587,0.0100995,0.00804193,0.00636263,0.00500665,0.00392126,0.00305871,0.00237739,0.00184199,0.00142313,0.00109671,0.0008432,0.000646905,0.000495322,0.000378552,0.000288794,0.000219936,0.000167208,0.000126898,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.2346,-9.66044,-22.7896,-12.9071,-8.13049,-19.2403,-21.9125,-10.4341,-13.3046,-31.9635,-33.9721,-18.0124,-29.3736,-20.2603,-43.0962,-51.7248,-34.747,-44.0773,-18.0102,-24.6772,-31.8683,-16.539,-20.6818,-14.4143,-15.1055,-15.8553,-16.6561,-17.5004,-0,-14.4693,-5.05731,-10.594,-0,-0,-0,-6.29691,-6.5549,-0,-0,-7.34331,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2,2,3,6,6,7,4,10,5,7,12,11,10,16,10,9,11,11,6,10,5,9,3,4,2,4,4,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-538.743,0.995307,0.212901,5,31,0,543.826,-0.593474,-1.80136,-0.827401,-1.0001,3.97661,0.521551,-0.633536,5.25001,2.9797,0.000159814,0.000193583,0.000234872,0.000285542,0.000348001,0.000425419,0.000522032,0.000643622,0.000798262,0.000997508,0.00125832,0.00160602,0.00207838,0.00273,0.00363525,0.00488766,0.00659478,0.00886794,0.0118074,0.0154841,0.0199209,0.0250097,0.0305608,0.0363094,0.0419321,0.0470732,0.0513778,0.0545324,0.0563147,0.0566397,0.0555733,0.0533013,0.0500807,0.0461964,0.0419287,0.0375284,0.0331998,0.0290924,0.0253013,0.0218752,0.0188275,0.016148,0.0138124,0.0117897,0.0100462,0.00854889,0.00726652,0.00617064,0.00523574,0.00443927,0.00376145,0.00318506,0.00269519,0.0022789,0.00192501,0.0016239,0.00136732,0.00114827,0.000960871,0.000800258,0.000662436,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.6421,-10.043,-23.6266,-13.3171,-8.33588,-19.5799,-22.131,-10.4641,-13.2627,-31.717,-33.6166,-17.8113,-29.0896,-20.1376,-43.0657,-52.0209,-35.1815,-44.9118,-18.4491,-25.3743,-32.8266,-17.0261,-21.2237,-14.7076,-15.2896,-15.8898,-16.5038,-17.1287,-0,-13.8017,-4.76195,-9.84896,-0,-0,-0,-5.58295,-5.74928,-0,-0,-6.25283,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,4,1,1,2,8,4,13,9,11,12,12,15,11,6,12,14,9,8,5,4,9,3,1,6,1,4,3,0,0,1,1,2,1,0,2,0,0,0,0,0,1,0,0
-538.297,0.998018,0.212901,4,15,0,541.699,-0.560427,-1.8942,-0.694854,-0.965685,4.06743,0.802702,-0.630829,5.22989,2.85751,0.000106862,0.000130246,0.000159009,0.000194521,0.000238563,0.000293496,0.0003625,0.000449956,0.000562066,0.00070789,0.000901149,0.00116335,0.00152864,0.0020498,0.0028029,0.0038886,0.00542863,0.00755659,0.0104023,0.0140696,0.0186101,0.0239521,0.02992,0.0362351,0.0425358,0.0484087,0.0534279,0.0572,0.0594213,0.0599483,0.0588352,0.0562938,0.0526286,0.0481853,0.0433112,0.038321,0.03347,0.0289383,0.0248301,0.0211864,0.0180041,0.0152544,0.0128961,0.0108839,0.00917362,0.00772392,0.0064977,0.00546221,0.0045889,0.00385311,0.00323367,0.00271249,0.0022741,0.00190532,0.00159492,0.0013333,0.00111238,0.000925361,0.000766647,0.000631659,0.000516713,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.0994,-10.4321,-24.4267,-13.6972,-8.52747,-19.9203,-22.3902,-10.5277,-13.2709,-31.5741,-33.3088,-17.5765,-28.612,-19.7617,-42.2141,-50.9943,-34.5261,-44.1674,-18.1962,-25.1148,-32.6176,-16.9855,-21.2555,-14.7828,-15.4176,-16.0686,-16.7315,-17.4033,-0,-14.0743,-4.86343,-10.0726,-0,-0,-0,-5.73414,-5.90989,-0,-0,-6.44093,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,2,1,2,5,5,6,9,7,9,13,17,11,6,14,17,8,8,12,6,5,3,9,2,1,2,3,1,1,1,1,1,3,0,1,0,0,0,2,0,1,0,0,0,1
-543.871,0.973973,0.212901,4,15,0,546.151,-0.936483,-1.30607,-1.35062,-0.670487,4.73806,0.584505,-0.361339,5.27622,2.58755,4.76227e-05,6.17946e-05,8.02999e-05,0.000104546,0.000136456,0.000178704,0.000235079,0.000311082,0.000414876,0.000558748,0.000761038,0.00104826,0.001457,0.00203566,0.00284582,0.00396318,0.00547753,0.00749152,0.0101179,0.0134755,0.0176868,0.0225842,0.0279871,0.033691,0.0394652,0.0450529,0.0501724,0.0545203,0.0577815,0.0596582,0.0599349,0.0585743,0.0557676,0.0518658,0.0472563,0.0422849,0.0372297,0.0323022,0.0276554,0.0233929,0.0195761,0.0162305,0.013352,0.0109142,0.00887602,0.00718934,0.00580449,0.00467435,0.00375636,0.00301338,0.00241378,0.00193099,0.00154297,0.00123159,0.000982023,0.000782183,0.000622278,0.000494381,0.000392095,0.000310261,0.000244728,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11.0614,-10.4142,-24.4699,-13.7804,-8.61376,-20.1747,-22.743,-10.728,-13.5621,-32.3234,-34.0991,-17.9537,-29.0918,-19.9576,-42.2869,-50.6609,-34.0495,-43.2984,-17.7546,-24.4174,-31.6333,-16.4532,-20.5957,-14.3517,-15.0213,-15.7338,-16.4835,-17.2644,-0,-14.1732,-4.93516,-10.2982,-0,-0,-0,-6.02656,-6.24972,-0,-0,-6.9259,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,1,2,3,2,5,3,8,6,13,11,7,8,15,12,17,10,8,5,8,6,4,6,7,3,3,7,0,2,4,2,0,0,0,3,1,1,0,1,0,0,0,0,0,1,0
-538.023,0.999759,0.212901,4,15,0,545.618,-1.14718,-2.74497,-0.541346,-0.775982,4.15886,0.665463,-0.606289,5.13282,2.48248,0.000111425,0.000140614,0.000177569,0.000224427,0.00028396,0.000359786,0.000456675,0.000580997,0.000741381,0.000949734,0.00122282,0.00158461,0.00206954,0.002726,0.00361927,0.00483252,0.00646472,0.00862353,0.0114118,0.0149073,0.0191385,0.0240566,0.0295245,0.0353164,0.0411324,0.0466238,0.0514271,0.0552027,0.0576784,0.0586908,0.0582111,0.0563405,0.0532829,0.0493102,0.0447279,0.0398412,0.0349253,0.0302018,0.0258262,0.0218874,0.0184191,0.0154151,0.0128449,0.0106662,0.00883194,0.00729595,0.00601513,0.00495068,0.0040685,0.00333907,0.00273711,0.00224119,0.00183319,0.00149792,0.00122267,0.00099685,0.000811661,0.000659834,0.000535376,0.000433368,0.000349789,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.6648,-10.0828,-23.7663,-13.4193,-8.41181,-19.7803,-22.3641,-10.5676,-13.3736,-31.9096,-33.7221,-17.8055,-28.9674,-19.9701,-42.5321,-51.1862,-34.5161,-43.9821,-18.0577,-24.8573,-32.2285,-16.7727,-20.9991,-14.6255,-15.2874,-15.9775,-16.6896,-17.4192,-0,-14.1881,-4.92044,-10.227,-0,-0,-0,-5.90085,-6.10075,-0,-0,-6.70672,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,2,2,3,6,3,3,17,8,13,13,7,11,9,15,11,13,6,12,7,5,7,2,1,3,2,2,2,4,2,1,2,0,1,0,0,0,1,0,0,0,0,0,0
