# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 06:56:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2532e36b.json
# init = /tmp/RtmpC8O1hA/init-b41c2191ed419_4.json
# random
#   seed = 3952002
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0381_rep039_accurate_weak/prior_sensitivity_obspair_FAST-202605310756-4-4dc3c8.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0381_rep039_accurate_weak/prior_sensitivity_obspair_FAST-profile-202605310756-4-3fa93f.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0514985
# Diagonal elements of inverse mass matrix:
# 0.102062, 0.0657141, 0.0958451, 0.0717503, 0.0929908, 0.168672, 0.270238
-522.559,0.999918,0.0514985,6,63,0,525.143,-1.62385,-1.38101,-1.73317,-0.325925,4.48293,0.287097,-1.44832,5.25006,2.28141,1.63939e-05,2.3576e-05,3.39383e-05,4.89222e-05,7.06536e-05,0.000102292,0.000148567,0.000216581,0.000316943,0.000465208,0.000683425,0.00100154,0.00145842,0.00210241,0.00299133,0.00419158,0.00577635,0.00782236,0.0104052,0.0135933,0.017441,0.0218961,0.0268641,0.0322058,0.0377362,0.0432282,0.0484174,0.0530119,0.0567071,0.0592113,0.0602882,0.0598127,0.0578213,0.0545159,0.0502108,0.0452564,0.0399818,0.0346662,0.0295302,0.0247366,0.020395,0.0165672,0.0132743,0.0105044,0.00822099,0.00637212,0.00489814,0.00373848,0.00283617,0.00214058,0.00160845,0.00120397,0.000898179,0.000668062,0.000495575,0.000366731,0.00027078,0.000199516,0.000146715,0.000107678,7.88741e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.16467,-0,-5.47468,-0,-0,-22.8272,-25.7891,-12.1468,-11.4643,-18.0848,-34.3561,-29.4942,-12.5651,-36.3347,-41.1213,-31.5684,-36.7463,-39.3207,-19.7158,-25.6536,-34.9112,-29.9153,-37.1449,-16.0967,-23.5339,-24.6564,-22.1968,-11.6774,-4.10033,-8.64385,-4.55596,-9.60213,-5.05582,-0,-11.1782,-0,-0,-6.43249,-0,-7.01514,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,3,5,3,7,8,6,7,10,10,11,12,12,13,15,8,8,4,9,3,7,4,8,9,0,2,3,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0
-524.185,0.995648,0.0514985,6,63,0,525.856,-1.97579,-1.47538,-2.31261,-0.377988,4.34496,1.13891,-1.51803,5.06056,2.28386,2.48346e-05,3.50247e-05,4.94203e-05,6.97812e-05,9.86281e-05,0.000139596,0.000197975,0.000281569,0.000402069,0.000577214,0.000833443,0.00120709,0.0017433,0.00249504,0.00352267,0.0048935,0.0066805,0.00895945,0.0118035,0.0152738,0.0194079,0.0241093,0.029237,0.0346154,0.0400444,0.0453047,0.0501561,0.0543355,0.057552,0.0594922,0.0598681,0.0585836,0.0558558,0.0520483,0.0475159,0.0425632,0.0374431,0.032363,0.0274925,0.022968,0.0188918,0.0153268,0.0122907,0.00976187,0.00769206,0.00602094,0.00468624,0.00362954,0.00279902,0.00215027,0.00164622,0.0012564,0.000956162,0.000725775,0.00054957,0.000415208,0.000313032,0.000235525,0.000176864,0.000132559,9.91604e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.99345,-0,-5.31985,-0,-0,-22.1968,-25.0897,-11.8262,-11.1755,-17.6616,-33.6346,-28.9599,-12.3774,-35.9114,-40.7761,-31.4057,-36.6848,-39.4186,-19.8611,-25.9648,-35.467,-30.4669,-37.8812,-16.4247,-24.0152,-25.1569,-22.6419,-11.9071,-4.17815,-8.79782,-4.62927,-9.73513,-5.11251,-0,-11.2373,-0,-0,-6.40928,-0,-6.95258,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,1,6,1,3,7,9,6,13,8,20,8,12,14,9,11,12,11,7,5,5,4,3,6,4,4,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
-522.802,0.999776,0.0514985,6,63,0,525.641,-2.26268,-1.66604,-1.55862,0.153739,3.28369,-0.402063,-1.25574,4.90689,2.06748,3.95618e-06,6.98719e-06,1.22781e-05,2.14336e-05,3.71017e-05,6.35496e-05,0.000107464,0.000178992,0.000293007,0.000470498,0.000739961,0.00113855,0.00171275,0.00251825,0.00361886,0.00508405,0.00698531,0.00939115,0.0123612,0.01594,0.0201503,0.0249211,0.0301332,0.0356168,0.0411541,0.046486,0.0513255,0.0553775,0.0583665,0.0600683,0.0603439,0.0591653,0.0566254,0.0529264,0.048347,0.0432007,0.0377945,0.0323992,0.0272331,0.0224559,0.0181719,0.0144353,0.0112596,0.00862577,0.00649218,0.00480249,0.00349325,0.00249993,0.00176135,0.00122265,0.000836852,0.000565265,0.000377131,0.000248744,0.000162335,0.000104914,6.72004e-05,4.26927e-05,2.69207e-05,1.68599e-05,1.04934e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.98419,-0,-5.28165,-0,-0,-21.9659,-24.8335,-11.7136,-11.0761,-17.5106,-33.3494,-28.7139,-12.2744,-35.6348,-40.5101,-31.2511,-36.5595,-39.3077,-19.7919,-25.8417,-35.2662,-30.2935,-37.7028,-16.378,-24.0073,-25.2233,-22.7772,-12.0236,-4.23808,-8.97307,-4.753,-10.0743,-5.33862,-0,-11.983,-0,-0,-7.08586,-0,-7.88292,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,7,5,4,5,6,9,12,7,8,14,13,15,15,8,12,12,6,9,7,6,4,1,2,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
-525.129,0.985795,0.0514985,6,63,0,528.898,-2.15187,-2.49689,-0.0100806,-0.490352,3.14936,-0.356378,-0.815267,5.15954,2.42332,5.37414e-05,7.30087e-05,9.9188e-05,0.000134761,0.000183101,0.000248791,0.000338059,0.000459353,0.000624118,0.000847812,0.00115121,0.001562,0.00211667,0.00286232,0.00385817,0.00517572,0.00689654,0.00910644,0.0118852,0.0152915,0.0193456,0.0240084,0.0291675,0.0346306,0.0401316,0.0453509,0.0499509,0.053619,0.0561097,0.0572761,0.057084,0.0556085,0.0530155,0.0495333,0.0454205,0.0409366,0.0363178,0.0317617,0.0274199,0.0233976,0.0197581,0.0165297,0.013714,0.0112933,0.00923815,0.00751197,0.00607566,0.0048903,0.00391909,0.00312837,0.00248824,0.00197261,0.00155914,0.00122893,0.000966171,0.000757776,0.00059299,0.000463042,0.000360819,0.00028059,0.000217755,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.85612,-0,-5.26378,-0,-0,-22.1623,-25.0828,-11.8359,-11.1881,-17.6735,-33.6302,-28.9403,-12.3733,-35.9606,-40.9619,-31.6849,-37.1783,-40.0853,-20.2259,-26.4345,-36.0613,-30.9179,-38.3488,-16.5772,-24.1465,-25.1754,-22.5307,-11.7726,-4.10259,-8.57868,-4.48354,-9.36883,-4.89126,-0,-10.641,-0,-0,-5.99618,-0,-6.46362,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,1,6,0,2,4,5,8,10,7,10,10,15,8,15,15,11,8,11,9,10,8,3,5,2,1,2,4,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-527.757,0.999844,0.0514985,6,63,0,530.136,-2.59745,-2.78846,-0.138745,-0.142084,3.729,-0.579488,0.674104,5.19043,2.18928,1.21484e-05,1.86533e-05,2.85983e-05,4.37615e-05,6.68003e-05,0.000101652,0.000154087,0.000232444,0.000348578,0.000519004,0.000766191,0.00111987,0.00161821,0.00230863,0.00324826,0.00450399,0.00615165,0.00827303,0.0109492,0.0142538,0.0182907,0.0229734,0.0282023,0.033786,0.0394552,0.0448914,0.0497616,0.0537565,0.0566264,0.0582105,0.058452,0.0573962,0.0551734,0.0519743,0.0480238,0.0435583,0.0388074,0.0339807,0.0292586,0.0247857,0.0206688,0.0169769,0.013744,0.0109745,0.00864962,0.00673425,0.00518324,0.00394707,0.00297607,0.00222346,0.00164719,0.00121082,0.000883711,0.000640752,0.0004618,0.000330991,0.000236034,0.000167535,0.000118404,8.33487e-05,5.84548e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.0711,-0,-5.40279,-0,-0,-22.5725,-25.5044,-12.0041,-11.3203,-17.8418,-33.8771,-29.0933,-12.414,-36.0061,-40.9261,-31.5841,-36.968,-39.7537,-20.0044,-26.0755,-35.4841,-30.3606,-37.6039,-16.2457,-23.6737,-24.7211,-22.1849,-11.6374,-4.0759,-8.57431,-4.51218,-9.50048,-5.00055,-0,-11.0696,-0,-0,-6.40868,-0,-7.03138,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,3,4,7,6,6,10,5,11,10,6,13,14,11,11,15,6,15,8,9,2,4,5,2,2,2,0,2,0,0,2,0,0,0,1,0,1,0,0,0,0,0
-525.458,0.99925,0.0514985,6,63,0,530.463,-1.70032,-1.32015,-2.06923,-0.12211,4.8012,0.943834,-2.30302,4.97351,2.01929,5.51901e-06,8.60115e-06,1.34133e-05,2.09392e-05,3.27398e-05,5.13175e-05,8.07412e-05,0.000127735,0.000203486,0.000325998,0.000521763,0.000826066,0.001283,0.00194575,0.00287688,0.00414824,0.00584,0.00803798,0.0108283,0.0142885,0.0184755,0.0233098,0.0286644,0.034371,0.0402279,0.0460061,0.0514499,0.0562765,0.0601741,0.0628037,0.0638172,0.0629356,0.0601376,0.0557821,0.0504087,0.0445119,0.0384755,0.0325812,0.0270296,0.0219604,0.017465,0.0135956,0.0103676,0.00775937,0.00571495,0.00415435,0.00298827,0.00213131,0.00150954,0.00106291,0.000744672,0.000519433,0.000360918,0.000249907,0.000172498,0.000118727,8.15024e-05,5.58131e-05,3.81341e-05,2.5999e-05,1.76888e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.24211,-0,-5.48507,-0,-0,-22.6279,-25.4898,-11.9739,-11.2766,-17.7605,-33.7054,-28.9187,-12.3159,-35.6058,-40.2847,-30.9156,-35.9806,-38.5243,-19.3595,-25.3001,-34.6356,-29.8759,-37.344,-16.2887,-23.9681,-25.2757,-22.9111,-12.1427,-4.29801,-9.13813,-4.85885,-10.3293,-5.4836,-0,-12.302,-0,-0,-7.20257,-0,-7.92686,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,2,2,6,3,5,9,13,12,9,9,12,9,10,15,15,13,4,10,5,7,6,3,5,5,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
