# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 07:15:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c217a3d81e.json
# init = /tmp/RtmpC8O1hA/init-b41c27e3fa0bb_3.json
# random
#   seed = 3952004
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0383_rep039_accurate_strong/prior_sensitivity_obspair_FAST-202605310815-3-529614.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0383_rep039_accurate_strong/prior_sensitivity_obspair_FAST-profile-202605310815-3-240289.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.147558
# Diagonal elements of inverse mass matrix:
# 0.0600965, 0.0704726, 0.00619868, 0.00399982, 0.0105271, 0.00624427, 0.00979622
-528.061,0.955295,0.147558,5,31,0,531.995,-2.89969,-2.7537,-0.987512,-0.413314,3.68705,0.278236,-0.879847,5.33468,2.29527,3.06987e-05,4.27477e-05,5.95344e-05,8.29288e-05,0.000115546,0.000161048,0.000224568,0.000313317,0.000437429,0.000611126,0.000854255,0.00119416,0.00166764,0.00232267,0.00321921,0.00442857,0.0060305,0.00810709,0.0107329,0.0139618,0.0178123,0.0222483,0.0271738,0.0324308,0.0378052,0.0430397,0.0478508,0.0519515,0.0550792,0.0570301,0.0576888,0.0570425,0.0551738,0.0522419,0.0484612,0.044078,0.0393476,0.0345125,0.0297829,0.0253232,0.0212468,0.0176173,0.0144568,0.0117556,0.00948315,0.00759644,0.00604753,0.00478805,0.00377233,0.00295901,0.00231182,0.00179967,0.00139635,0.00108014,0.000833192,0.000641027,0.000491977,0.000376712,0.000287815,0.000219426,0.000166937,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.06504,-0,-5.41968,-0,-0,-22.6722,-25.6286,-12.0836,-11.4165,-18.0275,-34.2865,-29.4778,-12.5825,-36.476,-41.4042,-31.8888,-37.2343,-39.9377,-20.0477,-26.0754,-35.4224,-30.2699,-37.4615,-16.1766,-23.565,-24.5967,-22.0562,-11.5547,-4.03888,-8.47318,-4.44342,-9.31648,-4.88008,-0,-10.6833,-0,-0,-6.06972,-0,-6.57389,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,2,4,5,7,7,10,14,9,8,8,19,8,13,10,14,9,8,5,5,4,8,3,2,1,2,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
-528.716,0.993397,0.147558,4,15,0,533.721,-2.88702,-1.76015,-0.973173,-0.289206,3.79875,0.291893,-1.17213,5.19884,2.10094,8.13884e-06,1.18437e-05,1.72406e-05,2.51084e-05,3.65907e-05,5.33742e-05,7.79587e-05,0.000114075,0.000167337,0.00024625,0.00036377,0.000539554,0.000802974,0.00119667,0.0017802,0.00263312,0.00385636,0.0055705,0.00790881,0.0110035,0.0149648,0.0198387,0.0255882,0.0320711,0.0390302,0.0460976,0.0528143,0.0586667,0.0631459,0.0658341,0.0664976,0.0651361,0.0619609,0.0573294,0.0516741,0.0454438,0.0390561,0.0328623,0.0271245,0.022009,0.0175932,0.0138832,0.0108354,0.00837755,0.0064255,0.00489449,0.00370613,0.00279174,0.00209333,0.00156324,0.00116312,0.00086255,0.000637724,0.000470197,0.000345793,0.000253701,0.00018572,0.000135668,9.89033e-05,7.19573e-05,5.22476e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.72821,-0,-5.93959,-0,-0,-24.1989,-27.0572,-12.6062,-11.7604,-18.3281,-34.398,-29.1908,-12.308,-35.2917,-39.7024,-30.3854,-35.368,-37.9483,-19.1189,-25.0313,-34.3073,-29.628,-37.0954,-16.2138,-23.908,-25.2512,-22.8978,-12.1207,-4.27708,-9.04988,-4.7822,-10.095,-5.31965,-0,-11.7622,-0,-0,-6.75665,-0,-7.35761,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,6,4,2,5,9,10,5,8,12,17,14,13,13,9,11,7,12,5,4,10,0,4,4,2,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
-526.003,0.998454,0.147558,4,31,0,531.493,-1.08385,-2.36874,-1.27453,-0.419971,3.83462,0.00923691,-1.02178,4.67909,2.2742,6.15545e-05,8.55619e-05,0.000118961,0.000165447,0.000230175,0.000320341,0.000445962,0.000620922,0.000864273,0.00120173,0.00166707,0.00230311,0.00316147,0.00430103,0.00578444,0.00767302,0.0100203,0.0128644,0.0162209,0.0200754,0.02438,0.029016,0.0338241,0.0386113,0.0431609,0.0472473,0.0506516,0.053181,0.054687,0.0550846,0.054364,0.0525923,0.0499021,0.046472,0.0425045,0.0382067,0.0337754,0.0293853,0.0251811,0.0212728,0.0177342,0.0146049,0.0118953,0.00959243,0.00766709,0.0060803,0.00478871,0.00374863,0.0029188,0.002262,0.0017457,0.00134227,0.00102866,0.000785988,0.000598944,0.000455287,0.000345298,0.00026132,0.000197362,0.000148763,0.000111909,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.4489,-0,-4.87004,-0,-0,-20.6073,-23.4496,-11.142,-10.6197,-16.9329,-32.5421,-28.2854,-12.2094,-35.7934,-41.0768,-31.9674,-37.6855,-40.7687,-20.6163,-26.9792,-36.8269,-31.5815,-39.1769,-16.9401,-24.6908,-25.7716,-23.102,-12.0968,-4.2264,-8.86322,-4.64678,-9.74164,-5.1027,-0,-11.1727,-0,-0,-6.3506,-0,-6.87949,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,0,1,2,3,3,3,6,1,8,6,8,6,14,10,10,15,13,14,12,5,8,10,6,8,3,7,3,0,2,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
-524.267,0.999693,0.147558,4,15,0,528.298,-2.08509,-2.61499,-1.24724,-0.392925,3.70186,0.171454,-0.911033,5.08211,2.28359,3.80937e-05,5.34116e-05,7.49009e-05,0.000105058,0.000147396,0.000206863,0.000290428,0.000407896,0.000573009,0.00080485,0.00112949,0.00158162,0.00220566,0.00305598,0.00419562,0.00569327,0.00761807,0.0100322,0.0129817,0.0164861,0.020529,0.0250372,0.0298876,0.0349101,0.0398957,0.0446081,0.0487996,0.0522295,0.0546876,0.0560204,0.0561541,0.0551054,0.052973,0.0499185,0.0461429,0.0418674,0.0373146,0.0326936,0.0281862,0.0239372,0.0200495,0.0165841,0.0135645,0.0109847,0.00881781,0.00702383,0.0055569,0.00437004,0.00341846,0.00266148,0.00206337,0.00159359,0.00122653,0.000941057,0.000719948,0.000549327,0.000418105,0.000317491,0.000240558,0.000181881,0.000137233,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.79066,-0,-5.16847,-0,-0,-21.7211,-24.6314,-11.6577,-11.0622,-17.5516,-33.5498,-28.9934,-12.4394,-36.2404,-41.3295,-31.9673,-37.4665,-40.3152,-20.2896,-26.4418,-35.9684,-30.7601,-38.079,-16.4418,-23.944,-24.9825,-22.3939,-11.7286,-4.09931,-8.6006,-4.51125,-9.46196,-4.95845,-0,-10.866,-0,-0,-6.18341,-0,-6.70356,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,3,6,4,1,7,8,11,10,13,16,11,8,13,8,10,12,8,4,7,5,5,4,3,4,5,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-527.871,0.992894,0.147558,4,15,0,528.638,-1.36438,-3.2208,-1.19722,-0.533255,3.51486,0.191675,-0.939963,4.72548,2.36598,0.000102707,0.000137772,0.000184832,0.000248004,0.000332829,0.000446767,0.000599859,0.000805603,0.00108208,0.00145331,0.00195071,0.00261429,0.00349303,0.0046437,0.00612774,0.00800618,0.0103327,0.013145,0.0164565,0.0202474,0.0244597,0.0289791,0.0336491,0.0382796,0.0426581,0.0465649,0.0497893,0.0521491,0.0535103,0.0538039,0.0530354,0.0512794,0.0486668,0.0453664,0.0415687,0.0374692,0.0332547,0.0290901,0.0251103,0.0214142,0.018065,0.0150936,0.0125044,0.0102827,0.00840086,0.00682436,0.00551597,0.00443871,0.00355782,0.00284175,0.00226265,0.00179643,0.00142257,0.00112384,0.000885892,0.000696889,0.000547146,0.00042878,0.000335414,0.000261908,0.000204141,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.37224,-0,-4.82754,-0,-0,-20.5352,-23.3984,-11.1322,-10.6235,-16.9588,-32.6284,-28.3908,-12.2676,-35.9995,-41.3511,-32.2067,-37.9913,-41.1151,-20.7933,-27.2048,-37.1158,-31.8041,-39.4108,-17.0178,-24.7615,-25.7913,-23.0622,-12.0413,-4.19349,-8.76334,-4.57729,-9.55884,-4.98726,-0,-10.8348,-0,-0,-6.09122,-0,-6.55529,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,3,6,2,1,6,6,9,10,6,18,5,4,17,14,7,5,12,9,6,4,10,7,4,0,5,3,1,3,5,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
-526.666,0.993551,0.147558,5,31,0,530.903,-3.43716,-1.89012,-1.47778,-0.301367,3.35729,-0.120366,-1.13702,5.38497,2.35271,2.19071e-05,3.17163e-05,4.59172e-05,6.64731e-05,9.62186e-05,0.000139237,0.000201385,0.00029101,0.000419883,0.000604354,0.000866664,0.00123625,0.00175077,0.00245664,0.00340855,0.00466795,0.00630005,0.00836932,0.0109337,0.0140377,0.0177052,0.0219009,0.0265457,0.0315133,0.0366293,0.0416748,0.0463965,0.0505233,0.0537912,0.0559766,0.0569303,0.0566027,0.0550497,0.0524177,0.048915,0.0447809,0.0402586,0.0355753,0.0309285,0.0264779,0.0223421,0.018599,0.0152898,0.0124247,0.00998977,0.00795462,0.00627859,0.00491635,0.003822,0.00295193,0.0022665,0.00173094,0.00131551,0.000995366,0.000750084,0.000563145,0.000421346,0.000314247,0.000233673,0.000173269,0.000128134,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.00896,-0,-5.36704,-0,-0,-22.5795,-25.5961,-12.1017,-11.4637,-18.1444,-34.5734,-29.7622,-12.7114,-36.8464,-41.7945,-32.1491,-37.4767,-40.123,-20.1019,-26.0957,-35.3821,-30.1767,-37.2717,-16.0622,-23.3527,-24.3325,-21.7887,-11.4039,-3.98465,-8.36114,-4.38807,-9.21239,-4.834,-0,-10.6304,-0,-0,-6.08952,-0,-6.63353,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,1,1,2,3,3,14,7,8,11,7,11,9,16,12,8,10,7,7,11,11,6,3,2,5,4,3,3,2,2,0,2,2,0,0,1,0,0,0,0,0,0,0,0
