# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 07:20:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2284f9078.json
# init = /tmp/RtmpC8O1hA/init-b41c24905eeba_2.json
# random
#   seed = 3952005
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0384_rep039_mildly_wrong_weak/prior_sensitivity_obspair_FAST-202605310820-2-6fe280.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0384_rep039_mildly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605310820-2-83cab3.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0601289
# Diagonal elements of inverse mass matrix:
# 0.089032, 0.101374, 0.159758, 0.025352, 0.0922741, 0.222191, 0.15958
-526.931,0.97852,0.0601289,5,31,0,528.59,-1.07714,-2.72401,-0.0734094,-0.880913,3.62225,0.136112,-1.75358,4.96021,2.67011,0.000153664,0.000189887,0.000234893,0.000290941,0.000360939,0.000448666,0.000559087,0.000698813,0.000876772,0.00110521,0.0014012,0.00178887,0.00230263,0.00299138,0.00392342,0.00519018,0.00690639,0.00920276,0.0122084,0.0160222,0.020678,0.0261089,0.0321249,0.0384121,0.0445572,0.0500986,0.0545939,0.0576899,0.0591763,0.0590117,0.0573169,0.0543417,0.0504137,0.0458836,0.0410779,0.0362678,0.0316542,0.0273693,0.0234858,0.0200314,0.0170025,0.0143756,0.0121165,0.0101866,0.00854613,0.0071574,0.00598554,0.00499924,0.00417089,0.0034764,0.00289498,0.00240881,0.00200265,0.00166359,0.00138063,0.00114451,0.0009474,0.000782718,0.000644995,0.000529716,0.000433192,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.81202,-0,-5.26099,-0,-0,-22.0282,-24.8027,-11.636,-10.9364,-17.1906,-32.5938,-27.9988,-11.975,-34.894,-39.9374,-31.0996,-36.7903,-40.0282,-20.3872,-26.8874,-36.9798,-31.9228,-39.8019,-17.2644,-25.1883,-26.2595,-23.4627,-12.2232,-4.24222,-8.82637,-4.58668,-9.52455,-4.93961,-0,-10.5969,-0,-0,-5.84478,-0,-6.21328,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,5,2,4,9,4,8,8,8,12,13,9,8,13,10,6,7,7,9,8,6,9,6,3,2,6,2,4,1,2,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0
-525.002,0.989269,0.0601289,6,63,0,531.484,-2.49119,-1.43795,-2.41734,0.128522,3.80514,0.158794,-0.605986,4.97227,2.01281,2.71221e-06,4.78463e-06,8.43435e-06,1.48484e-05,2.60795e-05,4.56233e-05,7.92872e-05,0.00013637,0.000231039,0.000383651,0.00062177,0.0009808,0.00150429,0.00224397,0.00325935,0.00461672,0.00638733,0.00864453,0.0114602,0.0149012,0.019027,0.0237423,0.0289207,0.0344046,0.0400052,0.0455042,0.0506539,0.0551795,0.0587848,0.0611692,0.0620661,0.0613052,0.0588868,0.0550207,0.0500853,0.044522,0.0387335,0.0330323,0.0276366,0.0226868,0.0182658,0.014415,0.0111434,0.00843442,0.00625021,0.00453623,0.00322713,0.00225316,0.00154623,0.00104467,0.000696041,0.000458074,0.000298208,0.000192289,0.000122953,7.80372e-05,4.9205e-05,3.08442e-05,1.92337e-05,1.19371e-05,7.37701e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.09951,-0,-5.37807,-0,-0,-22.3444,-25.2379,-11.8857,-11.2215,-17.716,-33.6957,-28.9687,-12.3598,-35.7929,-40.5603,-31.1726,-36.3234,-38.9138,-19.5432,-25.4892,-34.8006,-29.9403,-37.3413,-16.2553,-23.8719,-25.1203,-22.7158,-12.0082,-4.23949,-8.99382,-4.77543,-10.1503,-5.39566,-0,-12.1908,-0,-0,-7.2701,-0,-8.11772,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,1,3,1,3,2,4,10,8,7,6,4,11,18,11,14,10,14,10,9,12,6,3,6,6,3,5,4,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
-526.779,0.981131,0.0601289,6,63,0,530.29,-1.70445,-2.95173,-0.899125,0.133121,5.26812,0.168483,-2.56245,5.26865,1.77082,1.67814e-06,2.96926e-06,5.25128e-06,9.27918e-06,1.63715e-05,2.88073e-05,5.0459e-05,8.77388e-05,0.000150892,0.000255596,0.000424745,0.000690263,0.00109472,0.00169238,0.00254916,0.00374082,0.00534856,0.00745169,0.0101173,0.0133883,0.0172708,0.0217233,0.0266525,0.0319138,0.0373179,0.0426403,0.047635,0.0520497,0.055643,0.058203,0.0595673,0.0596415,0.0584136,0.0559597,0.0524356,0.0480564,0.0430711,0.0377389,0.0323102,0.0270112,0.0220329,0.0175229,0.0135799,0.0102527,0.00754247,0.00541075,0.00378995,0.00259663,0.00174379,0.00115042,0.000747244,0.000478875,0.000303357,0.000190271,0.00011833,7.30522e-05,4.48148e-05,2.73413e-05,1.66007e-05,1.00367e-05,6.0453e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.38162,-0,-5.58845,-0,-0,-22.9675,-25.8803,-12.1762,-11.4881,-18.1244,-34.4472,-29.5945,-12.6198,-36.5302,-41.3778,-31.7768,-36.9696,-39.4891,-19.7358,-25.5619,-34.5975,-29.4817,-36.4246,-15.7245,-22.9394,-24.0266,-21.669,-11.4457,-4.04425,-8.59832,-4.58022,-9.77441,-5.21937,-0,-11.9071,-0,-0,-7.19912,-0,-8.1006,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,4,2,5,5,8,10,6,3,9,17,15,13,6,12,10,12,8,7,5,4,9,3,6,6,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-529.215,0.993695,0.0601289,6,63,0,535.116,0.620524,-0.180095,-1.97558,-0.301947,4.31519,-0.721155,-1.10011,4.87353,2.93578,7.61697e-06,1.08069e-05,1.53308e-05,2.17702e-05,3.09893e-05,4.42935e-05,6.3686e-05,9.22833e-05,0.000134987,0.000199565,0.000298387,0.000451177,0.000689341,0.00106271,0.00164994,0.00257435,0.00402797,0.00630753,0.00986829,0.0154042,0.0239675,0.0321299,0.039008,0.0445463,0.0489082,0.0522659,0.0547381,0.0563829,0.0572111,0.0572059,0.0563449,0.0546206,0.0520591,0.0487324,0.0447626,0.0403178,0.0355964,0.0308072,0.0261461,0.0217764,0.0178169,0.0143376,0.0113632,0.00888215,0.00685707,0.00523546,0.00395846,0.00296739,0.00220789,0.00163219,0.00119989,0.00087788,0.000639665,0.000464463,0.000336229,0.000242742,0.000174792,0.000125495,8.97336e-05,6.3714e-05,4.46147e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.84693,-0,-5.96216,-0,-0,-23.0921,-25.0387,-11.1932,-10.3139,-16.2199,-31.1123,-27.1603,-11.8056,-34.8623,-40.2583,-31.4711,-37.1943,-40.2677,-20.3514,-26.5984,-36.2569,-31.0638,-38.5316,-16.6776,-24.36,-25.5084,-22.9616,-12.0828,-4.24487,-8.95475,-4.72371,-9.96495,-5.2523,-0,-11.6401,-0,-0,-6.72553,-0,-7.35457,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,4,1,9,12,10,14,12,8,14,4,13,18,13,9,15,9,3,6,6,7,2,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-530.405,0.999417,0.0601289,6,127,0,532.864,0.8126,-0.182491,-1.3277,-0.358912,3.73793,-1.0862,-1.2682,4.7861,2.96969,2.02286e-05,2.76696e-05,3.78214e-05,5.1714e-05,7.08208e-05,9.72836e-05,0.000134266,0.000186513,0.000261219,0.000369403,0.000528016,0.000763138,0.00111471,0.00164325,0.00243909,0.00363415,0.00541611,0.00804369,0.0118608,0.0173065,0.0249164,0.0325883,0.039455,0.0452168,0.0498131,0.0532679,0.055625,0.056926,0.0572112,0.0565276,0.0549393,0.0525347,0.0494295,0.0457644,0.0416979,0.0373962,0.0330216,0.0287212,0.0246191,0.0208102,0.0173587,0.0142998,0.011643,0.00937729,0.00747713,0.00590741,0.00462823,0.00359856,0.00277884,0.00213267,0.00162779,0.00123637,0.000934996,0.000704355,0.000528762,0.000395659,0.000295114,0.000219338,0.000162274,0.000119238,8.66241e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.41108,-0,-5.61738,-0,-0,-22.1726,-24.34,-11.0767,-10.2714,-16.163,-30.9629,-26.9953,-11.7297,-34.6695,-40.124,-31.4711,-37.3493,-40.6214,-20.624,-27.0649,-37.011,-31.773,-39.4342,-17.053,-24.8508,-25.9296,-23.2339,-12.161,-4.24751,-8.90611,-4.66946,-9.79181,-5.13155,-0,-11.2544,-0,-0,-6.42053,-0,-6.97497,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,4,3,6,5,5,9,9,6,8,13,14,21,10,7,10,7,14,6,1,9,5,5,4,4,2,4,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0
-526.08,0.999286,0.0601289,6,63,0,533.571,-2.25694,-3.79682,-0.158609,-0.687673,3.70766,0.60554,-1.15684,5.04497,2.28041,9.87721e-05,0.000127091,0.000163562,0.000210555,0.000271142,0.000349316,0.000450284,0.000580862,0.000750019,0.000969626,0.00125552,0.00162901,0.00211897,0.00276473,0.0036196,0.00475472,0.00626188,0.00825309,0.0108531,0.0141817,0.0183251,0.0233017,0.0290289,0.0353014,0.0417856,0.0480382,0.0535559,0.0578533,0.0605528,0.0614553,0.0605664,0.0580754,0.0543025,0.0496349,0.0444672,0.0391529,0.0339732,0.029124,0.0247212,0.0208155,0.0174116,0.0144851,0.0119957,0.00989567,0.00813621,0.00667025,0.00545451,0.00445026,0.00362354,0.00294497,0.00238947,0.00193577,0.00156597,0.00126512,0.00102076,0.000822576,0.000662044,0.000532152,0.00042715,0.000342334,0.000273874,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.89081,-0,-5.34862,-0,-0,-22.6165,-25.5348,-11.9984,-11.2777,-17.6973,-33.4383,-28.5768,-12.143,-35.1244,-39.8978,-30.8466,-36.2628,-39.2562,-19.9221,-26.2187,-36.0367,-31.13,-38.8834,-16.9109,-24.7533,-25.9007,-23.2323,-12.1519,-4.23463,-8.84642,-4.61566,-9.62286,-5.0101,-0,-10.8296,-0,-0,-6.03668,-0,-6.45925,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,1,0,0,3,7,3,6,6,13,15,11,11,18,8,8,15,9,10,7,9,7,2,3,2,3,3,5,3,2,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0
