# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 08:01:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2339e72e3.json
# init = /tmp/RtmpC8O1hA/init-b41c222b929a0_1.json
# random
#   seed = 3952011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0390_rep039_manuscript_default/prior_sensitivity_obspair_FAST-202605310901-1-6cd2da.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0390_rep039_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605310901-1-4b63c1.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0457149
# Diagonal elements of inverse mass matrix:
# 0.0555609, 0.0774537, 0.147039, 0.101605, 0.0703231, 0.193177, 0.251904
-522.607,0.998526,0.0457149,4,31,0,524.822,-2.10826,-2.36309,-1.02951,-0.340722,3.85015,-0.0123813,-1.50837,5.19784,2.23096,2.59523e-05,3.70538e-05,5.29126e-05,7.55739e-05,0.000107966,0.000154281,0.000220515,0.000315225,0.00045055,0.00064354,0.000917746,0.00130491,0.00184642,0.00259411,0.0036098,0.00496316,0.00672741,0.00897253,0.0117563,0.0151136,0.0190461,0.0235029,0.0283806,0.0335224,0.0387231,0.0437396,0.0483072,0.0521605,0.0550595,0.056818,0.0573291,0.0565799,0.0546491,0.0516912,0.0479138,0.043553,0.0388513,0.0340387,0.0293167,0.0248471,0.0207467,0.017087,0.0138985,0.0111791,0.00890219,0.00702634,0.00550232,0.00427899,0.00330721,0.00254219,0.00194464,0.00148107,0.0011236,0.000849395,0.000640039,0.000480863,0.000360291,0.000269269,0.000200764,0.000149349,0.000110859,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.95451,-0,-5.30571,-0,-0,-22.2168,-25.153,-11.8827,-11.2519,-17.8103,-33.9554,-29.2619,-12.518,-36.3621,-41.348,-31.8927,-37.2827,-40.0252,-20.1047,-26.1614,-35.5496,-30.3835,-37.6053,-16.2401,-23.6618,-24.7072,-22.1701,-11.6261,-4.06944,-8.55194,-4.49371,-9.44292,-4.95809,-0,-10.9081,-0,-0,-6.24268,-0,-6.79121,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,1,2,4,1,4,5,7,13,12,6,7,15,14,9,12,13,8,9,7,9,10,4,3,2,4,5,1,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0
-523.388,0.983135,0.0457149,6,111,0,528.057,-0.900076,-2.38654,-0.923619,-0.344968,4.9292,0.323881,-0.508211,5.04985,2.12618,2.20071e-05,3.14117e-05,4.48669e-05,6.41486e-05,9.18413e-05,0.000131732,0.000189411,0.000273182,0.000395396,0.000574249,0.000835889,0.00121642,0.00176326,0.00253534,0.00360173,0.00503834,0.00692235,0.00932429,0.0122979,0.0158692,0.0200255,0.0246889,0.0297293,0.0349683,0.0401887,0.0451488,0.0495985,0.053297,0.0560302,0.0576286,0.0579875,0.0570853,0.0549928,0.051864,0.0479092,0.0433667,0.0384796,0.0334795,0.0285735,0.0239344,0.0196926,0.0159327,0.0126941,0.00997609,0.00774705,0.0059551,0.00453855,0.00343427,0.00258316,0.00193324,0.00144069,0.00106973,0.000791771,0.000584408,0.000430282,0.000316089,0.000231717,0.000169532,0.000123799,9.02296e-05,6.56327e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.97743,-0,-5.29068,-0,-0,-21.9916,-24.8602,-11.7322,-11.1042,-17.5781,-33.5331,-28.9275,-12.3912,-36.0455,-41.0462,-31.7005,-37.0986,-39.8654,-20.0425,-26.105,-35.5096,-30.3845,-37.6568,-16.2881,-23.7778,-24.8869,-22.3946,-11.7825,-4.13938,-8.73324,-4.60756,-9.72089,-5.12351,-0,-11.3479,-0,-0,-6.54263,-0,-7.14124,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,2,2,3,4,7,4,1,10,9,11,10,11,10,11,8,10,8,16,10,8,6,7,6,4,3,2,1,1,2,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0
-525.165,0.997558,0.0457149,7,127,0,529.693,-2.71436,-1.35054,-2.46701,-0.226986,3.94403,0.652963,0.0524056,4.97175,2.18009,1.34496e-05,2.0045e-05,2.98826e-05,4.45662e-05,6.65035e-05,9.93214e-05,0.000148501,0.000222341,0.000333341,0.000499902,0.000747762,0.00111038,0.00162851,0.00235003,0.00333023,0.00463232,0.00632785,0.00849696,0.0112303,0.0146418,0.0189361,0.0238945,0.0293312,0.0350597,0.0408836,0.0465883,0.0519251,0.0565904,0.0602078,0.0623412,0.0625991,0.0608553,0.057397,0.0527662,0.047496,0.0419891,0.0365176,0.0312605,0.0263374,0.0218328,0.0178059,0.0142929,0.0113033,0.00881945,0.00680042,0.00519016,0.00392639,0.00294779,0.00219847,0.00163012,0.00120248,0.000882952,0.000645651,0.000470357,0.000341484,0.000247143,0.000178347,0.000128354,9.21414e-05,6.59862e-05,4.71448e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.05333,-0,-5.3747,-0,-0,-22.4457,-25.3433,-11.9001,-11.2023,-17.6455,-33.507,-28.7732,-12.2656,-35.4954,-40.2068,-30.9095,-36.0767,-38.7941,-19.5948,-25.7199,-35.3026,-30.4711,-38.0442,-16.5498,-24.2578,-25.4574,-22.9461,-12.0847,-4.24799,-8.96532,-4.7308,-9.98154,-5.26099,-0,-11.6534,-0,-0,-6.72337,-0,-7.34525,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,1,4,5,2,6,7,3,5,9,8,8,16,16,7,7,12,13,7,12,11,6,2,4,4,4,3,0,4,2,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
-524.833,0.991989,0.0457149,6,63,0,530.176,-1.50835,-0.758441,-2.35836,-0.362734,2.97995,-0.0482636,-0.541326,4.77994,2.43064,2.23834e-05,3.17447e-05,4.50439e-05,6.39551e-05,9.08757e-05,0.000129243,0.000183982,0.000262134,0.000373695,0.000532704,0.000758562,0.00107758,0.00152474,0.0021459,0.00300047,0.00416528,0.00574025,0.00785713,0.0106941,0.0145011,0.019649,0.0257118,0.0323277,0.0391559,0.0458504,0.0520466,0.0573617,0.0614142,0.0638651,0.0644814,0.0632024,0.0601778,0.0557481,0.0503667,0.0445024,0.0385619,0.032852,0.0275753,0.0228453,0.0187074,0.0151596,0.0121691,0.00968537,0.00764918,0.005999,0.00467527,0.00362306,0.00279341,0.00214394,0.00163873,0.00124794,0.000947181,0.000716726,0.000540844,0.000407086,0.000305688,0.000229039,0.000171248,0.000127774,9.51346e-05,7.06674e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.1442,-0,-5.48097,-0,-0,-22.6903,-25.4012,-11.7892,-10.9824,-17.1591,-32.402,-27.7413,-11.8225,-34.3005,-39.0616,-30.2608,-35.6379,-38.6598,-19.6732,-25.9822,-35.8611,-31.1221,-39.0659,-17.0787,-25.1358,-26.4531,-23.873,-12.5674,-4.40886,-9.27428,-4.87316,-10.2323,-5.36547,-0,-11.761,-0,-0,-6.68626,-0,-7.24082,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0,4,7,4,7,8,12,9,12,13,11,12,15,14,13,8,5,5,5,3,9,2,3,6,1,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
-525.282,0.995685,0.0457149,6,63,0,528.904,-1.6587,-0.780537,-2.11355,-0.0911427,3.19062,-0.617615,-0.328574,5.35683,2.56632,1.95721e-05,2.99792e-05,4.5603e-05,6.88166e-05,0.000102912,0.000152368,0.000223169,0.000323164,0.000462493,0.00065408,0.000914232,0.00126339,0.00172714,0.00233761,0.0031355,0.00417325,0.00552005,0.00727013,0.0095577,0.0125871,0.0167061,0.0215577,0.026868,0.0323968,0.0379144,0.0431906,0.0479932,0.0520924,0.0552729,0.0573509,0.0581951,0.0577471,0.056037,0.0531869,0.0494003,0.0449379,0.040083,0.0351069,0.0302413,0.0256618,0.0214844,0.0177707,0.0145391,0.0117767,0.00945083,0.00751787,0.0059299,0.00463898,0.0035998,0.00277111,0.0021163,0.00160354,0.00120559,0.000899471,0.000666057,0.000489615,0.000357366,0.000259058,0.000186562,0.000133509,9.49672e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.05863,-0,-5.47906,-0,-0,-23.252,-26.2505,-12.2759,-11.5111,-18.0841,-34.2969,-29.4518,-12.5685,-36.4404,-41.3663,-31.8502,-37.1614,-39.8154,-19.9618,-25.9357,-35.2073,-30.078,-37.2297,-16.084,-23.4455,-24.4898,-21.9765,-11.5213,-4.0302,-8.46183,-4.44163,-9.32331,-4.89047,-0,-10.7465,-0,-0,-6.15809,-0,-6.72079,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,2,3,2,3,6,6,4,9,8,14,12,8,4,15,5,10,14,15,8,8,6,7,3,4,3,1,4,4,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0
-527.732,0.924215,0.0457149,3,15,0,531.797,-1.60251,-0.886956,-1.87892,-0.101658,3.27484,-0.0439955,-0.44031,4.5243,2.11229,6.36112e-06,9.99049e-06,1.56877e-05,2.4626e-05,3.86362e-05,6.05628e-05,9.47938e-05,0.000148027,0.000230329,0.000356515,0.00054784,0.00083392,0.00125485,0.00186349,0.00272805,0.00393519,0.00559413,0.00784263,0.0108569,0.0148698,0.0202073,0.0265702,0.033653,0.041115,0.0485636,0.0555484,0.0615713,0.0661212,0.0687388,0.069111,0.0671687,0.063138,0.0575018,0.050878,0.0438751,0.0369895,0.0305669,0.0248107,0.0198117,0.015582,0.0120825,0.00924448,0.00698473,0.00521565,0.00385231,0.00281682,0.00204079,0.00146624,0.00104551,0.000740449,0.000521196,0.000364852,0.000254143,0.000176238,0.00012172,8.37583e-05,5.74429e-05,3.9274e-05,2.6775e-05,1.82046e-05,1.23452e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.2853,-0,-5.5378,-0,-0,-22.6148,-25.2505,-11.7051,-10.8839,-16.9583,-31.9138,-27.2239,-11.562,-33.4507,-38.0277,-29.4519,-34.7365,-37.8077,-19.337,-25.7035,-35.7399,-31.2641,-39.5655,-17.4392,-25.8754,-27.4504,-24.9698,-13.248,-4.68373,-9.92806,-5.25609,-11.1182,-5.87215,-0,-13.0501,-0,-0,-7.55938,-0,-8.27761,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,3,1,5,8,9,12,11,12,23,5,11,14,8,13,13,12,8,9,6,5,2,1,0,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
