# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 08:01:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2339e72e3.json
# init = /tmp/RtmpC8O1hA/init-b41c222b929a0_2.json
# random
#   seed = 3952011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0390_rep039_manuscript_default/prior_sensitivity_obspair_FAST-202605310901-2-6cd2da.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0390_rep039_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605310901-2-4b63c1.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0530137
# Diagonal elements of inverse mass matrix:
# 0.0748341, 0.0731019, 0.14469, 0.052424, 0.135248, 0.183511, 0.233615
-527.832,0.995372,0.0530137,6,63,0,531.4,-0.41381,-1.13018,-1.04619,0.456826,4.239,-0.784896,0.207374,4.67506,2.23728,4.89633e-06,9.34908e-06,1.74276e-05,3.16624e-05,5.59981e-05,9.63553e-05,0.000161306,0.000262858,0.000417334,0.000646314,0.000977564,0.00144583,0.0020933,0.00296973,0.00413238,0.00564717,0.00759321,0.0100734,0.0132327,0.0172932,0.0227757,0.0285855,0.0344473,0.0401597,0.0455225,0.0503186,0.0543239,0.0573268,0.0591502,0.0596734,0.0588517,0.0567316,0.053455,0.0492489,0.0443993,0.0392132,0.0339792,0.0289356,0.0242534,0.0200353,0.0163263,0.0131291,0.0104194,0.00815768,0.00629752,0.00479019,0.00358752,0.00264345,0.00191507,0.0013632,0.000952953,0.000653943,0.000440395,0.000291014,0.000188691,0.000120064,7.49908e-05,4.59949e-05,2.77161e-05,1.64185e-05,9.56761e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.81928,-0,-5.1766,-0,-0,-21.6253,-24.3446,-11.3462,-10.6646,-16.8416,-32.1489,-27.8059,-11.9575,-34.9535,-40.0258,-31.1044,-36.6453,-39.6583,-20.086,-26.3602,-36.1304,-31.1453,-38.8649,-16.91,-24.7988,-26.0344,-23.4616,-12.3449,-4.33292,-9.12818,-4.8088,-10.1352,-5.34118,-0,-11.8713,-0,-0,-6.95595,-0,-7.72784,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,2,2,3,1,8,3,2,3,10,8,15,15,16,8,9,17,4,10,10,5,8,6,11,3,2,0,4,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-524.258,0.999993,0.0530137,6,63,0,531.287,-1.25515,-1.75386,-1.06946,-0.766855,3.76125,0.622831,-1.91346,4.96355,2.57693,9.61698e-05,0.000121784,0.00015438,0.00019596,0.000249156,0.000317476,0.000405643,0.000520132,0.000669978,0.000868055,0.00113308,0.00149257,0.00198671,0.00267189,0.00362273,0.00493125,0.00670287,0.00904828,0.0120701,0.0158447,0.0204012,0.0256642,0.0314677,0.0375556,0.0435956,0.0492032,0.053975,0.0575327,0.0595843,0.0599923,0.0588034,0.0562143,0.0525114,0.0480224,0.0430796,0.0379893,0.0330081,0.0283262,0.0240643,0.02028,0.0169833,0.0141521,0.0117469,0.00971983,0.0080221,0.00660694,0.00543177,0.00445884,0.00365534,0.00299314,0.00244834,0.00200078,0.00163356,0.00133257,0.00108607,0.000884309,0.000719241,0.000584222,0.00047379,0.00038347,0.000309601,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.92497,-0,-5.31216,-0,-0,-22.0851,-24.8695,-11.6765,-10.988,-17.294,-32.8193,-28.1952,-12.0472,-35.0308,-39.9756,-31.024,-36.576,-39.6698,-20.1501,-26.5205,-36.433,-31.4471,-39.2454,-17.055,-24.9478,-26.0892,-23.3887,-12.2266,-4.25789,-8.88834,-4.63359,-9.65111,-5.01963,-0,-10.8257,-0,-0,-6.01235,-0,-6.417,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,3,5,4,7,10,6,7,7,7,11,13,11,10,7,10,13,13,7,4,7,6,3,6,2,1,2,0,2,2,1,0,1,0,0,0,1,1,0,0,1,1,0,0
-524.132,0.998118,0.0530137,6,127,0,527.569,-1.20289,-1.27558,-1.19189,-0.631469,4.50099,0.494943,-2.24146,5.1677,2.4161,1.56449e-05,2.05654e-05,2.70979e-05,3.58187e-05,4.75469e-05,6.34748e-05,8.53904e-05,0.00011607,0.000159988,0.0002246,0.000322517,0.000474733,0.000714585,0.0010917,0.00167521,0.00255547,0.0038437,0.00566857,0.00816872,0.0114806,0.0157217,0.0208909,0.0269039,0.0335776,0.0406244,0.0476593,0.0542204,0.0598034,0.0639139,0.0661424,0.0662621,0.0643087,0.0605724,0.0555006,0.0495871,0.0432976,0.0370283,0.0310854,0.0256787,0.0209255,0.0168641,0.0134732,0.0106931,0.0084451,0.00664574,0.00521606,0.00408605,0.00319626,0.00249751,0.00194986,0.00152128,0.00118623,0.000924518,0.000720214,0.00056078,0.000436381,0.000339308,0.000263532,0.000204344,0.000158075,0.000121866,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.82002,-0,-5.96952,-0,-0,-24.0372,-26.8026,-12.4581,-11.6053,-18.0774,-33.939,-28.8305,-12.1747,-34.9764,-39.4337,-30.2524,-35.3073,-37.9979,-19.2084,-25.2352,-34.6963,-30.0402,-37.6759,-16.4804,-24.2971,-25.6346,-23.2007,-12.2477,-4.30705,-9.07631,-4.77417,-10.0276,-5.25601,-0,-11.4915,-0,-0,-6.48821,-0,-6.98624,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,1,3,8,5,11,10,8,9,8,11,13,11,15,12,8,9,8,3,10,3,8,5,3,2,5,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
-524.713,0.976262,0.0530137,4,15,0,526.871,-1.17065,-1.24883,-1.14338,-0.616579,4.45116,0.518431,-2.23196,5.08103,2.37026,1.23685e-05,1.63221e-05,2.15911e-05,2.86526e-05,3.81871e-05,5.119e-05,6.91626e-05,9.44542e-05,0.000130897,0.000184991,0.000268027,0.000399447,0.000611287,0.000952907,0.00149511,0.00233279,0.00358523,0.00539299,0.00791019,0.0112912,0.0156712,0.0210593,0.0273708,0.0344087,0.0418554,0.0492812,0.0561688,0.0619554,0.0660955,0.0681519,0.0679092,0.0654564,0.0611581,0.0555319,0.0491268,0.0424453,0.0359019,0.0298042,0.0243485,0.0196295,0.0156593,0.0123919,0.00974803,0.00763517,0.00596179,0.00464485,0.00361301,0.00280706,0.00217896,0.00169023,0.00131041,0.00101548,0.000786618,0.000609101,0.000471443,0.000364698,0.000281904,0.000217656,0.000167759,0.000128966,9.87672e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.95599,-0,-6.06069,-0,-0,-24.198,-26.9024,-12.4678,-11.5812,-17.9914,-33.6945,-28.5618,-12.0408,-34.5527,-38.9388,-29.8832,-34.9182,-37.6542,-19.0846,-25.1486,-34.6896,-30.1335,-37.9145,-16.6348,-24.5917,-26.007,-23.5843,-12.4701,-4.39071,-9.26138,-4.87499,-10.2448,-5.372,-0,-11.7512,-0,-0,-6.63741,-0,-7.14777,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,4,4,3,5,9,13,6,19,9,13,13,15,9,12,13,10,7,9,2,2,1,2,1,0,5,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0
-525.378,0.999984,0.0530137,6,63,0,527.412,-0.561207,-0.469552,-2.09485,-0.663137,5.08673,0.44228,-1.1914,5.22335,2.73657,8.83177e-06,1.16293e-05,1.53973e-05,2.05358e-05,2.76575e-05,3.77344e-05,5.23619e-05,7.42228e-05,0.000107849,0.000160756,0.000244991,0.000379219,0.00059156,0.000923495,0.00143519,0.00221265,0.0033771,0.00509719,0.00760452,0.0112132,0.0163439,0.0223445,0.0287501,0.0352275,0.04153,0.0474583,0.0528283,0.0574428,0.0610723,0.0634469,0.0642766,0.0633178,0.0604931,0.0560077,0.0503409,0.0440861,0.0377749,0.0317899,0.0263602,0.0215927,0.0175095,0.0140802,0.0112447,0.00893003,0.00706003,0.00556198,0.00436995,0.0034264,0.0026825,0.00209774,0.00163907,0.00127987,0.000998864,0.000779194,0.000607533,0.000473387,0.0003685,0.00028638,0.000221911,0.000171051,0.000130579,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.98735,-0,-6.11356,-0,-0,-24.3951,-26.944,-12.3417,-11.4035,-17.7456,-33.4593,-28.6321,-12.1916,-35.2885,-39.9975,-30.7527,-35.8482,-38.4238,-19.3171,-25.247,-34.5872,-29.8894,-37.4593,-16.3806,-24.1402,-25.4513,-23.0124,-12.135,-4.26299,-8.97571,-4.71834,-9.90661,-5.1918,-0,-11.3525,-0,-0,-6.41363,-0,-6.90889,-0,-0,-0,-0,-0,-0,-0,-0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,5,3,3,9,9,5,13,14,9,16,10,11,12,7,8,8,10,8,8,7,9,2,2,3,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0
-526.658,0.992846,0.0530137,6,63,0,529.601,-0.892202,-1.30018,-1.74085,-0.677444,3.65146,0.929146,-0.957845,4.50591,2.49193,8.37211e-05,0.000108256,0.000140106,0.000181538,0.000235579,0.000306313,0.000399324,0.000522365,0.000686428,0.000907474,0.00120926,0.00162763,0.00221526,0.00304373,0.00420174,0.00579177,0.00792619,0.0107216,0.0142907,0.0187302,0.0241082,0.0301729,0.0366194,0.0430996,0.049235,0.0546291,0.0588804,0.0616054,0.0625019,0.0614814,0.0587624,0.0547561,0.049901,0.0445889,0.0391461,0.0338327,0.0288431,0.0243072,0.0202933,0.0168167,0.0138547,0.0113621,0.00928369,0.00756272,0.00614538,0.00498305,0.00403314,0.00325906,0.00262977,0.00211925,0.00170582,0.00137155,0.00110165,0.000883977,0.000708605,0.000567428,0.000453852,0.000362524,0.000289105,0.000230083,0.000182626,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.79467,-0,-5.15132,-0,-0,-21.2407,-23.8657,-11.1756,-10.5024,-16.5359,-31.4424,-27.1004,-11.6288,-33.987,-39.0181,-30.4981,-36.2573,-39.6796,-20.3341,-26.9794,-37.3232,-32.4045,-40.6359,-17.7294,-26.0189,-27.2823,-24.5123,-12.8374,-4.47747,-9.35899,-4.88452,-10.1841,-5.30171,-0,-11.4526,-0,-0,-6.37371,-0,-6.81095,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,2,0,3,6,4,3,8,8,10,15,10,11,14,18,8,9,8,9,7,6,6,6,4,5,2,5,2,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
