# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 08:36:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c27fdb550e.json
# init = /tmp/RtmpC8O1hA/init-b41c2fa0a576_1.json
# random
#   seed = 4052005
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0394_rep040_mildly_wrong_weak/prior_sensitivity_obspair_FAST-202605310936-1-9814f2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0394_rep040_mildly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605310936-1-65d96f.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0812698
# Diagonal elements of inverse mass matrix:
# 0.0973764, 0.0717876, 0.132176, 0.0158703, 0.0969607, 0.143454, 0.19974
-541.26,0.99211,0.0812698,4,15,0,542.63,-0.922215,-2.48994,-0.881191,-0.563281,4.36119,0.803498,-0.0175263,4.89018,2.27708,6.15784e-05,8.19681e-05,0.000109158,0.000145457,0.000193983,0.000258985,0.000346286,0.000463962,0.000623364,0.000840702,0.00113942,0.00155325,0.00212906,0.00292816,0.00402577,0.00550814,0.00746722,0.00999154,0.013153,0.0169896,0.0214888,0.0265233,0.0319117,0.0374245,0.0428015,0.0477677,0.0520483,0.0553815,0.0575377,0.058353,0.0577795,0.0559101,0.0529378,0.0491004,0.0446496,0.0398352,0.0348948,0.0300434,0.0254608,0.0212798,0.0175782,0.0143821,0.0116765,0.00942101,0.00756263,0.00604526,0.00481514,0.00382359,0.00302812,0.00239248,0.00188628,0.00148433,0.00116599,0.000914421,0.00071602,0.000559823,0.000437041,0.000340658,0.00026509,0.000205904,0.000159595,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.15208,-5.83338,-5.51504,-0,-4.89723,-13.8181,-4.33111,-12.2255,-15.3609,-14.5189,-20.6687,-16.4271,-31.5118,-33.4555,-11.8223,-31.8286,-42.8297,-34.0949,-42.7668,-37.4921,-29.3864,-27.125,-21.7624,-22.561,-6.71084,-31.546,-29.3649,-15.4,-24.2466,-8.48355,-17.8007,-13.9944,-4.88454,-5.10848,-10.672,-0,-0,-0,-6.27315,-6.51279,-0,-0,-0,-7.48789,-0,-7.98463,-0,-0,-0,0,0,0,1,0,0,1,0,0,1,0,2,0,1,1,0,1,1,4,5,5,8,7,3,12,10,11,6,8,11,12,13,7,11,10,5,9,7,3,6,6,3,3,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0
-540.847,0.998624,0.0812698,6,63,0,543.248,-1.34178,-2.51826,-0.881847,-0.819345,4.35824,1.10467,-0.272727,5.4532,2.67975,0.000142104,0.00017758,0.000222053,0.000277885,0.000348106,0.000436633,0.000548576,0.000690681,0.000872001,0.00110492,0.00140678,0.00180224,0.00232573,0.00302313,0.00395233,0.0051827,0.0067925,0.0088633,0.01147,0.0146656,0.0184618,0.0227971,0.0275457,0.0325277,0.0375245,0.0422939,0.0465829,0.0501422,0.0527438,0.0542099,0.0544621,0.0535439,0.0515818,0.0487495,0.0452474,0.0412889,0.0370873,0.0328438,0.0287322,0.0248836,0.0213791,0.0182532,0.015507,0.0131214,0.0110661,0.00930697,0.00780893,0.00653853,0.00546489,0.00456015,0.00379963,0.00316167,0.0026275,0.00218091,0.00180803,0.00149702,0.00123785,0.00102203,0.00084242,0.000693024,0.000568828,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.06372,-5.80146,-5.53345,-0,-4.99194,-14.1775,-4.46802,-12.6668,-15.9682,-15.1245,-21.5515,-17.1283,-32.8276,-34.7942,-12.2661,-32.9218,-44.1346,-34.9787,-43.6537,-38.0543,-29.6459,-27.1895,-21.6693,-22.3101,-6.58896,-30.7439,-28.3979,-14.7742,-23.0721,-8.00683,-16.6658,-13.0005,-4.50387,-4.67699,-9.70498,-0,-0,-0,-5.57285,-5.75666,-0,-0,-0,-6.50428,-0,-6.88596,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,8,8,2,7,11,14,4,5,12,9,17,12,10,9,13,5,7,6,12,3,5,1,1,0,2,1,1,3,1,0,1,1,0,0,0,0,1,0,1,1,0
-540.468,0.990613,0.0812698,5,31,0,543.451,-1.56801,-2.8785,-0.15846,-0.744481,3.90048,-0.15203,-0.57913,5.29501,2.59241,0.000130633,0.000165992,0.000211033,0.000268475,0.00034184,0.000435707,0.00055607,0.000710811,0.000910374,0.00116867,0.0015043,0.00194221,0.00251564,0.00326832,0.00425628,0.00554827,0.00722357,0.00936562,0.0120508,0.0153328,0.0192248,0.0236806,0.028584,0.0337459,0.0389141,0.0437946,0.0480833,0.051503,0.0538375,0.054958,0.0548348,0.0535352,0.0512073,0.0480561,0.0443154,0.0402202,0.0359854,0.0317905,0.0277735,0.0240298,0.0206171,0.0175618,0.0148668,0.0125187,0.0104933,0.00876107,0.00728984,0.00604765,0.00500405,0.00413098,0.00340322,0.00279846,0.00229726,0.00188285,0.00154088,0.00125918,0.00102744,0.000837045,0.000680766,0.000552608,0.000447604,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.98523,-5.72348,-5.45936,-0,-4.93041,-14.0121,-4.41862,-12.5333,-15.8062,-14.9724,-21.3295,-16.9445,-32.464,-34.4107,-12.1393,-32.6273,-43.8268,-34.8142,-43.5514,-38.0564,-29.7187,-27.3185,-21.815,-22.4937,-6.64929,-31.0373,-28.6694,-14.9138,-23.2898,-8.08406,-16.8345,-13.1416,-4.55701,-4.73744,-9.84255,-0,-0,-0,-5.68303,-5.87869,-0,-0,-0,-6.6773,-0,-7.08563,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,2,2,4,2,6,1,4,1,6,8,4,6,9,9,12,11,10,11,13,4,10,12,7,10,6,3,4,6,1,2,1,1,0,1,2,0,1,0,0,0,0,1,1,0,0,0
-542.703,0.946444,0.0812698,6,63,0,544.806,-2.46345,-1.08216,-2.75209,-0.406163,3.55697,0.661032,-1.4508,5.07083,2.39867,2.31062e-05,3.22884e-05,4.51465e-05,6.3178e-05,8.85149e-05,0.000124216,0.000174711,0.000246498,0.000349214,0.000497246,0.000711816,0.00102296,0.00147069,0.00210532,0.00298784,0.00419023,0.00579563,0.00789774,0.0105988,0.0140064,0.0182293,0.0231575,0.0286489,0.0345255,0.0405695,0.046519,0.0520608,0.0568251,0.0603938,0.062352,0.0624182,0.0606001,0.0572032,0.0526766,0.0474678,0.0419567,0.0364421,0.031147,0.0262291,0.0217903,0.0178835,0.0145206,0.0116812,0.00932246,0.00738937,0.00582272,0.00456476,0.00356248,0.00276916,0.00214479,0.00165581,0.00127454,0.000978406,0.0007492,0.000572356,0.000436302,0.000331904,0.000251985,0.000190937,0.000144394,0.00010897,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.52203,-6.16329,-5.8132,-0,-5.15065,-14.5235,-4.54701,-12.8047,-16.0189,-15.0617,-21.3158,-16.8303,-32.0474,-33.7468,-11.8214,-31.5456,-42.103,-33.2995,-41.6085,-36.445,-28.6115,-26.4922,-21.3339,-22.1978,-6.62406,-31.2213,-29.1271,-15.3052,-24.1433,-8.46437,-17.7991,-14.026,-4.90771,-5.14599,-10.7788,-0,-0,-0,-6.40346,-6.66517,-0,-0,-0,-7.73718,-0,-8.28614,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,6,2,7,5,8,9,8,12,9,17,13,14,10,13,8,8,7,3,6,6,1,7,3,1,3,3,2,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0
-540.549,0.997794,0.0812698,6,63,0,546.504,-1.10447,-2.73635,-0.832065,-0.534887,4.82542,0.0293854,-0.617706,5.36465,2.38573,6.7194e-05,9.02381e-05,0.000121261,0.000163082,0.000219549,0.000295943,0.000399522,0.000540276,0.000731912,0.000993055,0.00134854,0.00183057,0.00247931,0.00334256,0.00447419,0.00593097,0.00776777,0.0100313,0.0127529,0.0159408,0.0195738,0.0235894,0.027887,0.0323308,0.0367553,0.0409758,0.0448003,0.0480434,0.0505408,0.0521634,0.05283,0.0525156,0.051254,0.0491326,0.0462813,0.0428586,0.0390377,0.0349935,0.0308905,0.0268733,0.0230598,0.0195369,0.0163606,0.0135574,0.0111299,0.0090621,0.00732556,0.00588491,0.00470204,0.00373934,0.00296162,0.0023373,0.00183879,0.00144255,0.00112884,0.000881307,0.000686568,0.000533757,0.000414121,0.000320649,0.000247755,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.99978,-5.70102,-5.40943,-0,-4.85777,-13.8061,-4.362,-12.4166,-15.7342,-14.9878,-21.4776,-17.1587,-33.0347,-35.1425,-12.4222,-33.3922,-44.7746,-35.4405,-44.1101,-38.3064,-29.7096,-27.1191,-21.5111,-22.049,-6.48645,-30.1733,-27.8185,-14.4665,-22.618,-7.8709,-16.4515,-12.9025,-4.49812,-4.70365,-9.83277,-0,-0,-0,-5.82202,-6.05876,-0,-0,-0,-7.0341,-0,-7.53557,-0,-0,-0,0,0,0,0,0,0,1,0,2,0,0,1,1,2,0,0,1,2,2,3,2,1,6,7,1,11,6,11,8,14,13,14,13,6,6,9,4,7,10,8,6,4,1,1,5,1,1,3,1,3,1,0,1,0,0,0,0,0,0,0,0
-539.114,0.992249,0.0812698,5,63,0,547.405,-1.34151,-2.43138,-0.472593,-0.851649,4.15447,0.126605,-1.37171,5.39931,2.69456,0.000113195,0.000140829,0.000175426,0.000218859,0.000273571,0.000342785,0.000430807,0.000543477,0.000688838,0.000878157,0.00112741,0.00145943,0.00190667,0.00251437,0.00334332,0.004471,0.00598961,0.0079995,0.010597,0.013857,0.0178125,0.0224307,0.0276006,0.0331274,0.0387411,0.0441177,0.0489122,0.0527995,0.0555164,0.0568963,0.0568882,0.0555568,0.0530657,0.0496495,0.0455805,0.0411351,0.0365656,0.0320802,0.0278331,0.023925,0.0204093,0.0173027,0.0145958,0.0122631,0.0102698,0.00857794,0.00714944,0.00594826,0.00494152,0.00409995,0.00339793,0.00281333,0.00232715,0.00192326,0.00158797,0.00130974,0.00107888,0.00088732,0.000728312,0.000596291,0.000486672,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.2624,-5.98573,-5.70079,-0,-5.11773,-14.4851,-4.54718,-12.8369,-16.1114,-15.1893,-21.5395,-17.037,-32.5085,-34.3298,-12.0709,-32.3538,-43.3661,-34.3983,-43,-37.5745,-29.3622,-27.0249,-21.6179,-22.3363,-6.61729,-30.9557,-28.6522,-14.9313,-23.3506,-8.11379,-16.9081,-13.2035,-4.57855,-4.75856,-9.88144,-0,-0,-0,-5.68459,-5.87339,-0,-0,-0,-6.63793,-0,-7.0273,-0,-0,-0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,2,1,8,15,17,13,9,14,15,7,11,9,9,4,4,8,5,3,4,3,2,5,5,1,0,2,4,2,0,1,1,0,0,1,1,0,0,0,1
