# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 08:55:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2593ef7a8.json
# init = /tmp/RtmpC8O1hA/init-b41c2456ebaba_2.json
# random
#   seed = 4052007
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0396_rep040_mildly_wrong_strong/prior_sensitivity_obspair_FAST-202605310955-2-937528.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0396_rep040_mildly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605310955-2-6c5a5f.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.205443
# Diagonal elements of inverse mass matrix:
# 0.056329, 0.0447945, 0.0062485, 0.00496511, 0.0107221, 0.00829433, 0.00711492
-543.005,1,0.205443,4,15,0,549.074,-1.78207,-2.454,-0.917076,-0.682125,3.78677,-0.00143366,-0.955021,5.45936,2.68302,0.000123884,0.000159766,0.000206133,0.000266104,0.000343762,0.000444466,0.000575277,0.000745521,0.000967542,0.00125766,0.00163733,0.00213436,0.00278404,0.00362967,0.00472199,0.00611722,0.00787305,0.0100429,0.012668,0.0157693,0.0193387,0.0233224,0.0276227,0.032098,0.0365686,0.0408266,0.0446522,0.0478337,0.0501905,0.051595,0.0519869,0.0513778,0.0498434,0.04751,0.0445382,0.0411056,0.0373908,0.0335604,0.029758,0.0260987,0.0226665,0.019516,0.016676,0.0141546,0.0119448,0.0100287,0.00838243,0.00697894,0.00579028,0.00478924,0.00395029,0.00325015,0.00266802,0.00218555,0.00178684,0.00145817,0.00118785,0.000965971,0.000784176,0.000635472,0.000514025,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.88385,-5.61861,-5.35552,-0,-4.84431,-13.8027,-4.36868,-12.4491,-15.7826,-15.0334,-21.5347,-17.1948,-33.0857,-35.1826,-12.4354,-33.4403,-44.8789,-35.572,-44.3514,-38.5911,-29.9887,-27.4213,-21.7799,-22.3413,-6.57266,-30.5497,-28.1173,-14.5835,-22.7212,-7.87304,-16.3751,-12.7731,-4.42746,-4.60231,-9.56324,-0,-0,-0,-5.53397,-5.72905,-0,-0,-0,-6.53057,-0,-6.94238,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,2,4,2,3,8,4,10,6,6,6,16,5,10,7,15,11,11,6,8,5,11,6,8,1,2,5,2,0,4,2,2,1,1,0,1,1,0,0,1,0,0,1,1,0
-543.529,1,0.205443,4,15,0,544.809,-2.67088,-2.00677,-1.26639,-0.491573,4.13741,0.602746,-0.810022,5.59275,2.41298,3.19949e-05,4.34887e-05,5.91348e-05,8.0453e-05,0.000109537,0.000149284,0.00020373,0.000278546,0.000381775,0.000524914,0.000724447,0.00100371,0.00139478,0.00194006,0.00269339,0.00372042,0.00509752,0.00690822,0.00923601,0.0121529,0.0157049,0.0198817,0.0246157,0.0297789,0.0351866,0.0406056,0.0457646,0.0503663,0.0541047,0.0567004,0.0579573,0.0578159,0.0563523,0.0537362,0.05019,0.0459616,0.0413057,0.0364684,0.0316715,0.0270975,0.0228796,0.0190982,0.0157868,0.0129417,0.0105348,0.00852381,0.00686074,0.00549694,0.00438645,0.00348769,0.00276407,0.00218413,0.00172121,0.00135303,0.00106115,0.00083043,0.000648538,0.000505488,0.000393233,0.000305322,0.000236607,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.57502,-6.24504,-5.91695,-0,-5.279,-14.9251,-4.68465,-13.2306,-16.6151,-15.6718,-22.2262,-17.5698,-33.4709,-35.2423,-12.337,-32.8728,-43.7525,-34.4397,-42.7207,-37.0564,-28.7613,-26.313,-20.9436,-21.5596,-6.37351,-29.8018,-27.6187,-14.4332,-22.6651,-7.91632,-16.5943,-13.0419,-4.55307,-4.76489,-9.96388,-0,-0,-0,-5.89105,-6.12654,-0,-0,-0,-7.09357,-0,-7.58999,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,4,2,4,5,4,6,7,9,9,4,10,10,12,13,12,11,13,10,9,9,5,6,7,2,4,3,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0
-541.923,0.999766,0.205443,3,7,0,544.12,-2.43365,-2.05435,-1.25109,-0.479892,4.11087,0.543545,-0.853495,5.47454,2.37634,3.29873e-05,4.49978e-05,6.14052e-05,8.38397e-05,0.000114554,0.000156675,0.000214573,0.000294399,0.000404887,0.000558526,0.00077316,0.00107394,0.00149523,0.00208214,0.00289139,0.00399123,0.00545968,0.0073801,0.00983317,0.012885,0.0165727,0.0208743,0.0257099,0.0309385,0.0363637,0.0417426,0.0467982,0.0512337,0.054753,0.0570964,0.0580929,0.0577031,0.0560151,0.0532059,0.0495028,0.0451571,0.0404248,0.0355504,0.0307513,0.0262036,0.022033,0.0183133,0.0150718,0.0123003,0.00996714,0.00802742,0.00643129,0.00512895,0.00407384,0.00322417,0.00254349,0.00200065,0.00156946,0.00122819,0.000958929,0.000747103,0.000580893,0.000450784,0.000349157,0.000269936,0.000208294,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.50547,-6.17436,-5.84602,-0,-5.21037,-14.7269,-4.62199,-13.0551,-16.4,-15.4769,-21.9653,-17.3788,-33.1418,-34.9386,-12.2476,-32.6849,-43.5739,-34.3562,-42.6857,-37.0818,-28.8213,-26.4023,-21.0401,-21.6833,-6.41663,-30.0312,-27.8546,-14.5674,-22.8913,-8.00026,-16.7797,-13.1944,-4.60846,-4.82489,-10.0932,-0,-0,-0,-5.97422,-6.21428,-0,-0,-0,-7.19931,-0,-7.70452,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,4,4,7,5,6,8,15,11,7,17,14,11,10,5,11,6,10,11,5,4,5,1,5,6,2,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
-539.519,0.990311,0.205443,4,15,0,546.971,-1.84911,-1.39402,-1.2742,-0.678452,3.91295,0.290573,-0.779737,5.50751,2.70761,5.06228e-05,6.54698e-05,8.47581e-05,0.000109875,0.000142682,0.0001857,0.000242396,0.0003176,0.000418158,0.000553924,0.000739223,0.000994877,0.0013507,0.00184814,0.00254263,0.00350512,0.00482213,0.00659364,0.00892803,0.0119337,0.0157074,0.020241,0.0254611,0.0312168,0.0372735,0.0433148,0.0489569,0.0537798,0.0573822,0.0594586,0.0598724,0.0586827,0.0561074,0.0524553,0.0480633,0.0432531,0.0383062,0.0334499,0.0288529,0.0246268,0.0208329,0.0174922,0.014596,0.0121165,0.0100149,0.00824794,0.0067719,0.0055454,0.00453067,0.00369419,0.00300674,0.00244327,0.00198244,0.00160631,0.00129982,0.00105045,0.000847808,0.000683307,0.000549883,0.000441738,0.000354124,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.60713,-6.29358,-5.97456,-0,-5.33454,-15.0649,-4.71856,-13.2852,-16.6145,-15.6002,-22.0236,-17.334,-32.8947,-34.5319,-12.0673,-32.1514,-42.8703,-33.8697,-42.2331,-36.8629,-28.8049,-26.5301,-21.2467,-21.9848,-6.52429,-30.5794,-28.3644,-14.8157,-23.2273,-8.092,-16.908,-13.2396,-4.60368,-4.79779,-9.98995,-0,-0,-0,-5.8069,-6.01442,-0,-0,-0,-6.85854,-0,-7.28857,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,6,3,5,5,3,6,7,9,10,12,9,12,14,6,12,8,11,10,7,4,2,5,8,4,3,0,4,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0
-542.565,0.96706,0.205443,4,15,0,544.572,-0.885397,-1.31912,-1.24446,-0.744345,4.10861,0.351629,-0.549398,5.03286,2.65624,6.84926e-05,8.7303e-05,0.000111437,0.000142504,0.00018266,0.000234844,0.000303127,0.000393257,0.000513529,0.000676132,0.000899194,0.00120956,0.00164608,0.0022628,0.00313126,0.0043414,0.00600021,0.00822774,0.01115,0.014889,0.0195507,0.0249748,0.0309436,0.0371828,0.0433668,0.0491311,0.0540909,0.0578727,0.0601629,0.0607737,0.0597028,0.0571392,0.0534049,0.04887,0.0438892,0.0387675,0.033747,0.0290049,0.0246575,0.0207688,0.0173597,0.0144198,0.0119174,0.00980967,0.00804859,0.00658648,0.00537854,0.00438445,0.00356883,0.00290129,0.00235602,0.00191135,0.0015492,0.00125457,0.00101505,0.000820446,0.00066237,0.000533955,0.000429586,0.000344688,0.000275534,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.40936,-6.09115,-5.76632,-0,-5.11596,-14.4007,-4.49631,-12.6214,-15.739,-14.7596,-20.8535,-16.4595,-31.3806,-33.1459,-11.6684,-31.3446,-42.1605,-33.6072,-42.2757,-37.2094,-29.2985,-27.1673,-21.8826,-22.7512,-6.77773,-31.8626,-29.6214,-15.4972,-24.3216,-8.47831,-17.719,-13.8732,-4.82226,-5.02274,-10.4507,-0,-0,-0,-6.05078,-6.25994,-0,-0,-0,-7.10566,-0,-7.5352,-0,-0,-0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,5,4,8,6,7,8,8,14,18,15,10,8,15,14,9,7,2,7,3,5,4,7,2,0,2,2,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0
-541.198,1,0.205443,4,15,0,543.571,-1.29195,-1.40035,-1.27359,-0.805045,3.92659,0.389059,-0.6391,5.30644,2.81796,8.86496e-05,0.000111397,0.000140157,0.000176623,0.000223028,0.000282353,0.000358639,0.000457459,0.000586657,0.000757477,0.000986279,0.00129693,0.0017237,0.00231421,0.00313164,0.00425566,0.00578143,0.00781599,0.0104715,0.0138554,0.0180579,0.0229999,0.0285321,0.0344313,0.0404047,0.0461015,0.0511354,0.0551214,0.0577321,0.0587692,0.0582171,0.0562373,0.0531069,0.0491484,0.0446783,0.0399791,0.0352841,0.0307719,0.0265669,0.0227439,0.0193365,0.0163472,0.013757,0.0115345,0.00964191,0.00803982,0.00669002,0.00555706,0.00460898,0.00381759,0.00315838,0.0026102,0.00215502,0.00177751,0.00146472,0.00120572,0.000991375,0.00081401,0.000667235,0.000545731,0.000445084,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.36328,-6.06869,-5.7662,-0,-5.1531,-14.5548,-4.5591,-12.8372,-16.0567,-15.0891,-21.3404,-16.8439,-32.0881,-33.846,-11.8931,-31.8804,-42.7791,-34.0097,-42.6536,-37.4163,-29.3545,-27.1162,-21.7579,-22.5358,-6.68865,-31.3304,-29.0247,-15.1338,-23.6746,-8.2274,-17.1448,-13.3872,-4.64164,-4.82335,-10.0143,-0,-0,-0,-5.7577,-5.94833,-0,-0,-0,-6.72068,-0,-7.11354,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,3,1,6,10,5,9,5,8,11,21,9,11,7,9,17,10,11,5,3,3,2,4,4,2,2,2,1,3,3,2,0,1,1,1,0,1,0,1,0,0,0,0,0
