# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 08:58:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c249fca8d2.json
# init = /tmp/RtmpC8O1hA/init-b41c233495bd8_4.json
# random
#   seed = 4052008
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0397_rep040_badly_wrong_weak/prior_sensitivity_obspair_FAST-202605310958-4-5b5a48.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0397_rep040_badly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605310958-4-255b63.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0714937
# Diagonal elements of inverse mass matrix:
# 0.115092, 0.0934759, 0.106792, 0.0210385, 0.100318, 0.289476, 0.351488
-539.981,0.985752,0.0714937,5,63,0,543.112,-1.98281,-2.64564,-1.0757,-0.565167,4.14832,1.35532,0.00578706,5.1647,2.37745,5.8066e-05,7.72046e-05,0.000102677,0.000136599,0.000181809,0.000242127,0.00032272,0.000430615,0.000575459,0.00077065,0.00103511,0.00139595,0.00189134,0.00257204,0.0035021,0.00475915,0.00643301,0.0086211,0.0114181,0.0148969,0.0190811,0.023888,0.0291565,0.0346711,0.0401846,0.0454298,0.050125,0.0539807,0.0567133,0.0580879,0.058026,0.0566272,0.0540719,0.0505756,0.0463718,0.0417031,0.0368145,0.0319442,0.0273033,0.0230467,0.0192589,0.0159631,0.013143,0.0107604,0.00876739,0.00711381,0.00575098,0.00463412,0.00372328,0.00298359,0.00238512,0.00190249,0.00151444,0.00120326,0.000954306,0.000755571,0.000597237,0.000471317,0.000371338,0.000292075,0.000229324,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.27047,-5.96305,-5.65439,-0,-5.04631,-14.2606,-4.47256,-12.6198,-15.8362,-14.9375,-21.2105,-16.8092,-32.1427,-34.0075,-11.9729,-32.1104,-43.0462,-34.1496,-42.7029,-37.3265,-29.1744,-26.8586,-21.4974,-22.2403,-6.60373,-30.9939,-28.806,-15.0809,-23.6987,-8.27495,-17.3275,-13.5957,-4.73672,-4.94572,-10.3168,-0,-0,-0,-6.03851,-6.26459,-0,-0,-0,-7.18804,-0,-7.65998,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,0,1,1,3,1,3,3,4,11,5,7,17,8,10,11,11,8,9,16,7,11,8,8,1,3,6,5,7,0,2,0,0,0,0,1,0,1,0,0,3,0,1,0,0,1,0
-545.799,0.98154,0.0714937,5,63,0,548.608,-2.21797,-1.94115,-2.79621,-0.470376,4.76855,0.848345,0.163008,5.5974,2.62237,6.13484e-05,8.39434e-05,0.000114911,0.000157399,0.000215776,0.000296135,0.000407008,0.000560306,0.000772274,0.00106378,0.00145957,0.00198739,0.00267764,0.0035634,0.00468053,0.00606747,0.00776495,0.0098156,0.0122654,0.0151719,0.0186426,0.0224594,0.0264723,0.0305518,0.0345793,0.0384412,0.042025,0.0452137,0.04788,0.0498808,0.0510576,0.0512565,0.0503985,0.0485662,0.0459766,0.0428679,0.0394388,0.0358407,0.0321885,0.0285708,0.0250587,0.0217123,0.0185835,0.0157159,0.0131417,0.0108775,0.00892288,0.00726287,0.00587218,0.00472024,0.003775,0.00300549,0.00238325,0.00188301,0.00148289,0.00116428,0.000911598,0.000711906,0.0005546,0.000431043,0.000334245,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.92282,-5.63704,-5.36434,-0,-4.85814,-13.8713,-4.40097,-12.5649,-15.9292,-15.1842,-21.7899,-17.4417,-33.645,-35.8449,-12.678,-34.0599,-45.5859,-35.9774,-44.622,-38.6219,-29.8779,-27.2234,-21.5574,-22.0474,-6.46601,-29.958,-27.4892,-14.2215,-22.1192,-7.65975,-15.9419,-12.4592,-4.33197,-4.52106,-9.43827,-0,-0,-0,-5.57935,-5.80731,-0,-0,-0,-6.75565,-0,-7.24757,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,4,2,2,3,4,7,4,5,8,7,9,9,10,13,10,7,11,10,10,11,8,6,5,4,2,6,3,3,4,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0
-544.364,0.999977,0.0714937,6,63,0,548.42,-2.30122,-0.939821,-2.32511,-0.622219,4.58213,2.02011,-1.21226,5.61236,2.71228,3.15468e-05,4.14072e-05,5.44113e-05,7.16066e-05,9.44238e-05,0.000124842,0.000165649,0.000220857,0.000296413,0.000401479,0.000550819,0.000767433,0.001082,0.00153359,0.00217155,0.00305766,0.00426846,0.00589739,0.00805609,0.0108735,0.0144892,0.0188408,0.0238319,0.0293389,0.0352083,0.0412465,0.0472055,0.0527644,0.0575056,0.0608833,0.0622131,0.061258,0.058548,0.0546233,0.049939,0.0448609,0.0396734,0.0345906,0.0297696,0.0253235,0.0213287,0.0178213,0.0147956,0.0122191,0.0100466,0.00822899,0.00671792,0.00546832,0.00443957,0.00359591,0.00290637,0.00234448,0.00188781,0.00151752,0.00121792,0.000975963,0.000780883,0.000623826,0.000497534,0.000396074,0.000314612,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.82894,-6.48014,-6.13232,-0,-5.4565,-15.3997,-4.82133,-13.5643,-16.9374,-15.8869,-22.4204,-17.6442,-33.4647,-35.0701,-12.213,-32.3611,-42.8381,-33.5855,-41.6578,-36.3046,-28.3791,-26.1657,-20.9787,-21.7293,-6.45415,-30.2776,-28.1141,-14.7041,-23.0862,-8.05472,-16.8537,-13.2143,-4.60052,-4.80009,-10.006,-0,-0,-0,-5.84085,-6.05569,-0,-0,-0,-6.93209,-0,-7.37964,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,5,6,5,8,2,5,12,6,16,12,13,8,13,17,11,6,8,11,3,3,6,4,2,4,2,2,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0
-544.368,0.98218,0.0714937,6,63,0,549.125,-2.41437,-2.1064,0.216227,-0.119819,3.44876,-0.85223,-0.980676,5.56991,2.21624,1.17106e-05,1.80438e-05,2.77336e-05,4.25004e-05,6.48995e-05,9.86881e-05,0.000149328,0.000224651,0.000335715,0.000497853,0.000731879,0.00106538,0.00153389,0.00218171,0.00306194,0.00423529,0.0057672,0.00772283,0.0101599,0.0131199,0.0166178,0.0206317,0.0250951,0.0298918,0.0348571,0.0397839,0.0444368,0.0485708,0.0519547,0.0543941,0.0557516,0.0559598,0.0550273,0.0530346,0.0501229,0.0464779,0.0423103,0.0378358,0.0332583,0.0287561,0.0244734,0.0205164,0.0169536,0.0138193,0.0111195,0.00883815,0.00694414,0.00539692,0.00415171,0.00316325,0.00238851,0.00178836,0.00132848,0.00097961,0.000717393,0.000521996,0.000377544,0.000271539,0.000194276,0.000138317,9.80241e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.47995,-6.12765,-5.78871,-0,-5.15557,-14.5907,-4.5893,-13.0009,-16.3891,-15.5237,-22.1105,-17.5508,-33.565,-35.4672,-12.4548,-33.2721,-44.3607,-34.938,-43.3027,-37.4806,-28.9992,-26.4313,-20.9529,-21.4814,-6.32545,-29.4705,-27.2276,-14.1956,-22.261,-7.77306,-16.3091,-12.8451,-4.49906,-4.72868,-9.93971,-0,-0,-0,-6.03709,-6.32645,-0,-0,-0,-7.55785,-0,-8.2114,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,3,0,2,8,4,8,3,5,9,8,11,12,12,11,7,12,15,10,9,7,7,4,4,4,2,6,0,4,2,0,4,2,1,0,0,0,0,0,0,0,0,0,0
-541.225,0.99898,0.0714937,5,31,0,546.035,-2.63294,-2.28272,-0.408981,-0.415716,2.87078,-0.273136,-1.37908,5.02834,2.37128,3.8297e-05,5.32721e-05,7.4104e-05,0.000103084,0.000143396,0.000199468,0.000277446,0.00038585,0.000536452,0.000745454,0.00103498,0.00143492,0.00198497,0.00273663,0.00375441,0.00511554,0.00690685,0.0092179,0.0121299,0.0157009,0.0199488,0.0248258,0.0302077,0.0358877,0.0415823,0.046952,0.0516383,0.0553105,0.0577133,0.0587012,0.0582537,0.0564675,0.0535343,0.0497075,0.0452679,0.0404923,0.0356288,0.0308816,0.0264039,0.0222986,0.0186233,0.0153991,0.0126195,0.0102587,0.0082795,0.0066389,0.00529233,0.00419665,0.00331193,0.00260237,0.00203675,0.00158829,0.00123446,0.000956512,0.000739041,0.000569501,0.000437763,0.000335705,0.000256857,0.000196096,0.000149382,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.22215,-5.90103,-5.58482,-0,-4.97524,-14.0598,-4.41208,-12.4621,-15.6583,-14.7835,-20.998,-16.6368,-31.8008,-33.6449,-11.854,-31.8427,-42.784,-34.0235,-42.6442,-37.3632,-29.2743,-27.0144,-21.6661,-22.4465,-6.6692,-31.2983,-29.0739,-15.2129,-23.9001,-8.34689,-17.4901,-13.7389,-4.79397,-5.01481,-10.483,-0,-0,-0,-6.1964,-6.4451,-0,-0,-0,-7.47075,-0,-7.99928,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,2,3,5,1,6,5,5,11,8,7,13,9,11,13,10,14,8,14,5,7,4,2,4,3,2,3,3,3,1,2,1,4,1,1,0,0,0,1,0,0,0,0,0,0
-541.017,0.999866,0.0714937,6,63,0,543.302,-0.589277,-2.48624,-0.486678,-0.790569,4.48553,1.44342,-0.0241152,5.34528,2.48199,7.24254e-05,9.11334e-05,0.000114764,0.000144666,0.000182596,0.000230853,0.000292498,0.000371666,0.00047408,0.000607908,0.000785334,0.00102544,0.0013584,0.00182967,0.00250361,0.00346544,0.00482044,0.00668984,0.00920166,0.0124726,0.0165759,0.0214794,0.0270522,0.0330747,0.0392604,0.0452751,0.0507583,0.0553448,0.0586893,0.0605013,0.0606411,0.059197,0.0563849,0.0524807,0.0477925,0.0426384,0.0373255,0.0321307,0.0272804,0.0229247,0.0191256,0.0158759,0.0131305,0.0108302,0.00891367,0.00732364,0.00600861,0.00492371,0.00403045,0.00329616,0.00269338,0.00219911,0.00179416,0.0014626,0.0011912,0.00096903,0.0007871,0.000638031,0.000515797,0.000415501,0.000333175,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.60145,-6.30362,-5.99002,-0,-5.33489,-15.0215,-4.68837,-13.1527,-16.3992,-15.3626,-21.6599,-17.0449,-32.3754,-34.045,-11.9227,-31.8359,-42.5325,-33.6611,-42.0417,-36.7495,-28.7555,-26.5258,-21.2862,-22.085,-6.57616,-30.9415,-28.8127,-15.1022,-23.7404,-8.2859,-17.3313,-13.5763,-4.72017,-4.91665,-10.2291,-0,-0,-0,-5.91696,-6.1197,-0,-0,-0,-6.93922,-0,-7.35712,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,3,2,0,7,5,9,7,5,9,11,11,19,14,5,3,8,16,9,9,9,9,8,4,2,0,4,1,1,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
