# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 09:17:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c212d83aa2.json
# init = /tmp/RtmpC8O1hA/init-b41c2399b2605_1.json
# random
#   seed = 4052011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0400_rep040_manuscript_default/prior_sensitivity_obspair_FAST-202605311017-1-6d31af.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0400_rep040_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605311017-1-4fd4e7.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0910575
# Diagonal elements of inverse mass matrix:
# 0.079251, 0.0681206, 0.157105, 0.0134026, 0.0867924, 0.175974, 0.257185
-548.157,0.993522,0.0910575,5,31,0,555.149,-1.12469,-1.13872,-0.435698,-1.27671,2.7666,1.21892,-0.922541,5.42678,3.53235,4.46376e-05,5.24038e-05,6.17276e-05,7.2997e-05,8.67252e-05,0.000103603,0.000124575,0.000150967,0.000184682,0.000228525,0.000286784,0.000366266,0.000478319,0.000642999,0.000898175,0.00131866,0.00204713,0.00332725,0.00552375,0.00910417,0.0145491,0.0220654,0.0314221,0.0418337,0.0520143,0.0604224,0.0657789,0.0676699,0.0664732,0.0629779,0.0580886,0.0525982,0.0470607,0.0417907,0.0369333,0.0325372,0.028602,0.0251036,0.0220079,0.0192773,0.0168742,0.0147629,0.0129104,0.0112864,0.00986402,0.00861886,0.0075294,0.00657655,0.00574342,0.00501515,0.00437864,0.00382239,0.00333624,0.00291125,0.00253944,0.00221356,0.00192667,0.00167181,0.0014421,0.00123132,0.00103467,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.64523,-7.34937,-7.01515,-0,-6.19132,-17.1168,-5.1987,-14.0971,-16.9209,-15.255,-20.7615,-15.8703,-29.5624,-30.8704,-10.8858,-29.6243,-40.6643,-33.1797,-42.6868,-38.286,-30.5632,-28.5757,-23.0905,-23.9776,-7.10856,-33.1627,-30.5308,-15.7953,-24.4918,-8.43127,-17.3989,-13.4525,-4.61886,-4.7538,-9.77788,-0,-0,-0,-5.43102,-5.56688,-0,-0,-0,-6.11315,-0,-6.39385,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,6,5,3,3,8,12,13,14,11,13,12,7,13,12,12,4,8,7,5,1,4,4,1,0,1,1,2,5,3,0,0,3,1,0,0,0,1,0,1,0,1
-546.677,0.997386,0.0910575,6,63,0,552.36,-2.77594,-2.44732,-2.3114,0.019855,3.15268,0.15184,-0.973475,4.66253,1.9817,5.25654e-06,8.75151e-06,1.45668e-05,2.42363e-05,4.02937e-05,6.68993e-05,0.000110808,0.000182794,0.000299545,0.000485861,0.000776645,0.00121806,0.00186745,0.00279192,0.00406559,0.0057654,0.00796516,0.0107278,0.0140966,0.0180859,0.0226742,0.0277457,0.0331376,0.0386457,0.0440344,0.0490474,0.0534204,0.0568944,0.0592343,0.0602557,0.0598599,0.0580654,0.0550158,0.0509503,0.0461554,0.0409216,0.0355176,0.0301779,0.0250973,0.0204275,0.0162737,0.0126941,0.00970247,0.0072744,0.0053572,0.00388127,0.00277081,0.00195221,0.0013595,0.000937047,0.000640017,0.00043364,0.000291722,0.000195008,0.000129618,8.57161e-05,5.64229e-05,3.69853e-05,2.41514e-05,1.57156e-05,1.01932e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.28318,-5.88102,-5.5052,-0,-4.83268,-13.6047,-4.26182,-12.0379,-15.1461,-14.3387,-20.4425,-16.2666,-31.2278,-33.1646,-11.7183,-31.5321,-42.3938,-33.7099,-42.2362,-37.0004,-29.0014,-26.7921,-21.5302,-22.3727,-6.67545,-31.5058,-29.4799,-15.5635,-24.7092,-8.73324,-18.5415,-14.7702,-5.22931,-5.55159,-11.7772,-0,-0,-0,-7.35402,-7.7433,-0,-0,-0,-9.36447,-0,-10.205,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,5,2,2,3,5,4,3,6,8,8,12,10,13,15,16,11,13,12,6,5,5,5,5,6,2,4,3,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-544.46,0.971815,0.0910575,6,95,0,553.191,-1.89594,-1.92721,-0.820787,-0.711481,3.72135,2.33061,-2.10644,5.08967,2.45482,5.05213e-05,6.47453e-05,8.3035e-05,0.000106592,0.000136999,0.000176358,0.000227489,0.000294225,0.000381865,0.00049789,0.000653145,0.0008639,0.00115564,0.00156931,0.00216605,0.00303225,0.00428483,0.00607445,0.00858278,0.0120057,0.0165049,0.0221057,0.0286573,0.0358641,0.0433166,0.050515,0.0569001,0.0618909,0.0649376,0.0657903,0.0645554,0.0614972,0.0569896,0.0514742,0.0454205,0.0392858,0.033458,0.0281801,0.0235438,0.019551,0.016159,0.0133057,0.010923,0.00894456,0.007309,0.00596174,0.0048552,0.00394858,0.00320732,0.00260232,0.00210932,0.00170811,0.00138201,0.00111723,0.000902417,0.000728269,0.000587162,0.000472867,0.00038031,0.000305366,0.00024469,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.7631,-6.45712,-6.13485,-0,-5.45267,-15.311,-4.758,-13.2671,-16.4164,-15.2477,-21.3141,-16.6401,-31.3922,-32.8403,-11.4658,-30.6062,-41.0149,-32.6554,-41.1035,-36.2539,-28.6489,-26.7001,-21.6425,-22.6582,-6.79493,-32.1222,-29.9911,-15.7389,-24.7517,-8.63913,-18.0675,-14.1501,-4.91865,-5.12239,-10.6554,-0,-0,-0,-6.16139,-6.37237,-0,-0,-0,-7.22484,-0,-7.6567,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,0,4,2,8,12,9,11,12,10,16,11,14,15,7,10,11,7,5,2,6,5,7,3,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
-546.393,0.968359,0.0910575,5,63,0,548.904,-3.92765,-1.99864,-2.72224,-0.57943,3.57401,2.35672,-0.885105,5.04037,2.62949,7.93564e-05,0.000105067,0.000139133,0.000184286,0.000244168,0.000323642,0.000429218,0.000569649,0.00075676,0.00100664,0.00134136,0.00179159,0.00240056,0.0032268,0.0043373,0.00580478,0.00770615,0.0101193,0.0131171,0.0167568,0.0210601,0.0259074,0.0311163,0.0364734,0.0417438,0.0466689,0.0509607,0.0542931,0.0562932,0.0567873,0.0559215,0.053893,0.0509191,0.047225,0.0430375,0.0385851,0.0340932,0.0297542,0.0256971,0.0219948,0.0186798,0.0157563,0.0132102,0.0110159,0.0091418,0.00755343,0.00621632,0.00509742,0.00416607,0.00339452,0.00275806,0.00223508,0.00180685,0.00145734,0.00117289,0.000942028,0.000755107,0.000604108,0.00048238,0.000384435,0.000305762,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.03205,-5.73626,-5.4405,-0,-4.86574,-13.7799,-4.33384,-12.2669,-15.4415,-14.6129,-20.8201,-16.5559,-31.762,-33.7115,-11.9068,-32.0469,-43.1577,-34.4213,-43.2571,-37.9698,-29.7752,-27.4755,-22.0198,-22.7842,-6.75732,-31.6331,-29.291,-15.2678,-23.8819,-8.30103,-17.3071,-13.5252,-4.6949,-4.88575,-10.1612,-0,-0,-0,-5.89323,-6.10348,-0,-0,-0,-6.96748,-0,-7.41176,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,3,2,0,5,5,7,7,7,5,7,14,12,10,14,10,8,8,12,12,8,3,8,5,3,4,2,4,3,1,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0
-545.609,0.959356,0.0910575,6,63,0,549.458,-1.03373,-0.328221,0.0877229,-0.733845,2.95411,-0.706179,-0.745265,5.88526,3.08434,0.000102679,0.000130739,0.000166534,0.000212234,0.000270645,0.000345397,0.000441216,0.000564276,0.000722681,0.000927126,0.00119178,0.00153549,0.0019833,0.0025684,0.00333435,0.00433708,0.00564626,0.00734443,0.00952261,0.0122711,0.0156648,0.019712,0.0243431,0.0293974,0.0346264,0.0397192,0.0443447,0.048199,0.051048,0.0527527,0.0532773,0.0526795,0.0510894,0.0486843,0.0456626,0.042223,0.0385481,0.0347949,0.0310905,0.0275311,0.0241843,0.0210932,0.0182806,0.0157534,0.013507,0.0115284,0.00979964,0.00829953,0.00700572,0.00589577,0.00494803,0.00414216,0.00345946,0.00288301,0.00239772,0.00199023,0.00164885,0.00136342,0.00112518,0.000926622,0.000761352,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.223,-5.96447,-5.70348,-0,-5.17676,-14.7414,-4.65409,-13.2015,-16.6253,-15.7061,-22.293,-17.6342,-33.6314,-35.4851,-12.4631,-33.3566,-44.6248,-35.3057,-43.9837,-38.2659,-29.7418,-27.2016,-21.6053,-22.1535,-6.5117,-30.2245,-27.7668,-14.3698,-22.3323,-7.71761,-16.0077,-12.4521,-4.30455,-4.46294,-9.25082,-0,-0,-0,-5.30877,-5.48654,-0,-0,-0,-6.21951,-0,-6.59776,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,2,4,7,10,6,11,10,9,13,14,11,10,7,10,10,6,5,3,6,11,5,3,5,4,2,1,0,0,2,1,1,0,0,1,0,1,0,0,0,1,0
-540.345,0.941932,0.0910575,5,31,0,549.403,-1.58741,-0.84574,-0.955877,-0.63577,2.98634,-0.575959,-0.149754,5.41592,2.915,7.47713e-05,9.75204e-05,0.000127217,0.000165999,0.000216668,0.000282907,0.000369554,0.00048298,0.000631581,0.000826431,0.00108214,0.00141799,0.00185937,0.00243976,0.00320324,0.00420817,0.00553231,0.00728045,0.00959654,0.0126876,0.0168879,0.0219983,0.0277703,0.0338879,0.0399782,0.0456395,0.0504849,0.0541909,0.0565393,0.0574412,0.0569385,0.0551827,0.0524004,0.0488543,0.0448087,0.0405047,0.036145,0.0318883,0.0278496,0.024105,0.020698,0.0176467,0.0149501,0.0125937,0.0105548,0.00880538,0.00731555,0.00605499,0.00499456,0.00410703,0.0033676,0.00275406,0.00224685,0.00182892,0.00148557,0.00120424,0.000974271,0.000786676,0.000633911,0.000509675,0.000408713,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.28752,-6.01586,-5.74359,-0,-5.19715,-14.7677,-4.64635,-13.1014,-16.3246,-15.2672,-21.5027,-16.9235,-32.1942,-33.9568,-11.9443,-32.0677,-43.0923,-34.2839,-42.9868,-37.6624,-29.4884,-27.1702,-21.7375,-22.4444,-6.64043,-31.0096,-28.6475,-14.9013,-23.2663,-8.07441,-16.8122,-13.1237,-4.55118,-4.73239,-9.83551,-0,-0,-0,-5.69356,-5.89468,-0,-0,-0,-6.72191,-0,-7.14769,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,3,3,5,8,4,6,15,14,7,12,10,15,6,16,9,6,7,8,6,5,6,2,2,3,1,3,2,2,0,0,1,1,0,2,2,0,1,1,0,0,0
