# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 09:17:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c212d83aa2.json
# init = /tmp/RtmpC8O1hA/init-b41c2399b2605_4.json
# random
#   seed = 4052011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0400_rep040_manuscript_default/prior_sensitivity_obspair_FAST-202605311017-4-6d31af.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0400_rep040_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605311017-4-4fd4e7.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.037132
# Diagonal elements of inverse mass matrix:
# 0.0954811, 0.0841533, 0.205241, 0.150987, 0.391814, 0.273868, 0.301066
-542.283,0.964154,0.037132,7,127,0,544.427,-2.17217,-1.15656,-1.76143,-0.591725,2.66739,-0.501718,-1.96547,5.74733,2.9625,7.89993e-05,0.000104289,0.000137705,0.000181875,0.000240281,0.000317535,0.000419745,0.000554978,0.000733856,0.000970283,0.0012823,0.00169306,0.00223179,0.00293473,0.00384576,0.00501661,0.00650648,0.00838085,0.0107095,0.0135634,0.0170113,0.0209755,0.0253419,0.0299597,0.0346439,0.0391826,0.0433494,0.0469219,0.0497028,0.0515419,0.0523542,0.0521283,0.0509247,0.0488637,0.0461067,0.0428349,0.0392306,0.0354622,0.0316748,0.0279853,0.0244815,0.0212242,0.0182501,0.0155763,0.0132047,0.0111256,0.00932159,0.00777047,0.00644749,0.00532716,0.00438449,0.00359583,0.00293941,0.00239556,0.00194686,0.00157804,0.0012759,0.00102914,0.000828145,0.000664825,0.000532396,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.10495,-5.83114,-5.56078,-0,-5.03496,-14.3454,-4.53663,-12.9011,-16.2955,-15.4576,-22.0518,-17.5395,-33.6263,-35.6348,-12.5538,-33.652,-45.0254,-35.5843,-44.2458,-38.4026,-29.7741,-27.1685,-21.5376,-22.0528,-6.4766,-30.0536,-27.6179,-14.3043,-22.259,-7.70523,-16.0143,-12.486,-4.32718,-4.49851,-9.35084,-0,-0,-0,-5.42968,-5.62798,-0,-0,-0,-6.45157,-0,-6.87903,-0,-0,-0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,3,1,0,1,5,6,2,4,10,9,7,4,10,9,13,13,17,8,13,7,10,8,5,4,3,2,1,3,3,2,2,1,4,1,1,2,1,0,0,0,1,0,0,0,0
-542.662,0.993779,0.037132,6,63,0,545.177,-2.07525,-1.15593,-2.1505,-0.501566,3.55604,1.23084,-1.36543,4.7844,2.39906,3.25039e-05,4.40608e-05,5.97569e-05,8.11002e-05,0.00011017,0.00014985,0.000204179,0.000278873,0.000382159,0.000526114,0.000728942,0.00101874,0.00143836,0.00204792,0.00292398,0.00415921,0.0058625,0.00815766,0.0111789,0.0150604,0.0199198,0.0256389,0.0320259,0.038819,0.0456929,0.0522557,0.0580402,0.0624953,0.0650265,0.0652403,0.063279,0.0596219,0.0547875,0.0492409,0.043376,0.0375182,0.031926,0.0267879,0.0222159,0.0182503,0.0148768,0.0120492,0.00970618,0.00778227,0.00621429,0.00494436,0.00392129,0.0031009,0.00244569,0.00192429,0.00151069,0.00118356,0.000925507,0.000722424,0.00056295,0.000437969,0.000340196,0.000263832,0.000204277,0.000157888,0.000121793,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.54425,-6.19093,-5.83481,-0,-5.13918,-14.4264,-4.49373,-12.5871,-15.6642,-14.6546,-20.6473,-16.2442,-30.8581,-32.4677,-11.3865,-30.4993,-40.9944,-32.7561,-41.403,-36.6565,-29.0429,-27.0993,-21.9649,-22.9805,-6.88867,-32.5783,-30.4556,-16.0143,-25.2477,-8.83751,-18.54,-14.5677,-5.0809,-5.30951,-11.0827,-0,-0,-0,-6.49519,-6.73923,-0,-0,-0,-7.73336,-0,-8.2402,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,2,4,5,6,4,9,9,9,18,20,13,12,15,11,9,10,7,4,6,3,2,2,4,3,2,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
-542.759,0.997734,0.037132,6,127,0,545.934,-2.06283,-2.03694,-0.43243,-0.171356,3.19272,-0.482809,-1.77943,4.85057,2.11032,1.2651e-05,1.9229e-05,2.92024e-05,4.42996e-05,6.71053e-05,0.000101463,0.00015305,0.000230174,0.000344866,0.000514308,0.000762627,0.00112299,0.00163982,0.00237065,0.00338698,0.00477321,0.00662258,0.00902944,0.0120776,0.0158256,0.0202902,0.0254193,0.031084,0.0370718,0.0430919,0.0487943,0.0538036,0.0577632,0.0603837,0.061483,0.0610098,0.0590449,0.0557818,0.0514949,0.0465005,0.0411198,0.035648,0.0303326,0.0253616,0.0208613,0.0169006,0.0135003,0.0106448,0.00829344,0.00639087,0.00487542,0.00368522,0.00276221,0.00205452,0.00151745,0.0011136,0.000812453,0.000589572,0.000425737,0.000306047,0.000219097,0.000156252,0.00011104,7.86518e-05,5.55395e-05,3.91052e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.41317,-6.04459,-5.68782,-0,-5.01727,-14.1218,-4.4164,-12.4384,-15.5905,-14.689,-20.8264,-16.4745,-31.4442,-33.2216,-11.6897,-31.3654,-42.1055,-33.4679,-41.9508,-36.783,-28.8631,-26.6965,-21.478,-22.3389,-6.66812,-31.4598,-29.3962,-15.4794,-24.4824,-8.61009,-18.1707,-14.3769,-5.05289,-5.32355,-11.2069,-0,-0,-0,-6.80016,-7.11545,-0,-0,-0,-8.426,-0,-9.10562,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,4,6,8,6,8,7,9,21,9,11,13,14,8,7,11,10,10,6,6,6,3,1,3,0,2,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
-544.444,0.968074,0.037132,3,7,0,546.06,-2.0231,-2.04243,-0.440468,-0.157332,3.1619,-0.425697,-1.76946,4.72836,2.05708,1.08869e-05,1.66578e-05,2.5471e-05,3.89125e-05,5.93778e-05,9.04674e-05,0.00013756,0.000208625,0.00031536,0.000474707,0.000710822,0.00105744,0.00156048,0.00228038,0.00329343,0.00469105,0.00657564,0.00905213,0.0122149,0.0161307,0.0208195,0.0262243,0.0322006,0.0385097,0.0448255,0.0507575,0.0558907,0.0598387,0.0622982,0.0630937,0.0622001,0.0597393,0.0559533,0.0511638,0.0457271,0.0399926,0.0342704,0.0288098,0.0237899,0.0193212,0.0154527,0.0121853,0.00948495,0.007296,0.00555184,0.00418323,0.00312389,0.0023139,0.00170129,0.00124249,0.000901885,0.000651015,0.000467547,0.00033423,0.000237916,0.000168698,0.00011919,8.3932e-05,5.8922e-05,4.12451e-05,2.87926e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.46276,-6.08342,-5.71583,-0,-5.02438,-14.1143,-4.4051,-12.3811,-15.4875,-14.5643,-20.6146,-16.2842,-31.0498,-32.7877,-11.5374,-30.9771,-41.6373,-33.1576,-41.661,-36.6309,-28.8324,-26.7545,-21.5955,-22.5334,-6.74695,-31.9234,-29.9079,-15.7862,-25.0198,-8.81505,-18.6322,-14.7613,-5.19363,-5.47667,-11.5374,-0,-0,-0,-7.01102,-7.33698,-0,-0,-0,-8.6874,-0,-9.3855,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,3,3,3,2,0,5,3,9,15,7,10,11,9,15,15,4,19,15,13,8,3,6,5,3,2,3,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
-544.971,0.985858,0.037132,4,23,0,548.083,-2.31325,-2.19858,-0.696911,-0.524404,3.04581,-0.677436,-1.63813,5.80431,2.81374,0.000100505,0.000134753,0.000180541,0.00024167,0.000323134,0.000431453,0.000575083,0.000764887,0.00101466,0.0013417,0.00176728,0.00231705,0.00302109,0.00391361,0.00503189,0.00641452,0.00809875,0.010117,0.0124929,0.0152366,0.0183412,0.0217655,0.025439,0.0292608,0.0331026,0.0368148,0.0402371,0.0432117,0.0455978,0.0472854,0.0482044,0.0483305,0.047684,0.0463251,0.0443454,0.0418577,0.038986,0.0358559,0.0325864,0.0292846,0.0260412,0.0229292,0.0200031,0.0173001,0.0148422,0.0126382,0.0106866,0.0089778,0.0074969,0.00622532,0.00514261,0.00422775,0.00346007,0.00281999,0.00228939,0.00185187,0.00149287,0.00119959,0.000960995,0.000767616,0.000611431,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.80214,-5.54329,-5.29196,-0,-4.81605,-13.7806,-4.3826,-12.5522,-15.9944,-15.3097,-22.0288,-17.6575,-34.0814,-36.3204,-12.8519,-34.5581,-46.3184,-36.6187,-45.4846,-39.386,-30.4316,-27.6486,-21.8102,-22.2144,-6.4891,-29.9542,-27.3909,-14.1228,-21.8884,-7.55069,-15.6475,-12.1711,-4.21028,-4.37103,-9.07754,-0,-0,-0,-5.27019,-5.46609,-0,-0,-0,-6.29156,-0,-6.72577,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,2,1,4,2,3,5,10,6,13,5,6,7,10,10,9,6,9,10,10,13,6,6,6,6,5,4,2,4,2,3,3,1,0,0,2,2,1,0,0,0,0,0,0,1
-539.755,0.999058,0.037132,5,47,0,548.821,-2.50509,-1.67681,-1.48631,-0.572982,4.10948,0.708251,-0.858895,5.64166,2.57597,4.26623e-05,5.66541e-05,7.52776e-05,0.000100099,0.000133241,0.000177599,0.000237157,0.00031747,0.00042638,0.000575114,0.000779857,0.00106367,0.00145828,0.00200537,0.00275741,0.00377797,0.00514085,0.00692737,0.00922063,0.012096,0.0156091,0.0197469,0.0244443,0.0295793,0.0349756,0.0404065,0.0456004,0.0502473,0.0540137,0.0565835,0.0577388,0.0574368,0.0557994,0.0530426,0.0494202,0.0451929,0.0406126,0.0359107,0.0312874,0.0269026,0.0228688,0.019251,0.0160726,0.0133263,0.0109845,0.00900881,0.00735631,0.00598399,0.00485118,0.00392088,0.00316027,0.00254084,0.00203812,0.00163137,0.00130319,0.00103905,0.000826935,0.000656948,0.000520975,0.000412391,0.000325813,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.5305,-6.21193,-5.89346,-0,-5.27054,-14.9168,-4.68631,-13.2446,-16.6396,-15.699,-22.2682,-17.6034,-33.531,-35.2964,-12.3514,-32.8988,-43.7778,-34.4644,-42.7774,-37.1419,-28.8599,-26.4299,-21.0518,-21.6777,-6.40735,-29.9405,-27.7163,-14.4621,-22.6679,-7.90039,-16.5226,-12.9541,-4.51127,-4.70955,-9.82439,-0,-0,-0,-5.7571,-5.97526,-0,-0,-0,-6.86945,-0,-7.32791,-0,-0,-0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,2,1,4,4,7,6,5,5,6,10,11,12,14,13,8,9,11,14,8,7,8,5,3,3,6,1,2,2,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0
