# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 09:48:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c257cc1d04.json
# init = /tmp/RtmpC8O1hA/init-b41c2605fed62_2.json
# random
#   seed = 4152004
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0403_rep041_accurate_strong/prior_sensitivity_obspair_FAST-202605311048-2-61d617.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0403_rep041_accurate_strong/prior_sensitivity_obspair_FAST-profile-202605311048-2-41a7eb.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.221606
# Diagonal elements of inverse mass matrix:
# 0.0702472, 0.0488162, 0.00857477, 0.00413665, 0.00627155, 0.0063476, 0.00664985
-528.919,1,0.221606,4,15,0,531.593,-2.24251,-2.36899,-1.43987,-0.395539,3.53523,0.0770423,-1.28165,5.17383,2.36413,4.06637e-05,5.69659e-05,7.98156e-05,0.000111852,0.00015678,0.000219807,0.000308237,0.000432282,0.000606131,0.000849247,0.0011878,0.00165596,0.00229661,0.00316116,0.004308,0.00579954,0.00769752,0.0100568,0.0129176,0.0162982,0.0201871,0.0245159,0.029173,0.0340043,0.0388193,0.0433997,0.0475128,0.050928,0.0534388,0.054889,0.0551958,0.0543631,0.0524759,0.0496826,0.0461714,0.0421495,0.0378255,0.0333955,0.0290315,0.0248736,0.0210254,0.0175534,0.0144906,0.0118413,0.00958882,0.00770218,0.00614232,0.00486706,0.00383457,0.00300571,0.00234521,0.00182229,0.00141066,0.00108828,0.000836939,0.000641786,0.000490815,0.000374414,0.000284938,0.000216351,0.00016391,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.40337,-0,-0,-5.44728,-5.14998,-4.86686,-22.9976,-17.3966,-4.1167,-7.80543,-14.8337,-17.6726,-27.0502,-19.493,-28.2357,-30.4676,-32.7508,-46.8675,-43.5366,-28.9687,-26.2086,-26.5266,-48.0336,-15.377,-34.8319,-16.3739,-20.396,-10.6181,-22.1637,-15.4481,-12.1275,-33.874,-8.87232,-0,-9.7325,-0,-0,-0,-0,-6.05538,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,3,1,5,5,4,5,7,11,9,10,12,15,15,6,6,9,6,8,4,7,5,7,8,5,4,3,5,2,1,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0
-528.848,0.998257,0.221606,5,47,0,531.6,-2.84687,-1.53068,-1.18408,-0.422673,3.17451,-0.025271,-0.928533,5.20361,2.41881,2.65261e-05,3.68451e-05,5.11954e-05,7.11665e-05,9.89862e-05,0.000137786,0.000191978,0.000267807,0.000374118,0.000523464,0.000733601,0.00102943,0.00144533,0.00202755,0.0028362,0.00394615,0.005446,0.00743448,0.0100137,0.0132792,0.0173072,0.0220868,0.0275366,0.0334902,0.0396893,0.0457886,0.0513781,0.0560279,0.059354,0.0610899,0.0611367,0.0595716,0.0566154,0.0525784,0.0478057,0.0426331,0.037357,0.0322168,0.0273888,0.0229881,0.0190758,0.0156704,0.0127586,0.0103064,0.00826785,0.00659178,0.00522681,0.0041243,0.00324014,0.0025355,0.00197702,0.00153655,0.00119065,0.000920093,0.000709205,0.000545354,0.000418416,0.000320334,0.00024473,0.00018658,0.000141943,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.87875,-0,-0,-5.86529,-5.53502,-5.21287,-24.5081,-18.4152,-4.32156,-8.11327,-15.2511,-17.9612,-27.172,-19.36,-27.7535,-29.6854,-31.701,-45.1878,-41.9311,-27.9464,-25.3852,-25.8433,-47.1272,-15.2031,-34.7064,-16.4362,-20.6116,-10.7929,-22.6367,-15.8373,-12.4679,-34.8924,-9.14997,-0,-10.0439,-0,-0,-0,-0,-6.22616,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,4,5,10,5,4,6,12,11,12,11,18,10,12,10,8,11,9,4,5,7,4,3,1,1,1,3,0,0,2,1,1,1,1,0,0,0,1,0,0,0,0
-528.918,0.973761,0.221606,4,31,0,532.356,-2.24456,-2.90294,-1.29321,-0.348636,3.52806,0.00517608,-1.27259,5.11955,2.29557,3.60224e-05,5.1269e-05,7.29695e-05,0.000103854,0.0001478,0.000210308,0.000299149,0.000425236,0.000603738,0.000855407,0.00120798,0.00169736,0.00236819,0.00327339,0.00447227,0.00602708,0.00799768,0.0104347,0.0133716,0.0168162,0.0207444,0.0250819,0.0297121,0.0344786,0.0391925,0.043642,0.0476064,0.0508724,0.0532536,0.0546115,0.0548737,0.0540428,0.0521928,0.0494557,0.0460039,0.0420323,0.0377422,0.0333269,0.0289597,0.0247846,0.0209103,0.0174091,0.0143184,0.0116464,0.00937852,0.00748452,0.00592503,0.00465677,0.00363647,0.00282336,0.00218072,0.00167651,0.00128345,0.000978771,0.000743811,0.000563439,0.00042554,0.000320505,0.000240771,0.000180431,0.000134896,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.37868,-0,-0,-5.40986,-5.11149,-4.8286,-22.8131,-17.2585,-4.08541,-7.75096,-14.7424,-17.581,-26.9393,-19.4356,-28.1856,-30.4479,-32.7628,-46.9231,-43.6127,-29.0272,-26.2618,-26.5753,-48.1068,-15.3951,-34.8625,-16.3849,-20.4083,-10.6255,-22.1852,-15.47,-12.1523,-33.9697,-8.90552,-0,-9.78984,-0,-0,-0,-0,-6.1281,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,5,1,3,2,4,6,7,8,10,9,14,12,9,14,14,8,8,4,10,7,11,3,6,4,3,1,2,1,1,2,2,0,0,1,0,1,0,1,0,0,0,0,0,0
-528.706,0.999026,0.221606,4,31,0,530.587,-2.33905,-2.40317,-1.12982,-0.345719,3.2373,0.105455,-0.917043,4.83981,2.21489,2.77273e-05,3.95112e-05,5.63095e-05,8.02618e-05,0.000114425,0.000163168,0.000232739,0.000332065,0.000473875,0.000676219,0.000964418,0.00137333,0.00194956,0.00275294,0.00385647,0.00534387,0.00730414,0.0098227,0.0129694,0.0167846,0.021265,0.0263316,0.0318362,0.0375617,0.0432315,0.0485266,0.0531117,0.0566698,0.0589451,0.0597832,0.0591551,0.057155,0.0539749,0.0498712,0.0451315,0.0400457,0.0348808,0.0298624,0.0251634,0.0208999,0.0171347,0.0138861,0.0111384,0.00885375,0.00698163,0.00546658,0.00425359,0.00329136,0.00253415,0.00194244,0.0014829,0.00112793,0.000855067,0.000646231,0.000487021,0.000366074,0.000274489,0.000205342,0.000153276,0.000114168,8.48618e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.59052,-0,-0,-5.558,-5.2318,-4.91931,-23.1153,-17.3806,-4.08729,-7.70139,-14.5479,-17.2358,-26.2542,-18.8471,-27.2308,-29.3536,-31.5756,-45.2984,-42.2555,-28.2759,-25.7579,-26.2731,-47.973,-15.4909,-35.3951,-16.7791,-21.0669,-11.0471,-23.2081,-16.2666,-12.8306,-35.9789,-9.45383,-0,-10.4182,-0,-0,-0,-0,-6.51376,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,5,3,2,3,5,8,6,10,13,8,18,15,15,7,13,4,8,11,4,5,1,6,6,7,2,0,7,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0
-528.242,1,0.221606,3,7,0,528.96,-2.40652,-2.37281,-1.17316,-0.360156,3.21854,0.111034,-0.943907,4.88075,2.24588,2.98446e-05,4.2314e-05,6.00007e-05,8.50937e-05,0.000120706,0.000171266,0.000243078,0.000345107,0.000490083,0.000695984,0.000987928,0.00140036,0.00197916,0.00278301,0.00388325,0.00536147,0.00730417,0.00979433,0.0128999,0.0166606,0.0210745,0.026065,0.0314887,0.0371355,0.042737,0.0479826,0.052544,0.056109,0.0584229,0.0593292,0.0587942,0.0569051,0.0538459,0.0498649,0.0452415,0.0402583,0.0351769,0.03022,0.0255597,0.0213134,0.0175471,0.0142826,0.0115086,0.00919087,0.00728221,0.0057298,0.0044805,0.00348433,0.00269631,0.00207728,0.00159396,0.00121865,0.000928613,0.000705449,0.000534407,0.000403777,0.000304332,0.00022885,0.00017171,0.000128562,9.60558e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.57103,-0,-0,-5.55108,-5.22852,-4.91931,-23.1298,-17.4021,-4.09471,-7.71939,-14.5887,-17.2906,-26.3455,-18.9161,-27.3323,-29.461,-31.685,-45.4407,-42.3698,-28.3371,-25.7973,-26.2947,-47.975,-15.4787,-35.3368,-16.7368,-20.9955,-11.0002,-23.0905,-16.1715,-12.7461,-35.7173,-9.37909,-0,-10.3242,-0,-0,-0,-0,-6.44153,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,2,3,5,7,5,12,8,8,15,16,15,11,7,10,8,12,9,10,5,4,4,3,2,5,3,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-529.06,0.985744,0.221606,5,31,0,530.814,-2.34877,-1.96554,-1.30617,-0.407703,3.89819,0.0814766,-1.07915,5.44232,2.38251,3.03443e-05,4.23601e-05,5.91552e-05,8.26486e-05,0.000115543,0.000161656,0.000226383,0.000317362,0.000445374,0.000625525,0.000878671,0.00123293,0.001725,0.00240097,0.00331618,0.00453388,0.00612223,0.00814945,0.010677,0.0137512,0.0173945,0.0215747,0.0262133,0.0311818,0.0363025,0.0413543,0.0460837,0.050221,0.0535045,0.0557117,0.0566945,0.0564049,0.0549,0.0523251,0.0488837,0.0448089,0.0403388,0.0356986,0.0310867,0.0266654,0.0225561,0.018838,0.0155523,0.0127077,0.0102884,0.00826236,0.00658792,0.00521973,0.00411264,0.00322433,0.00251673,0.00195663,0.00151575,0.00117039,0.000901035,0.000691768,0.000529749,0.000404706,0.000308475,0.00023461,0.000178047,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.69836,-0,-0,-5.70894,-5.39618,-5.09583,-24.049,-18.1587,-4.28663,-8.10321,-15.3449,-18.2074,-27.7434,-19.8952,-28.6702,-30.773,-32.9045,-46.8478,-43.3135,-28.7008,-25.8768,-26.1202,-47.2045,-15.0916,-34.1588,-16.0522,-19.9959,-10.4129,-21.7463,-15.167,-11.9156,-33.3084,-8.7311,-0,-9.59209,-0,-0,-0,-0,-5.9848,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,1,0,0,4,4,5,5,6,8,8,9,12,11,12,7,12,11,14,3,9,15,6,8,3,6,2,3,1,4,1,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0
