# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 09:52:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c216a30410.json
# init = /tmp/RtmpC8O1hA/init-b41c229b23df_1.json
# random
#   seed = 4152005
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0404_rep041_mildly_wrong_weak/prior_sensitivity_obspair_FAST-202605311052-1-6060c4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0404_rep041_mildly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605311052-1-4f8c02.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0823719
# Diagonal elements of inverse mass matrix:
# 0.0792886, 0.0663926, 0.0860657, 0.0329549, 0.116604, 0.119889, 0.205715
-528.815,0.99902,0.0823719,5,31,0,533.016,-1.19876,-1.20605,-1.90514,-0.21214,5.51255,1.26186,-0.770484,5.09101,2.14061,7.90706e-06,1.18778e-05,1.7865e-05,2.69216e-05,4.06879e-05,6.177e-05,9.44246e-05,0.000145826,0.000228044,0.0003595,0.000565012,0.000876034,0.00133149,0.00197882,0.00287503,0.00408754,0.00569462,0.00778488,0.0104549,0.0138041,0.0179259,0.0226825,0.0279103,0.0334294,0.0390497,0.044572,0.0497846,0.0544593,0.0583476,0.0611762,0.0626454,0.0624389,0.0603008,0.0563174,0.051073,0.045219,0.0392345,0.0334335,0.0280098,0.023075,0.0186857,0.0148623,0.0116026,0.00888868,0.00668958,0.0049583,0.00363121,0.00263536,0.00189956,0.00136188,0.000972169,0.000691463,0.000490279,0.000346684,0.00024455,0.000172127,0.000120908,8.47705e-05,5.93279e-05,4.14488e-05,2.89058e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.04011,-0,-0,-5.85169,-5.49981,-5.16823,-24.2779,-18.2427,-4.28279,-8.04301,-15.1447,-17.8938,-27.1866,-19.4575,-27.9958,-30.0005,-32.0133,-45.4614,-41.91,-27.7026,-24.9621,-25.2757,-46.028,-14.8725,-34.0586,-16.191,-20.3892,-10.7256,-22.614,-15.92,-12.6268,-35.6522,-9.44595,-0,-10.6134,-0,-0,-0,-0,-6.93598,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3,3,3,3,5,9,4,12,7,7,11,12,12,12,18,11,8,7,6,7,7,5,5,6,3,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-532.739,0.978597,0.0823719,5,63,0,536.424,-1.03473,-2.55419,-1.4364,0.218286,5.77215,1.82278,0.606627,4.89963,1.86541,1.41588e-06,2.63791e-06,4.91584e-06,9.1648e-06,1.71002e-05,3.19552e-05,5.98858e-05,0.000112791,0.000212722,0.000390193,0.000680161,0.0011228,0.0017649,0.00266164,0.00387855,0.00549302,0.00759412,0.0102782,0.013635,0.0177202,0.0226075,0.0276378,0.0325433,0.0371558,0.0414045,0.0452636,0.048712,0.0517064,0.0541615,0.0559371,0.0568332,0.0565865,0.0548414,0.0514343,0.0471662,0.0426069,0.0380201,0.0335287,0.0291795,0.0249837,0.0209463,0.0170857,0.0134482,0.0101168,0.00721695,0.00488798,0.00317996,0.00201106,0.00124619,0.000760427,0.000458432,0.000273675,0.000162057,9.53067e-05,5.57224e-05,3.24136e-05,1.87711e-05,1.08279e-05,6.22403e-06,3.56641e-06,2.03775e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.79193,-0,-0,-5.55229,-5.20428,-4.88038,-22.8887,-17.1805,-4.03305,-7.57895,-14.3543,-17.1259,-26.3411,-19.1062,-27.8573,-30.2183,-32.5839,-46.6526,-43.2529,-28.6764,-25.8479,-26.1298,-47.4792,-15.2704,-34.7131,-16.3482,-20.3721,-10.6029,-22.1372,-15.4632,-12.2085,-34.4713,-9.18712,-0,-10.642,-0,-0,-0,-0,-7.6877,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,4,9,7,7,12,5,6,9,13,3,13,15,9,17,9,9,9,6,3,8,3,6,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-531.634,0.990726,0.0823719,6,63,0,535.505,-1.27206,-2.79145,-1.56063,0.297628,6.15222,1.63093,0.168971,5.17635,1.88999,9.73683e-07,1.90985e-06,3.74741e-06,7.35807e-06,1.44673e-05,2.85213e-05,5.64855e-05,0.000111939,0.000215995,0.000395113,0.00068074,0.00110976,0.00172501,0.0025757,0.00371771,0.00521351,0.00713109,0.00954038,0.0125041,0.0160565,0.0201671,0.0246385,0.029252,0.0338227,0.0382138,0.0423175,0.0460373,0.0492776,0.0519377,0.0539086,0.0550719,0.0553019,0.054473,0.0524883,0.0494134,0.0455854,0.0413261,0.0368632,0.0323547,0.0279122,0.0236192,0.0195425,0.0157408,0.0122704,0.00918906,0.00655874,0.00444005,0.00286084,0.00177353,0.00106932,0.000631774,0.00036754,0.000211227,0.000120195,6.78339e-05,3.80175e-05,2.11801e-05,1.17387e-05,6.47643e-06,3.55881e-06,1.94855e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.80361,-0,-0,-5.59465,-5.2565,-4.94329,-23.2611,-17.5268,-4.13164,-7.80741,-14.8138,-17.659,-27.093,-19.5873,-28.463,-30.783,-33.1131,-47.3234,-43.807,-28.9911,-26.0545,-26.1905,-47.1546,-15.0377,-33.9698,-15.9313,-19.8032,-10.293,-21.4721,-14.9828,-11.8055,-33.212,-8.80112,-0,-10.0539,-0,-0,-0,-0,-7.36698,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,3,0,4,2,4,9,8,4,9,9,8,4,10,18,9,11,14,11,7,16,5,8,4,1,9,1,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-532.616,0.999803,0.0823719,5,31,0,533.94,-1.11284,-2.96114,-1.49623,0.351689,5.83187,1.64762,0.503342,4.88974,1.83182,6.00202e-07,1.22189e-06,2.48791e-06,5.06733e-06,1.03279e-05,2.10785e-05,4.31345e-05,8.85544e-05,0.000179597,0.000346462,0.000624759,0.00105628,0.00168999,0.0025829,0.00380053,0.00541706,0.00751399,0.0101759,0.0134792,0.0174685,0.0221255,0.0270762,0.0320481,0.0368472,0.0413548,0.0454851,0.0491577,0.0522831,0.0547547,0.0564447,0.0572018,0.056852,0.0552042,0.0521716,0.0481496,0.0436223,0.0388845,0.0341167,0.0294337,0.0249123,0.0206096,0.0165761,0.0128659,0.00954541,0.00670001,0.00442563,0.00276823,0.00166219,0.000969597,0.000553793,0.000311269,0.000172753,9.48976e-05,5.16877e-05,2.79511e-05,1.50224e-05,8.03088e-06,4.27326e-06,2.26445e-06,1.19556e-06,6.29134e-07,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.85301,-0,-0,-5.57261,-5.2182,-4.89099,-22.9387,-17.2264,-4.04735,-7.62205,-14.4364,-17.2026,-26.4078,-19.1134,-27.8133,-30.1272,-32.4619,-46.4783,-43.1174,-28.6117,-25.8057,-26.0704,-47.2515,-15.1672,-34.4541,-16.2358,-20.2678,-10.5768,-22.1544,-15.528,-12.2994,-34.8254,-9.30339,-0,-10.8407,-0,-0,-0,-0,-8.07485,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,6,4,6,9,8,12,6,9,17,8,10,14,11,7,6,9,10,6,6,7,7,5,2,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-528.101,0.985407,0.0823719,6,63,0,535.274,-2.38503,-2.40583,-1.28544,-0.270605,3.68558,-0.204766,-0.25158,5.28199,2.31741,2.517e-05,3.68362e-05,5.38915e-05,7.88034e-05,0.000115143,0.000168046,0.000244844,0.000355867,0.000515446,0.000743041,0.00106438,0.0015124,0.00212778,0.00295864,0.00405934,0.005488,0.00730265,0.00955621,0.0122905,0.0155297,0.0192749,0.0234672,0.0280073,0.0327551,0.0375337,0.0421365,0.0463394,0.0499172,0.0526637,0.0544148,0.0550692,0.0546029,0.0530706,0.0505945,0.0473447,0.0435177,0.0393164,0.0349351,0.0305483,0.026303,0.0223148,0.0186655,0.0154053,0.0125554,0.0101131,0.00805758,0.00635577,0.00496757,0.00385021,0.00296157,0.00226238,0.0017175,0.0012965,0.00097368,0.000727838,0.00054176,0.000401689,0.000296771,0.000218533,0.000160427,0.000117431,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.49406,-0,-0,-5.50673,-5.20519,-4.91952,-23.2528,-17.5957,-4.165,-7.89791,-15.0086,-17.8765,-27.3496,-19.6951,-28.5016,-30.7176,-32.9713,-47.1012,-43.6668,-28.9916,-26.169,-26.4252,-47.7426,-15.2515,-34.4805,-16.1806,-20.1256,-10.4653,-21.8284,-15.21,-11.9432,-33.3843,-8.75521,-0,-9.64228,-0,-0,-0,-0,-6.09134,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1,3,3,2,6,5,4,9,12,7,8,11,14,11,9,16,8,8,9,10,6,7,5,5,1,5,4,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
-529.185,0.999012,0.0823719,5,47,0,532.68,-2.50976,-1.90431,-1.28829,0.0135114,4.72388,0.686991,-0.968966,5.21152,1.78406,1.5378e-06,2.55383e-06,4.24235e-06,7.05056e-06,1.17264e-05,1.95263e-05,3.25726e-05,5.4471e-05,9.13492e-05,0.000153451,0.000257175,0.000427241,0.000698876,0.00112012,0.00175411,0.00268087,0.00399747,0.00581499,0.00824974,0.011407,0.0153582,0.0201016,0.0255572,0.0315661,0.0379013,0.0442841,0.0503986,0.055904,0.0604454,0.0636692,0.065257,0.0650026,0.0629166,0.0592416,0.0543446,0.0486142,0.0424171,0.0360845,0.0299079,0.0241328,0.0189507,0.0144884,0.0108004,0.00786986,0.00562269,0.00395145,0.00273935,0.00187779,0.00127517,0.000859083,0.000574832,0.000382357,0.000253003,0.000166633,0.000109291,7.14117e-05,4.65009e-05,3.01847e-05,1.95368e-05,1.26111e-05,8.12001e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.75816,-0,-0,-6.34579,-5.92162,-5.52209,-25.7366,-19.1903,-4.47353,-8.35221,-15.6278,-18.3342,-27.6454,-19.6366,-28.0542,-29.8779,-31.7253,-44.8962,-41.3108,-27.2942,-24.6,-24.8935,-45.2181,-14.5621,-33.2622,-15.801,-19.9314,-10.5289,-22.3451,-15.8637,-12.7032,-36.2254,-9.68943,-0,-11.0673,-0,-0,-0,-0,-7.46143,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,3,4,3,7,10,6,8,11,13,16,14,19,12,15,8,10,7,9,6,4,3,2,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
