# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 10:05:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c21d35485e.json
# init = /tmp/RtmpC8O1hA/init-b41c239a11fc_1.json
# random
#   seed = 4152006
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0405_rep041_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-202605311105-1-a212ef.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0405_rep041_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605311105-1-9478cf.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0763383
# Diagonal elements of inverse mass matrix:
# 0.16712, 0.059729, 0.0329216, 0.0163663, 0.0492937, 0.0266273, 0.042677
-530.703,0.98713,0.0763383,6,63,0,532.436,-1.93063,-2.65887,-0.657003,-0.341161,3.18395,0.029246,-0.928542,4.56002,2.09636,2.71251e-05,3.87132e-05,5.52571e-05,7.88805e-05,0.000112621,0.000160824,0.000229712,0.000328188,0.000468979,0.000670228,0.000957618,0.00136707,0.0019478,0.0027651,0.00390181,0.0054569,0.00753969,0.0102585,0.0137036,0.017926,0.0229158,0.0285733,0.0347046,0.0410233,0.0471681,0.0527344,0.0573189,0.0605726,0.0622527,0.0622581,0.0606386,0.0575774,0.0533567,0.0483163,0.0428105,0.037171,0.0316776,0.0265418,0.0219019,0.0178297,0.0143418,0.0114156,0.00900329,0.00704385,0.00547214,0.00422489,0.00324414,0.002479,0.00188616,0.00142953,0.00107967,0.000812848,0.000610201,0.000456862,0.00034122,0.000254271,0.000189075,0.000140313,0.000103924,7.68272e-05,5.66885e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.59508,-0,-0,-5.54632,-5.21088,-4.88757,-22.8982,-17.1604,-4.0215,-7.55186,-14.2211,-16.8044,-25.5489,-18.3242,-26.4824,-28.5912,-30.843,-44.4249,-41.647,-28.0282,-25.6916,-26.3768,-48.4798,-15.7549,-36.2145,-17.2607,-21.7742,-11.4635,-24.1614,-16.9783,-13.4183,-37.6813,-9.9112,-0,-10.9335,-0,-0,-0,-0,-6.8311,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,1,2,2,3,4,3,5,10,6,12,10,12,13,13,9,6,12,11,13,7,8,3,7,5,4,1,3,4,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
-529.895,0.998841,0.0763383,5,31,0,532.942,-2.38031,-2.59462,-0.63135,-0.463611,3.12528,-0.119167,-0.835581,5.05825,2.39321,4.97974e-05,6.82256e-05,9.34834e-05,0.000128109,0.000175587,0.000240705,0.00033004,0.000452617,0.000620808,0.000851499,0.00116759,0.00159976,0.00218838,0.00298509,0.00405349,0.00546791,0.00730944,0.00965846,0.0125836,0.0161281,0.0202948,0.0250249,0.0301916,0.0355983,0.040986,0.046051,0.0504753,0.0539642,0.0562858,0.0573024,0.0569845,0.0554072,0.0527321,0.0491814,0.0450082,0.040469,0.0358005,0.0312027,0.0268308,0.0227923,0.0191517,0.0159367,0.013147,0.0107623,0.00874984,0.0070703,0.00568197,0.00454389,0.00361774,0.00286887,0.00226678,0.00178513,0.00140157,0.00109734,0.000856934,0.000667577,0.00051888,0.00040243,0.000311463,0.000240566,0.000185429,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.4379,-0,-0,-5.50818,-5.20886,-4.91859,-23.1996,-17.5014,-4.1272,-7.79478,-14.7515,-17.501,-26.6837,-19.1672,-27.702,-29.8627,-32.1138,-46.037,-42.8912,-28.6498,-26.0374,-26.4828,-48.1958,-15.5046,-35.2794,-16.649,-20.8035,-10.8546,-22.688,-15.8215,-12.4174,-34.6525,-9.06342,-0,-9.9037,-0,-0,-0,-0,-6.08939,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,2,0,4,3,7,4,9,8,5,7,6,10,6,9,18,11,10,9,8,8,7,8,6,6,4,2,7,3,3,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0
-528.479,0.996345,0.0763383,5,63,0,534.851,-1.63952,-2.39491,-1.2654,-0.228005,4.33388,-0.106839,-0.694765,5.19604,2.21818,2.22115e-05,3.3061e-05,4.91977e-05,7.31791e-05,0.000108773,0.000161492,0.000239323,0.000353663,0.000520446,0.000761353,0.00110491,0.00158724,0.0022521,0.00315008,0.00433656,0.00586844,0.00779945,0.0101745,0.0130231,0.0163533,0.0201459,0.0243318,0.0288051,0.0334252,0.0380229,0.0424081,0.0463811,0.0497457,0.0523233,0.0539697,0.05459,0.0541525,0.0526937,0.0503134,0.0471607,0.0434149,0.0392671,0.0349061,0.0305064,0.02622,0.0221713,0.018453,0.0151257,0.0122193,0.0097368,0.00766008,0.0059556,0.00458075,0.00348903,0.00263422,0.00197321,0.00146769,0.00108484,0.000797359,0.000583123,0.000424531,0.000307819,0.000222375,0.000160112,0.000114928,8.22605e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.44576,-0,-0,-5.44067,-5.13817,-4.8537,-22.9394,-17.3641,-4.11333,-7.80951,-14.8639,-17.736,-27.1876,-19.6174,-28.4438,-30.7086,-33.0092,-47.205,-43.79,-29.079,-26.2436,-26.4893,-47.8317,-15.271,-34.5065,-16.1868,-20.1306,-10.4695,-21.8474,-15.2358,-11.9776,-33.5309,-8.80948,-0,-9.74347,-0,-0,-0,-0,-6.22809,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,2,6,4,3,6,6,4,6,8,12,10,12,15,10,17,11,12,7,8,5,5,4,4,2,1,1,2,3,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0
-527.77,0.999763,0.0763383,6,63,0,531.6,-2.03761,-2.29078,-1.1121,-0.523867,3.68591,0.682483,-0.848659,5.00678,2.33651,5.01485e-05,6.74838e-05,9.08361e-05,0.000122314,0.000164783,0.000222145,0.000299747,0.000404954,0.000547988,0.000743167,0.00101071,0.00137923,0.00188865,0.00259271,0.00356025,0.00487466,0.00663091,0.00892857,0.0118595,0.0154897,0.0198379,0.0248412,0.0303558,0.0361608,0.041973,0.0474661,0.0522928,0.056112,0.0586313,0.0596663,0.0591843,0.0572917,0.0541912,0.0501444,0.0454443,0.0403907,0.0352643,0.0303027,0.0256826,0.021514,0.0178463,0.0146833,0.0119981,0.00974693,0.00787856,0.00634064,0.0050834,0.00406159,0.00323527,0.00256996,0.00203633,0.00160979,0.00126988,0.000999764,0.00078564,0.000616286,0.000482617,0.000377312,0.000294495,0.000229468,0.000178485,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.58623,-0,-0,-5.63792,-5.3237,-5.01601,-23.5925,-17.7385,-4.16758,-7.84032,-14.781,-17.4738,-26.5582,-19.0244,-27.4297,-29.509,-31.6845,-45.3838,-42.2848,-28.271,-25.7364,-26.2371,-47.8856,-15.4563,-35.3007,-16.7244,-20.9791,-10.9858,-23.0343,-16.1038,-12.6631,-35.3841,-9.26161,-0,-10.1216,-0,-0,-0,-0,-6.19661,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,2,4,3,3,6,6,7,12,11,14,11,15,17,19,2,15,5,11,6,2,3,7,2,4,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-528.829,0.993689,0.0763383,4,31,0,532.034,-1.95481,-3.30927,-1.3989,-0.423332,3.72739,0.472703,-0.87945,4.93691,2.26587,4.91475e-05,6.82024e-05,9.4653e-05,0.000131377,0.000182377,0.000253226,0.000351689,0.000488582,0.000678952,0.000943609,0.00131093,0.00181853,0.00251419,0.00345533,0.00470704,0.00633842,0.00841685,0.0109998,0.0141244,0.017796,0.0219788,0.0265776,0.0314487,0.0364074,0.0412397,0.0457156,0.0496035,0.0526846,0.0547729,0.0557388,0.0555338,0.0541973,0.0518426,0.0486345,0.0447694,0.0404598,0.0359197,0.031351,0.0269298,0.0227948,0.0190411,0.0157203,0.0128463,0.0104045,0.00836182,0.00667488,0.0052968,0.00418133,0.00328549,0.00257089,0.00200422,0.00155717,0.00120611,0.000931555,0.000717624,0.000551484,0.000422846,0.000323519,0.000247018,0.000188234,0.00014316,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.30973,-0,-0,-5.3587,-5.06113,-4.77752,-22.5494,-17.0394,-4.02878,-7.63536,-14.5107,-17.297,-26.5039,-19.1301,-27.7678,-30.0369,-32.3777,-46.473,-43.3062,-28.9076,-26.2361,-26.6359,-48.3748,-15.5312,-35.2819,-16.6323,-20.775,-10.8436,-22.6873,-15.8446,-12.4584,-34.8376,-9.13103,-0,-10.0188,-0,-0,-0,-0,-6.2125,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,5,2,2,5,7,11,9,3,13,16,9,14,6,10,10,11,8,11,11,3,5,6,5,2,4,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-529.016,0.997997,0.0763383,6,63,0,531.128,-2.14715,-3.26833,-0.826574,-0.0936036,4.56107,0.239426,-0.862764,5.15679,1.83929,5.0446e-06,7.95499e-06,1.25452e-05,1.97856e-05,3.12067e-05,4.92212e-05,7.76232e-05,0.00012235,0.000192599,0.000302377,0.000472455,0.000732616,0.00112393,0.00170071,0.00253153,0.00369845,0.00529334,0.00741021,0.0101333,0.0135216,0.0175927,0.0223075,0.0275633,0.0331936,0.0389748,0.0446395,0.049893,0.0544348,0.0579833,0.0603034,0.0612347,0.0607155,0.058792,0.0556106,0.0513942,0.0464142,0.0409636,0.0353317,0.0297835,0.0245432,0.0197809,0.0156063,0.0120682,0.00916158,0.00684035,0.00503269,0.0036555,0.00262583,0.00186822,0.00131826,0.000923573,0.00064305,0.000445306,0.000306898,0.000210613,0.000143989,9.81044e-05,6.66353e-05,4.51328e-05,3.04894e-05,2.05473e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.21889,-0,-0,-5.97893,-5.59984,-5.24131,-24.5245,-18.3677,-4.30347,-8.08055,-15.2113,-17.9564,-27.2432,-19.469,-27.9822,-29.9788,-32.0183,-45.5616,-42.1255,-27.9304,-25.214,-25.5037,-46.2301,-14.8412,-33.7716,-15.9754,-20.0579,-10.5414,-22.2439,-15.6921,-12.4802,-35.3374,-9.38547,-0,-10.5836,-0,-0,-0,-0,-6.98726,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,1,2,5,5,15,7,13,14,12,14,14,19,11,8,4,8,16,2,8,3,2,4,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
