# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 10:27:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c24dd0cbe0.json
# init = /tmp/RtmpC8O1hA/init-b41c220611cfe_4.json
# random
#   seed = 4152009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0408_rep041_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605311127-4-67562d.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0408_rep041_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605311127-4-9b387a.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.139655
# Diagonal elements of inverse mass matrix:
# 0.0833758, 0.0516335, 0.0251945, 0.0127062, 0.0279849, 0.0424394, 0.0512105
-529.812,0.997365,0.139655,5,31,0,531.799,-0.387097,-1.51543,-0.855001,-0.776721,4.42191,0.41281,-0.275592,5.1169,2.63758,6.11222e-05,7.73536e-05,9.80424e-05,0.000124505,0.000158503,0.000202439,0.000259649,0.00033488,0.000435078,0.000570701,0.000757837,0.00102138,0.00139906,0.00194567,0.00273626,0.00386714,0.00545329,0.00762143,0.010499,0.0142003,0.018811,0.0241596,0.0300485,0.0362338,0.0424222,0.0482754,0.0534243,0.057492,0.0601378,0.0611248,0.0603951,0.058096,0.0545283,0.0500597,0.0450559,0.0398423,0.0346855,0.0297872,0.0252846,0.0212555,0.0177283,0.0146943,0.0121203,0.00995952,0.00816006,0.0066705,0.00544305,0.00443506,0.00360945,0.00293462,0.00238391,0.00193505,0.00156955,0.00127213,0.00103019,0.000833344,0.000673112,0.000542542,0.00043597,0.000348799,0.000277313,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.8866,-0,-0,-5.90116,-5.55524,-5.21154,-24.384,-18.2259,-4.25449,-7.94662,-14.8923,-17.5247,-26.5421,-18.9605,-27.2775,-29.2949,-31.4172,-44.9779,-41.9226,-28.0685,-25.6109,-26.1813,-47.9126,-15.4993,-35.4511,-16.8072,-21.0821,-11.0327,-23.1069,-16.1304,-12.6609,-35.303,-9.21845,-0,-10.0201,-0,-0,-0,-0,-6.03901,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,2,3,5,6,0,9,15,9,12,13,11,11,10,18,13,6,11,8,8,3,2,6,3,3,1,1,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0
-528.798,0.991515,0.139655,4,31,0,531.174,-1.16819,-1.76501,-0.95104,-0.624605,4.45006,0.631509,-0.121644,5.16084,2.42072,4.65376e-05,6.09796e-05,7.99676e-05,0.00010498,0.00013801,0.000181778,0.000240035,0.000318057,0.000423406,0.000567174,0.000765895,0.0010442,0.0014379,0.00199707,0.00278866,0.00389787,0.00542715,0.00749136,0.0102084,0.0136856,0.018004,0.023069,0.0287246,0.0347503,0.0408686,0.0467589,0.0520704,0.0564378,0.0595081,0.0609974,0.0607808,0.0589555,0.0557938,0.051639,0.0468322,0.0416828,0.0364582,0.0313797,0.0266189,0.0222945,0.0184721,0.0151704,0.0123709,0.0100315,0.00809833,0.00651435,0.00522487,0.00418044,0.00333787,0.00266034,0.00211699,0.00168222,0.00133501,0.00105817,0.000837751,0.000662466,0.000523208,0.000412659,0.000324947,0.000255376,0.000200195,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.8645,-0,-0,-5.8822,-5.54733,-5.21634,-24.47,-18.3382,-4.29141,-8.03432,-15.0771,-17.75,-26.8765,-19.1844,-27.5648,-29.5516,-31.6208,-45.1463,-41.9539,-28.0048,-25.4788,-25.9748,-47.4156,-15.3059,-34.9543,-16.5579,-20.7696,-10.8784,-22.8205,-15.966,-12.5652,-35.1393,-9.20405,-0,-10.0675,-0,-0,-0,-0,-6.15776,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,5,4,4,13,5,13,10,12,15,15,18,10,13,7,6,7,9,4,4,6,3,2,1,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
-532.572,0.984309,0.139655,4,15,0,534.532,-1.0918,-0.868374,-1.32666,-0.710831,4.10301,0.206048,-0.0801616,5.22315,2.74774,4.95873e-05,6.36566e-05,8.18145e-05,0.000105313,0.000135828,0.000175633,0.000227852,0.000296849,0.00038882,0.000512697,0.00068147,0.000914021,0.00123746,0.00168984,0.00232336,0.00320845,0.00444024,0.00614937,0.00852063,0.0118341,0.016613,0.0223401,0.0287097,0.035442,0.0422286,0.0487099,0.0544704,0.0590584,0.0620444,0.0631246,0.0622307,0.0595711,0.0555582,0.0506744,0.0453617,0.03997,0.03475,0.0298666,0.0254169,0.0214472,0.0179666,0.0149584,0.0123896,0.0102176,0.00839591,0.00687827,0.00562072,0.00458328,0.00373051,0.00303161,0.00246023,0.00199406,0.00161439,0.00130561,0.00105479,0.000851244,0.000686182,0.000552375,0.000443884,0.000355817,0.000284095,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.99766,-0,-0,-6.06474,-5.74197,-5.41705,-25.457,-19.0611,-4.43677,-8.19514,-15.2055,-17.7526,-26.7189,-18.9879,-27.1969,-29.101,-31.1215,-44.4785,-41.4397,-27.7691,-25.3853,-26.0129,-47.7174,-15.4654,-35.4159,-16.7979,-21.0661,-11.017,-23.053,-16.077,-12.6074,-35.1272,-9.1673,-0,-9.95878,-0,-0,-0,-0,-6.0075,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,5,3,6,10,6,9,11,11,9,12,14,11,14,5,13,13,8,5,7,4,2,2,2,1,0,4,3,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0
-533.077,0.996987,0.139655,5,31,0,535.479,-1.51627,-4.63407,-0.843909,-0.27107,4.85377,0.803651,-1.17963,5.01988,1.86268,1.73588e-05,2.5419e-05,3.72236e-05,5.45147e-05,7.98464e-05,0.000116967,0.000171381,0.000251168,0.000368155,0.000539472,0.000789307,0.00115051,0.00166591,0.00238935,0.00338589,0.0047306,0.0065048,0.00878889,0.0116508,0.0151315,0.01923,0.0238934,0.0290159,0.0344428,0.0399735,0.0453645,0.0503356,0.054584,0.0578125,0.0597673,0.0602822,0.0593148,0.0569592,0.053425,0.0489927,0.043968,0.0386442,0.0332796,0.0280885,0.0232398,0.0188586,0.015025,0.0117728,0.00909127,0.00693431,0.00523472,0.00391775,0.00291091,0.00214955,0.00157896,0.00115452,0.000840797,0.000610151,0.000441377,0.000318381,0.00022907,0.000164425,0.000117768,8.41792e-05,6.00549e-05,4.27646e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.76755,-0,-0,-5.68814,-5.3537,-5.03521,-23.6713,-17.8095,-4.19097,-7.90257,-14.9366,-17.6996,-26.9476,-19.3172,-27.8372,-29.8904,-31.9882,-45.6088,-42.2595,-28.0872,-25.4241,-25.7888,-46.8716,-15.0804,-34.3672,-16.2668,-20.4169,-10.7172,-22.5713,-15.8831,-12.5941,-35.5357,-9.40088,-0,-10.5049,-0,-0,-0,-0,-6.76407,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,3,5,9,4,8,6,9,12,14,11,17,8,9,9,7,10,9,8,7,6,3,8,3,2,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-532.352,0.996787,0.139655,5,31,0,536.671,-2.15364,-1.37351,-1.30927,-0.261742,3.92428,-0.0479695,-0.106267,5.17488,2.25519,1.32941e-05,1.95439e-05,2.8736e-05,4.22578e-05,6.21513e-05,9.14174e-05,0.000134454,0.000197672,0.00029033,0.000425618,0.000621963,0.000904499,0.00130659,0.00187134,0.00265291,0.00371771,0.00514517,0.00702834,0.00947517,0.0126135,0.0166094,0.0214059,0.026901,0.0329299,0.0392552,0.0455634,0.0514723,0.0565551,0.0603865,0.0626129,0.0630309,0.061643,0.0586572,0.0544267,0.0493626,0.0438589,0.0382487,0.0327896,0.0276655,0.0229962,0.0188484,0.0152466,0.0121823,0.00962361,0.00752332,0.0058257,0.00447252,0.0034072,0.0025777,0.0019381,0.00144913,0.00107816,0.000798579,0.000589118,0.000433013,0.000317216,0.000231677,0.000168727,0.000122557,8.87972e-05,6.41796e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.00813,-0,-0,-5.9321,-5.59465,-5.2697,-24.789,-18.6363,-4.37298,-8.19558,-15.3764,-18.078,-27.307,-19.426,-27.7979,-29.6671,-31.5979,-44.9118,-41.5618,-27.6413,-25.0776,-25.5244,-46.5744,-15.0428,-34.3946,-16.3182,-20.5059,-10.7627,-22.6346,-15.8853,-12.5502,-35.2622,-9.28707,-0,-10.291,-0,-0,-0,-0,-6.53679,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,8,6,12,7,11,11,8,8,9,16,15,9,10,13,9,10,5,4,8,2,2,2,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0
-533.561,0.977244,0.139655,5,31,0,537.375,-0.975569,-2.35886,-1.16337,-0.412577,5.17005,1.03914,0.231354,5.23107,2.24187,3.34959e-05,4.67037e-05,6.51566e-05,9.09732e-05,0.000127163,0.000178036,0.000249832,0.000351715,0.000497301,0.00070663,0.00100762,0.00143641,0.00203738,0.00286323,0.00397425,0.00543644,0.00731779,0.00968224,0.0125814,0.0160448,0.0200755,0.0244824,0.0291039,0.0337751,0.0383368,0.0426373,0.0465284,0.0498604,0.0524777,0.0542165,0.0549114,0.0544363,0.0528091,0.0502244,0.0469291,0.0431417,0.0390423,0.034781,0.0304867,0.026274,0.0222488,0.0185096,0.0151412,0.0122011,0.00970939,0.00764876,0.00597695,0.00464011,0.0035829,0.00275404,0.00210871,0.00160913,0.00122424,0.000928919,0.000703131,0.000531043,0.000400245,0.000301073,0.000226046,0.000169395,0.000126691,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.54561,-0,-0,-5.52792,-5.21463,-4.91745,-23.1873,-17.5021,-4.13237,-7.81651,-14.8392,-17.6844,-27.1043,-19.5681,-28.3952,-30.6769,-32.9838,-47.1579,-43.7215,-29.0203,-26.1965,-26.4696,-47.8601,-15.2956,-34.5759,-16.2156,-20.1521,-10.4714,-21.835,-15.2219,-11.9684,-33.5227,-8.81245,-0,-9.74642,-0,-0,-0,-0,-6.16168,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,1,0,2,2,3,4,3,7,4,10,11,12,13,13,9,13,6,12,10,10,7,9,8,6,1,3,3,2,4,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
