# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 10:33:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c26722fd18.json
# init = /tmp/RtmpC8O1hA/init-b41c24f184010_2.json
# random
#   seed = 4152010
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0409_rep041_badly_wrong_strong/prior_sensitivity_obspair_FAST-202605311133-2-44672a.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0409_rep041_badly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605311133-2-729340.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.168128
# Diagonal elements of inverse mass matrix:
# 0.108956, 0.0317885, 0.00627621, 0.00692288, 0.00585414, 0.00689517, 0.00751196
-537.078,0.992009,0.168128,4,31,0,542.047,-2.33889,-2.72487,-1.19369,-0.496956,4.07752,0.509018,-0.729344,5.43776,2.38788,4.92817e-05,6.68439e-05,9.06846e-05,0.000123065,0.000167074,0.000226944,0.000308488,0.000419725,0.000571741,0.000779877,0.00106522,0.00145621,0.00199004,0.00271335,0.00368211,0.0049603,0.00661658,0.00871848,0.0113234,0.0144672,0.0181522,0.0223299,0.0269022,0.0317236,0.0366097,0.0413473,0.0457075,0.0494586,0.0523826,0.0542994,0.0550953,0.0547441,0.0533029,0.0508935,0.0476821,0.0438625,0.0396423,0.0352288,0.0308142,0.0265625,0.0225987,0.019005,0.0158224,0.0130586,0.010697,0.00870569,0.00704514,0.00567311,0.00454825,0.00363217,0.0028904,0.00229278,0.00181344,0.00143049,0.00112561,0.000883675,0.000692233,0.000541148,0.000422197,0.000328755,0.000255501,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.53192,-0,-0,-5.60427,-5.30629,-5.01818,-23.7116,-17.9235,-4.23587,-8.01793,-15.2073,-18.0777,-27.6055,-19.8447,-28.6717,-30.8549,-33.0728,-47.1869,-43.6986,-28.9869,-26.1458,-26.3859,-47.6483,-15.216,-34.3937,-16.1393,-20.0753,-10.4393,-21.7695,-15.1594,-11.8892,-33.1706,-8.67662,-0,-9.48756,-0,-0,-0,-0,-5.84636,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,1,2,2,8,2,9,8,7,13,14,11,12,13,8,9,12,11,6,9,3,4,5,5,8,4,3,2,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0
-534.256,0.998767,0.168128,4,15,0,539.934,-2.46308,-2.2188,-0.937745,-0.471744,3.86945,0.610889,-0.693712,5.23728,2.27222,2.81622e-05,3.85027e-05,5.26552e-05,7.20387e-05,9.86117e-05,0.000135088,0.00018525,0.000254398,0.000350039,0.000482901,0.000668484,0.00092928,0.00129763,0.00181888,0.00255418,0.00358257,0.00500103,0.00692091,0.00945828,0.0127166,0.0167629,0.0215917,0.0271112,0.0331364,0.039396,0.0455502,0.0512139,0.0559866,0.0594957,0.0614611,0.0617585,0.0604328,0.0576623,0.0537142,0.0489084,0.0435859,0.0380771,0.0326714,0.0275934,0.0229911,0.0189396,0.0154546,0.0125116,0.0100618,0.00804618,0.0064031,0.00507399,0.00400576,0.0031519,0.00247261,0.00193446,0.00150967,0.00117547,0.000913311,0.000708215,0.000548148,0.0004235,0.000326627,0.00025148,0.000193286,0.000148292,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.9811,-0,-0,-5.97002,-5.63167,-5.29811,-24.866,-18.6435,-4.36484,-8.17717,-15.3418,-18.039,-27.257,-19.4046,-27.8005,-29.7174,-31.7091,-45.1496,-41.8403,-27.8452,-25.256,-25.6784,-46.7853,-15.089,-34.4632,-16.3407,-20.5275,-10.7705,-22.6359,-15.866,-12.5095,-35.0488,-9.19801,-0,-10.1019,-0,-0,-0,-0,-6.24793,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,1,5,7,4,9,7,11,13,10,16,15,11,11,7,12,8,8,10,6,3,6,3,2,1,2,2,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
-534.86,0.976436,0.168128,5,31,0,542.744,-0.0244986,-1.2392,-0.914464,-1.04215,4.34876,0.829062,-0.770131,5.39874,3.0767,3.96577e-05,4.80957e-05,5.85316e-05,7.15367e-05,8.78952e-05,0.000108711,0.000135586,0.000170927,0.000218507,0.00028454,0.000379782,0.000523456,0.000749314,0.00111231,0.00169343,0.002601,0.00396796,0.00594443,0.00868596,0.0123376,0.0170141,0.0225454,0.0287209,0.0352793,0.041903,0.048219,0.0538076,0.0582235,0.0610442,0.0619746,0.0609849,0.0583287,0.054413,0.049675,0.0445187,0.0392839,0.0342311,0.0295379,0.0253043,0.0215669,0.0183172,0.0155203,0.0131292,0.011094,0.00936665,0.00790353,0.00666592,0.0056201,0.00473697,0.0039916,0.00336272,0.00283216,0.00238444,0.00200629,0.00168629,0.00141463,0.00118291,0.000984025,0.000812113,0.000662439,0.00053132,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.55506,-0,-0,-6.381,-5.95186,-5.5295,-25.6265,-18.9842,-4.39511,-8.14743,-15.1689,-17.7506,-26.7557,-19.0344,-27.288,-29.2234,-31.2781,-44.7385,-41.7155,-27.9713,-25.5749,-26.2004,-48.036,-15.5592,-35.6064,-16.8731,-21.1325,-11.0303,-23.0196,-15.9997,-12.4968,-34.6633,-9.00271,-0,-9.68089,-0,-0,-0,-0,-5.69501,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,7,1,4,7,6,18,17,12,6,16,12,14,7,8,11,9,9,6,5,1,1,1,4,2,2,2,2,0,0,1,0,2,2,0,1,1,0,0,0,0,0
-531.492,0.961375,0.168128,4,15,0,538.775,-0.17875,-1.64974,-0.947687,-0.821417,4.62105,0.815306,-0.749909,5.17268,2.68502,5.68572e-05,7.1421e-05,8.99047e-05,0.000113477,0.000143726,0.000182853,0.000233998,0.000301772,0.000393223,0.000519558,0.000699103,0.000961515,0.00135182,0.0019325,0.00278298,0.00399673,0.00567604,0.00792453,0.0108373,0.0144884,0.0189157,0.02401,0.029607,0.0354862,0.0413777,0.0469756,0.0519534,0.0559844,0.0587649,0.0600537,0.059737,0.0578894,0.054748,0.0506281,0.0458614,0.0407637,0.0356153,0.0306471,0.0260312,0.0218773,0.0182354,0.0151068,0.0124595,0.0102433,0.00840183,0.00687955,0.00562573,0.00459574,0.00375124,0.00305983,0.00249438,0.0020323,0.00165485,0.00134657,0.00109471,0.000888781,0.000720222,0.000582047,0.000468592,0.000375284,0.000298452,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.947,-0,-0,-5.88423,-5.52228,-5.1715,-24.189,-18.099,-4.23441,-7.93553,-14.9171,-17.5987,-26.7089,-19.1101,-27.5231,-29.5741,-31.7095,-45.3474,-42.1877,-28.178,-25.643,-26.1451,-47.732,-15.4107,-35.1996,-16.6749,-20.9113,-10.9454,-22.9338,-16.0176,-12.5778,-35.0822,-9.16226,-0,-9.9584,-0,-0,-0,-0,-5.99371,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,2,1,6,5,9,6,5,4,6,14,18,15,8,9,11,11,8,10,6,9,8,3,4,2,6,1,4,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
-531.78,0.991222,0.168128,5,31,0,533.521,-1.76219,-2.33443,-0.858746,-0.652255,4.38581,0.38377,-0.564051,5.50489,2.49148,6.53587e-05,8.49834e-05,0.000110572,0.000143986,0.000187705,0.000245052,0.000320526,0.000420281,0.000552843,0.000730163,0.000969104,0.00129339,0.00173583,0.00234039,0.00316365,0.00427488,0.00575393,0.00768587,0.0101517,0.0132154,0.0169082,0.0212048,0.0260178,0.0311953,0.0365259,0.0417521,0.0465886,0.0507459,0.0539574,0.0560126,0.0567892,0.0562715,0.0545452,0.0517742,0.0481738,0.0439865,0.0394596,0.0348257,0.0302849,0.0259938,0.0220593,0.0185413,0.0154599,0.0128053,0.0105485,0.00865002,0.00706632,0.00575405,0.0046726,0.00378535,0.00306012,0.0024692,0.00198901,0.00159969,0.00128468,0.00103025,0.000825047,0.000659779,0.000526828,0.000419988,0.000334216,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.65049,-0,-0,-5.75603,-5.455,-5.15787,-24.3419,-18.3605,-4.32638,-8.15991,-15.4141,-18.2449,-27.7399,-19.8584,-28.5841,-30.664,-32.7902,-46.713,-43.2327,-28.6841,-25.8981,-26.1785,-47.3738,-15.1647,-34.3626,-16.1624,-20.1444,-10.4913,-21.8994,-15.2561,-11.9633,-33.356,-8.71579,-0,-9.50039,-0,-0,-0,-0,-5.7893,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,7,3,4,3,5,6,5,10,10,8,7,19,10,13,11,9,7,13,7,4,4,9,3,4,4,4,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
-529.446,0.982926,0.168128,5,31,0,535.678,-0.925124,-1.71944,-0.880555,-0.775551,4.54309,0.692645,-0.679335,5.28774,2.57241,4.69029e-05,5.93911e-05,7.53231e-05,9.57226e-05,0.000121965,0.000155932,0.000200249,0.000258686,0.000336828,0.000443257,0.00059158,0.000803575,0.00111322,0.00157075,0.00224574,0.00322837,0.00462766,0.00656564,0.00916628,0.0125389,0.0167572,0.0217885,0.0275129,0.0337194,0.0401134,0.0463366,0.0519929,0.0566802,0.0600287,0.061754,0.0617278,0.0600246,0.0568878,0.0526515,0.0476784,0.0423204,0.0368923,0.0316529,0.0267923,0.0224287,0.0186138,0.0153469,0.0125922,0.0102952,0.00839513,0.00683215,0.00555171,0.00450584,0.00365346,0.00295994,0.00239642,0.001939,0.00156797,0.00126717,0.00102335,0.000825697,0.000665401,0.0005353,0.0004296,0.000343624,0.000273617,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.12644,-0,-0,-6.09872,-5.73578,-5.3757,-25.1295,-18.7689,-4.37892,-8.17785,-15.3055,-17.9655,-27.1175,-19.2963,-27.6464,-29.5665,-31.5736,-45.0069,-41.7689,-27.8502,-25.317,-25.8001,-47.105,-15.2164,-34.7874,-16.4988,-20.7175,-10.8589,-22.7845,-15.9354,-12.5305,-34.9974,-9.15215,-0,-9.97223,-0,-0,-0,-0,-6.03378,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,5,2,2,4,8,8,9,7,10,10,13,10,12,11,9,13,11,6,13,10,3,2,4,1,0,2,2,0,2,0,1,1,1,0,0,0,1,0,0,0,0,0
