# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 10:37:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c22bb1f174.json
# init = /tmp/RtmpC8O1hA/init-b41c21ad85602_2.json
# random
#   seed = 4152011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0410_rep041_manuscript_default/prior_sensitivity_obspair_FAST-202605311137-2-637575.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0410_rep041_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605311137-2-89ec67.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0699282
# Diagonal elements of inverse mass matrix:
# 0.12497, 0.0746483, 0.0964695, 0.048315, 0.112332, 0.0999852, 0.232553
-529.538,0.959874,0.0699282,6,63,0,533.82,-3.70057,-2.04081,-1.60932,0.566553,3.64748,-0.288332,-0.345572,5.00108,1.83512,3.13941e-07,7.31752e-07,1.682e-06,3.79532e-06,8.3625e-06,1.78918e-05,3.69747e-05,7.34895e-05,0.000140094,0.000255885,0.000448043,0.000753274,0.00121879,0.00190252,0.00287218,0.00420279,0.0059723,0.00825544,0.011116,0.0145988,0.0187221,0.0234311,0.0286234,0.0341485,0.0398101,0.0453721,0.0505666,0.0551063,0.0587011,0.0610829,0.0620392,0.0614527,0.059336,0.0558458,0.051261,0.0459298,0.0402072,0.0344084,0.0287871,0.0235336,0.0187815,0.0146145,0.0110727,0.00815717,0.00583569,0.00405009,0.00272486,0.00177659,0.00112262,0.000687881,0.000409101,0.000236456,0.000133035,7.29896e-05,3.91266e-05,2.05334e-05,1.05701e-05,5.34751e-06,2.66348e-06,1.30825e-06,6.34637e-07,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.19108,-0,-0,-5.85268,-5.47201,-5.12062,-23.9844,-17.9975,-4.22682,-7.9561,-15.0148,-17.7677,-27.0163,-19.3418,-27.8357,-29.8446,-31.8834,-45.3647,-41.9328,-27.7999,-25.1054,-25.4209,-46.1626,-14.8541,-33.887,-16.0685,-20.2167,-10.6435,-22.4959,-15.8995,-12.6772,-36.0262,-9.61772,-0,-11.018,-0,-0,-0,-0,-7.80155,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,7,3,8,11,5,11,9,9,8,10,14,11,13,8,9,9,7,9,9,8,4,3,3,2,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
-530.134,0.999645,0.0699282,6,63,0,533.372,-1.09152,-2.863,-0.478245,0.528252,5.43496,-0.635522,-1.89326,5.31519,1.94351,9.4839e-07,1.99378e-06,4.10019e-06,8.22918e-06,1.60893e-05,3.06052e-05,5.66016e-05,0.000101749,0.000177798,0.000302066,0.000499071,0.000802078,0.00125422,0.0019088,0.00282829,0.00408169,0.00574003,0.00786987,0.0105253,0.0137387,0.017512,0.0218069,0.0265403,0.0315817,0.0367562,0.0418525,0.0466362,0.0508664,0.0543154,0.0567881,0.0581393,0.0582872,0.0572218,0.0550063,0.0517712,0.0477025,0.0430234,0.0379754,0.0327972,0.0277075,0.022891,0.0184892,0.0145964,0.0112603,0.0084872,0.00624947,0.00449548,0.00315921,0.00216916,0.00145539,0.000954389,0.00061183,0.000383548,0.000235203,0.000141151,8.29394e-05,4.77461e-05,2.69474e-05,1.49226e-05,8.11517e-06,4.338e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.1283,-0,-0,-5.86808,-5.50124,-5.16029,-24.2236,-18.2159,-4.28754,-8.08974,-15.3021,-18.1455,-27.6414,-19.8207,-28.5624,-30.6538,-32.7641,-46.6071,-43.0264,-28.4491,-25.5814,-25.7474,-46.4049,-14.8046,-33.4705,-15.7301,-19.6249,-10.2522,-21.5163,-15.108,-11.9717,-33.8158,-8.97294,-0,-10.1505,-0,-0,-0,-0,-6.95444,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,1,1,4,2,4,3,10,4,7,13,8,6,14,8,7,7,10,10,10,12,10,4,10,7,6,6,5,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-529.983,0.999894,0.0699282,6,63,0,532.492,-1.16495,-2.80829,-0.504154,0.519632,5.40242,-0.611338,-1.95978,5.30077,1.92828,8.87559e-07,1.86746e-06,3.84679e-06,7.73892e-06,1.51755e-05,2.89651e-05,5.37677e-05,9.70347e-05,0.000170247,0.000290424,0.000481807,0.000777471,0.00122056,0.0018647,0.00277311,0.00401607,0.00566636,0.00779275,0.0104516,0.0136778,0.0174748,0.0218052,0.0265852,0.0316824,0.0369186,0.0420779,0.04692,0.0511982,0.0546793,0.0571639,0.0585042,0.0586182,0.0574978,0.0552102,0.0518921,0.047736,0.0429724,0.0378489,0.032609,0.0274746,0.0226315,0.0182205,0.0143339,0.0110161,0.00826982,0.00606357,0.00434236,0.00303751,0.00207568,0.00138589,0.000904331,0.000576863,0.000359839,0.000219587,0.000131151,7.67099e-05,4.39673e-05,2.47136e-05,1.36344e-05,7.38988e-06,3.93881e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.15946,-0,-0,-5.88779,-5.51745,-5.17321,-24.2728,-18.244,-4.29198,-8.09399,-15.3024,-18.137,-27.6159,-19.7942,-28.5141,-30.5931,-32.6926,-46.5003,-42.9275,-28.3866,-25.5304,-25.7041,-46.3457,-14.7929,-33.4628,-15.736,-19.6449,-10.2695,-21.567,-15.1537,-12.0156,-33.961,-9.01679,-0,-10.2109,-0,-0,-0,-0,-7.00831,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,4,2,6,2,3,4,10,9,11,10,8,13,8,14,14,9,7,15,9,6,8,5,5,2,2,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
-527.737,0.993863,0.0699282,5,31,0,531.916,-1.45063,-2.52972,-1.16385,0.63338,4.46883,-0.41235,-1.84792,4.85174,1.8778,6.54397e-07,1.54922e-06,3.57784e-06,8.01874e-06,1.73542e-05,3.61147e-05,7.20528e-05,0.000137607,0.000251529,0.000440473,0.00074026,0.0011965,0.00186424,0.00280626,0.00408986,0.00578193,0.00794256,0.0106176,0.0138307,0.0175765,0.0218156,0.0264581,0.0313743,0.0363979,0.0413343,0.0459707,0.0500898,0.0534836,0.055969,0.0574023,0.0576936,0.0568169,0.0548169,0.0518068,0.0479576,0.0434806,0.0386042,0.0335542,0.0285377,0.0237326,0.0192816,0.0152886,0.011818,0.00889555,0.00651288,0.00463327,0.00319972,0.00214348,0.00139213,0.000876342,0.000534709,0.000316347,0.000181595,0.000101243,5.48887e-05,2.89802e-05,1.49257e-05,7.51173e-06,3.70089e-06,1.78821e-06,8.48881e-07,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.72835,-0,-0,-5.49925,-5.15302,-4.83552,-22.7262,-17.1235,-4.04119,-7.65026,-14.5288,-17.3088,-26.5059,-19.1164,-27.7178,-29.9394,-32.2122,-46.1273,-42.8651,-28.5261,-25.8113,-26.1338,-47.3638,-15.1872,-34.4899,-16.272,-20.3676,-10.6696,-22.4454,-15.7944,-12.5419,-35.5051,-9.44441,-0,-10.749,-0,-0,-0,-0,-7.53379,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,2,2,0,4,4,7,9,6,5,9,11,9,6,11,11,14,6,16,5,7,9,10,7,7,2,3,3,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-527.207,0.990419,0.0699282,5,31,0,529.032,-1.40915,-1.67276,-1.32435,0.421092,3.92589,-0.502375,-0.814415,4.74481,2.01099,1.87193e-06,3.78922e-06,7.54827e-06,1.47502e-05,2.81856e-05,5.25163e-05,9.51917e-05,0.000167594,0.000286365,0.000474825,0.000764327,0.00119534,0.00181801,0.00269182,0.00388419,0.00546766,0.00751568,0.010097,0.0132693,0.0170718,0.0215193,0.0265138,0.0319059,0.0374968,0.0430443,0.048275,0.0529005,0.0566401,0.0592456,0.0605289,0.0603878,0.0588239,0.0559489,0.0519734,0.0471789,0.0418794,0.0363812,0.0309521,0.0258036,0.0210859,0.0168919,0.0132649,0.0102089,0.00769803,0.00568542,0.00411147,0.00291054,0.00201662,0.00136751,0.00090769,0.000589874,0.000375472,0.000234232,0.000143312,8.60708e-05,5.0791e-05,2.94798e-05,1.68477e-05,9.49106e-06,5.27625e-06,2.89761e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.72932,-0,-0,-5.55084,-5.2089,-4.89076,-22.9776,-17.2892,-4.07032,-7.67761,-14.5204,-17.2248,-26.268,-18.8731,-27.2776,-29.3934,-31.5814,-45.217,-42.0695,-28.0697,-25.4989,-25.9498,-47.3124,-15.269,-34.9026,-16.5685,-20.8519,-10.9717,-23.1549,-16.3237,-12.9679,-36.6759,-9.73358,-0,-10.988,-0,-0,-0,-0,-7.4356,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,3,4,2,5,6,4,14,10,7,9,10,11,21,9,11,16,7,13,3,4,4,5,4,5,2,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
-528.657,0.960758,0.0699282,6,63,0,531.263,-2.52968,-2.82808,-1.13344,-0.490503,3.48703,0.209354,-1.09415,5.27875,2.44086,5.66223e-05,7.69345e-05,0.000104547,0.000142096,0.000193174,0.000262688,0.000357346,0.000486314,0.000662116,0.000901795,0.00122835,0.00167229,0.00227306,0.00307973,0.00415051,0.00555059,0.00734782,0.00960593,0.0123754,0.0156829,0.0195207,0.0238296,0.0285003,0.0333747,0.0382526,0.0429034,0.0470817,0.0505475,0.0530912,0.0545615,0.0548859,0.0540765,0.0522215,0.0494679,0.046003,0.0420357,0.0377785,0.0334303,0.0291628,0.0251113,0.0213711,0.0179993,0.01502,0.012432,0.0102159,0.00834156,0.00677261,0.00547105,0.00439964,0.00352363,0.00281161,0.00223591,0.00177261,0.0014013,0.00110486,0.000868974,0.000681868,0.000533869,0.000417108,0.000325211,0.000253044,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.39356,-0,-0,-5.48452,-5.19385,-4.91335,-23.2269,-17.5682,-4.15519,-7.87256,-14.9473,-17.7892,-27.1997,-19.5813,-28.3392,-30.5587,-32.8333,-46.9719,-43.6264,-29.025,-26.2562,-26.5703,-48.1029,-15.3952,-34.8616,-16.3801,-20.3898,-10.6046,-22.1066,-15.3829,-12.0523,-33.587,-8.77497,-0,-9.57301,-0,-0,-0,-0,-5.874,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,2,1,2,4,4,4,9,3,4,4,12,11,10,8,8,15,11,6,15,11,11,4,6,5,6,2,0,3,3,1,3,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0
