# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 10:58:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c246213d44.json
# init = /tmp/RtmpC8O1hA/init-b41c237625876_2.json
# random
#   seed = 4252003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0412_rep042_accurate_moderate/prior_sensitivity_obspair_FAST-202605311158-2-0d0495.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0412_rep042_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605311158-2-55a216.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0969125
# Diagonal elements of inverse mass matrix:
# 0.0706623, 0.0350931, 0.0264243, 0.0113192, 0.0438963, 0.037412, 0.0449266
-546.965,0.998319,0.0969125,5,63,0,550.496,-2.19721,-1.72298,-1.30292,-0.621618,3.11361,0.464213,-1.22295,5.06667,2.61869,7.20421e-05,9.43615e-05,0.000123647,0.000162111,0.000212692,0.000279319,0.000367271,0.000483701,0.000638388,0.00084485,0.00112196,0.00149624,0.00200485,0.0026987,0.00364471,0.00492596,0.0066389,0.008887,0.0117702,0.0153698,0.0197313,0.0247965,0.0304238,0.0363827,0.0423588,0.0479701,0.0527983,0.0564453,0.0586137,0.0591767,0.0581892,0.0558446,0.0524187,0.0482234,0.04357,0.0387411,0.0339699,0.0294308,0.0252386,0.0214564,0.0181072,0.0151849,0.0126655,0.0105146,0.00869301,0.00716083,0.00587949,0.00481325,0.00392988,0.00320083,0.00260119,0.0021095,0.00170746,0.00137954,0.00111268,0.000895953,0.000720268,0.000578087,0.000463193,0.000370473,0.00029574,-0,-0,-0,-0,-0,-0,-0,-7.63404,-0,-0,-0,-6.5048,-6.21218,-0,-0,-0,-5.01481,-4.72317,-17.7688,-20.8768,-3.92555,-29.5764,-6.98506,-29.823,-34.7774,-27.3346,-17.6477,-17.2469,-36.8782,-42.4084,-25.5965,-40.3926,-41.2789,-24.2553,-25.0671,-26.0068,-20.2937,-17.6286,-7.35876,-42.259,-16.0458,-8.37491,-17.4755,-4.55499,-4.74524,-9.87826,-0,-0,-11.0783,-11.4887,-0,-12.3226,-0,-0,-0,-0,-0,-0,-0,-7.90073,-0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2,3,2,2,3,2,6,11,5,8,11,11,9,7,14,20,11,12,14,6,7,3,5,3,4,1,6,0,1,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
-547.355,0.999073,0.0969125,5,63,0,548.384,-2.16275,-2.36317,-1.16091,-0.701498,3.14922,0.264723,-1.27404,5.34061,2.80007,0.00013886,0.00017811,0.000228519,0.000293303,0.000376627,0.000483907,0.00062221,0.000800787,0.0010318,0.0013313,0.00172044,0.00222703,0.00288704,0.00374577,0.00485782,0.00628527,0.0080936,0.0103451,0.0130902,0.0163567,0.02014,0.0243752,0.0289446,0.0336782,0.0383605,0.0427441,0.0465701,0.0495985,0.0516421,0.0525958,0.0524464,0.0512629,0.0491779,0.0463656,0.0430212,0.0393417,0.035509,0.0316787,0.0279729,0.0244797,0.0212554,0.01833,0.015713,0.013399,0.011373,0.00961357,0.00809644,0.00679613,0.00568751,0.00474671,0.00395158,0.00328202,0.00272003,0.00224973,0.00185718,0.00153033,0.00125876,0.00103356,0.000847155,0.000693109,0.000566003,-0,-0,-0,-0,-0,-0,-0,-7.12992,-0,-0,-0,-6.10709,-5.84752,-0,-0,-0,-4.81668,-4.57124,-17.3436,-20.5656,-3.90505,-29.7135,-7.08474,-30.5181,-35.868,-28.3727,-18.4008,-18.0228,-38.5244,-44.1768,-26.5317,-41.591,-42.1724,-24.5696,-25.1685,-25.8838,-20.0278,-17.2606,-7.15304,-40.809,-15.4046,-7.99843,-16.6131,-4.31257,-4.47651,-9.28916,-0,-0,-10.339,-10.7006,-0,-11.4386,-0,-0,-0,-0,-0,-0,-0,-7.27432,-0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,2,1,2,5,4,5,5,10,5,6,11,13,11,11,12,6,7,7,14,4,7,11,4,3,4,6,2,4,3,1,1,1,1,1,2,0,1,1,1,0,0,0,0,0,0
-550.969,0.994015,0.0969125,5,31,0,552.257,-2.95275,-2.65663,-1.71998,-0.195735,4.04964,0.097852,-0.72204,5.48188,2.22128,1.58956e-05,2.39784e-05,3.61681e-05,5.4544e-05,8.22238e-05,0.000123857,0.000186311,0.000279578,0.000417863,0.000620729,0.000914084,0.00133081,0.00191083,0.00270056,0.00375149,0.0051177,0.00685209,0.00900132,0.0115997,0.0146626,0.0181813,0.0221033,0.0263431,0.0307837,0.0352814,0.0396721,0.0437783,0.0474176,0.0504114,0.0525974,0.0538454,0.0540769,0.0532805,0.0515155,0.0489002,0.0455912,0.0417641,0.0375988,0.0332695,0.0289372,0.0247434,0.0208051,0.0172096,0.0140135,0.0112424,0.00889499,0.00694852,0.00536539,0.00409984,0.00310357,0.00232979,0.00173589,0.00128477,0.000945208,0.000691656,0.000503664,0.000365155,0.000263675,0.000189696,0.00013601,9.72105e-05,-0,-0,-0,-0,-0,-0,-0,-8.18223,-0,-0,-0,-6.62197,-6.26022,-0,-0,-0,-4.9832,-4.71038,-17.8271,-21.1123,-4.00736,-30.4962,-7.2731,-31.3269,-36.7884,-29.044,-18.7717,-18.2926,-38.838,-44.1763,-26.2947,-40.8429,-41.0506,-23.727,-24.1438,-24.7043,-19.0543,-16.4039,-6.80623,-38.9689,-14.7968,-7.74512,-16.2491,-4.26774,-4.48807,-9.44453,-0,-0,-10.9936,-11.5504,-0,-12.7125,-0,-0,-0,-0,-0,-0,-0,-8.90278,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,5,2,3,4,4,4,5,5,9,9,5,10,13,10,8,8,11,11,9,6,7,8,10,4,9,5,1,3,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
-550.165,0.998639,0.0969125,6,63,0,555.019,-3.2001,-2.36141,-0.603431,-0.441301,3.40958,0.104116,-1.08154,5.33921,2.33655,2.64891e-05,3.65579e-05,5.04645e-05,6.96806e-05,9.62505e-05,0.000133019,0.000183958,0.000254626,0.00035284,0.000489619,0.00068054,0.000947593,0.00132162,0.00184516,0.00257543,0.00358636,0.00496877,0.0068269,0.00926972,0.0123961,0.0162746,0.0209155,0.0262511,0.0321207,0.0382689,0.0443573,0.0499931,0.0547726,0.0583358,0.0604222,0.0609082,0.0598169,0.0573026,0.0536199,0.0490835,0.044027,0.0387652,0.033566,0.0286341,0.0241078,0.0200645,0.0165325,0.0135034,0.0109452,0.00881246,0.0070535,0.00561618,0.00445093,0.00351272,0.00276183,0.00216401,0.00169029,0.00131648,0.00102261,0.000792388,0.000612574,0.000472529,0.000363736,0.000279421,0.000214218,0.000163896,-0,-0,-0,-0,-0,-0,-0,-8.27571,-0,-0,-0,-6.96158,-6.6289,-0,-0,-0,-5.30458,-4.98688,-18.724,-21.9519,-4.11815,-30.9381,-7.2801,-30.9443,-35.8943,-28.0393,-17.9752,-17.4274,-36.94,-42.096,-25.1855,-39.4305,-40.0317,-23.4067,-24.1139,-24.9836,-19.5014,-16.9712,-7.10632,-40.9774,-15.6352,-8.20486,-17.2193,-4.51485,-4.73159,-9.90846,-0,-0,-11.3027,-11.7837,-0,-12.7657,-0,-0,-0,-0,-0,-0,-0,-8.44852,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,2,3,4,2,5,9,10,10,11,9,12,15,11,18,15,11,6,7,8,4,6,3,3,0,1,2,3,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
-549.769,0.994804,0.0969125,5,47,0,553.271,-0.993743,-1.49283,-1.4383,-0.84791,2.87652,0.201179,-0.900591,4.77182,2.89317,0.000205648,0.000255682,0.000318167,0.000396354,0.000494423,0.000617797,0.000773574,0.000971144,0.00122307,0.00154635,0.00196416,0.00250818,0.0032214,0.00416069,0.00539822,0.00702025,0.00912254,0.0118024,0.015148,0.0192267,0.0240732,0.0294766,0.0351565,0.0407746,0.0459579,0.0503335,0.053577,0.0554659,0.0559201,0.055009,0.0529196,0.0499073,0.0462483,0.0422053,0.038007,0.0338375,0.0298334,0.0260874,0.0226542,0.0195588,0.0168041,0.0143781,0.0122595,0.0104221,0.00883728,0.00747676,0.00631328,0.00532157,0.00447861,0.00376383,0.003159,0.00264815,0.00221735,0.00185454,0.00154935,0.00129285,0.0010774,0.000896517,0.000744669,0.000617193,0.000510154,-0,-0,-0,-0,-0,-0,-0,-6.93704,-0,-0,-0,-5.9882,-5.73794,-0,-0,-0,-4.69701,-4.43946,-16.7595,-19.7573,-3.72666,-28.1933,-6.69589,-28.7973,-33.8803,-26.9018,-17.5598,-17.3519,-37.4898,-43.5039,-26.4508,-41.9662,-43.0322,-25.3217,-26.1599,-27.0895,-21.0728,-18.2315,-7.57482,-43.2776,-16.3445,-8.4841,-17.6058,-4.56383,-4.72878,-9.79191,-0,-0,-10.8169,-11.1646,-0,-11.8678,-0,-0,-0,-0,-0,-0,-0,-7.39033,-0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,2,3,4,3,9,4,6,10,16,14,10,10,10,12,6,10,12,8,4,6,9,4,5,3,1,1,3,2,1,1,2,0,2,0,0,1,0,1,1,0,0,0,0,0
-549.492,0.997972,0.0969125,5,31,0,553.564,-0.872028,-1.74017,-1.71959,-0.425737,3.97761,-0.161931,-1.31808,4.85126,2.45458,7.1007e-05,9.85587e-05,0.000136836,0.000190022,0.000263922,0.000366545,0.00050886,0.000705693,0.000976702,0.00134728,0.00184916,0.00252043,0.00340486,0.00455033,0.00600645,0.00782149,0.0100388,0.0126931,0.0158065,0.0193856,0.0234187,0.0277713,0.0322848,0.0367816,0.0410717,0.0449617,0.0482645,0.0508121,0.0524681,0.0531422,0.0528019,0.0514796,0.0492711,0.0463235,0.0428161,0.0389385,0.0348724,0.0307794,0.0267937,0.0230199,0.0195327,0.0163799,0.0135849,0.011151,0.00906593,0.00730618,0.00584092,0.00463567,0.00365505,0.00286496,0.00223384,0.00173355,0.00133964,0.00103131,0.000791243,0.000605176,0.000461552,0.000351087,0.000266399,0.000201656,0.000152287,-0,-0,-0,-0,-0,-0,-0,-7.25633,-0,-0,-0,-5.98333,-5.68255,-0,-0,-0,-4.6013,-4.3667,-16.5893,-19.7161,-3.75422,-28.67,-6.86631,-29.7248,-35.1168,-27.9175,-18.1864,-17.8777,-38.3181,-44.0218,-26.4709,-41.532,-42.1458,-24.5768,-25.2067,-25.9662,-20.1364,-17.4046,-7.23918,-41.4854,-15.7427,-8.2234,-17.1952,-4.49623,-4.70323,-9.83807,-0,-0,-11.2233,-11.7104,-0,-12.7152,-0,-0,-0,-0,-0,-0,-0,-8.50895,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,3,2,2,2,3,5,6,9,6,9,8,19,8,16,9,11,15,8,10,2,3,7,3,7,3,6,1,3,1,0,1,3,0,0,1,0,1,0,0,0,0,0,0,0
