# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 11:09:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c217697f78.json
# init = /tmp/RtmpC8O1hA/init-b41c23f077baf_3.json
# random
#   seed = 4252005
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0414_rep042_mildly_wrong_weak/prior_sensitivity_obspair_FAST-202605311209-3-9e1bae.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0414_rep042_mildly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605311209-3-9f3d88.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0481111
# Diagonal elements of inverse mass matrix:
# 0.117047, 0.084381, 0.158895, 0.0177816, 0.12957, 0.181264, 0.290814
-549.525,0.998841,0.0481111,6,127,0,550.44,-1.36829,-0.67558,-1.30851,-0.75008,3.10472,-0.262772,-1.61679,5.30492,2.92267,3.11192e-05,3.97598e-05,5.09177e-05,6.53982e-05,8.43067e-05,0.000109186,0.000142226,0.0001866,0.00024699,0.000330437,0.000447698,0.000615359,0.000859038,0.00121795,0.00175088,0.00254324,0.00371407,0.00542133,0.00786341,0.0112748,0.0159148,0.0216608,0.0282841,0.0354434,0.0426939,0.049518,0.0553819,0.0598111,0.0624691,0.0632148,0.0621163,0.0594201,0.0554876,0.050723,0.0455133,0.0401882,0.0350023,0.0301325,0.025687,0.0217182,0.0182373,0.0152275,0.0126547,0.0104755,0.00864356,0.0071127,0.00583972,0.0047854,0.00391504,0.0031985,0.0026099,0.00212732,0.00173228,0.00140932,0.00114557,0.000930321,0.000754735,0.000611494,0.000494564,0.000398978,0.000320658,-0,-0,-0,-0,-0,-0,-0,-8.58654,-0,-0,-0,-7.3933,-7.0597,-0,-0,-0,-5.59563,-5.21741,-19.3821,-22.4259,-4.14051,-30.658,-7.13091,-30.0584,-34.6907,-27.0488,-17.361,-16.8994,-36.0501,-41.4183,-25.0087,-39.5237,-40.4823,-23.851,-24.718,-25.7135,-20.1141,-17.5108,-7.32354,-42.1257,-16.0171,-8.3693,-17.4789,-4.55871,-4.75094,-9.89175,-0,-0,-11.0859,-11.4901,-0,-12.3058,-0,-0,-0,-0,-0,-0,-0,-7.8266,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,5,4,5,15,12,13,15,16,15,11,9,9,3,17,7,4,7,4,3,7,1,3,3,1,0,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0
-547.049,0.999794,0.0481111,6,63,0,551.665,-3.05474,-2.58373,-0.874891,-0.496986,3.26224,0.284223,-0.755275,5.22285,2.42512,4.59143e-05,6.22649e-05,8.44511e-05,0.000114566,0.000155465,0.000211041,0.000286626,0.000389533,0.00052982,0.000721358,0.00098329,0.00134194,0.00183313,0.00250455,0.00341752,0.00464726,0.00628058,0.00840982,0.0111221,0.0144843,0.0185246,0.0232072,0.0284237,0.0339881,0.0396431,0.0450762,0.0499449,0.0539143,0.0567033,0.0581293,0.0581324,0.0567721,0.0542073,0.0506689,0.0464286,0.0417686,0.0369523,0.0322033,0.0276924,0.0235354,0.0197981,0.0165057,0.0136535,0.0112168,0.00915923,0.00743899,0.0060129,0.00483926,0.00387955,0.00309915,0.00246773,0.00195912,0.00155107,0.00122488,0.000964984,0.000758532,0.00059498,0.000465736,0.000363838,0.000283672,0.000220728,-0,-0,-0,-0,-0,-0,-0,-7.85056,-0,-0,-0,-6.61364,-6.30173,-0,-0,-0,-5.07029,-4.77836,-17.9953,-21.1734,-3.98866,-30.1063,-7.12107,-30.4357,-35.5062,-27.8946,-17.981,-17.5222,-37.309,-42.6763,-25.6053,-40.1619,-40.8091,-23.8595,-24.5587,-25.4049,-19.7888,-17.1784,-7.1732,-41.2417,-15.6887,-8.20809,-17.175,-4.49035,-4.69299,-9.80204,-0,-0,-11.1041,-11.5533,-0,-12.4705,-0,-0,-0,-0,-0,-0,-0,-8.16769,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,4,7,6,1,9,9,12,9,7,9,12,11,5,12,9,11,11,11,6,6,2,4,6,2,2,3,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
-555.032,0.998292,0.0481111,6,63,0,557.083,-1.66677,-4.64998,-0.408784,-0.836606,4.29972,2.17332,-0.98872,5.49328,2.47578,0.000210192,0.000261189,0.000324607,0.000403496,0.000501673,0.000623919,0.000776234,0.000966171,0.00120326,0.00149961,0.0018706,0.00233601,0.00292123,0.00365855,0.00458842,0.00576056,0.00723417,0.00907645,0.0113583,0.0141449,0.0174794,0.0213621,0.0257455,0.0305354,0.0355789,0.0406497,0.0454436,0.0495931,0.0527154,0.0545046,0.0548405,0.0538121,0.0516399,0.0485943,0.0449446,0.0409344,0.0367733,0.0326377,0.0286733,0.024983,0.0216221,0.0186097,0.0159423,0.0136028,0.0115665,0.00980529,0.00828999,0.00699209,0.00588469,0.00494298,0.00414452,0.00346927,0.00289952,0.00241974,0.00201645,0.00167795,0.00139422,0.00115666,0.000957942,0.000791841,0.00065311,-0,-0,-0,-0,-0,-0,-0,-6.94217,-0,-0,-0,-6.05931,-5.83575,-0,-0,-0,-4.92894,-4.70207,-17.9112,-21.292,-4.04673,-30.7691,-7.31899,-31.3998,-36.696,-28.8249,-18.5477,-18.0234,-38.257,-43.6421,-26.1299,-40.9116,-41.4884,-24.194,-24.8186,-25.5663,-19.8179,-17.1114,-7.10358,-40.5851,-15.3362,-7.96814,-16.5551,-4.29748,-4.45964,-9.24967,-0,-0,-10.2708,-10.6196,-0,-11.3276,-0,-0,-0,-0,-0,-0,-0,-7.14115,-0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,1,3,1,4,1,5,5,3,6,10,12,9,8,10,14,10,16,6,11,4,5,8,7,4,2,5,3,2,2,2,4,2,0,4,0,1,2,3,0,0,0,0,0,0,0
-550.849,0.994043,0.0481111,6,63,0,561.152,-1.44853,-2.23266,-0.928512,-0.965169,3.41241,1.7373,-2.24809,5.21925,2.93623,0.000263996,0.000320475,0.000389317,0.000473363,0.000576168,0.000702217,0.000857208,0.00104845,0.00128544,0.00158065,0.00195076,0.00241845,0.00301524,0.00378561,0.00479002,0.0061043,0.00781778,0.0100285,0.0128325,0.0163043,0.0204647,0.0252348,0.0304377,0.0358235,0.0410919,0.0459099,0.0499322,0.0528331,0.0543906,0.0545767,0.0534847,0.0512859,0.048207,0.0445112,0.0404756,0.0363553,0.0323428,0.0285588,0.0250684,0.0218996,0.0190563,0.0165281,0.0142957,0.0123357,0.0106227,0.00913115,0.00783667,0.0067162,0.0057486,0.00491468,0.00419721,0.00358086,0.00305206,0.00259885,0.00221073,0.00187854,0.00159431,0.00135115,0.00114312,0.000965162,0.000812939,-0,-0,-0,-0,-0,-0,-0,-6.86044,-0,-0,-0,-6.02463,-5.80408,-0,-0,-0,-4.85135,-4.60233,-17.4231,-20.5816,-3.88905,-29.4362,-6.98414,-29.9624,-35.1114,-27.7297,-17.9825,-17.6437,-37.8503,-43.6222,-26.3552,-41.5848,-42.4515,-24.8961,-25.6565,-26.5153,-20.5882,-17.779,-7.37229,-42.0342,-15.8414,-8.20539,-16.9912,-4.39526,-4.54477,-9.39213,-0,-0,-10.3176,-10.6311,-0,-11.2643,-0,-0,-0,-0,-0,-0,-0,-6.94321,-0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,3,2,6,4,5,5,6,14,10,12,11,9,12,11,10,8,7,5,10,5,6,6,4,3,5,2,0,5,1,1,1,1,0,0,1,0,2,1,1,0,0,0,0,0
-549.508,0.996116,0.0481111,6,63,0,556.041,-0.781783,-1.91569,-0.514916,-0.687397,4.36816,0.0755274,0.663241,5.41729,2.66762,7.67402e-05,9.88715e-05,0.000127459,0.000164435,0.00021235,0.000274584,0.000355673,0.000461775,0.000601386,0.000786442,0.00103402,0.00136872,0.0018257,0.0024532,0.00331329,0.00447929,0.00603125,0.00805618,0.0106596,0.0139763,0.0182905,0.0230132,0.0280833,0.0333773,0.0387095,0.0438337,0.0484551,0.0522484,0.0549035,0.0562041,0.0561008,0.0547174,0.0522856,0.049065,0.0452974,0.0411946,0.036942,0.0327001,0.028602,0.02475,0.0212136,0.0180314,0.015216,0.0127603,0.0106434,0.00883662,0.00730715,0.00602132,0.00494658,0.0040527,0.00331235,0.00270138,0.00219873,0.00178632,0.00144873,0.00117293,0.000948024,0.000764895,0.000615955,0.000494822,0.000396092,-0,-0,-0,-0,-0,-0,-0,-7.68043,-0,-0,-0,-6.59388,-6.30579,-0,-0,-0,-5.1108,-4.82132,-18.1652,-21.352,-4.00137,-30.1735,-7.14516,-30.5989,-35.7684,-28.1462,-18.1627,-17.7105,-37.7283,-43.1815,-25.9255,-40.678,-41.3145,-24.1169,-24.756,-25.5156,-19.7904,-17.1019,-7.10856,-40.6882,-15.4124,-8.03128,-16.7416,-4.36142,-4.54282,-9.4577,-0,-0,-10.6181,-11.0167,-0,-11.828,-0,-0,-0,-0,-0,-0,-0,-7.61131,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4,3,1,7,4,4,5,10,4,10,14,11,13,7,10,11,3,15,4,10,5,10,4,7,6,0,1,1,3,1,3,2,1,1,2,0,0,0,0,0,0,0,0,0
-550.355,0.991609,0.0481111,6,63,0,554.17,-2.38795,-1.6055,-1.32136,-0.183604,3.97533,-0.14788,-1.69668,5.3989,2.2097,9.34604e-06,1.41667e-05,2.14711e-05,3.25344e-05,4.92803e-05,7.46018e-05,0.000112827,0.000170385,0.000256713,0.000385448,0.000575871,0.000854504,0.00125665,0.00182761,0.00262315,0.00370896,0.00515867,0.00705006,0.00945949,0.0124546,0.0160855,0.0203426,0.0251693,0.0304534,0.0360237,0.04165,0.0470516,0.051913,0.05591,0.0587463,0.0601968,0.060148,0.0586211,0.0557667,0.051834,0.0471257,0.0419559,0.0366169,0.0313589,0.0263785,0.0218157,0.017756,0.0142372,0.0112581,0.00878899,0.00678129,0.00517658,0.00391352,0.00293291,0.00218078,0.0016101,0.00118121,0.000861616,0.000625246,0.000451598,0.000324792,0.000232686,0.000166106,0.000118188,8.3835e-05,5.92954e-05,-0,-0,-0,-0,-0,-0,-0,-8.67745,-0,-0,-0,-7.06499,-6.6793,-0,-0,-0,-5.26708,-4.95472,-18.6429,-21.9283,-4.12984,-31.1603,-7.36426,-31.424,-36.5594,-28.6061,-18.3391,-17.7491,-37.4922,-42.5179,-25.2912,-39.3533,-39.7133,-23.0926,-23.6777,-24.4395,-19.0268,-16.5362,-6.92451,-39.9873,-15.3005,-8.06206,-17.0076,-4.48667,-4.73426,-9.98718,-0,-0,-11.6635,-12.2561,-0,-13.4824,-0,-0,-0,-0,-0,-0,-0,-9.38666,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,8,4,4,8,8,11,11,11,11,8,9,12,13,10,11,8,11,10,11,5,4,1,0,0,2,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
