# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 11:24:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c23a99ffd7.json
# init = /tmp/RtmpC8O1hA/init-b41c250330f0d_3.json
# random
#   seed = 4252007
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0416_rep042_mildly_wrong_strong/prior_sensitivity_obspair_FAST-202605311224-3-1df807.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0416_rep042_mildly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605311224-3-9704d7.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.139086
# Diagonal elements of inverse mass matrix:
# 0.0479607, 0.0913168, 0.00681199, 0.00727709, 0.0111351, 0.00427203, 0.0077638
-547.28,0.999492,0.139086,4,15,0,553.028,-1.47918,-2.30056,-0.999623,-0.71842,3.80323,0.483068,-0.888384,5.10226,2.57296,0.000123944,0.000158459,0.000202691,0.000259447,0.000332387,0.000426311,0.000547566,0.000704617,0.000908867,0.00117584,0.00152684,0.00199109,0.00260809,0.00342938,0.00451878,0.0059506,0.00780503,0.0101602,0.0130806,0.0166032,0.0207222,0.0253614,0.0303795,0.0355743,0.0406947,0.0454591,0.0495776,0.0527803,0.054852,0.0556684,0.0552162,0.0535848,0.0509399,0.047496,0.0434924,0.0391703,0.0347532,0.0304294,0.0263416,0.022584,0.019207,0.0162261,0.0136318,0.0113992,0.0094949,0.00788228,0.00652464,0.00538719,0.00443808,0.00364887,0.00299459,0.00245356,0.00200721,0.0016397,0.00133762,0.00108972,0.000886543,0.000720219,0.000584204,0.000473082,0.00038238,-0,-0,-0,-0,-0,-0,-0,-7.25786,-0,-0,-0,-6.21907,-5.94914,-0,-0,-0,-4.85299,-4.58928,-17.3465,-20.4908,-3.87655,-29.3962,-6.98798,-30.0252,-35.2182,-27.8185,-18.0253,-17.6497,-37.7405,-43.3251,-26.0685,-40.9709,-41.6795,-24.3769,-25.0814,-25.9187,-20.1569,-17.4617,-7.27321,-41.6957,-15.8099,-8.24227,-17.1814,-4.47421,-4.657,-9.68628,-0,-0,-10.8351,-11.2267,-0,-12.0204,-0,-0,-0,-0,-0,-0,-0,-7.65624,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,4,4,4,5,8,13,11,10,15,9,12,12,10,10,10,8,4,3,8,4,5,3,2,1,2,1,3,2,3,0,2,1,1,0,2,0,0,0,0,0,1,0
-546.32,0.99959,0.139086,5,31,0,548.367,-1.69805,-1.96182,-0.976722,-0.645203,3.99012,0.157918,-0.951973,5.35659,2.55621,6.80318e-05,8.86585e-05,0.000115627,0.000150949,0.000197313,0.000258345,0.000338975,0.000445976,0.00058874,0.00078041,0.00103943,0.00139152,0.00187195,0.00252752,0.00341773,0.00461435,0.00619855,0.00825513,0.0108634,0.0140851,0.0179511,0.0224267,0.0274143,0.0327481,0.0381978,0.0434804,0.0482815,0.0522861,0.0552167,0.0568748,0.0571726,0.0561422,0.0539199,0.0507158,0.0467811,0.0423788,0.0377592,0.0331411,0.0287001,0.0245627,0.0208082,0.0174743,0.0145665,0.012067,0.00994418,0.00815857,0.00666849,0.00543305,0.00441421,0.00357774,0.00289356,0.00233573,0.00188217,0.00151425,0.00121643,0.00097577,0.000781612,0.000625182,0.0004993,0.000398108,0.000316845,-0,-0,-0,-0,-0,-0,-0,-7.71525,-0,-0,-0,-6.57736,-6.28078,-0,-0,-0,-5.08344,-4.79692,-18.0894,-21.3132,-4.02011,-30.38,-7.19338,-30.7702,-35.9147,-28.219,-18.1842,-17.7062,-37.6544,-43.0035,-25.7551,-40.3181,-40.8836,-23.8521,-24.4982,-25.2888,-19.6592,-17.0349,-7.10171,-40.7718,-15.4896,-8.09404,-16.9161,-4.41728,-4.61077,-9.61737,-0,-0,-10.8459,-11.266,-0,-12.1189,-0,-0,-0,-0,-0,-0,-0,-7.82879,-0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,2,0,1,3,2,3,3,10,7,10,13,7,6,14,7,12,9,10,12,12,8,7,7,3,3,5,5,0,1,2,2,4,0,1,1,1,1,0,1,0,0,0,0,0,0
-546.428,0.997791,0.139086,5,31,0,547.152,-1.54835,-1.79495,-1.20214,-0.659735,3.97658,0.395454,-0.769769,5.2242,2.56889,7.31041e-05,9.49114e-05,0.000123319,0.000160389,0.000208875,0.000272483,0.000356253,0.000467123,0.000614775,0.000812882,0.00108088,0.00144623,0.00194682,0.00263289,0.00356779,0.00482712,0.00649556,0.00866097,0.0114053,0.0147928,0.0188566,0.0235405,0.028723,0.034216,0.0397701,0.045088,0.0498441,0.0537123,0.0564052,0.0577247,0.0576059,0.0561267,0.0534756,0.049904,0.0456865,0.0410933,0.0363708,0.031727,0.0273234,0.0232708,0.019633,0.0164332,0.0136648,0.011301,0.00930387,0.00763065,0.00623823,0.00508584,0.00413639,0.00335709,0.00271947,0.00219921,0.00177571,0.00143168,0.0011527,0.000926834,0.000744217,0.000596742,0.00047777,0.000381879,0.000304652,-0,-0,-0,-0,-0,-0,-0,-7.66892,-0,-0,-0,-6.5388,-6.24156,-0,-0,-0,-5.03664,-4.74893,-17.8947,-21.0681,-3.97089,-29.9923,-7.10011,-30.3756,-35.471,-27.8923,-17.9931,-17.5447,-37.3775,-42.7811,-25.6872,-40.322,-40.9994,-23.9812,-24.6876,-25.5353,-19.8839,-17.2529,-7.20003,-41.3661,-15.7222,-8.2169,-17.1717,-4.48286,-4.67732,-9.75117,-0,-0,-10.9759,-11.3934,-0,-12.2393,-0,-0,-0,-0,-0,-0,-0,-7.87041,-0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,1,2,5,3,6,4,4,9,6,3,12,13,11,15,16,10,13,9,5,4,6,7,6,3,3,0,2,2,5,4,1,1,0,1,1,0,0,0,0,0,0,0,0,1
-546.982,0.994744,0.139086,5,31,0,547.514,-1.48575,-1.84992,-1.25015,-0.759238,3.85267,0.362681,-0.796173,5.32576,2.75969,0.000121662,0.000154203,0.000195606,0.00024838,0.000315806,0.000402207,0.000513335,0.000656937,0.000843567,0.00108776,0.00140965,0.00183695,0.00240695,0.00316794,0.00417932,0.00551,0.00723475,0.0094282,0.0121564,0.0154668,0.0193773,0.0238206,0.0286726,0.033753,0.0388318,0.0436416,0.0478963,0.0513175,0.0536696,0.0548012,0.0546753,0.053369,0.0510442,0.0479119,0.0442017,0.0401409,0.0359372,0.0317677,0.0277713,0.024046,0.0206518,0.0176157,0.0149403,0.0126107,0.0106016,0.00888224,0.00742002,0.00618286,0.00514057,0.00426559,0.00353331,0.00292205,0.00241295,0.00198978,0.00163862,0.00134764,0.00110683,0.000907741,0.000743303,0.00060759,0.000495661,-0,-0,-0,-0,-0,-0,-0,-7.32792,-0,-0,-0,-6.29965,-6.0294,-0,-0,-0,-4.92886,-4.66405,-17.6396,-20.8453,-3.94365,-29.8976,-7.10363,-30.4982,-35.7337,-28.1857,-18.2323,-17.8183,-38.0238,-43.5607,-26.1571,-41.0273,-41.6509,-24.3071,-24.9519,-25.7229,-19.9559,-17.2465,-7.16751,-41.0056,-15.5198,-8.07793,-16.8148,-4.37321,-4.54675,-9.4474,-0,-0,-10.5412,-10.9143,-0,-11.6709,-0,-0,-0,-0,-0,-0,-0,-7.40601,-0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,3,1,1,2,4,1,3,4,6,4,8,11,9,13,9,15,9,6,10,7,11,8,11,8,7,4,3,3,4,0,1,1,0,2,2,1,1,0,1,1,0,0,0,0,1,0,0
-547.587,0.99943,0.139086,5,31,0,548.893,-1.82186,-2.12444,-1.14691,-0.594761,3.95745,0.255091,-1.14841,5.34805,2.51505,7.01761e-05,9.26218e-05,0.000122311,0.00016163,0.000213782,0.000283094,0.000375448,0.00049889,0.000664494,0.000887547,0.00118908,0.0015976,0.00215075,0.00289625,0.00389183,0.00520354,0.00690208,0.00905672,0.0117269,0.0149517,0.0187396,0.0230413,0.0277554,0.0327275,0.0377554,0.0425995,0.0469986,0.0506903,0.0534383,0.0550643,0.0554779,0.054689,0.0527977,0.0499705,0.0464142,0.0423535,0.0380118,0.0335946,0.0292771,0.0251949,0.021442,0.0180721,0.0151051,0.0125353,0.0103394,0.00848366,0.00692972,0.00563836,0.00457201,0.00369617,0.00298009,0.00239693,0.00192366,0.00154071,0.00123169,0.000982898,0.000783029,0.000622767,0.000494484,0.000391961,0.000310143,-0,-0,-0,-0,-0,-0,-0,-7.60312,-0,-0,-0,-6.43925,-6.14194,-0,-0,-0,-4.97593,-4.70425,-17.7835,-21.0147,-3.97712,-30.1637,-7.16865,-30.7759,-36.0429,-28.4032,-18.3458,-17.8921,-38.08,-43.4888,-26.0259,-40.6853,-41.178,-23.9706,-24.5612,-25.2936,-19.6192,-16.9669,-7.0619,-40.4922,-15.3696,-8.02678,-16.7709,-4.3792,-4.57179,-9.53923,-0,-0,-10.7756,-11.2009,-0,-12.0671,-0,-0,-0,-0,-0,-0,-0,-7.84435,-0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2,4,3,3,0,1,4,9,9,7,9,9,19,10,12,8,12,15,9,9,8,6,4,6,4,5,2,2,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-547.45,0.982962,0.139086,3,15,0,551.719,-1.55358,-2.51885,-1.17038,-0.558193,3.805,0.263235,-1.02694,5.01045,2.41163,8.46998e-05,0.000112865,0.000150443,0.000200615,0.000267661,0.000357362,0.000477544,0.000638833,0.000855684,0.00114771,0.00154127,0.00207109,0.00278134,0.00372563,0.00496544,0.00656657,0.00859362,0.0111022,0.0141298,0.0176855,0.0217418,0.026212,0.0309611,0.0358105,0.0405472,0.0449377,0.0487447,0.0517465,0.0537606,0.0546682,0.0544326,0.0531018,0.0507946,0.0476802,0.0439569,0.0398347,0.0355188,0.0311953,0.0270202,0.0231121,0.0195498,0.0163753,0.0136001,0.0112125,0.00918548,0.00748373,0.00606826,0.00490003,0.00394221,0.0031613,0.00252769,0.00201578,0.0016037,0.00127306,0.00100854,0.000797463,0.000629419,0.000495916,0.000390057,0.000306265,0.000240046,-0,-0,-0,-0,-0,-0,-0,-7.35587,-0,-0,-0,-6.17968,-5.88482,-0,-0,-0,-4.75674,-4.50061,-17.0379,-20.175,-3.82852,-29.1323,-6.95005,-29.9656,-35.2582,-27.9223,-18.127,-17.7684,-38.0018,-43.5971,-26.1971,-41.0976,-41.7195,-24.3459,-24.9964,-25.7841,-20.0262,-17.3374,-7.22234,-41.4414,-15.7392,-8.22396,-17.1907,-4.49073,-4.69013,-9.79005,-0,-0,-11.072,-11.5135,-0,-12.4135,-0,-0,-0,-0,-0,-0,-0,-8.09106,-0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,3,2,3,4,2,13,5,7,15,9,9,8,9,10,11,11,15,8,7,8,8,6,3,7,3,0,3,2,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
