# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 11:29:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c26d9eede3.json
# init = /tmp/RtmpC8O1hA/init-b41c27c616ef0_4.json
# random
#   seed = 4252008
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0417_rep042_badly_wrong_weak/prior_sensitivity_obspair_FAST-202605311229-4-785b1d.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0417_rep042_badly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605311229-4-1f1a7a.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.065652
# Diagonal elements of inverse mass matrix:
# 0.118762, 0.0561089, 0.0975306, 0.013686, 0.0956614, 0.10626, 0.208511
-547.255,0.997692,0.065652,5,31,0,551.409,-1.93432,-1.86338,-1.34108,-0.694789,4.12343,1.58964,-0.189183,5.37507,2.66563,8.23917e-05,0.000105926,0.000136248,0.000175359,0.00022588,0.000291262,0.00037609,0.000486508,0.000630874,0.000820758,0.00107259,0.00141032,0.0018685,0.00249312,0.00334217,0.00448647,0.00600973,0.00800674,0.0105779,0.0138172,0.017792,0.0224305,0.0275892,0.0330723,0.0386471,0.0440489,0.0489809,0.0531137,0.0560874,0.0575619,0.0574584,0.0559831,0.0533951,0.0499485,0.0458861,0.041439,0.0368271,0.0322573,0.0279091,0.0239101,0.0203249,0.0171692,0.0144287,0.0120732,0.0100647,0.00836325,0.00692973,0.00572741,0.00472293,0.00388658,0.0031923,0.00261746,0.00214264,0.00175125,0.00142924,0.00116474,0.000947818,0.00077015,0.000624806,0.00050603,0.00040905,-0,-0,-0,-0,-0,-0,-0,-7.62826,-0,-0,-0,-6.56394,-6.28262,-0,-0,-0,-5.11438,-4.82747,-18.196,-21.4092,-4.02901,-30.3787,-7.18066,-30.6815,-35.7861,-28.1021,-18.0979,-17.6119,-37.451,-42.8234,-25.7103,-40.3579,-41.0205,-23.9741,-24.6527,-25.4683,-19.8091,-17.1701,-7.1576,-41.068,-15.5836,-8.12928,-16.9541,-4.41677,-4.59872,-9.56782,-0,-0,-10.7107,-11.1004,-0,-11.8911,-0,-0,-0,-0,-0,-0,-0,-7.58892,-0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,3,2,2,1,4,3,9,9,4,7,9,7,9,16,12,14,10,14,4,4,5,7,5,11,7,4,1,1,3,1,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0
-547.8,0.997999,0.065652,6,63,0,552.713,-0.37671,-2.88871,-0.575758,-0.901162,4.36,0.815726,-1.01082,5.31629,2.73462,0.000182974,0.000225114,0.000277227,0.000341817,0.000422088,0.000522188,0.000647546,0.000805379,0.00100544,0.0012612,0.00159155,0.00202326,0.00259348,0.00335118,0.00435699,0.00568136,0.00740091,0.00959225,0.0123219,0.0156324,0.0195249,0.0239402,0.0287545,0.0337827,0.0387906,0.043513,0.0476747,0.0510151,0.0533168,0.0544366,0.0543294,0.0530519,0.0507441,0.0476038,0.0438601,0.03975,0.0354984,0.0313002,0.0273071,0.0236211,0.0202964,0.0173492,0.0147699,0.0125337,0.0106085,0.00895984,0.00755385,0.00635871,0.00534548,0.00448831,0.00376445,0.00315402,0.00263981,0.00220697,0.00184277,0.00153635,0.00127853,0.00106155,0.000878925,0.000725226,0.000595966,-0,-0,-0,-0,-0,-0,-0,-7.1242,-0,-0,-0,-6.20304,-5.95476,-0,-0,-0,-4.90615,-4.6468,-17.5855,-20.7921,-3.93607,-29.8576,-7.09792,-30.4903,-35.7454,-28.2123,-18.2601,-17.8538,-38.1095,-43.6608,-26.2142,-41.1108,-41.7334,-24.3587,-25.014,-25.8012,-20.0296,-17.3207,-7.20122,-41.2018,-15.5892,-8.10842,-16.8607,-4.37934,-4.5461,-9.43001,-0,-0,-10.463,-10.8126,-0,-11.5182,-0,-0,-0,-0,-0,-0,-0,-7.22903,-0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,3,1,7,6,8,11,7,12,14,13,13,11,8,11,12,8,8,7,2,5,1,4,4,5,1,1,1,3,2,0,2,1,0,0,1,0,0,1,1,0,0,0
-548.73,0.999014,0.065652,6,127,0,552.991,-2.0353,-1.6134,-1.79649,-0.547027,2.58296,-0.222,-0.377965,5.10972,2.7112,8.61682e-05,0.000115176,0.000153978,0.000205898,0.00027539,0.000368418,0.00049296,0.000659641,0.00088253,0.00118008,0.00157616,0.00210105,0.00279225,0.00369489,0.00486152,0.00635127,0.0082283,0.0105598,0.0134137,0.0168569,0.0209538,0.0255679,0.0305218,0.0355986,0.0405478,0.0450984,0.0489799,0.0519511,0.0538305,0.0545231,0.0540323,0.0524543,0.0499553,0.0467422,0.0430338,0.0390382,0.0349388,0.0308871,0.0269999,0.023361,0.0200243,0.0170189,0.0143531,0.0120202,0.0100028,0.00827617,0.00681194,0.00558031,0.00455176,0.00369829,0.00299415,0.00241615,0.00194388,0.00155959,0.00124803,0.000996302,0.000793524,0.000630629,0.000500097,0.000395733,0.000312459,-0,-0,-0,-0,-0,-0,-0,-7.32382,-0,-0,-0,-6.16532,-5.88091,-0,-0,-0,-4.80018,-4.5507,-17.2459,-20.415,-3.86543,-29.3314,-6.97863,-30.019,-35.258,-27.8902,-18.0981,-17.7447,-37.9849,-43.637,-26.2636,-41.2694,-41.9528,-24.5049,-25.1662,-25.9457,-20.1249,-17.3871,-7.22384,-41.3236,-15.6432,-8.14687,-16.9752,-4.42116,-4.60489,-9.58875,-0,-0,-10.7845,-11.1998,-0,-12.0512,-0,-0,-0,-0,-0,-0,-0,-7.83477,-0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,5,2,4,4,7,9,9,5,3,12,14,4,11,11,13,13,9,3,3,8,3,4,10,10,3,1,1,0,3,1,2,1,2,0,2,1,0,1,0,0,0,0,0,0
-549.702,0.992746,0.065652,5,31,0,551.194,-2.73158,-1.16985,-1.9648,-0.476741,2.47335,-0.218388,-0.288164,5.19929,2.64618,5.0022e-05,6.82764e-05,9.32077e-05,0.000127266,0.0001738,0.000237387,0.000324263,0.000442898,0.00060472,0.000825005,0.0011239,0.00152756,0.00206919,0.00279016,0.00374086,0.00498165,0.00658391,0.00863189,0.0112262,0.0144911,0.0185917,0.0233896,0.0287144,0.0343505,0.040032,0.0454462,0.050252,0.054113,0.0567446,0.057963,0.0577205,0.0561102,0.0533391,0.0496821,0.0454333,0.0408685,0.036223,0.0316817,0.0273798,0.023407,0.0198149,0.0166249,0.0138358,0.01143,0.00937939,0.00764989,0.0062048,0.00500737,0.00402248,0.00321777,0.00256418,0.00203616,0.00161164,0.00127181,0.00100085,0.000785568,0.000615083,0.000480468,0.00037446,0.000291176,0.000225882,-0,-0,-0,-0,-0,-0,-0,-7.72217,-0,-0,-0,-6.48409,-6.1806,-0,-0,-0,-5.02313,-4.75229,-17.958,-21.1711,-3.98504,-30.0437,-7.10072,-30.3402,-35.3989,-27.821,-17.9442,-17.5001,-37.2995,-42.7192,-25.6693,-40.3261,-41.0352,-24.0169,-24.7321,-25.5792,-19.9084,-17.2601,-7.1959,-41.3019,-15.6853,-8.1937,-17.122,-4.47151,-4.66924,-9.74613,-0,-0,-11.0317,-11.4781,-0,-12.3934,-0,-0,-0,-0,-0,-0,-0,-8.14158,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,2,6,9,8,5,9,8,6,13,13,5,10,16,9,12,10,8,10,7,5,4,1,3,2,5,1,2,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0
-546.991,0.999083,0.065652,6,63,0,552.037,-1.1891,-2.75857,-0.866698,-0.761414,4.33149,1.39968,-0.738638,5.16609,2.47608,0.000136441,0.000172667,0.000218628,0.000277009,0.000351281,0.000445957,0.00056695,0.000722087,0.00092186,0.00118057,0.0015181,0.0019625,0.00255237,0.00333771,0.00437973,0.00574978,0.00752637,0.00978927,0.0126092,0.0160313,0.0200535,0.0246011,0.029531,0.0346481,0.0397216,0.0444981,0.0487143,0.0521133,0.0544667,0.0556058,0.0554694,0.0541233,0.0517167,0.048447,0.0445376,0.0402198,0.0357205,0.0312504,0.0269896,0.0230687,0.0195586,0.0164788,0.0138149,0.011535,0.00959921,0.00796567,0.00659405,0.00544703,0.00449109,0.0036967,0.00303818,0.00249347,0.00204373,0.00167298,0.00136778,0.00111683,0.000910685,0.000741495,0.000602738,0.000489019,0.000395887,-0,-0,-0,-0,-0,-0,-0,-7.23337,-0,-0,-0,-6.23354,-5.97073,-0,-0,-0,-4.88934,-4.62647,-17.4933,-20.6661,-3.90935,-29.6397,-7.04463,-30.2626,-35.4845,-28.0108,-18.1307,-17.726,-37.8321,-43.342,-26.0273,-40.8309,-41.4677,-24.2183,-24.8914,-25.7072,-19.9922,-17.3286,-7.22461,-41.4621,-15.7374,-8.21136,-17.128,-4.46237,-4.64607,-9.66523,-0,-0,-10.8113,-11.2006,-0,-11.9882,-0,-0,-0,-0,-0,-0,-0,-7.62311,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,3,5,3,5,7,10,9,8,9,7,7,11,11,10,15,8,8,11,10,11,2,3,2,5,5,2,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
-550.863,0.994817,0.065652,5,31,0,552.863,-1.90441,-1.47069,-1.67008,-0.606608,4.43065,1.69437,-2.28191,5.39883,2.53141,4.27347e-05,5.62765e-05,7.41724e-05,9.7869e-05,0.000129329,0.000171242,0.000227342,0.000302903,0.000405548,0.00054661,0.000743535,0.00102324,0.00142325,0.00199141,0.00278642,0.00387822,0.00534755,0.00728407,0.00978166,0.0129282,0.0167867,0.0213163,0.026409,0.0319028,0.0375923,0.0432334,0.0485453,0.0532123,0.0568851,0.0591851,0.059786,0.058723,0.0562759,0.0527562,0.0484669,0.0436915,0.0386881,0.0336858,0.0288819,0.0244361,0.0204541,0.0169785,0.0140009,0.0114842,0.00937836,0.00763022,0.0061881,0.00500454,0.00403737,0.00324993,0.00261086,0.00209364,0.00167606,0.00133966,0.00106918,0.000852086,0.000678109,0.000538878,0.000427592,0.000338738,0.000267863,-0,-0,-0,-0,-0,-0,-0,-8.1021,-0,-0,-0,-6.88478,-6.55482,-0,-0,-0,-5.23112,-4.92206,-18.509,-21.7417,-4.08717,-30.7863,-7.2681,-31.0055,-36.0905,-28.2703,-18.1515,-17.6008,-37.2674,-42.4063,-25.3529,-39.6889,-40.2848,-23.5366,-24.215,-25.0448,-19.5133,-16.9534,-7.08908,-40.8286,-15.5583,-8.15161,-17.0745,-4.46679,-4.66935,-9.75128,-0,-0,-11.0243,-11.4582,-0,-12.3377,-0,-0,-0,-0,-0,-0,-0,-7.99028,-0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,2,4,1,0,4,1,2,1,4,10,7,10,13,12,14,17,14,6,13,8,5,7,5,3,7,5,2,1,5,1,4,1,3,0,1,0,1,0,0,0,0,0,1,0,1,0
