# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 11:37:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2aa9acfb.json
# init = /tmp/RtmpC8O1hA/init-b41c23a3802b6_3.json
# random
#   seed = 4252009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0418_rep042_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605311237-3-59f801.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0418_rep042_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605311237-3-3d5a78.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.108496
# Diagonal elements of inverse mass matrix:
# 0.133407, 0.0671492, 0.0386305, 0.0106554, 0.0335884, 0.0424142, 0.0419252
-548.46,0.989526,0.108496,5,31,0,551.581,0.213258,-1.65883,-1.0261,-0.875729,4.75117,0.737097,-0.424971,5.28893,2.83932,0.000101554,0.000126093,0.000156877,0.000195672,0.000244851,0.000307663,0.000388671,0.000494468,0.000634895,0.000825043,0.00108817,0.00145875,0.00198399,0.00272315,0.00374516,0.00512533,0.00694119,0.00926736,0.0121691,0.0156945,0.0198654,0.0244945,0.0294231,0.03448,0.0394725,0.0441872,0.0483948,0.0518571,0.0543397,0.055638,0.0556291,0.0543331,0.051916,0.0486232,0.0447172,0.0404462,0.0360314,0.0316602,0.0274822,0.0236072,0.0201037,0.0170028,0.0143041,0.0119855,0.0100124,0.00834483,0.00694254,0.00576767,0.00478605,0.00396759,0.00328624,0.00271968,0.00224889,0.0018578,0.00153288,0.0012628,0.00103811,0.000850956,0.000694851,0.000564449,0.000455363,-0,-0,-0,-0,-0,-0,-0,-7.61203,-0,-0,-0,-6.53018,-6.22264,-0,-0,-0,-4.97028,-4.68126,-17.6354,-20.7722,-3.91877,-29.6745,-7.05195,-30.3064,-35.5537,-28.0739,-18.1702,-17.7556,-37.8625,-43.3333,-26.0014,-40.7767,-41.4138,-24.1892,-24.8592,-25.6623,-19.9402,-17.2635,-7.18843,-41.2082,-15.6274,-8.14876,-16.9888,-4.42406,-4.60393,-9.57223,-0,-0,-10.6841,-11.0592,-0,-11.8145,-0,-0,-0,-0,-0,-0,-0,-7.47966,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,3,6,5,5,11,5,8,17,9,8,11,13,8,12,11,9,5,5,6,6,3,5,3,3,4,0,4,0,3,1,1,1,1,0,0,1,0,0,1,0,0,0
-549.405,0.991436,0.108496,5,63,0,551.035,0.267529,-1.86887,-0.901076,-0.773352,4.92817,0.965591,-0.575358,5.28085,2.63954,5.92841e-05,7.52069e-05,9.55938e-05,0.000121816,0.000155745,0.000199993,0.000258301,0.000336227,0.000442365,0.000590551,0.000803259,0.00111495,0.00157314,0.00223725,0.00317626,0.00446571,0.00618406,0.00840821,0.0112071,0.0146327,0.0187071,0.0233296,0.0283729,0.0336686,0.0390081,0.0441517,0.0488398,0.0528065,0.0557945,0.0575741,0.0579794,0.0569737,0.054685,0.0513468,0.0472296,0.0426077,0.037742,0.0328675,0.0281823,0.023839,0.0199385,0.016529,0.0136124,0.011157,0.00911332,0.00742539,0.00603878,0.004904,0.00397786,0.00322356,0.00261013,0.00211182,0.00170731,0.00137906,0.0011127,0.000896477,0.000720864,0.000578123,0.000462006,0.000367483,0.000290515,-0,-0,-0,-0,-0,-0,-0,-7.99772,-0,-0,-0,-6.79895,-6.45468,-0,-0,-0,-5.08578,-4.77855,-17.9648,-21.1225,-3.97885,-30.0642,-7.12464,-30.5207,-35.6838,-28.0811,-18.1153,-17.6467,-37.519,-42.8202,-25.629,-40.1123,-40.6863,-23.7532,-24.4219,-25.2458,-19.6619,-17.0764,-7.13812,-41.1007,-15.6604,-8.20528,-17.1871,-4.49569,-4.69802,-9.8057,-0,-0,-11.054,-11.4745,-0,-12.3204,-0,-0,-0,-0,-0,-0,-0,-7.90883,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,2,1,3,1,6,8,8,13,10,12,6,15,12,11,12,15,10,5,6,3,3,3,1,4,3,5,4,3,4,1,1,1,0,1,1,0,0,0,1,0,0,0,0
-550.508,0.913091,0.108496,4,15,0,559.754,0.0165493,-1.89979,-1.2308,-0.85175,4.20755,0.786309,-0.437492,4.80672,2.75438,0.000205411,0.000255434,0.000317999,0.000396454,0.000495154,0.000619838,0.000778174,0.000980595,0.00124159,0.00158166,0.00203021,0.00262851,0.0034308,0.00450133,0.00590912,0.00772242,0.0100033,0.012802,0.0161496,0.020051,0.0244783,0.0292069,0.0340323,0.0387467,0.0431385,0.0469972,0.0501206,0.0523233,0.0534541,0.0534299,0.0522772,0.050135,0.0472044,0.0437012,0.0398331,0.0357901,0.0317394,0.0278207,0.0241411,0.0207724,0.017752,0.0150882,0.0127687,0.0107682,0.00905549,0.00759736,0.00636141,0.00531746,0.0044382,0.00369939,0.0030798,0.00256103,0.00212722,0.00176481,0.00146224,0.00120975,0.00099909,0.000823352,0.00067674,0.000554417,0.000452354,-0,-0,-0,-0,-0,-0,-0,-6.92735,-0,-0,-0,-5.94134,-5.67496,-0,-0,-0,-4.60484,-4.35816,-16.5035,-19.5474,-3.70997,-28.2668,-6.76089,-29.2564,-34.5767,-27.519,-17.9599,-17.7019,-38.0761,-43.9408,-26.5608,-41.9025,-42.7458,-25.043,-25.7845,-26.6407,-20.7012,-17.9099,-7.44768,-42.6154,-16.125,-8.38768,-17.443,-4.53116,-4.70438,-9.75991,-0,-0,-10.835,-11.1992,-0,-11.9347,-0,-0,-0,-0,-0,-0,-0,-7.49759,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,3,3,4,2,5,7,5,8,13,8,10,7,19,13,11,7,12,8,8,6,5,7,2,2,2,3,3,2,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
-550.443,0.995447,0.108496,5,31,0,555.352,-1.1865,-2.73931,-0.990763,-0.706576,4.59287,0.268797,-1.26569,5.388,2.5488,0.00014418,0.000184928,0.00023734,0.00030485,0.000391959,0.000504601,0.000650644,0.000840565,0.00108834,0.00141254,0.00183745,0.00239397,0.00311991,0.00405935,0.00526091,0.00677471,0.00864796,0.0109191,0.0136112,0.0167247,0.020232,0.0240674,0.028131,0.032292,0.0363957,0.0402724,0.0437485,0.0466584,0.0488573,0.0502339,0.050723,0.0503131,0.0490466,0.0470117,0.0443313,0.0411502,0.037624,0.0339082,0.0301481,0.0264706,0.0229776,0.0197429,0.0168122,0.0142058,0.0119239,0.00995204,0.00826634,0.00683799,0.0056365,0.00463192,0.0037962,0.00310389,0.00253242,0.00206213,0.00167613,0.00136002,0.00110167,0.000890888,0.000719189,0.000579526,0.000466076,-0,-0,-0,-0,-0,-0,-0,-7.08144,-0,-0,-0,-6.0348,-5.76995,-0,-0,-0,-4.75043,-4.51724,-17.1874,-20.4543,-3.90049,-29.8152,-7.14177,-30.8964,-36.4464,-28.9088,-18.7758,-18.3894,-39.2451,-44.866,-26.8324,-41.8529,-42.2098,-24.4589,-24.9285,-25.5242,-19.6807,-16.9205,-7.00327,-39.9489,-15.0929,-7.84992,-16.3426,-4.25411,-4.42921,-9.21996,-0,-0,-10.357,-10.7496,-0,-11.5502,-0,-0,-0,-0,-0,-0,-0,-7.4533,-0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,2,3,4,1,4,5,10,6,11,8,6,10,9,9,12,9,7,11,6,9,8,6,9,7,4,2,1,5,3,2,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1
-550.393,0.978475,0.108496,5,31,0,556.918,-0.466018,-1.54053,-0.86789,-0.603735,4.55804,0.105722,-0.516192,5.01827,2.45933,3.33832e-05,4.41051e-05,5.83656e-05,7.74029e-05,0.000102941,0.000137415,0.00018433,0.000248832,0.000338619,0.000465404,0.000647112,0.000910963,0.00129725,0.00186315,0.00268546,0.00386073,0.00550168,0.00772914,0.01066,0.014392,0.018988,0.0243257,0.030222,0.0364329,0.0426594,0.0485599,0.0537702,0.0579319,0.0607315,0.0619469,0.0614933,0.0594481,0.0560368,0.0515846,0.0464559,0.0410028,0.0355314,0.0302836,0.0254317,0.0210809,0.0172791,0.0140282,0.0112986,0.00904058,0.00719539,0.00570225,0.00450337,0.00354666,0.00278691,0.00218586,0.00171181,0.00133882,0.00104591,0.000816215,0.000636308,0.000495501,0.000385342,0.000299164,0.000231725,0.000178918,0.000137534,-0,-0,-0,-0,-0,-0,-0,-8.29873,-0,-0,-0,-7.00101,-6.64751,-0,-0,-0,-5.2027,-4.86276,-18.165,-21.2054,-3.96395,-29.7298,-6.99837,-29.8105,-34.6996,-27.2246,-17.5382,-17.0909,-36.4168,-41.7222,-25.0994,-39.5171,-40.3445,-23.7162,-24.554,-25.5529,-20.024,-17.4857,-7.34352,-42.4532,-16.233,-8.53337,-17.9323,-4.70603,-4.93431,-10.3338,-0,-0,-11.7656,-12.2515,-0,-13.2319,-0,-0,-0,-0,-0,-0,-0,-8.62858,-0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,1,1,3,2,4,4,11,16,6,15,10,12,10,10,11,7,10,8,11,10,5,5,8,2,1,3,4,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-547.683,0.991499,0.108496,5,31,0,552.898,-1.2545,-1.69614,-1.35318,-0.754389,4.53955,0.706213,-0.306635,5.46717,2.73873,9.65725e-05,0.000122621,0.000155851,0.000198341,0.000252834,0.000322994,0.000413782,0.000532037,0.000687367,0.000893488,0.00117002,0.00154436,0.00205306,0.00274254,0.00366923,0.00489887,0.00650466,0.00856371,0.0111514,0.0143341,0.018161,0.0225321,0.0273111,0.0323269,0.0373788,0.0422424,0.0466765,0.0504296,0.0532514,0.05492,0.055296,0.0543866,0.0523475,0.0494133,0.0458318,0.0418339,0.0376239,0.0333773,0.0292406,0.0253292,0.0217257,0.0184799,0.0156109,0.0131136,0.0109658,0.00913578,0.0075879,0.00628609,0.0051962,0.00428708,0.00353107,0.00290397,0.00238491,0.00195606,0.00160229,0.00131084,0.00107097,0.000873747,0.000711683,0.000578569,0.000469256,-0,-0,-0,-0,-0,-0,-0,-7.5388,-0,-0,-0,-6.47315,-6.18843,-0,-0,-0,-5.03524,-4.76022,-17.9847,-21.2256,-4.00848,-30.3425,-7.20093,-30.8867,-36.1532,-28.479,-18.3871,-17.9231,-38.1255,-43.5282,-26.0555,-40.7629,-41.2979,-24.0603,-24.6622,-25.3924,-19.6807,-16.9994,-7.06439,-40.4338,-15.317,-7.98214,-16.6391,-4.33411,-4.51298,-9.39111,-0,-0,-10.5197,-10.9043,-0,-11.6834,-0,-0,-0,-0,-0,-0,-0,-7.45495,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,1,5,3,2,4,1,10,8,4,9,13,11,11,10,15,10,9,8,7,4,12,3,5,6,2,6,2,3,1,2,0,2,1,0,0,0,1,0,0,0,1,1,0,0
