# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 12:04:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c24e2caf1b.json
# init = /tmp/RtmpC8O1hA/init-b41c26bd68038_3.json
# random
#   seed = 4352002
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0421_rep043_accurate_weak/prior_sensitivity_obspair_FAST-202605311304-3-3ba9ac.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0421_rep043_accurate_weak/prior_sensitivity_obspair_FAST-profile-202605311304-3-0bf39c.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.090204
# Diagonal elements of inverse mass matrix:
# 0.104005, 0.0520328, 0.106597, 0.0443996, 0.0777811, 0.11864, 0.191597
-505.458,0.998884,0.090204,5,31,0,508.666,-1.98734,-2.52084,-0.369054,-0.717815,3.95437,0.470071,-0.701894,5.26859,2.42505,5.31006e-05,6.79282e-05,8.69537e-05,0.000111403,0.000142883,0.00018352,0.000236149,0.000304604,0.000394144,0.000512126,0.000669078,0.000880438,0.00116932,0.0015707,0.00213701,0.00294466,0.00409989,0.00574094,0.00803164,0.0111416,0.0152112,0.0203029,0.026358,0.0331675,0.0403705,0.0474817,0.0539455,0.0592112,0.0628211,0.0644896,0.0641466,0.061932,0.0581548,0.0532326,0.0476238,0.0417625,0.0360083,0.0306196,0.025751,0.0214702,0.0177815,0.0146504,0.0120218,0.00983336,0.00802255,0.00653137,0.00530796,0.00430723,0.00349061,0.00282556,0.00228488,0.00184593,0.00149002,0.00120173,0.000968426,0.000779746,0.000627224,0.000503963,0.000404353,0.000323853,0.000258791,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.45623,-6.14835,-11.6555,-0,-0,-4.82437,-4.49707,-8.37145,-15.588,-39.9958,-23.8433,-19.2579,-24.3793,-29.1978,-31.0931,-33.2096,-43.86,-30.2124,-30.5989,-45.5143,-32.2639,-39.5775,-34.9333,-29.9161,-31.375,-7.31856,-7.68218,-24.1776,-0,-0,-4.62198,-9.651,-5.03114,-0,-0,-5.65768,-0,-0,-0,-0,-6.72399,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,3,2,3,6,6,7,15,9,9,11,14,12,10,12,21,6,9,7,7,5,4,3,7,1,1,0,0,1,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0
-506.153,0.999502,0.090204,5,31,0,509.643,-2.30307,-3.65441,-0.476519,-0.248106,4.44594,0.762996,-2.4691,5.00554,1.70228,7.3828e-06,1.09079e-05,1.61176e-05,2.38187e-05,3.52066e-05,5.20547e-05,7.69992e-05,0.00011397,0.000168848,0.00025047,0.000372143,0.000553839,0.000825128,0.0012289,0.0018258,0.0026987,0.00395587,0.00572987,0.00816857,0.011415,0.0155775,0.0206978,0.026727,0.033512,0.0407872,0.04817,0.0551702,0.0612267,0.0657806,0.0683748,0.0687547,0.0669257,0.0631391,0.0578206,0.0514773,0.0446166,0.0376913,0.0310721,0.025035,0.0197557,0.0153096,0.0116851,0.00880853,0.00657358,0.00486567,0.00357728,0.00261524,0.00190276,0.00137865,0.000995292,0.000716235,0.000513948,0.000367846,0.000262665,0.00018716,0.0001331,9.44832e-05,6.69569e-05,4.73736e-05,3.34657e-05,2.36043e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.70163,-6.30574,-11.83,-0,-0,-4.80746,-4.47283,-8.32386,-15.5109,-39.8429,-23.771,-19.1963,-24.2641,-28.9733,-30.7249,-32.6572,-42.924,-29.4493,-29.7459,-44.1986,-31.3545,-38.566,-34.2061,-29.5049,-31.243,-7.37496,-7.84863,-25.0757,-0,-0,-5.0247,-10.6511,-5.63315,-0,-0,-6.58665,-0,-0,-0,-0,-8.24463,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,3,3,0,4,7,3,9,9,13,8,11,11,12,13,16,13,13,9,4,7,3,4,3,5,6,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-507.315,0.986773,0.090204,6,63,0,512.553,-0.632997,-2.19545,-0.315121,0.26598,4.95642,-0.530718,0.0695899,4.99659,1.92669,1.25122e-06,2.33864e-06,4.33811e-06,7.97355e-06,1.44974e-05,2.60321e-05,4.6095e-05,8.03854e-05,0.000137927,0.000232666,0.000385598,0.000627373,0.00100113,0.00156511,0.00239445,0.00358076,0.00522779,0.00744221,0.0103205,0.0139337,0.0183136,0.0233877,0.0290283,0.0350435,0.0411813,0.0471396,0.0525854,0.0571806,0.0606122,0.0626285,0.0630734,0.0619126,0.0592439,0.0552848,0.05034,0.0447577,0.0388851,0.0330333,0.0274555,0.0223373,0.0177968,0.0138907,0.0106252,0.00796771,0.00585973,0.00422799,0.00299419,0.00208209,0.00142233,0.000955004,0.000630617,0.00040979,0.00026224,0.000165392,0.000102887,6.31844e-05,3.83388e-05,2.30051e-05,1.36629e-05,8.03805e-06,4.68806e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.4598,-6.0346,-11.2644,-0,-0,-4.57363,-4.27344,-8.00022,-15.0222,-38.9343,-23.4582,-19.1386,-24.4371,-29.4532,-31.477,-33.6391,-44.3285,-30.398,-30.6023,-45.2175,-31.8478,-38.8564,-34.1714,-29.2243,-30.6922,-7.19038,-7.60299,-24.1724,-0,-0,-4.83236,-10.2793,-5.46603,-0,-0,-6.55546,-0,-0,-0,-0,-8.70719,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,6,1,3,2,3,12,13,10,12,11,16,11,9,12,13,9,12,8,2,7,4,3,3,5,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-504.411,0.999067,0.090204,6,63,0,509.111,-1.88157,-0.756442,-2.24878,0.495087,3.48541,-0.403268,-1.41014,5.05444,2.13126,9.7285e-07,2.03901e-06,4.17478e-06,8.31712e-06,1.60697e-05,3.00459e-05,5.43158e-05,9.49748e-05,0.000160864,0.000264483,0.000423138,0.000660363,0.00100766,0.00150656,0.00221099,0.00319004,0.00453094,0.00634234,0.00875785,0.0119396,0.0160818,0.0210443,0.0266703,0.0327789,0.0391566,0.0455511,0.0516685,0.0571766,0.0617171,0.0649312,0.0664992,0.0661936,0.0639367,0.0598458,0.054244,0.0476203,0.0405416,0.0335458,0.0270535,0.0213277,0.0164804,0.0125093,0.00934092,0.0068678,0.00497334,0.00354665,0.00248953,0.00171883,0.00116628,0.000777027,0.000507896,0.000325472,0.000204376,0.000125722,7.57633e-05,4.47394e-05,2.59023e-05,1.47139e-05,8.20859e-06,4.50217e-06,2.43045e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.49793,-6.11431,-11.4954,-0,-0,-4.73781,-4.4279,-8.26013,-15.4445,-39.8662,-23.9258,-19.4411,-24.7114,-29.6291,-31.4777,-33.4223,-43.7508,-29.8162,-29.8669,-43.9978,-30.9758,-37.8854,-33.4895,-28.8488,-30.5536,-7.21987,-7.6955,-24.6335,-0,-0,-4.98091,-10.6073,-5.64175,-0,-0,-6.75394,-0,-0,-0,-0,-8.98144,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,4,1,2,1,5,9,10,14,10,12,6,14,15,12,15,16,10,7,11,7,5,1,1,0,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-506.439,0.98433,0.090204,5,63,0,507.902,-1.57015,-1.43152,-1.58208,0.824863,4.97478,-0.0707946,-0.45075,5.03097,1.89312,1.06642e-07,3.11001e-07,8.76688e-07,2.36177e-06,6.01351e-06,1.43504e-05,3.19675e-05,6.65197e-05,0.000129833,0.000239123,0.0004183,0.000699329,0.00112351,0.00174251,0.00261883,0.00382534,0.00544356,0.0075605,0.0102644,0.0136399,0.0177644,0.0225507,0.0278737,0.0335694,0.0394365,0.0452408,0.0507193,0.0555876,0.0595494,0.0623133,0.0636175,0.0632688,0.0611929,0.0574863,0.0524416,0.0465128,0.0402118,0.0339851,0.0281418,0.0228531,0.0181923,0.014176,0.0107893,0.00799931,0.00575992,0.0040149,0.00270009,0.00174623,0.00108278,0.000642097,0.000363503,0.000196284,0.000101113,4.97511e-05,2.34328e-05,1.05965e-05,4.61666e-06,1.94521e-06,7.95674e-07,3.17129e-07,1.23582e-07,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.35243,-5.94503,-11.1322,-0,-0,-4.57907,-4.29475,-8.06112,-15.168,-39.3808,-23.759,-19.3984,-24.766,-29.8145,-31.7877,-33.8514,-44.4093,-30.3035,-30.364,-44.6996,-31.4183,-38.3247,-33.7483,-28.9224,-30.4365,-7.141,-7.55734,-24.0405,-0,-0,-4.8284,-10.3137,-5.51774,-0,-0,-6.82823,-0,-0,-0,-0,-9.90848,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,2,3,3,6,7,9,9,9,11,14,16,13,13,10,11,6,11,7,11,4,5,3,1,1,1,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-507.666,0.960444,0.090204,5,31,0,510.132,-1.35337,-1.06239,-1.19354,0.932241,5.52521,-0.38313,-0.164119,5.40442,2.02431,1.62777e-07,4.41997e-07,1.12734e-06,2.69313e-06,6.02886e-06,1.26896e-05,2.52452e-05,4.77628e-05,8.64693e-05,0.000150647,0.000253805,0.000415139,0.000661233,0.00102797,0.00156271,0.00232685,0.00339903,0.00487916,0.00689441,0.00961097,0.013266,0.0177497,0.0229551,0.0287495,0.0349623,0.041377,0.0477296,0.0537099,0.0589701,0.0631408,0.0658601,0.0668173,0.0658105,0.0628095,0.0580058,0.051818,0.0448307,0.0376718,0.0308744,0.0247867,0.0195622,0.0152093,0.0116564,0.00880147,0.00653906,0.00477166,0.00341261,0.00238624,0.00162699,0.0010786,0.000693178,0.000430592,0.000257817,0.000148425,8.19903e-05,4.33948e-05,2.19872e-05,1.06633e-05,4.95273e-06,2.20566e-06,9.43483e-07,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.88017,-6.46133,-12.1265,-0,-0,-4.97704,-4.64485,-8.64511,-16.1255,-41.5164,-24.8439,-20.1209,-25.4802,-30.422,-32.1657,-33.9687,-44.1982,-29.9225,-29.7637,-43.5356,-30.4441,-37.0137,-32.5602,-27.9438,-29.5096,-6.95566,-7.3949,-23.6049,-0,-0,-4.73284,-10.0599,-5.34506,-0,-0,-6.42102,-0,-0,-0,-0,-8.81543,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,2,7,6,6,9,5,16,11,14,17,13,18,11,12,13,6,9,6,1,5,1,1,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
