# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 12:17:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c23e15f327.json
# init = /tmp/RtmpC8O1hA/init-b41c2583491b6_3.json
# random
#   seed = 4352003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0422_rep043_accurate_moderate/prior_sensitivity_obspair_FAST-202605311317-3-2535e3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0422_rep043_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605311317-3-945253.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.110361
# Diagonal elements of inverse mass matrix:
# 0.0561188, 0.0713072, 0.0435764, 0.0182115, 0.0261227, 0.0310398, 0.040392
-507.225,0.972948,0.110361,4,15,0,509.082,-2.80208,-0.767141,-1.31646,-0.481532,3.86905,0.178481,-0.75804,5.65378,2.50337,7.8846e-06,1.07706e-05,1.47287e-05,2.01711e-05,2.76796e-05,3.8086e-05,5.25962e-05,7.29911e-05,0.000101952,0.000143599,0.000204364,0.00029437,0.000429485,0.000634215,0.000945537,0.00141774,0.00212818,0.00318372,0.00472727,0.00694367,0.0100638,0.014193,0.0194005,0.0256863,0.0329404,0.0408974,0.0490991,0.0568875,0.0634628,0.0680373,0.0700576,0.069382,0.0662943,0.0613623,0.0552516,0.0485832,0.0418608,0.0354477,0.029576,0.0243686,0.0198656,0.01605,0.0128699,0.0102544,0.00812672,0.0064111,0.00503785,0.00394529,0.00308048,0.00239889,0.0018637,0.00144483,0.00111793,0.000863444,0.000665778,0.000512551,0.00039398,0.000302363,0.000231661,0.000177146,0.000135132,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.36312,-6.96376,-13.1174,-0,-0,-5.35441,-4.96993,-9.19763,-17.02,-43.367,-25.6326,-20.4783,-25.5735,-30.1391,-31.5335,-33.0876,-43.0032,-29.2428,-29.3494,-43.4184,-30.7005,-37.6462,-33.2692,-28.5607,-30.0573,-7.04158,-7.42892,-23.5126,-0,-0,-4.58004,-9.6252,-5.04972,-0,-0,-5.78267,-0,-0,-0,-0,-7.05458,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,3,5,3,5,8,13,6,8,15,17,11,14,12,10,11,13,5,5,5,5,3,8,2,0,2,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0
-507.834,0.998666,0.110361,5,31,0,510.226,-2.65506,-2.70673,-1.16341,0.219199,3.37402,-0.359091,-0.855687,4.79968,1.90503,1.95987e-06,3.61732e-06,6.65127e-06,1.21672e-05,2.21054e-05,3.98013e-05,7.0842e-05,0.000124295,0.000214337,0.000362223,0.000598386,0.000964321,0.00151377,0.00231269,0.00343734,0.00497025,0.00699365,0.00958054,0.0127843,0.0166278,0.0210936,0.0261005,0.0315108,0.0371321,0.0427249,0.0480158,0.0527159,0.0565439,0.059252,0.060654,0.0606501,0.0592427,0.0565372,0.0527271,0.0480671,0.0428418,0.0373373,0.0318185,0.0265129,0.0215996,0.0172042,0.0133986,0.0102049,0.00760418,0.00554662,0.00396328,0.00277663,0.00190925,0.00128995,0.000857357,0.000561252,0.000362315,0.000230919,0.000145468,9.06721e-05,5.59767e-05,3.42582e-05,2.08019e-05,1.25415e-05,7.51265e-06,4.47401e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.06935,-5.67306,-10.6086,-0,-0,-4.35954,-4.09668,-7.71757,-14.5832,-38.0317,-23.0529,-18.9178,-24.2898,-29.4284,-31.6001,-33.9115,-44.8411,-30.829,-31.0872,-45.9657,-32.3689,-39.457,-34.6527,-29.5899,-31.0294,-7.26025,-7.67016,-24.3756,-0,-0,-4.87906,-10.3891,-5.53068,-0,-0,-6.65315,-0,-0,-0,-0,-8.83555,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,5,4,3,4,8,4,9,9,11,10,11,13,9,11,10,10,11,8,13,5,2,4,4,2,2,5,1,0,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0
-505.433,0.996502,0.110361,5,63,0,512.913,-3.15994,-1.17722,-1.33651,-0.407031,3.33216,0.441921,-0.549272,5.03721,2.29911,1.52382e-05,2.12758e-05,2.97168e-05,4.15286e-05,5.80781e-05,8.13061e-05,0.000113987,0.000160119,0.000225532,0.00031883,0.000452867,0.00064697,0.000930029,0.00134424,0.00194906,0.00282484,0.00407566,0.0058304,0.00824066,0.0114743,0.0157042,0.0209712,0.0272343,0.0343413,0.0420008,0.0497605,0.0570024,0.0629878,0.0669979,0.0685627,0.0676276,0.0645157,0.059756,0.0539259,0.0475578,0.0410959,0.0348794,0.0291419,0.0240199,0.0195693,0.0157866,0.0126284,0.0100297,0.00791678,0.00621553,0.00485695,0.00377953,0.00293019,0.00226409,0.00174409,0.00133979,0.00102658,0.000784742,0.00059856,0.000455613,0.000346133,0.000262472,0.000198672,0.000150106,0.000113198,8.519e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.61192,-6.24041,-11.7386,-0,-0,-4.79868,-4.46765,-8.30765,-15.4584,-39.636,-23.5999,-19.0204,-24.0043,-28.6466,-30.413,-32.4371,-42.8801,-29.6311,-30.1493,-45.0798,-32.1216,-39.5955,-35.1103,-30.2027,-31.8202,-7.45775,-7.86758,-24.8916,-0,-0,-4.83877,-10.1614,-5.32735,-0,-0,-6.09058,-0,-0,-0,-0,-7.42098,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,4,5,4,5,10,10,11,12,12,20,16,10,10,13,7,8,12,3,3,6,2,5,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-507.393,0.98108,0.110361,6,63,0,511.347,-2.90277,-1.635,-1.23712,0.0112055,4.23389,0.789009,-0.943014,4.90256,1.71561,1.06919e-06,1.77325e-06,2.94147e-06,4.8808e-06,8.1028e-06,1.34628e-05,2.23985e-05,3.73449e-05,6.24683e-05,0.000104961,0.000177188,0.00029968,0.000504527,0.000838957,0.00136928,0.00218499,0.00340201,0.00516296,0.00763056,0.0109697,0.0153161,0.020711,0.0270867,0.0342551,0.0419172,0.0496801,0.0570733,0.0635612,0.0685598,0.0714838,0.0718948,0.0697352,0.0653705,0.0593723,0.0523343,0.0448007,0.0372466,0.0300689,0.023576,0.0179732,0.0133529,0.00969907,0.0069129,0.00485106,0.00336115,0.00230449,0.00156615,0.00105638,0.000707906,0.000471674,0.00031268,0.000206338,0.000135604,8.87868e-05,5.79352e-05,3.76859e-05,2.44435e-05,1.58119e-05,1.02029e-05,6.56805e-06,4.21867e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.08335,-6.59347,-12.2523,-0,-0,-4.87559,-4.51261,-8.3577,-15.5084,-39.6958,-23.6174,-19.0323,-24.0172,-28.6342,-30.3133,-32.1606,-42.2126,-28.9581,-29.2935,-43.643,-31.0632,-38.3513,-34.1609,-29.6118,-31.5384,-7.49505,-8.03775,-25.8961,-0,-0,-5.32856,-11.3909,-6.0729,-0,-0,-7.2532,-0,-0,-0,-0,-9.32927,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,6,3,9,8,9,9,11,15,13,19,17,13,16,4,12,10,7,5,2,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-505.017,0.999443,0.110361,5,31,0,509.776,-1.83523,-2.05107,-0.717036,-0.43945,3.83461,0.133444,-0.753862,4.95502,2.19192,2.45104e-05,3.38685e-05,4.68202e-05,6.47638e-05,8.96579e-05,0.000124259,0.000172469,0.000239857,0.000334434,0.000467822,0.000656989,0.000926714,0.00131285,0.00186612,0.00265573,0.0037716,0.0053235,0.00743536,0.0102331,0.0138255,0.0182799,0.0235804,0.0296126,0.0361513,0.0428633,0.0493301,0.0550868,0.0596788,0.062728,0.0639967,0.0634268,0.0611395,0.0573996,0.0525635,0.047026,0.0411726,0.0353423,0.0298024,0.0247378,0.0202539,0.0163884,0.0131287,0.0104291,0.00822606,0.00644979,0.0050316,0.00390839,0.00302468,0.00233325,0.00179479,0.00137712,0.00105427,0.00080545,0.000614205,0.000467555,0.000355339,0.000269633,0.000204284,0.000154534,0.000116711,8.79918e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.28389,-5.93103,-11.1605,-0,-0,-4.58213,-4.28124,-8.0039,-14.9894,-38.7151,-23.2403,-18.8984,-24.0738,-28.9885,-31.0066,-33.2274,-43.9828,-30.3366,-30.7406,-45.7235,-32.4031,-39.7417,-35.0898,-30.0841,-31.6185,-7.39885,-7.79882,-24.6671,-0,-0,-4.80045,-10.0874,-5.29202,-0,-0,-6.06049,-0,-0,-0,-0,-7.39518,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,4,10,10,10,9,9,11,15,12,7,11,14,7,16,10,10,2,9,3,4,4,1,0,1,1,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0
-504.765,0.989264,0.110361,5,31,0,507.762,-2.34381,-1.70182,-1.3619,-0.207535,4.35081,0.552986,-0.892057,5.18453,2.02046,6.57705e-06,9.88148e-06,1.48519e-05,2.23355e-05,3.36188e-05,5.06663e-05,7.64978e-05,0.000115794,0.000175857,0.000268083,0.000409959,0.00062736,0.00095677,0.00144726,0.00216209,0.00317952,0.00459197,0.00650237,0.00901631,0.0122291,0.016209,0.0209481,0.02637,0.0323249,0.0385919,0.0448883,0.0508799,0.0561937,0.0604359,0.0632266,0.0642704,0.0634563,0.06091,0.0569369,0.0519178,0.0462371,0.0402497,0.0342672,0.0285491,0.0232954,0.0186409,0.0146534,0.0113394,0.00865716,0.00653437,0.00488507,0.00362275,0.00266832,0.00195385,0.00142341,0.00103234,0.000745731,0.000536768,0.000385108,0.000275482,0.000196527,0.000139849,9.92822e-05,7.03268e-05,4.97105e-05,3.50653e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.53808,-6.13668,-11.5021,-0,-0,-4.70872,-4.40394,-8.24437,-15.4628,-39.9908,-24.0234,-19.5283,-24.8286,-29.7829,-31.6685,-33.6741,-44.1765,-30.1912,-30.3314,-44.7737,-31.5239,-38.4552,-33.8137,-28.9139,-30.3621,-7.11226,-7.519,-23.8944,-0,-0,-4.74937,-10.0614,-5.32157,-0,-0,-6.23795,-0,-0,-0,-0,-7.86199,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,5,1,3,1,7,8,5,13,9,11,13,10,15,11,17,5,11,9,7,7,5,3,2,5,3,3,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
