# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 12:25:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c22578fe87.json
# init = /tmp/RtmpC8O1hA/init-b41c24879e948_4.json
# random
#   seed = 4352004
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0423_rep043_accurate_strong/prior_sensitivity_obspair_FAST-202605311325-4-5ba4c4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0423_rep043_accurate_strong/prior_sensitivity_obspair_FAST-profile-202605311325-4-9df69f.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0955607
# Diagonal elements of inverse mass matrix:
# 0.0950845, 0.0235468, 0.00743261, 0.00522919, 0.0101349, 0.00568725, 0.00605583
-509.108,0.999062,0.0955607,5,31,0,513.102,-3.5323,-1.41075,-1.59577,-0.385374,3.38637,0.125819,-0.882429,5.35135,2.40055,2.10218e-05,2.95672e-05,4.16022e-05,5.85663e-05,8.25049e-05,0.000116334,0.000164226,0.000232167,0.000328765,0.000466368,0.000662547,0.000941888,0.0013379,0.00189472,0.00266834,0.0037269,0.00514973,0.00702483,0.00944427,0.0124976,0.0162638,0.0207312,0.025836,0.0314515,0.0373794,0.043347,0.0490113,0.0539791,0.0578486,0.0602778,0.061062,0.0601819,0.0577964,0.0541883,0.0496975,0.0446676,0.0394105,0.0341871,0.0291999,0.024591,0.0204475,0.0168092,0.0136783,0.0110305,0.00882447,0.00700989,0.00553364,0.004344,0.00339318,0.00263864,0.00204363,0.001577,0.00121285,0.000929936,0.000710995,0.000542168,0.000412408,0.000312968,0.000236969,0.000179026,0.000134949,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.26868,-5.9263,-11.1844,-0,-0,-4.66235,-4.38222,-8.23762,-15.5045,-40.2158,-24.2152,-19.7198,-25.1081,-30.157,-32.1107,-34.1991,-44.9407,-30.7545,-30.9142,-45.6133,-32.0682,-39.0234,-34.1936,-29.1035,-30.3832,-7.06718,-7.41075,-23.3394,-0,-0,-4.50709,-9.46045,-4.96043,-0,-0,-5.68599,-0,-0,-0,-0,-6.98039,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,4,5,1,5,5,7,11,11,11,6,7,9,13,15,7,9,10,11,8,8,5,3,6,3,3,2,3,2,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0
-508.303,0.997145,0.0955607,6,63,0,512.588,-2.83823,-1.46083,-1.02526,-0.369098,3.85231,-0.000303356,-1.18726,5.54849,2.32552,1.08554e-05,1.53609e-05,2.17487e-05,3.0817e-05,4.37128e-05,6.20937e-05,8.83716e-05,0.000126082,0.000180448,0.00025924,0.000374042,0.000542058,0.00078849,0.00114939,0.00167469,0.00243077,0.00350199,0.00499003,0.00701005,0.00968274,0.0131217,0.0173885,0.0224862,0.0283369,0.0347632,0.0414786,0.0480934,0.0541398,0.0591248,0.0626064,0.0642794,0.0640369,0.0619814,0.0583857,0.053627,0.0481198,0.0422623,0.0363985,0.0307976,0.0256477,0.0210594,0.0170783,0.0137002,0.010887,0.00858097,0.00671561,0.00522349,0.00404113,0.0031117,0.00238607,0.00182289,0.00138801,0.00105371,0.000797736,0.000602429,0.000453879,0.000341211,0.000255975,0.00019164,0.000143183,0.000106754,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.76852,-6.39213,-12.0391,-0,-0,-4.96041,-4.63741,-8.66697,-16.2078,-41.7434,-24.9451,-20.1552,-25.4606,-30.3461,-32.078,-33.9373,-44.3342,-30.1897,-30.2313,-44.4947,-31.2475,-38.0341,-33.3747,-28.4747,-29.8191,-6.96063,-7.3266,-23.1624,-0,-0,-4.52019,-9.51642,-5.00332,-0,-0,-5.77259,-0,-0,-0,-0,-7.13373,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,4,2,4,2,5,8,8,7,5,8,10,16,17,15,16,12,10,9,6,3,8,1,4,5,1,1,2,1,1,1,1,0,0,0,2,0,1,0,0,0,0,0
-505.757,0.999678,0.0955607,5,31,0,510.61,-1.62705,-1.14467,-1.15306,-0.334397,3.47766,-0.0158645,-1.26981,4.72187,2.18927,1.10726e-05,1.58625e-05,2.27389e-05,3.26249e-05,4.68658e-05,6.74336e-05,9.72425e-05,0.000140638,0.000204163,0.000297758,0.000436608,0.000643872,0.000954441,0.00141959,0.00211196,0.00312963,0.00459804,0.0066679,0.00950775,0.0132905,0.018174,0.0241389,0.0310525,0.0386455,0.0465034,0.0540799,0.0607432,0.0658579,0.0688984,0.069565,0.0678566,0.0640613,0.058672,0.0522676,0.0454094,0.0385721,0.0321115,0.0262605,0.0211418,0.0167902,0.0131784,0.01024,0.00788885,0.00603353,0.00458617,0.00346774,0.0026103,0.00195726,0.00146264,0.00108978,0.000809833,0.000600378,0.000444146,0.000327927,0.000241683,0.000177819,0.00013062,9.57978e-05,7.01458e-05,5.12746e-05,3.74079e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.55738,-6.16014,-11.5337,-0,-0,-4.65565,-4.3207,-8.01553,-14.8957,-38.1928,-22.7733,-18.4094,-23.3383,-28.011,-29.9228,-32.1015,-42.6479,-29.594,-30.2271,-45.3727,-32.4652,-40.1965,-35.8075,-30.9469,-32.7572,-7.71301,-8.17392,-25.975,-0,-0,-5.11042,-10.7694,-5.66425,-0,-0,-6.52751,-0,-0,-0,-0,-8.02272,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,2,3,5,11,4,12,10,8,15,19,14,13,8,10,12,7,4,6,9,6,3,3,0,6,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
-506.183,0.999962,0.0955607,5,31,0,508.551,-2.85666,-0.875998,-1.55757,-0.252608,3.50083,0.221224,-1.04268,5.01683,2.16143,4.99338e-06,7.37192e-06,1.08893e-05,1.60973e-05,2.38226e-05,3.53106e-05,5.24532e-05,7.81512e-05,0.000116899,0.000175721,0.000265632,0.000403787,0.000616414,0.000942453,0.00143775,0.00217949,0.00327054,0.00484278,0.0070588,0.0101106,0.0142143,0.0194138,0.0256891,0.0329257,0.0408821,0.0491595,0.0571852,0.0642303,0.0694944,0.0722804,0.0722182,0.0694036,0.0643456,0.0577692,0.0504147,0.0429114,0.0357286,0.029174,0.0234155,0.0185115,0.0144427,0.0111399,0.00850802,0.00644303,0.00484374,0.00361853,0.00268846,0.00198788,0.00146365,0.0010736,0.000784824,0.000571965,0.000415672,0.000301312,0.000217897,0.000157226,0.000113213,8.13582e-05,5.83524e-05,4.1769e-05,2.98347e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.96702,-6.54468,-12.2573,-0,-0,-4.95348,-4.59417,-8.50702,-15.7671,-40.2786,-23.8945,-19.1824,-24.1015,-28.6146,-30.1981,-31.9981,-42.0352,-28.9087,-29.346,-43.8958,-31.3643,-38.8371,-34.6348,-29.9862,-31.8103,-7.50871,-7.97872,-25.4254,-0,-0,-5.04476,-10.6601,-5.62169,-0,-0,-6.52682,-0,-0,-0,-0,-8.10736,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3,3,0,4,1,7,4,13,8,11,11,9,18,5,14,15,19,17,10,2,3,3,4,2,1,2,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
-507.589,0.997694,0.0955607,5,31,0,509.091,-1.65744,-1.99091,-0.982938,-0.379031,3.53914,0.0380618,-1.07006,4.74376,2.18962,2.89697e-05,4.08262e-05,5.75527e-05,8.11649e-05,0.000114526,0.000161713,0.000228545,0.000323348,0.000458049,0.000649704,0.000922544,0.00131048,0.00185979,0.00263132,0.00370123,0.00515932,0.00710399,0.00963326,0.012832,0.0167562,0.0214174,0.0267376,0.0325584,0.0386389,0.0446654,0.050272,0.0550749,0.0587166,0.0609168,0.0615195,0.0605177,0.0580469,0.054353,0.0497469,0.044563,0.0391227,0.0337085,0.0285463,0.0237976,0.0195604,0.015877,0.0127457,0.0101336,0.00798957,0.00625348,0.0048638,0.00376218,0.00289608,0.00221994,0.00169527,0.00129027,0.000979074,0.000740911,0.000559292,0.000421229,0.000316577,0.000237453,0.000177767,0.000132841,9.90876e-05,7.37742e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.94027,-5.59909,-10.5339,-0,-0,-4.35582,-4.08898,-7.68711,-14.4867,-37.6719,-22.7745,-18.6513,-23.9225,-28.9906,-31.1854,-33.579,-44.6144,-30.853,-31.3115,-46.5961,-33.0089,-40.4411,-35.6516,-30.51,-32.0061,-7.47634,-7.86849,-24.8573,-0,-0,-4.82962,-10.1492,-5.32593,-0,-0,-6.11028,-0,-0,-0,-0,-7.48884,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,1,3,5,4,9,6,6,9,6,10,9,11,11,15,7,9,15,10,10,9,6,4,1,3,4,2,5,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0
-509.391,0.992864,0.0955607,5,31,0,511.888,-2.98726,-0.453926,-1.52889,-0.381589,3.47523,0.277459,-0.832948,5.18944,2.32852,3.98071e-06,5.61271e-06,7.92082e-06,1.1192e-05,1.58419e-05,2.24786e-05,3.2005e-05,4.57858e-05,6.5929e-05,9.57706e-05,0.000140709,0.000209609,0.000317066,0.000486818,0.000756698,0.00118553,0.00186253,0.00291985,0.00454879,0.00702048,0.0107121,0.015706,0.0220572,0.0297442,0.0386011,0.0482376,0.0579646,0.0667771,0.0734801,0.0770188,0.0768948,0.0733641,0.0672557,0.0596042,0.051354,0.0432221,0.035677,0.0289759,0.0232179,0.018396,0.0144394,0.0112453,0.00870047,0.00669428,0.00512639,0.00390977,0.00297132,0.00225109,0.0017007,0.00128168,0.000963722,0.000723152,0.000541611,0.000404935,0.000302257,0.000225266,0.000167636,0.000124562,9.24052e-05,6.84179e-05,5.05273e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.62762,-7.18655,-13.4751,-0,-0,-5.39289,-4.95892,-9.07276,-16.6149,-41.9553,-24.6058,-19.5268,-24.2529,-28.4792,-29.7704,-31.3289,-41.0193,-28.2185,-28.7355,-43.1881,-31.0203,-38.5972,-34.5554,-29.9992,-31.8716,-7.52566,-7.99125,-25.4268,-0,-0,-5.0065,-10.5467,-5.54428,-0,-0,-6.37672,-0,-0,-0,-0,-7.81178,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,5,1,1,4,3,11,9,8,14,16,16,12,13,9,17,14,7,6,7,3,4,3,4,0,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
