# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 12:30:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c241d476da.json
# init = /tmp/RtmpC8O1hA/init-b41c245b62f1e_2.json
# random
#   seed = 4352005
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0424_rep043_mildly_wrong_weak/prior_sensitivity_obspair_FAST-202605311330-2-237e23.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0424_rep043_mildly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605311330-2-5d4b93.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0544018
# Diagonal elements of inverse mass matrix:
# 0.0997398, 0.133142, 0.142516, 0.0335625, 0.0572837, 0.110329, 0.182597
-506.69,0.99967,0.0544018,6,63,0,511.262,-1.84176,-2.92024,-0.582276,-0.220277,5.16053,1.00951,0.236726,5.39408,1.81496,4.76716e-06,7.12396e-06,1.06489e-05,1.59248e-05,2.38299e-05,3.5694e-05,5.35449e-05,8.05086e-05,0.000121475,0.000184204,0.000281004,0.000431011,0.00066326,0.00102068,0.0015646,0.00237879,0.00357137,0.00527194,0.00761958,0.0107371,0.0146934,0.0194538,0.0248882,0.0307945,0.0369295,0.0430273,0.0488067,0.0539749,0.0582345,0.0612951,0.0628993,0.0628821,0.0612585,0.0582215,0.0540474,0.0490362,0.043486,0.0376797,0.0318761,0.0263061,0.0211694,0.0166251,0.0127725,0.00963456,0.00716373,0.00526806,0.00384107,0.00278174,0.00200349,0.00143633,0.00102568,0.00072993,0.000517891,0.000366459,0.000258676,0.00018219,0.000128059,8.98408e-05,6.29153e-05,4.3983e-05,3.06945e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.88729,-6.46012,-12.0823,-0,-0,-4.87703,-4.53405,-8.44071,-15.7589,-40.627,-24.3629,-19.7925,-25.1674,-30.1989,-32.1116,-34.1193,-44.6729,-30.4284,-30.4314,-44.6824,-31.2785,-37.9326,-33.1672,-28.2178,-29.5077,-6.8918,-7.27591,-23.1312,-0,-0,-4.6424,-9.87745,-5.24609,-0,-0,-6.21287,-0,-0,-0,-0,-7.91162,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,5,5,9,8,9,6,8,9,6,10,8,11,8,13,8,12,12,9,11,9,2,3,6,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-505.127,0.998919,0.0544018,6,63,0,511.773,-0.330635,-1.46054,-1.08298,-0.59515,5.31609,1.08684,-1.56157,5.2543,2.41078,8.00098e-06,1.0657e-05,1.4247e-05,1.9142e-05,2.58973e-05,3.53771e-05,4.89984e-05,6.92409e-05,0.000100768,0.000152724,0.000242199,0.000397589,0.00066108,0.00109002,0.00175687,0.00274765,0.00415891,0.00609348,0.00865486,0.0119392,0.0160238,0.0208677,0.0263722,0.032375,0.0386514,0.044922,0.0508652,0.0561339,0.0603748,0.0632489,0.0644577,0.0637986,0.0612858,0.0572143,0.0520179,0.0461391,0.0399815,0.0338902,0.0281405,0.0229299,0.0183771,0.0145271,0.0113627,0.00882121,0.00681437,0.00524759,0.004033,0.00309551,0.00237384,0.00181927,0.0013936,0.00106712,0.000816831,0.000624992,0.000477944,0.000365191,0.000278681,0.000212244,0.000161161,0.000121832,9.15104e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.82156,-6.34422,-11.794,-0,-0,-4.74963,-4.42792,-8.26736,-15.4782,-39.9899,-24.0126,-19.519,-24.8226,-29.7858,-31.6802,-33.6862,-44.1708,-30.1592,-30.2723,-44.6753,-31.4705,-38.4302,-33.837,-28.9741,-30.4617,-7.14109,-7.55063,-23.9799,-0,-0,-4.7306,-9.97744,-5.24999,-0,-0,-6.04325,-0,-0,-0,-0,-7.37777,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,6,7,12,13,14,13,12,9,12,10,15,11,10,11,4,7,7,8,0,2,4,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-502.402,0.996432,0.0544018,6,63,0,507.075,-2.11281,-1.52619,-0.964325,-0.137534,4.12083,-0.102949,-0.481376,5.12958,2.05426,4.72501e-06,7.30546e-06,1.12949e-05,1.74619e-05,2.69934e-05,4.17196e-05,6.44573e-05,9.95266e-05,0.000153517,0.000236396,0.00036305,0.000555328,0.000844589,0.00127461,0.0019045,0.00281114,0.0040902,0.00585486,0.00823111,0.0113489,0.0153288,0.0202056,0.0259399,0.0323967,0.0393309,0.0463857,0.0531075,0.0589836,0.0635038,0.0662416,0.0669389,0.0655634,0.0623136,0.0575644,0.0517829,0.0454449,0.0389759,0.0327187,0.0269217,0.0217423,0.0172575,0.0134801,0.0103758,0.00788006,0.00591252,0.00438812,0.00322511,0.00234978,0.00169879,0.0012197,0.000870356,0.000617667,0.000436192,0.000306678,0.000214762,0.000149853,0.000104218,7.22621e-05,4.99644e-05,3.44564e-05,2.37023e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.66512,-6.26354,-11.7483,-0,-0,-4.79983,-4.47864,-8.35605,-15.6072,-40.1717,-24.0079,-19.4145,-24.5661,-29.3544,-31.1355,-33.0799,-43.4311,-29.7437,-29.9721,-44.4092,-31.4034,-38.489,-34.0038,-29.2033,-30.7783,-7.22965,-7.65699,-24.3571,-0,-0,-4.84342,-10.2614,-5.42885,-0,-0,-6.37784,-0,-0,-0,-0,-8.08971,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,4,2,8,8,12,13,12,15,12,11,8,13,9,14,7,9,6,8,3,3,6,2,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
-503.041,0.984397,0.0544018,6,63,0,505.099,-2.32341,-1.5469,-0.729782,-0.0475828,4.20857,-0.254288,-0.697041,5.25389,1.98242,2.05069e-06,3.29798e-06,5.30062e-06,8.51234e-06,1.36555e-05,2.18765e-05,3.49877e-05,5.58425e-05,8.89115e-05,0.000141158,0.000223343,0.000351916,0.000551614,0.000858816,0.00132547,0.00202309,0.00304584,0.00451151,0.00655844,0.009337,0.0129942,0.0176259,0.0232578,0.0298128,0.0370834,0.0447187,0.0522342,0.0590512,0.0645678,0.0682535,0.0697467,0.0689276,0.0659377,0.06114,0.0550383,0.0481833,0.0410933,0.0342002,0.0278225,0.0221613,0.0173116,0.013284,0.0100289,0.00746049,0.00547641,0.00397204,0.00285002,0.00202523,0.00142665,0.000997157,0.000692063,0.00047727,0.000327254,0.000223226,0.000151548,0.000102443,6.89779e-05,4.62774e-05,3.09443e-05,2.06275e-05,1.37102e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.05996,-6.62599,-12.4063,-0,-0,-5.027,-4.67377,-8.6865,-16.1535,-41.3723,-24.5897,-19.7675,-24.8589,-29.5202,-31.1229,-32.8805,-42.9524,-29.2917,-29.4217,-43.5047,-30.7405,-37.6964,-33.3602,-28.7272,-30.3797,-7.16382,-7.61881,-24.3383,-0,-0,-4.89813,-10.4146,-5.52848,-0,-0,-6.55242,-0,-0,-0,-0,-8.40733,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,4,8,9,10,11,6,8,12,19,15,12,13,14,11,5,9,9,4,8,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-505.881,0.999564,0.0544018,6,63,0,507.172,-1.58654,-3.84995,-0.724197,-0.133107,5.122,1.29793,-0.504353,5.06937,1.69077,4.6062e-06,7.13733e-06,1.10608e-05,1.71449e-05,2.65842e-05,4.12421e-05,6.40341e-05,9.95487e-05,0.00015506,0.000242134,0.000378706,0.000591113,0.000916281,0.00140416,0.00212003,0.00314601,0.00458082,0.00653597,0.00912553,0.0124461,0.0165476,0.0214079,0.026933,0.0329724,0.0393257,0.0457361,0.0518823,0.0573813,0.061809,0.064748,0.0658653,0.0650056,0.0622598,0.0579436,0.0524968,0.0463801,0.0400051,0.0337049,0.0277308,0.0222644,0.0174323,0.0133153,0.00994417,0.00728857,0.00526386,0.00375809,0.00265865,0.00186692,0.00130286,0.000904458,0.000625042,0.000430241,0.00029512,0.000201807,0.000137615,9.3605e-05,6.35237e-05,4.30186e-05,2.90752e-05,1.96147e-05,1.32087e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.56831,-6.15633,-11.5232,-0,-0,-4.69668,-4.38635,-8.20303,-15.376,-39.7584,-23.8846,-19.4153,-24.6789,-29.5878,-31.4384,-33.4045,-43.796,-29.9216,-30.0661,-44.423,-31.3311,-38.311,-33.7797,-28.9687,-30.511,-7.17042,-7.60953,-24.2966,-0,-0,-4.92145,-10.4938,-5.58384,-0,-0,-6.64319,-0,-0,-0,-0,-8.5082,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,1,0,1,5,4,5,8,4,12,7,16,21,7,13,11,12,16,9,10,5,5,6,4,3,3,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
-505.216,0.996094,0.0544018,6,127,0,509.536,-1.39736,-0.464728,-1.70028,-0.395676,4.14017,-0.318525,-0.412638,5.44058,2.61733,1.24196e-05,1.74161e-05,2.4433e-05,3.42946e-05,4.8166e-05,6.76962e-05,9.52215e-05,0.000134055,0.000188897,0.000266422,0.000376106,0.000531417,0.0007515,0.00106362,0.00150674,0.00213699,0.00303649,0.00432815,0.00620241,0.00897104,0.0131994,0.0184812,0.0245239,0.0310682,0.0378475,0.0445649,0.0508848,0.0564381,0.0608455,0.0637591,0.0649191,0.0642121,0.0617103,0.0576716,0.0524933,0.0466354,0.0405404,0.0345746,0.0290013,0.0239806,0.0195863,0.0158281,0.0126738,0.0100669,0.00794,0.0062236,0.00485132,0.00376297,0.00290587,0.00223505,0.0017129,0.00130844,0.000996524,0.000756901,0.000573461,0.000433472,0.000326938,0.000246064,0.000184795,0.00013845,0.000103417,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.84608,-6.49781,-12.2967,-0,-0,-5.08282,-4.71375,-8.65517,-15.964,-40.7892,-24.301,-19.6451,-24.8865,-29.7819,-31.6207,-33.593,-44.0423,-30.0807,-30.2012,-44.5649,-31.3829,-38.3119,-33.7194,-28.8491,-30.2817,-7.08083,-7.46102,-23.5975,-0,-0,-4.59851,-9.67168,-5.07941,-0,-0,-5.84102,-0,-0,-0,-0,-7.18628,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,1,6,10,13,9,12,14,12,15,16,13,11,7,9,9,8,3,5,5,3,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
