# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 12:41:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2fb8f515.json
# init = /tmp/RtmpC8O1hA/init-b41c237196cb7_4.json
# random
#   seed = 4352006
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0425_rep043_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-202605311341-4-14cde7.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0425_rep043_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605311341-4-51862d.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.111933
# Diagonal elements of inverse mass matrix:
# 0.0902356, 0.0502974, 0.0252499, 0.0139552, 0.0227033, 0.033994, 0.064017
-507.887,0.998593,0.111933,5,31,0,512.057,-2.95033,-1.67179,-1.44169,-0.431648,3.07589,0.21382,-1.28089,5.0357,2.39169,3.16669e-05,4.38491e-05,6.07351e-05,8.41564e-05,0.000116671,0.000161862,0.000224767,0.000312496,0.000435127,0.000606978,0.000848359,0.00118783,0.00166472,0.00233145,0.00325482,0.00451552,0.00620541,0.00842178,0.0112585,0.0147943,0.0190794,0.0240677,0.0296416,0.0356037,0.0416769,0.0475127,0.0527144,0.0568781,0.0596572,0.0608337,0.0603639,0.0583723,0.0551059,0.0508779,0.0460208,0.0408507,0.0356438,0.030621,0.0259423,0.0217086,0.0179693,0.0147327,0.0119786,0.00966822,0.00775332,0.00618237,0.00490481,0.00387365,0.00304682,0.00238764,0.00186479,0.00145196,0.00112731,0.000872966,0.000674354,0.000519735,0.000399698,0.000306744,0.000234928,0.000179562,0.000136961,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.06126,-5.72762,-10.8005,-0,-0,-4.48663,-4.21351,-7.91829,-14.9075,-38.7044,-23.3471,-19.0669,-24.3741,-29.4287,-31.5353,-33.8297,-44.7938,-30.881,-31.25,-46.376,-32.7616,-40.0226,-35.1761,-30.0076,-31.3746,-7.30376,-7.66009,-24.1146,-0,-0,-4.63891,-9.71927,-5.08605,-0,-0,-5.79366,-0,-0,-0,-0,-7.04361,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,2,5,7,7,6,5,10,6,8,6,6,15,9,11,12,11,12,10,10,5,7,5,5,6,0,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-507.095,0.994773,0.111933,4,31,0,511.962,-2.3633,-1.92872,-1.30473,-0.388836,3.20774,0.0676791,-1.05623,4.96805,2.32328,3.16757e-05,4.44811e-05,6.24767e-05,8.77778e-05,0.000123371,0.000173478,0.000244078,0.000343637,0.00048414,0.000682473,0.000962209,0.00135566,0.00190594,0.00266836,0.0037106,0.00511095,0.00695406,0.00932409,0.0122952,0.01592,0.0202183,0.0251259,0.0305138,0.0361841,0.0418746,0.0472711,0.0520305,0.0558161,0.0583439,0.0594316,0.0590313,0.0572306,0.0542254,0.0502793,0.0456844,0.0407295,0.0356764,0.0307443,0.0261005,0.0218591,0.0180845,0.0147993,0.011994,0.00963751,0.0076855,0.00608788,0.00479376,0.00375479,0.0029271,0.00227215,0.00175698,0.00135386,0.00103991,0.000796418,0.000608287,0.000463426,0.000352227,0.000267111,0.000202127,0.000152632,0.000115016,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.92629,-5.59656,-10.5527,-0,-0,-4.39855,-4.14018,-7.80234,-14.7354,-38.3853,-23.2339,-19.0385,-24.4148,-29.5592,-31.7426,-34.0968,-45.1669,-31.1266,-31.4673,-46.6337,-32.8918,-40.118,-35.2088,-29.9994,-31.3385,-7.2916,-7.64627,-24.0762,-0,-0,-4.64209,-9.73684,-5.10145,-0,-0,-5.83374,-0,-0,-0,-0,-7.13539,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,2,3,3,3,4,4,10,11,8,9,15,18,8,12,11,10,5,12,7,7,6,9,2,4,4,1,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1
-507.386,0.998048,0.111933,5,63,0,510.565,-2.27272,-1.93667,-1.36857,-0.32527,3.2047,-0.0261884,-0.946196,4.91675,2.27239,2.60222e-05,3.7356e-05,5.36327e-05,7.70124e-05,0.000110602,0.000158867,0.00022822,0.000327841,0.000470797,0.000675505,0.000967492,0.00138129,0.0019621,0.00276663,0.00386262,0.00532652,0.00723889,0.00967762,0.0127091,0.0163782,0.0206982,0.0255963,0.0309387,0.0365291,0.0421129,0.0473896,0.0520339,0.0557278,0.0582012,0.0592758,0.0588962,0.0571365,0.0541785,0.050275,0.0457105,0.0407686,0.035709,0.0307513,0.0260664,0.0217744,0.0179464,0.0146117,0.011766,0.00938089,0.00741315,0.00581191,0.00452442,0.00349997,0.00269223,0.00206043,0.00156971,0.00119093,0.000900169,0.000678066,0.000509159,0.000381219,0.000284658,0.000212019,0.000157538,0.000116788,8.63855e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.89013,-5.55641,-10.4701,-0,-0,-4.36544,-4.11181,-7.75542,-14.6612,-38.2332,-23.1675,-19.0044,-24.3948,-29.5586,-31.76,-34.1262,-45.2089,-31.1518,-31.4854,-46.6475,-32.8927,-40.1106,-35.1983,-29.9912,-31.3364,-7.29422,-7.65404,-24.1222,-0,-0,-4.66908,-9.809,-5.14785,-0,-0,-5.91738,-0,-0,-0,-0,-7.29627,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,6,6,6,6,8,6,10,18,13,12,8,10,8,8,7,10,9,4,6,4,6,4,6,2,1,2,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
-505.349,0.986191,0.111933,4,31,0,516.023,-2.05999,-1.90862,-0.947177,-0.136903,4.84715,0.358761,-1.29353,5.3286,1.88249,2.58742e-06,4.00638e-06,6.20743e-06,9.62688e-06,1.49513e-05,2.32695e-05,3.63253e-05,5.69438e-05,8.97449e-05,0.000142294,0.000226818,0.000362505,0.000578288,0.000915917,0.00143303,0.0022057,0.00332947,0.00491754,0.00709428,0.0099826,0.0136848,0.0182494,0.0236523,0.0297785,0.0364154,0.043259,0.0499324,0.0560129,0.0610664,0.0646884,0.0665565,0.0664925,0.0645117,0.0608228,0.0557719,0.0497731,0.0432537,0.0366162,0.0302098,0.0243093,0.019101,0.0146805,0.0110605,0.00818928,0.0059745,0.0043056,0.00307195,0.00217398,0.00152831,0.00106853,0.000743657,0.000515545,0.000356203,0.000245383,0.000168595,0.000115561,7.9038e-05,5.39494e-05,3.67553e-05,2.49961e-05,1.69692e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.99559,-6.54796,-12.2334,-0,-0,-4.94847,-4.60691,-8.58294,-16.0145,-41.1873,-24.5978,-19.8766,-25.1244,-29.9709,-31.7039,-33.5495,-43.8108,-29.8067,-29.8173,-43.8545,-30.7977,-37.5243,-33.0031,-28.266,-29.7654,-6.99918,-7.4338,-23.7481,-0,-0,-4.80493,-10.2405,-5.44784,-0,-0,-6.48359,-0,-0,-0,-0,-8.31269,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,4,3,2,6,6,11,13,9,9,9,23,5,8,7,8,12,7,10,4,9,6,5,5,6,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-505.494,0.998686,0.111933,3,7,0,505.677,-2.06796,-1.87055,-0.968461,-0.141239,4.86552,0.359804,-1.28815,5.35551,1.89548,2.60301e-06,4.02322e-06,6.22242e-06,9.63346e-06,1.49368e-05,2.32109e-05,3.6183e-05,5.66522e-05,8.91978e-05,0.000141321,0.000225136,0.000359635,0.000573402,0.000907624,0.00141908,0.00218262,0.00329225,0.00485944,0.00700696,0.00985687,0.0135121,0.018023,0.0233698,0.0294437,0.0360398,0.0428617,0.0495389,0.0556524,0.0607678,0.0644758,0.0664448,0.066484,0.0645975,0.0609873,0.0559983,0.0500455,0.0435571,0.0369357,0.0305309,0.0246183,0.0193865,0.0149341,0.0112777,0.00836939,0.00611973,0.00442,0.00316035,0.00224125,0.00157886,0.00110614,0.000771401,0.000535866,0.000370995,0.000256092,0.000176311,0.000121096,8.29924e-05,5.67643e-05,3.87519e-05,2.64077e-05,1.7964e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.00468,-6.55775,-12.2545,-0,-0,-4.96085,-4.61959,-8.60834,-16.0644,-41.3194,-24.6769,-19.9388,-25.1982,-30.05,-31.7749,-33.6083,-43.8634,-29.8252,-29.8187,-43.8333,-30.768,-37.4716,-32.943,-28.2032,-29.6872,-6.97803,-7.40853,-23.6591,-0,-0,-4.78317,-10.1925,-5.42162,-0,-0,-6.45105,-0,-0,-0,-0,-8.26998,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,4,5,1,7,9,11,15,17,11,17,12,12,13,13,8,8,7,4,7,1,4,2,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-506.616,0.976631,0.111933,5,31,0,510.781,-0.728157,-1.299,-1.15982,-0.0410028,4.84091,-0.000150353,-1.05357,4.75232,2.05208,2.7475e-06,4.44334e-06,7.18886e-06,1.16378e-05,1.88561e-05,3.0587e-05,4.96896e-05,8.08567e-05,0.000131763,0.00021481,0.000349592,0.000566024,0.000907806,0.00143561,0.00222911,0.00338708,0.00502461,0.0072672,0.0102415,0.0140633,0.0188233,0.0244272,0.0307084,0.0374273,0.0442769,0.0508952,0.0568839,0.0618346,0.065363,0.0671515,0.0669995,0.0648731,0.0609377,0.055547,0.049181,0.0423535,0.0355294,0.0290742,0.0232383,0.0181633,0.0138994,0.0104267,0.00767787,0.0055581,0.0039618,0.00278516,0.00193419,0.00132897,0.000904713,0.000610995,0.000409803,0.000273233,0.00018124,0.000119681,7.87207e-05,5.15985e-05,3.37157e-05,2.19684e-05,1.42767e-05,9.255e-06,5.9847e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.54617,-6.10615,-11.3756,-0,-0,-4.58131,-4.26419,-7.94532,-14.8482,-38.3154,-22.9975,-18.7038,-23.8239,-28.6674,-30.6162,-32.7336,-43.2129,-29.7338,-30.0885,-44.7665,-31.7958,-39.1592,-34.7787,-30.0366,-31.8412,-7.52391,-8.0167,-25.6555,-0,-0,-5.1925,-11.0621,-5.88345,-0,-0,-7.00789,-0,-0,-0,-0,-9.03068,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,1,3,6,4,7,8,8,13,12,19,16,21,13,7,12,8,5,11,3,7,0,1,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
