# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 12:48:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c26007aea4.json
# init = /tmp/RtmpC8O1hA/init-b41c2422d7a16_3.json
# random
#   seed = 4352007
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0426_rep043_mildly_wrong_strong/prior_sensitivity_obspair_FAST-202605311348-3-23c220.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0426_rep043_mildly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605311348-3-71a065.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.234185
# Diagonal elements of inverse mass matrix:
# 0.0495494, 0.0210027, 0.00778417, 0.00602036, 0.0072341, 0.00610062, 0.00718908
-503.804,0.902469,0.234185,4,15,0,510.067,-1.6005,-1.26688,-1.02114,-0.437293,3.93586,0.246211,-0.947675,4.90202,2.20913,1.1481e-05,1.58948e-05,2.20257e-05,3.05602e-05,4.24759e-05,5.91808e-05,8.27301e-05,0.000116178,0.00016416,0.000233862,0.000336653,0.00049067,0.000724661,0.001083,0.00163141,0.00246227,0.00369816,0.00549158,0.0080188,0.011466,0.0160069,0.0216821,0.0284205,0.0360084,0.0440722,0.0520834,0.0593934,0.0653054,0.0691888,0.0706216,0.0695076,0.0660952,0.0608849,0.0544886,0.0475098,0.0404684,0.0337635,0.0276632,0.0223148,0.0177659,0.0139918,0.0109229,0.00846695,0.00652619,0.00500755,0.00382827,0.00291799,0.00221865,0.00168339,0.00127497,0.00096412,0.000728037,0.000549066,0.000413608,0.000311225,0.000233936,0.000175651,0.000131736,9.86711e-05,7.37889e-05,5.50711e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.82802,-6.41831,-12.0133,-0,-0,-4.82597,-4.46837,-8.26947,-15.3251,-39.1671,-23.268,-18.7316,-23.6393,-28.2357,-30.0155,-32.051,-42.4067,-29.3295,-29.8832,-44.7803,-32.0074,-39.6087,-35.2796,-30.4954,-32.2889,-7.60501,-8.06095,-25.6157,-0,-0,-5.03193,-10.5936,-5.56534,-0,-0,-6.38695,-0,-0,-0,-0,-7.79059,-0,-0,-0,-0,-0,-0,-0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,2,4,2,4,6,10,9,4,11,13,11,11,20,18,14,9,7,8,8,5,6,3,2,2,2,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
-504.437,0.902434,0.234185,3,7,0,507.725,-1.84536,-1.49792,-1.11014,-0.498586,4.11254,0.19042,-0.958992,5.31123,2.37868,2.20032e-05,2.9888e-05,4.06352e-05,5.53146e-05,7.54215e-05,0.000103066,0.000141259,0.000194362,0.000268775,0.000374017,0.00052432,0.000740863,0.00105456,0.00150913,0.00216386,0.00309547,0.00439814,0.00618072,0.00856022,0.0116509,0.0155496,0.0202701,0.0257545,0.0318566,0.0383342,0.0448517,0.0509968,0.0563145,0.0603613,0.0627788,0.0633692,0.0621404,0.0592916,0.055153,0.0501144,0.0445665,0.0388612,0.033288,0.0280631,0.0233281,0.0191569,0.0155686,0.0125419,0.0100299,0.00797233,0.0063049,0.00496519,0.00389627,0.00304823,0.00237854,0.00185175,0.00143872,0.00111579,0.000863905,0.000667857,0.000515547,0.00039741,0.000305908,0.000235124,0.000180428,0.000138202,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.49622,-6.13586,-11.5556,-0,-0,-4.76063,-4.45237,-8.32744,-15.5944,-40.2506,-24.1256,-19.5685,-24.8352,-29.7599,-31.6448,-33.6889,-44.2902,-30.3465,-30.5619,-45.2046,-31.8741,-38.9148,-34.2185,-29.2298,-30.623,-7.1466,-7.5162,-23.7305,-0,-0,-4.60219,-9.66356,-5.06643,-0,-0,-5.7932,-0,-0,-0,-0,-7.05405,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,4,5,8,12,13,6,11,7,10,14,7,14,7,17,9,7,5,8,4,4,4,10,1,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-506.998,0.984462,0.234185,4,15,0,508.376,-2.24036,-1.64764,-0.930082,-0.526492,4.18279,0.587262,-0.947549,5.43464,2.32772,1.62016e-05,2.18145e-05,2.93937e-05,3.96462e-05,5.3548e-05,7.246e-05,9.83033e-05,0.000133836,0.000183104,0.000252197,0.000350519,0.000492844,0.00070228,0.00101403,0.00147961,0.00217123,0.00318526,0.0046435,0.00668947,0.00947672,0.0131474,0.0177824,0.0233778,0.0298172,0.0368573,0.0441308,0.0511646,0.0574136,0.0623176,0.0653961,0.0663728,0.0652481,0.0622596,0.0577893,0.0522849,0.046202,0.0399603,0.033909,0.0283046,0.023304,0.018974,0.015312,0.0122703,0.00977842,0.00775788,0.00613246,0.0048329,0.00379891,0.00297948,0.0023322,0.00182234,0.00142168,0.0011075,0.000861576,0.000669403,0.000519449,0.000402586,0.000311616,0.000240869,0.000185899,0.000143219,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.89383,-6.51597,-12.2649,-0,-0,-5.00722,-4.65892,-8.66306,-16.1182,-41.3156,-24.5887,-19.8042,-24.9648,-29.7271,-31.4322,-33.3061,-43.6367,-29.8371,-30.0251,-44.4231,-31.3605,-38.3636,-33.8221,-28.9788,-30.4567,-7.12946,-7.51826,-23.7881,-0,-0,-4.62758,-9.71809,-5.09416,-0,-0,-5.81601,-0,-0,-0,-0,-7.05675,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,6,2,1,11,4,13,11,20,14,8,18,12,10,11,10,7,5,7,3,3,2,2,4,1,1,1,4,0,0,0,1,0,0,0,0,1,0,0,0,0
-510.022,0.985201,0.234185,4,15,0,512.557,-1.70154,-2.58937,-0.818493,-0.338858,3.78441,0.251344,-1.12115,4.68549,2.02356,2.33135e-05,3.33082e-05,4.75972e-05,6.80349e-05,9.72853e-05,0.000139184,0.000199264,0.000285535,0.000409604,0.000588295,0.000845862,0.00121678,0.00174877,0.00250534,0.00356681,0.0050287,0.00699628,0.00957414,0.0128505,0.0168773,0.0216501,0.0270827,0.0330043,0.0391619,0.0452364,0.0508672,0.0556849,0.0593485,0.0615878,0.0622434,0.0612913,0.0588423,0.0551162,0.0504078,0.0450506,0.0393824,0.0337143,0.0283049,0.0233443,0.0189488,0.0151671,0.0119939,0.00938655,0.00728123,0.00560563,0.00428786,0.00326171,0.00246921,0.00186142,0.00139804,0.00104655,0.000781118,0.000581452,0.000431773,0.000319911,0.000236542,0.000174562,0.000128587,9.45547e-05,6.94097e-05,5.08635e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.98933,-5.63608,-10.5852,-0,-0,-4.35437,-4.08178,-7.66549,-14.4354,-37.5223,-22.6804,-18.5751,-23.8283,-28.8805,-31.0676,-33.4475,-44.4273,-30.7133,-31.1618,-46.373,-32.8637,-40.2996,-35.5788,-30.5085,-32.0825,-7.5148,-7.93203,-25.1318,-0,-0,-4.92246,-10.368,-5.45197,-0,-0,-6.28642,-0,-0,-0,-0,-7.74761,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,2,3,2,10,7,11,11,9,7,18,11,16,14,9,12,12,6,4,6,5,7,3,3,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
-508.531,0.99865,0.234185,4,15,0,512.762,-1.64249,-0.692723,-1.1597,-0.506795,4.34921,0.398474,-0.621673,5.2426,2.34203,4.60664e-06,6.25157e-06,8.49646e-06,1.1571e-05,1.58022e-05,2.16643e-05,2.98608e-05,4.14666e-05,5.81831e-05,8.28046e-05,0.00012007,0.000178152,0.000271091,0.000422512,0.000670992,0.00107748,0.00173508,0.00278115,0.0044114,0.00689495,0.0105896,0.0155912,0.0219367,0.0295619,0.038254,0.0476044,0.056974,0.0654941,0.0721431,0.075951,0.0763265,0.0733326,0.0676541,0.0602758,0.0521525,0.0440346,0.0364296,0.0296303,0.0237637,0.0188415,0.0148021,0.011545,0.00895428,0.00691517,0.00532287,0.00408685,0.00313164,0.00239589,0.00183064,0.00139724,0.00106546,0.000811809,0.00061809,0.000470279,0.000357582,0.000271707,0.000206299,0.000156488,0.000118548,8.96261e-05,6.75418e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.76929,-7.30675,-13.6663,-0,-0,-5.42356,-4.97697,-9.09576,-16.6442,-42.0156,-24.6489,-19.581,-24.3586,-28.6516,-29.9838,-31.5492,-41.2427,-28.3001,-28.7403,-43.0936,-30.8971,-38.3966,-34.3506,-29.8114,-31.6706,-7.47919,-7.94339,-25.2779,-0,-0,-4.97404,-10.4715,-5.49998,-0,-0,-6.30309,-0,-0,-0,-0,-7.66218,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,3,3,4,10,9,12,12,11,15,17,14,13,17,16,10,6,4,2,2,4,5,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-506.212,0.99478,0.234185,3,7,0,510.082,-1.74958,-1.20378,-1.21557,-0.499754,4.36028,0.421725,-0.683156,5.31063,2.35311,1.41214e-05,1.91832e-05,2.60875e-05,3.55292e-05,4.84862e-05,6.63525e-05,9.11486e-05,0.000125864,0.000175027,0.000245639,0.000348677,0.000501256,0.000729481,0.00107181,0.00158274,0.00233645,0.00342974,0.00498325,0.00713958,0.010057,0.0138982,0.0186993,0.024426,0.0309527,0.0380465,0.0453603,0.0524357,0.0587238,0.0636342,0.0666301,0.067369,0.0658289,0.0623127,0.0573219,0.0514066,0.0450692,0.0387209,0.0326705,0.0271275,0.0222123,0.017972,0.0143969,0.0114394,0.00902984,0.00709039,0.00554404,0.00432015,0.00335702,0.0026025,0.00201355,0.00155518,0.00119932,0.000923618,0.000710396,0.000545749,0.000418781,0.000320981,0.000245722,0.000187854,0.000143383,0.000109221,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.83841,-6.4486,-12.1182,-0,-0,-4.9421,-4.59949,-8.55199,-15.9171,-40.8332,-24.3271,-19.6137,-24.7449,-29.4817,-31.184,-33.0552,-43.3376,-29.6733,-29.9277,-44.4094,-31.4498,-38.5839,-34.0951,-29.2624,-30.7915,-7.21442,-7.61421,-24.1136,-0,-0,-4.70722,-9.89803,-5.19503,-0,-0,-5.95128,-0,-0,-0,-0,-7.24969,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,2,4,2,2,6,7,7,11,6,12,18,20,15,13,5,12,8,12,6,2,7,3,2,2,1,2,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1
