# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 12:53:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c21ec7de08.json
# init = /tmp/RtmpC8O1hA/init-b41c26cff8892_1.json
# random
#   seed = 4352008
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0427_rep043_badly_wrong_weak/prior_sensitivity_obspair_FAST-202605311353-1-65408e.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0427_rep043_badly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605311353-1-159b0f.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0592682
# Diagonal elements of inverse mass matrix:
# 0.0943623, 0.10516, 0.154659, 0.0188858, 0.042023, 0.10887, 0.520002
-505.407,0.9985,0.0592682,5,47,0,507.346,-1.29226,-1.22217,-1.23358,-0.417883,5.35682,0.293414,-1.20493,5.571,2.30152,4.54519e-06,6.366e-06,8.9435e-06,1.26186e-05,1.79111e-05,2.56376e-05,3.71225e-05,5.45819e-05,8.17992e-05,0.000125235,0.000195675,0.00031043,0.000495952,0.000790657,0.00124758,0.00193646,0.00294458,0.004376,0.00634823,0.00898606,0.0124121,0.0166554,0.0216949,0.0274461,0.0337508,0.0403724,0.0469977,0.0532484,0.0587021,0.0629249,0.0655212,0.0662011,0.0648594,0.0616291,0.0568631,0.0510419,0.0446658,0.0381789,0.0319332,0.0261792,0.0210713,0.0166805,0.0130115,0.0100209,0.00763544,0.00576709,0.00432574,0.00322718,0.00239777,0.00177603,0.00131247,0.000968204,0.000713283,0.000524922,0.000385961,0.00028356,0.000208161,0.000152671,0.000111845,8.18058e-05,5.96982e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.14265,-6.68655,-12.4938,-0,-0,-5.05958,-4.71208,-8.77816,-16.3801,-42.1375,-25.1687,-20.3325,-25.6769,-30.5766,-32.2607,-34.0234,-44.253,-29.9792,-29.8656,-43.7685,-30.6528,-37.2724,-32.7262,-27.9769,-29.3893,-6.88822,-7.28558,-23.1591,-0,-0,-4.60308,-9.74991,-5.15559,-0,-0,-6.03322,-0,-0,-0,-0,-7.55226,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,3,3,5,8,6,6,12,13,14,13,16,7,3,11,16,14,12,7,5,3,3,4,1,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-503.419,0.997359,0.0592682,4,15,0,506.52,-0.517912,-1.27237,-1.1735,-0.383871,5.16056,0.642179,-1.03999,4.96572,2.20209,5.89312e-06,8.33172e-06,1.18074e-05,1.67902e-05,2.39931e-05,3.45312e-05,5.02149e-05,7.41171e-05,0.000111665,0.000172574,0.0002737,0.000442448,0.000720133,0.00116478,0.00185283,0.00287915,0.0043549,0.00640296,0.0091504,0.0127181,0.0172073,0.02253,0.0285409,0.0350351,0.041751,0.0483756,0.0545542,0.0599028,0.0640257,0.0665417,0.0671322,0.0656272,0.0621178,0.0569874,0.0507863,0.0440698,0.0373089,0.0308645,0.024987,0.0198262,0.0154459,0.0118404,0.00895295,0.00669518,0.00496437,0.00365797,0.00268326,0.00196201,0.00143137,0.00104253,0.000758381,0.000551149,0.000400231,0.000290439,0.000210628,0.000152643,0.00011053,7.99463e-05,5.77333e-05,4.15934e-05,2.98584e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.75522,-6.29104,-11.7005,-0,-0,-4.69396,-4.36473,-8.12485,-15.1716,-39.1206,-23.4598,-19.0562,-24.2301,-29.0856,-30.9653,-32.9817,-43.3588,-29.712,-29.9614,-44.4596,-31.5142,-38.7417,-34.3418,-29.5967,-31.3033,-7.3788,-7.8415,-25.0225,-0,-0,-5.00637,-10.6109,-5.61085,-0,-0,-6.54912,-0,-0,-0,-0,-8.14412,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,1,1,2,3,5,5,14,8,12,12,8,10,12,19,11,9,11,13,7,8,7,3,3,4,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-504.651,0.998346,0.0592682,6,127,0,505.734,-2.15227,-2.78345,-0.791501,-0.269781,4.25067,1.63619,-0.112185,4.79882,1.82966,8.55763e-06,1.25393e-05,1.8376e-05,2.69345e-05,3.949e-05,5.79219e-05,8.50084e-05,0.000124875,0.000183688,0.000270764,0.000400414,0.000595069,0.000889503,0.00133478,0.00200277,0.00299102,0.00442651,0.00646558,0.009285,0.013054,0.0178753,0.0237024,0.0303324,0.0374627,0.0447328,0.0517385,0.0580381,0.0631658,0.0666632,0.0681456,0.0674659,0.064798,0.0604766,0.0549063,0.0485134,0.0417167,0.0349113,0.0284584,0.0226606,0.0177071,0.0136398,0.0103921,0.00784922,0.00588663,0.00438857,0.00325515,0.00240382,0.00176825,0.00129624,0.000947282,0.000690326,0.000501788,0.00036389,0.00026332,0.000190164,0.000137076,9.86346e-05,7.08543e-05,5.08152e-05,3.63846e-05,2.60093e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.61899,-6.21323,-11.6243,-0,-0,-4.67935,-4.33866,-8.04867,-14.9687,-38.4509,-22.9909,-18.6423,-23.6924,-28.4666,-30.3819,-32.4972,-42.9777,-29.6575,-30.1013,-44.888,-31.9234,-39.3369,-34.9454,-30.1945,-32.0338,-7.57426,-8.06758,-25.7686,-0,-0,-5.13507,-10.8575,-5.72752,-0,-0,-6.64829,-0,-0,-0,-0,-8.24214,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,2,2,3,2,7,4,8,12,9,6,16,10,14,13,17,11,11,9,6,6,4,7,3,3,3,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-504.599,0.995749,0.0592682,5,63,0,508.864,-1.68279,-1.03227,-1.3237,-0.232799,5.21357,1.50438,-0.434381,5.2024,1.97812,2.62532e-06,3.90813e-06,5.82264e-06,8.68602e-06,1.29824e-05,1.94608e-05,2.93055e-05,4.44511e-05,6.82203e-05,0.000106598,0.000169909,0.000274248,0.000443485,0.000712127,0.00112902,0.00176196,0.00270303,0.00407447,0.00603365,0.00877484,0.0125238,0.0172951,0.0230394,0.029645,0.0369374,0.0446696,0.0525077,0.0600145,0.0666331,0.071668,0.0742731,0.0735468,0.0692943,0.0626763,0.0549423,0.0469531,0.039249,0.0321478,0.0258182,0.0203315,0.0156972,0.0118868,0.00884554,0.00649161,0.00471691,0.00340358,0.00244351,0.00174744,0.00124576,0.000885788,0.000628421,0.000444951,0.000314489,0.00022192,0.000156366,0.000110023,7.73124e-05,5.42564e-05,3.80261e-05,2.66133e-05,1.85951e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.24725,-6.7864,-12.6827,-0,-0,-5.1104,-4.73587,-8.76024,-16.2293,-41.476,-24.6292,-19.7912,-24.8677,-29.468,-30.9449,-32.5026,-42.1714,-28.6001,-28.7082,-42.7103,-30.4675,-37.7191,-33.6447,-29.1405,-30.9367,-7.31335,-7.79116,-24.9256,-0,-0,-5.03724,-10.7132,-5.68293,-0,-0,-6.68801,-0,-0,-0,-0,-8.41319,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,2,6,4,8,14,10,18,17,18,14,13,14,5,9,10,6,5,5,2,0,0,0,3,1,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0
-504.92,0.998536,0.0592682,6,63,0,507.429,-0.515981,-1.28134,-1.01299,-0.606519,5.01481,0.0862048,-0.833016,5.32837,2.54736,1.41451e-05,1.87575e-05,2.49507e-05,3.33246e-05,4.47513e-05,6.05302e-05,8.26531e-05,0.000114261,0.000160434,0.000229508,0.000335147,0.000499302,0.000755904,0.00115478,0.00176486,0.00267558,0.00399542,0.00584692,0.00835812,0.0116509,0.0158269,0.0208037,0.0264403,0.0325389,0.0388474,0.0450668,0.0508611,0.0558747,0.0597585,0.0622072,0.0630079,0.062089,0.0595491,0.0556439,0.0507339,0.0452161,0.0394655,0.0337981,0.0284534,0.0235919,0.0193016,0.015611,0.0125042,0.00993572,0.00784366,0.00616013,0.00481833,0.00375694,0.00292224,0.00226873,0.00175882,0.00136195,0.00105365,0.000814471,0.000629076,0.000485427,0.000374115,0.000287806,0.000220808,0.000168712,0.00012812,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.76385,-6.33968,-11.8472,-0,-0,-4.78452,-4.45238,-8.29208,-15.4905,-39.9615,-23.9772,-19.4887,-24.7969,-29.7866,-31.7311,-33.8093,-44.4365,-30.4094,-30.571,-45.1353,-31.7766,-38.7551,-34.0593,-29.091,-30.4862,-7.11897,-7.4937,-23.6854,-0,-0,-4.61162,-9.6961,-5.08966,-0,-0,-5.8354,-0,-0,-0,-0,-7.11297,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,3,4,5,8,5,5,8,5,10,9,17,17,12,4,13,9,11,6,10,10,8,3,1,2,0,1,2,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0
-503.324,0.996889,0.0592682,6,63,0,506.975,-1.59318,-2.45644,-0.486062,-0.603976,4.28265,0.64489,-0.328498,5.12824,2.22344,3.37845e-05,4.44805e-05,5.85951e-05,7.72454e-05,0.000101932,0.000134683,0.000178271,0.000236526,0.000314836,0.000420937,0.00056623,0.000767956,0.0010526,0.00146068,0.00205256,0.00291433,0.0041618,0.0059393,0.00840913,0.0117283,0.0160125,0.021288,0.0274601,0.034298,0.041444,0.0484436,0.0547907,0.0599837,0.0635888,0.0653102,0.0650492,0.0629127,0.0591721,0.0542061,0.0484463,0.0423254,0.0362313,0.0304717,0.0252534,0.0206836,0.0167862,0.0135278,0.0108436,0.00865604,0.00688728,0.00546556,0.00432794,0.00342085,0.00269963,0.00212752,0.0016746,0.00131664,0.00103412,0.000811445,0.000636111,0.000498178,0.000389742,0.000304539,0.000237613,0.000185055,0.000143789,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.52885,-6.18867,-11.6762,-0,-0,-4.77844,-4.44575,-8.26877,-15.3984,-39.5452,-23.6087,-19.1005,-24.2188,-29.0423,-30.9505,-33.0638,-43.6577,-30.0587,-30.4261,-45.2369,-32.0646,-39.3549,-34.7861,-29.8605,-31.4186,-7.35759,-7.75683,-24.5232,-0,-0,-4.7495,-9.95616,-5.20929,-0,-0,-5.91464,-0,-0,-0,-0,-7.11669,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,2,1,5,4,6,10,13,5,9,5,8,12,17,10,20,11,15,7,8,3,4,6,1,3,0,1,2,3,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0
