# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 13:04:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c258ba26bb.json
# init = /tmp/RtmpC8O1hA/init-b41c2255faa88_1.json
# random
#   seed = 4352009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0428_rep043_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605311404-1-2e6885.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0428_rep043_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605311404-1-730f13.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.130465
# Diagonal elements of inverse mass matrix:
# 0.124285, 0.0642067, 0.0316886, 0.0130919, 0.0214317, 0.0506607, 0.0719571
-507.706,0.970782,0.130465,3,7,0,508.301,-0.75286,-3.18375,-0.528353,-0.370846,5.10127,0.474349,-0.46364,5.24502,2.03405,1.7391e-05,2.45896e-05,3.47865e-05,4.92492e-05,6.98e-05,9.90762e-05,0.00014093,0.000201051,0.000287925,0.000414286,0.000599081,0.000869788,0.00126466,0.00183446,0.00264324,0.00376769,0.00529436,0.00731398,0.00991199,0.013155,0.0170745,0.0216484,0.0267905,0.0323463,0.0380977,0.0437746,0.0490741,0.0536839,0.0573097,0.0597058,0.060704,0.0602386,0.0583573,0.0552135,0.0510417,0.046126,0.0407685,0.0352619,0.029867,0.0247969,0.0202064,0.0161883,0.0127766,0.00995605,0.00767622,0.00586737,0.00445335,0.00336085,0.0025245,0.00188889,0.00140864,0.00104751,0.000777018,0.00057509,0.000424777,0.000313161,0.00023046,0.000169299,0.000124145,9.086e-05,6.63584e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.30101,-5.93575,-11.1626,-0,-0,-4.61401,-4.33095,-8.14034,-15.3313,-39.8168,-24.0188,-19.6056,-25.0296,-30.1442,-32.1711,-34.3114,-45.0932,-30.8192,-30.9039,-45.4587,-31.862,-38.6765,-33.8402,-28.7986,-30.1046,-7.022,-7.39407,-23.4105,-0,-0,-4.60958,-9.73926,-5.13835,-0,-0,-5.98171,-0,-0,-0,-0,-7.46098,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,2,3,4,5,9,8,9,12,14,9,12,9,7,7,10,11,12,11,8,7,3,7,3,3,2,1,1,1,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0
-513.147,0.978015,0.130465,4,15,0,516.51,-1.06365,-2.61984,-0.889265,0.128415,5.35249,1.10198,-1.34757,4.83833,1.64904,8.62684e-07,1.5239e-06,2.69288e-06,4.76159e-06,8.42897e-06,1.49505e-05,2.66089e-05,4.76266e-05,8.58994e-05,0.000155694,0.000280361,0.000494451,0.000845616,0.00139623,0.0022243,0.00342317,0.00509921,0.00736612,0.0103332,0.0140847,0.0186489,0.0239657,0.029882,0.0361696,0.0425504,0.0487157,0.0543406,0.0590992,0.0626839,0.0648285,0.0653377,0.0641208,0.0612356,0.0569158,0.0515104,0.0453997,0.0389514,0.032497,0.0263186,0.0206436,0.0156416,0.0114232,0.00803552,0.0054563,0.00359507,0.00231393,0.00146379,0.000914244,0.000565502,0.000347122,0.000211746,0.000128489,7.76181e-05,4.67043e-05,2.8006e-05,1.67421e-05,9.98097e-06,5.93544e-06,3.52165e-06,2.08512e-06,1.23217e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.57398,-6.10831,-11.3544,-0,-0,-4.57239,-4.26267,-7.96393,-14.9245,-38.6155,-23.2368,-18.9424,-24.174,-29.1248,-31.1139,-33.2358,-43.7762,-30.01,-30.2168,-44.6884,-31.528,-38.5576,-34.0147,-29.209,-30.8395,-7.27496,-7.7607,-24.9469,-0,-0,-5.21098,-11.2564,-6.06881,-0,-0,-7.4778,-0,-0,-0,-0,-9.97167,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,4,5,5,3,14,9,9,10,13,16,13,20,7,7,11,14,6,5,4,7,5,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-508.936,0.997829,0.130465,5,31,0,516.572,-2.15656,-1.39617,-0.613555,-0.832,3.34284,0.835078,-0.374168,5.38224,2.85608,4.67961e-05,5.83781e-05,7.28911e-05,9.11131e-05,0.00011405,0.000143013,0.000179736,0.000226537,0.000286581,0.000364285,0.000465998,0.00060117,0.000784482,0.00103969,0.0014061,0.00194807,0.00276724,0.0040159,0.00590689,0.00871097,0.01273,0.0181704,0.0250811,0.0332647,0.042222,0.0511486,0.0590142,0.0647963,0.0678547,0.0681192,0.0659419,0.0618896,0.0565989,0.0506744,0.0446156,0.0387798,0.0333838,0.0285317,0.0242516,0.0205264,0.0173152,0.0145666,0.0122267,0.0102431,0.00856731,0.00715549,0.00596882,0.00497336,0.00413973,0.00344264,0.00286049,0.00237489,0.00197022,0.00163329,0.00135295,0.00111979,0.000925893,0.000764612,0.000630369,0.000518513,0.00042518,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.86883,-6.56693,-12.4818,-0,-0,-5.13164,-4.74317,-8.72759,-16.0318,-40.5421,-23.8228,-18.9889,-23.7842,-28.2998,-30.1016,-32.2846,-42.9839,-29.9088,-30.6064,-45.9482,-32.8057,-40.4257,-35.7484,-30.5972,-32.0107,-7.43854,-7.77208,-24.337,-0,-0,-4.58115,-9.5196,-4.93988,-0,-0,-5.48713,-0,-0,-0,-0,-6.41716,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,2,0,4,7,4,13,6,13,19,11,13,22,10,8,12,11,5,3,6,4,1,4,4,1,1,2,2,1,2,0,0,0,1,0,1,0,0,0,0,1,0,0
-503.92,1,0.130465,5,31,0,509.706,-2.28727,-1.7082,-1.02458,-0.379779,4.25389,0.631193,-0.908669,5.26808,2.12856,1.0226e-05,1.44138e-05,2.03273e-05,2.86878e-05,4.0529e-05,5.73423e-05,8.13014e-05,0.000115617,0.000165116,0.0002372,0.00034341,0.000501774,0.000739859,0.00109826,0.00163426,0.00242526,0.00357118,0.00519403,0.00743233,0.0104275,0.0143014,0.0191068,0.0248099,0.0312709,0.0382377,0.0453546,0.0521806,0.0582157,0.0629423,0.065897,0.0667862,0.0655836,0.0625132,0.0579493,0.0523288,0.0460967,0.0396695,0.0334056,0.0275834,0.0223869,0.0179062,0.0141515,0.0110762,0.00860203,0.00663861,0.00509694,0.00389644,0.00296776,0.00225322,0.00170592,0.00128832,0.000970745,0.00072994,0.000547825,0.000410417,0.00030696,0.000229215,0.000170894,0.000127214,9.45457e-05,7.0147e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.81403,-6.41656,-12.0436,-0,-0,-4.90192,-4.56331,-8.49479,-15.8309,-40.6616,-24.2555,-19.5836,-24.7459,-29.5305,-31.2796,-33.1864,-43.5146,-29.7688,-29.9687,-44.358,-31.3301,-38.3527,-33.8471,-29.0446,-30.5913,-7.18108,-7.59856,-24.1356,-0,-0,-4.75576,-10.0297,-5.27911,-0,-0,-6.09539,-0,-0,-0,-0,-7.50955,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,3,4,2,2,8,6,6,9,9,10,10,14,13,14,16,10,8,8,13,8,6,5,2,0,2,2,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
-506.499,0.995396,0.130465,5,31,0,508.328,-2.2241,-3.38959,-0.680123,-0.0805094,4.62456,0.517774,-0.316253,5.06915,1.72639,2.99357e-06,4.74927e-06,7.53556e-06,1.19586e-05,1.8983e-05,3.01455e-05,4.78993e-05,7.61667e-05,0.00012122,0.000193043,0.000307307,0.000487986,0.000770528,0.00120538,0.00186139,0.00282817,0.00421554,0.00614793,0.00875124,0.0121319,0.0163507,0.0213978,0.027178,0.0335087,0.0401268,0.0467023,0.0528565,0.0581883,0.062311,0.0648975,0.0657313,0.0647476,0.062047,0.0578722,0.0525624,0.0465041,0.0400877,0.0336737,0.0275687,0.0220093,0.0171519,0.0130699,0.00976035,0.00716182,0.00517706,0.00369565,0.00261061,0.00182799,0.00127052,0.000877481,0.000602722,0.000412026,0.000280483,0.000190224,0.000128579,8.6649e-05,5.82321e-05,3.90363e-05,2.61074e-05,1.74228e-05,1.16033e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.72096,-6.28643,-11.7363,-0,-0,-4.73856,-4.41192,-8.22697,-15.3779,-39.6588,-23.7716,-19.2943,-24.5117,-29.4018,-31.2848,-33.3074,-43.7591,-29.944,-30.1098,-44.4778,-31.3447,-38.2948,-33.7504,-28.9502,-30.5194,-7.18215,-7.63258,-24.3939,-0,-0,-4.93899,-10.527,-5.6006,-0,-0,-6.66833,-0,-0,-0,-0,-8.56731,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,5,2,5,4,5,8,3,5,11,11,10,12,14,18,12,10,14,6,10,6,7,5,2,3,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-510.276,0.958585,0.130465,5,31,0,515.309,-2.13936,-2.8496,-1.0946,-0.177591,4.51945,1.70186,-0.859477,4.87562,1.78244,6.32544e-06,9.61603e-06,1.462e-05,2.22316e-05,3.38146e-05,5.14522e-05,7.83358e-05,0.000119374,0.000182165,0.000278589,0.000427431,0.0006579,0.0010118,0.00154549,0.00233238,0.00346508,0.00505585,0.00723339,0.0101322,0.0138671,0.0184856,0.0239106,0.0299503,0.0363531,0.0428379,0.0490978,0.0547989,0.0595841,0.0630896,0.0649798,0.0650223,0.0632386,0.0598725,0.0552553,0.0497423,0.0436799,0.037391,0.031172,0.0252948,0.0200018,0.0154688,0.0117551,0.00881202,0.00653435,0.00480248,0.00350341,0.00253953,0.00183073,0.00131339,0.000938218,0.00066765,0.000473472,0.000334718,0.000235952,0.000165893,0.000116354,8.1425e-05,5.68618e-05,3.96297e-05,2.75675e-05,1.91415e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.47242,-6.06087,-11.33,-0,-0,-4.59204,-4.27824,-7.98152,-14.9337,-38.5904,-23.2013,-18.902,-24.1115,-29.0409,-31.024,-33.1584,-43.7389,-30.0633,-30.3692,-45.0486,-31.8537,-39.0117,-34.4395,-29.5769,-31.2141,-7.35431,-7.82387,-25.0136,-0,-0,-5.03068,-10.6772,-5.65402,-0,-0,-6.63514,-0,-0,-0,-0,-8.35188,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,5,5,8,6,9,7,12,14,6,10,12,8,8,15,10,7,10,9,8,3,3,5,5,1,3,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
-509.003,0.980904,0.130465,5,31,0,517.867,-1.57868,-1.61792,-1.24623,-0.321818,4.43447,-0.000789973,-0.279635,5.23918,2.29456,1.88432e-05,2.71093e-05,3.90194e-05,5.6195e-05,8.09896e-05,0.000116822,0.000168661,0.000243699,0.000352282,0.000509098,0.000734606,0.00105661,0.00151183,0.00214721,0.00302076,0.00420142,0.00576775,0.0078051,0.0104013,0.0136413,0.0176016,0.022215,0.0273657,0.0328858,0.0385562,0.0441117,0.0492534,0.053666,0.0570457,0.0591362,0.0597715,0.0589144,0.0566695,0.053263,0.0489922,0.0441721,0.0390944,0.0340063,0.0291023,0.0245249,0.0203687,0.0166867,0.0134964,0.0107875,0.00852949,0.00667834,0.00518323,0.00399155,0.0030527,0.0023205,0.00175448,0.00132025,0.000989325,0.000738583,0.000549548,0.00040766,0.000301574,0.000222528,0.00016381,0.00012031,8.81628e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.14359,-5.80225,-10.9447,-0,-0,-4.56582,-4.29465,-8.07953,-15.228,-39.5831,-23.903,-19.5338,-24.9682,-30.1078,-32.1747,-34.3668,-45.2466,-30.9895,-31.1484,-45.9283,-32.2577,-39.2092,-34.3163,-29.176,-30.4309,-7.07388,-7.41613,-23.3625,-0,-0,-4.52937,-9.52845,-5.00889,-0,-0,-5.79173,-0,-0,-0,-0,-7.21078,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,2,0,1,2,3,1,7,6,6,11,9,16,10,10,12,12,7,12,16,12,10,6,5,3,2,4,0,1,3,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
-505.298,0.998959,0.130465,5,47,0,509.805,-2.84563,-1.335,-1.13456,-0.420472,4.0255,0.90101,-0.739676,5.3304,2.22921,9.25148e-06,1.28638e-05,1.78953e-05,2.49122e-05,3.47142e-05,4.84391e-05,6.77215e-05,9.49412e-05,0.000133629,0.000189157,0.000269946,0.000389511,0.000569448,0.000843015,0.00125922,0.00188753,0.00282293,0.00418997,0.0061432,0.00885976,0.0125198,0.0172316,0.0230205,0.0297996,0.0373516,0.045319,0.0531961,0.0603279,0.0659404,0.0692882,0.0699757,0.0681305,0.0642115,0.0587872,0.052425,0.0456427,0.0388817,0.0324883,0.0267001,0.0216443,0.0173529,0.0137895,0.0108795,0.00853295,0.00665934,0.00517504,0.00400667,0.00309194,0.00237907,0.00182574,0.00139774,0.00106773,0.000813989,0.000619381,0.000470469,0.00035676,0.000270095,0.000204155,0.000154061,0.000116056,8.72591e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.07853,-6.67726,-12.545,-0,-0,-5.09241,-4.72624,-8.76088,-16.244,-41.4851,-24.5928,-19.7243,-24.7522,-29.3377,-30.8876,-32.628,-42.7117,-29.2557,-29.5496,-43.9292,-31.1721,-38.3288,-33.956,-29.2251,-30.8419,-7.24618,-7.66602,-24.324,-0,-0,-4.76382,-10.0235,-5.26391,-0,-0,-6.04104,-0,-0,-0,-0,-7.38679,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,2,3,0,9,8,8,11,18,7,15,12,24,18,14,5,9,8,7,2,1,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-507.127,0.998149,0.130465,4,15,0,507.908,-1.78861,-1.05082,-1.63382,-0.412562,3.98004,0.786029,-0.518489,4.8611,2.24262,1.54198e-05,2.1502e-05,3.00015e-05,4.18963e-05,5.85766e-05,8.20354e-05,0.000115162,0.00016221,0.000229565,0.000327031,0.000469895,0.000681791,0.000997706,0.00146659,0.00215398,0.00314503,0.00454759,0.00649467,0.00914528,0.0126833,0.0173163,0.022959,0.0294634,0.0366066,0.044084,0.0514996,0.058355,0.0640452,0.0678921,0.0692903,0.0680077,0.0643793,0.0590866,0.0528305,0.0461835,0.0395711,0.0332933,0.02755,0.02246,0.0180741,0.0143864,0.0113487,0.00888763,0.00691923,0.00536062,0.00413617,0.00318028,0.00243787,0.00186376,0.00142142,0.0010817,0.000821543,0.000622809,0.000471343,0.000356141,0.000268683,0.000202402,0.000152245,0.000114342,8.57323e-05,6.41566e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.52482,-6.14044,-11.5239,-0,-0,-4.69452,-4.36747,-8.11222,-15.0962,-38.7707,-23.1527,-18.7299,-23.7295,-28.4121,-30.2298,-32.278,-42.7112,-29.5695,-30.1726,-45.26,-32.3473,-39.9767,-35.5262,-30.6216,-32.3258,-7.59204,-8.02655,-25.4488,-0,-0,-4.97345,-10.4574,-5.48798,-0,-0,-6.28516,-0,-0,-0,-0,-7.65992,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4,2,3,4,7,8,10,14,8,15,13,12,14,14,6,8,5,10,10,12,1,6,1,1,1,1,2,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0
